context: Damn it. response:	I'm serious about it.
context: Damn it.\I'm serious about it. response:	Will you marry me? I will make you happy!
context: Damn it.\I'm serious about it.\Will you marry me? I will make you happy! response:	Please, please, pretty please.
context: Damn it.\I'm serious about it.\Will you marry me? I will make you happy!\Please, please, pretty please. response:	No marriage!
context: Damn it.\I'm serious about it.\Will you marry me? I will make you happy!\Please, please, pretty please.\No marriage! response:	Well then, pretend we're married just for tonight!
context: Damn it.\I'm serious about it.\Will you marry me? I will make you happy!\Please, please, pretty please.\No marriage!\Well then, pretend we're married just for tonight! response:	Please, would you please? I can't hold it in!
context: Damn it.\I'm serious about it.\Will you marry me? I will make you happy!\Please, please, pretty please.\No marriage!\Well then, pretend we're married just for tonight!\Please, would you please? I can't hold it in! response:	Come on, straight to business?
context: Damn it.\I'm serious about it.\Will you marry me? I will make you happy!\Please, please, pretty please.\No marriage!\Well then, pretend we're married just for tonight!\Please, would you please? I can't hold it in!\Come on, straight to business? response:	Right, right, no more waiting!
context: I'm serious about it.\Will you marry me? I will make you happy!\Please, please, pretty please.\No marriage!\Well then, pretend we're married just for tonight!\Please, would you please? I can't hold it in!\Come on, straight to business?\Right, right, no more waiting! response:	If I wait any longer, I'll go crazy.
context: Will you marry me? I will make you happy!\Please, please, pretty please.\No marriage!\Well then, pretend we're married just for tonight!\Please, would you please? I can't hold it in!\Come on, straight to business?\Right, right, no more waiting!\If I wait any longer, I'll go crazy. response:	Come on.
context: Please, please, pretty please.\No marriage!\Well then, pretend we're married just for tonight!\Please, would you please? I can't hold it in!\Come on, straight to business?\Right, right, no more waiting!\If I wait any longer, I'll go crazy.\Come on. response:	What?
context: No marriage!\Well then, pretend we're married just for tonight!\Please, would you please? I can't hold it in!\Come on, straight to business?\Right, right, no more waiting!\If I wait any longer, I'll go crazy.\Come on.\What? response:	Why the hell does she always bother me when I'm about to have a good time?
context: Well then, pretend we're married just for tonight!\Please, would you please? I can't hold it in!\Come on, straight to business?\Right, right, no more waiting!\If I wait any longer, I'll go crazy.\Come on.\What?\Why the hell does she always bother me when I'm about to have a good time? response:	What's wrong?
context: Please, would you please? I can't hold it in!\Come on, straight to business?\Right, right, no more waiting!\If I wait any longer, I'll go crazy.\Come on.\What?\Why the hell does she always bother me when I'm about to have a good time?\What's wrong? response:	Repair parts for a motor bike, for God's sake!
context: Come on, straight to business?\Right, right, no more waiting!\If I wait any longer, I'll go crazy.\Come on.\What?\Why the hell does she always bother me when I'm about to have a good time?\What's wrong?\Repair parts for a motor bike, for God's sake! response:	Don't touch that! Do you want to blow yourself up?
context: Right, right, no more waiting!\If I wait any longer, I'll go crazy.\Come on.\What?\Why the hell does she always bother me when I'm about to have a good time?\What's wrong?\Repair parts for a motor bike, for God's sake!\Don't touch that! Do you want to blow yourself up? response:	Yeah, yeah.
context: If I wait any longer, I'll go crazy.\Come on.\What?\Why the hell does she always bother me when I'm about to have a good time?\What's wrong?\Repair parts for a motor bike, for God's sake!\Don't touch that! Do you want to blow yourself up?\Yeah, yeah. response:	Hey, Junkshop.
context: Come on.\What?\Why the hell does she always bother me when I'm about to have a good time?\What's wrong?\Repair parts for a motor bike, for God's sake!\Don't touch that! Do you want to blow yourself up?\Yeah, yeah.\Hey, Junkshop. response:	You miscounted again!
context: What?\Why the hell does she always bother me when I'm about to have a good time?\What's wrong?\Repair parts for a motor bike, for God's sake!\Don't touch that! Do you want to blow yourself up?\Yeah, yeah.\Hey, Junkshop.\You miscounted again! response:	All the time with you.
context: Why the hell does she always bother me when I'm about to have a good time?\What's wrong?\Repair parts for a motor bike, for God's sake!\Don't touch that! Do you want to blow yourself up?\Yeah, yeah.\Hey, Junkshop.\You miscounted again!\All the time with you. response:	I got everything you requested.
context: What's wrong?\Repair parts for a motor bike, for God's sake!\Don't touch that! Do you want to blow yourself up?\Yeah, yeah.\Hey, Junkshop.\You miscounted again!\All the time with you.\I got everything you requested. response:	Thanks!
context: Repair parts for a motor bike, for God's sake!\Don't touch that! Do you want to blow yourself up?\Yeah, yeah.\Hey, Junkshop.\You miscounted again!\All the time with you.\I got everything you requested.\Thanks! response:	These are almost as good as new.
context: Don't touch that! Do you want to blow yourself up?\Yeah, yeah.\Hey, Junkshop.\You miscounted again!\All the time with you.\I got everything you requested.\Thanks!\These are almost as good as new. response:	Full power with this L-type. Half if you go with S-type.
context: Yeah, yeah.\Hey, Junkshop.\You miscounted again!\All the time with you.\I got everything you requested.\Thanks!\These are almost as good as new.\Full power with this L-type. Half if you go with S-type. response:	Yes, my Handy Man! Excellent! How much are they?
context: Hey, Junkshop.\You miscounted again!\All the time with you.\I got everything you requested.\Thanks!\These are almost as good as new.\Full power with this L-type. Half if you go with S-type.\Yes, my Handy Man! Excellent! How much are they? response:	L-type is 1,000 and S-type is 500.
context: You miscounted again!\All the time with you.\I got everything you requested.\Thanks!\These are almost as good as new.\Full power with this L-type. Half if you go with S-type.\Yes, my Handy Man! Excellent! How much are they?\L-type is 1,000 and S-type is 500. response:	Is it legal for machines to sell machines?
context: All the time with you.\I got everything you requested.\Thanks!\These are almost as good as new.\Full power with this L-type. Half if you go with S-type.\Yes, my Handy Man! Excellent! How much are they?\L-type is 1,000 and S-type is 500.\Is it legal for machines to sell machines? response:	Can you make it 700?
context: I got everything you requested.\Thanks!\These are almost as good as new.\Full power with this L-type. Half if you go with S-type.\Yes, my Handy Man! Excellent! How much are they?\L-type is 1,000 and S-type is 500.\Is it legal for machines to sell machines?\Can you make it 700? response:	No discount whatsoever!
context: Thanks!\These are almost as good as new.\Full power with this L-type. Half if you go with S-type.\Yes, my Handy Man! Excellent! How much are they?\L-type is 1,000 and S-type is 500.\Is it legal for machines to sell machines?\Can you make it 700?\No discount whatsoever! response:	How about 800?
context: These are almost as good as new.\Full power with this L-type. Half if you go with S-type.\Yes, my Handy Man! Excellent! How much are they?\L-type is 1,000 and S-type is 500.\Is it legal for machines to sell machines?\Can you make it 700?\No discount whatsoever!\How about 800? response:	Absolutely not, idiot.
context: Full power with this L-type. Half if you go with S-type.\Yes, my Handy Man! Excellent! How much are they?\L-type is 1,000 and S-type is 500.\Is it legal for machines to sell machines?\Can you make it 700?\No discount whatsoever!\How about 800?\Absolutely not, idiot. response:	Well then, 900?
context: Yes, my Handy Man! Excellent! How much are they?\L-type is 1,000 and S-type is 500.\Is it legal for machines to sell machines?\Can you make it 700?\No discount whatsoever!\How about 800?\Absolutely not, idiot.\Well then, 900? response:	Are you messing with me?
context: L-type is 1,000 and S-type is 500.\Is it legal for machines to sell machines?\Can you make it 700?\No discount whatsoever!\How about 800?\Absolutely not, idiot.\Well then, 900?\Are you messing with me? response:	What then how about 950?
context: Is it legal for machines to sell machines?\Can you make it 700?\No discount whatsoever!\How about 800?\Absolutely not, idiot.\Well then, 900?\Are you messing with me?\What then how about 950? response:	I'll kill you!
