context: I'll come to see you, Yurikano... response:	Time for some answers!
context: I'll come to see you, Yurikano...\Time for some answers! response:	If words won't work, I'll let my fists do the talking!
context: I'll come to see you, Yurikano...\Time for some answers!\If words won't work, I'll let my fists do the talking! response:	That was my Kamogawa Dynamite Bomber, taught to me by my Sis!
context: I'll come to see you, Yurikano...\Time for some answers!\If words won't work, I'll let my fists do the talking!\That was my Kamogawa Dynamite Bomber, taught to me by my Sis! response:	You've trampled on Yurikano's feelings enough!
context: I'll come to see you, Yurikano...\Time for some answers!\If words won't work, I'll let my fists do the talking!\That was my Kamogawa Dynamite Bomber, taught to me by my Sis!\You've trampled on Yurikano's feelings enough! response:	Don't you two get it by now?
context: I'll come to see you, Yurikano...\Time for some answers!\If words won't work, I'll let my fists do the talking!\That was my Kamogawa Dynamite Bomber, taught to me by my Sis!\You've trampled on Yurikano's feelings enough!\Don't you two get it by now? response:	You both mean a lot to Yurikano!
context: I'll come to see you, Yurikano...\Time for some answers!\If words won't work, I'll let my fists do the talking!\That was my Kamogawa Dynamite Bomber, taught to me by my Sis!\You've trampled on Yurikano's feelings enough!\Don't you two get it by now?\You both mean a lot to Yurikano! response:	She hated seeing the two of you fight.
context: I'll come to see you, Yurikano...\Time for some answers!\If words won't work, I'll let my fists do the talking!\That was my Kamogawa Dynamite Bomber, taught to me by my Sis!\You've trampled on Yurikano's feelings enough!\Don't you two get it by now?\You both mean a lot to Yurikano!\She hated seeing the two of you fight. response:	But you both did it again.
context: Time for some answers!\If words won't work, I'll let my fists do the talking!\That was my Kamogawa Dynamite Bomber, taught to me by my Sis!\You've trampled on Yurikano's feelings enough!\Don't you two get it by now?\You both mean a lot to Yurikano!\She hated seeing the two of you fight.\But you both did it again. response:	You let her down!
context: If words won't work, I'll let my fists do the talking!\That was my Kamogawa Dynamite Bomber, taught to me by my Sis!\You've trampled on Yurikano's feelings enough!\Don't you two get it by now?\You both mean a lot to Yurikano!\She hated seeing the two of you fight.\But you both did it again.\You let her down! response:	That's why Yurikano had to leave again.
context: That was my Kamogawa Dynamite Bomber, taught to me by my Sis!\You've trampled on Yurikano's feelings enough!\Don't you two get it by now?\You both mean a lot to Yurikano!\She hated seeing the two of you fight.\But you both did it again.\You let her down!\That's why Yurikano had to leave again. response:	Madoka...
context: You've trampled on Yurikano's feelings enough!\Don't you two get it by now?\You both mean a lot to Yurikano!\She hated seeing the two of you fight.\But you both did it again.\You let her down!\That's why Yurikano had to leave again.\Madoka... response:	Not just Yurikano!
context: Don't you two get it by now?\You both mean a lot to Yurikano!\She hated seeing the two of you fight.\But you both did it again.\You let her down!\That's why Yurikano had to leave again.\Madoka...\Not just Yurikano! response:	You hurt Lan and Muginami too!
context: You both mean a lot to Yurikano!\She hated seeing the two of you fight.\But you both did it again.\You let her down!\That's why Yurikano had to leave again.\Madoka...\Not just Yurikano!\You hurt Lan and Muginami too! response:	Don't you see that?!
context: She hated seeing the two of you fight.\But you both did it again.\You let her down!\That's why Yurikano had to leave again.\Madoka...\Not just Yurikano!\You hurt Lan and Muginami too!\Don't you see that?! response:	You've failed as kings!
context: But you both did it again.\You let her down!\That's why Yurikano had to leave again.\Madoka...\Not just Yurikano!\You hurt Lan and Muginami too!\Don't you see that?!\You've failed as kings! response:	Back then we tried to fly with propellers that couldn't do it
context: You let her down!\That's why Yurikano had to leave again.\Madoka...\Not just Yurikano!\You hurt Lan and Muginami too!\Don't you see that?!\You've failed as kings!\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: That's why Yurikano had to leave again.\Madoka...\Not just Yurikano!\You hurt Lan and Muginami too!\Don't you see that?!\You've failed as kings!\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
context: Madoka...\Not just Yurikano!\You hurt Lan and Muginami too!\Don't you see that?!\You've failed as kings!\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it\Back then we tried to fly with propellers that couldn't do it response:	Back then we tried to fly with propellers that couldn't do it
