context: A chronic disease I suffer from. response:	I get sleep attacks.
context: A chronic disease I suffer from.\I get sleep attacks. response:	I'll suddenly lose consciousness and simply sleep.
context: A chronic disease I suffer from.\I get sleep attacks.\I'll suddenly lose consciousness and simply sleep. response:	Without even dreaming.
context: A chronic disease I suffer from.\I get sleep attacks.\I'll suddenly lose consciousness and simply sleep.\Without even dreaming. response:	And before I know it, I'll wake up.
context: A chronic disease I suffer from.\I get sleep attacks.\I'll suddenly lose consciousness and simply sleep.\Without even dreaming.\And before I know it, I'll wake up. response:	As if nothing had happened.
context: A chronic disease I suffer from.\I get sleep attacks.\I'll suddenly lose consciousness and simply sleep.\Without even dreaming.\And before I know it, I'll wake up.\As if nothing had happened. response:	Naoe-kun!
context: A chronic disease I suffer from.\I get sleep attacks.\I'll suddenly lose consciousness and simply sleep.\Without even dreaming.\And before I know it, I'll wake up.\As if nothing had happened.\Naoe-kun! response:	How are you feeling?
context: A chronic disease I suffer from.\I get sleep attacks.\I'll suddenly lose consciousness and simply sleep.\Without even dreaming.\And before I know it, I'll wake up.\As if nothing had happened.\Naoe-kun!\How are you feeling? response:	You really surprised me yesterday.
context: I get sleep attacks.\I'll suddenly lose consciousness and simply sleep.\Without even dreaming.\And before I know it, I'll wake up.\As if nothing had happened.\Naoe-kun!\How are you feeling?\You really surprised me yesterday. response:	You just suddenly fell asleep.
context: I'll suddenly lose consciousness and simply sleep.\Without even dreaming.\And before I know it, I'll wake up.\As if nothing had happened.\Naoe-kun!\How are you feeling?\You really surprised me yesterday.\You just suddenly fell asleep. response:	Sorry.
context: Without even dreaming.\And before I know it, I'll wake up.\As if nothing had happened.\Naoe-kun!\How are you feeling?\You really surprised me yesterday.\You just suddenly fell asleep.\Sorry. response:	I'm fine, though.
context: And before I know it, I'll wake up.\As if nothing had happened.\Naoe-kun!\How are you feeling?\You really surprised me yesterday.\You just suddenly fell asleep.\Sorry.\I'm fine, though. response:	No need to worry.
context: As if nothing had happened.\Naoe-kun!\How are you feeling?\You really surprised me yesterday.\You just suddenly fell asleep.\Sorry.\I'm fine, though.\No need to worry. response:	Yo, Riki!
context: Naoe-kun!\How are you feeling?\You really surprised me yesterday.\You just suddenly fell asleep.\Sorry.\I'm fine, though.\No need to worry.\Yo, Riki! response:	Hey, Riki.
context: How are you feeling?\You really surprised me yesterday.\You just suddenly fell asleep.\Sorry.\I'm fine, though.\No need to worry.\Yo, Riki!\Hey, Riki. response:	Yo.
context: You really surprised me yesterday.\You just suddenly fell asleep.\Sorry.\I'm fine, though.\No need to worry.\Yo, Riki!\Hey, Riki.\Yo. response:	Kyousuke, Kengo, and Masato never complain when they help me,
context: You just suddenly fell asleep.\Sorry.\I'm fine, though.\No need to worry.\Yo, Riki!\Hey, Riki.\Yo.\Kyousuke, Kengo, and Masato never complain when they help me, response:	and always smile when I wake up.
context: Sorry.\I'm fine, though.\No need to worry.\Yo, Riki!\Hey, Riki.\Yo.\Kyousuke, Kengo, and Masato never complain when they help me,\and always smile when I wake up. response:	Kind of like telling me there's nothing to worry about.
context: I'm fine, though.\No need to worry.\Yo, Riki!\Hey, Riki.\Yo.\Kyousuke, Kengo, and Masato never complain when they help me,\and always smile when I wake up.\Kind of like telling me there's nothing to worry about. response:	So I suppose Kamikita is part of the Little Busters now.
context: No need to worry.\Yo, Riki!\Hey, Riki.\Yo.\Kyousuke, Kengo, and Masato never complain when they help me,\and always smile when I wake up.\Kind of like telling me there's nothing to worry about.\So I suppose Kamikita is part of the Little Busters now. response:	Yup! I'll try my best!
context: Yo, Riki!\Hey, Riki.\Yo.\Kyousuke, Kengo, and Masato never complain when they help me,\and always smile when I wake up.\Kind of like telling me there's nothing to worry about.\So I suppose Kamikita is part of the Little Busters now.\Yup! I'll try my best! response:	What about you, Kengo?
context: Hey, Riki.\Yo.\Kyousuke, Kengo, and Masato never complain when they help me,\and always smile when I wake up.\Kind of like telling me there's nothing to worry about.\So I suppose Kamikita is part of the Little Busters now.\Yup! I'll try my best!\What about you, Kengo? response:	Have you decided to play with us?
context: Yo.\Kyousuke, Kengo, and Masato never complain when they help me,\and always smile when I wake up.\Kind of like telling me there's nothing to worry about.\So I suppose Kamikita is part of the Little Busters now.\Yup! I'll try my best!\What about you, Kengo?\Have you decided to play with us? response:	That's fine.
context: Kyousuke, Kengo, and Masato never complain when they help me,\and always smile when I wake up.\Kind of like telling me there's nothing to worry about.\So I suppose Kamikita is part of the Little Busters now.\Yup! I'll try my best!\What about you, Kengo?\Have you decided to play with us?\That's fine. response:	The day will come when you'll understand.
context: and always smile when I wake up.\Kind of like telling me there's nothing to worry about.\So I suppose Kamikita is part of the Little Busters now.\Yup! I'll try my best!\What about you, Kengo?\Have you decided to play with us?\That's fine.\The day will come when you'll understand. response:	No, it won't.
context: Kind of like telling me there's nothing to worry about.\So I suppose Kamikita is part of the Little Busters now.\Yup! I'll try my best!\What about you, Kengo?\Have you decided to play with us?\That's fine.\The day will come when you'll understand.\No, it won't. response:	Go find someone else.
context: So I suppose Kamikita is part of the Little Busters now.\Yup! I'll try my best!\What about you, Kengo?\Have you decided to play with us?\That's fine.\The day will come when you'll understand.\No, it won't.\Go find someone else. response:	But seriously, we probably won't be able to get a third-year to join us.
context: Yup! I'll try my best!\What about you, Kengo?\Have you decided to play with us?\That's fine.\The day will come when you'll understand.\No, it won't.\Go find someone else.\But seriously, we probably won't be able to get a third-year to join us. response:	If there's someone willing to play baseball when they're supposed to be studying for exams,
context: What about you, Kengo?\Have you decided to play with us?\That's fine.\The day will come when you'll understand.\No, it won't.\Go find someone else.\But seriously, we probably won't be able to get a third-year to join us.\If there's someone willing to play baseball when they're supposed to be studying for exams, response:	they'd have to be a total idiot.
context: Have you decided to play with us?\That's fine.\The day will come when you'll understand.\No, it won't.\Go find someone else.\But seriously, we probably won't be able to get a third-year to join us.\If there's someone willing to play baseball when they're supposed to be studying for exams,\they'd have to be a total idiot. response:	Wait.
context: That's fine.\The day will come when you'll understand.\No, it won't.\Go find someone else.\But seriously, we probably won't be able to get a third-year to join us.\If there's someone willing to play baseball when they're supposed to be studying for exams,\they'd have to be a total idiot.\Wait. response:	Are you calling me an idiot?
context: The day will come when you'll understand.\No, it won't.\Go find someone else.\But seriously, we probably won't be able to get a third-year to join us.\If there's someone willing to play baseball when they're supposed to be studying for exams,\they'd have to be a total idiot.\Wait.\Are you calling me an idiot? response:	Whoops.
context: No, it won't.\Go find someone else.\But seriously, we probably won't be able to get a third-year to join us.\If there's someone willing to play baseball when they're supposed to be studying for exams,\they'd have to be a total idiot.\Wait.\Are you calling me an idiot?\Whoops. response:	I am an idiot.
context: Go find someone else.\But seriously, we probably won't be able to get a third-year to join us.\If there's someone willing to play baseball when they're supposed to be studying for exams,\they'd have to be a total idiot.\Wait.\Are you calling me an idiot?\Whoops.\I am an idiot. response:	We might have no luck with the normal students,
context: But seriously, we probably won't be able to get a third-year to join us.\If there's someone willing to play baseball when they're supposed to be studying for exams,\they'd have to be a total idiot.\Wait.\Are you calling me an idiot?\Whoops.\I am an idiot.\We might have no luck with the normal students, response:	but someone who already has a job offer might have some free time.
context: If there's someone willing to play baseball when they're supposed to be studying for exams,\they'd have to be a total idiot.\Wait.\Are you calling me an idiot?\Whoops.\I am an idiot.\We might have no luck with the normal students,\but someone who already has a job offer might have some free time. response:	This is a college prep school.
context: they'd have to be a total idiot.\Wait.\Are you calling me an idiot?\Whoops.\I am an idiot.\We might have no luck with the normal students,\but someone who already has a job offer might have some free time.\This is a college prep school. response:	If there were a third-year who didn't plan on going to college but has a job offer,
context: Wait.\Are you calling me an idiot?\Whoops.\I am an idiot.\We might have no luck with the normal students,\but someone who already has a job offer might have some free time.\This is a college prep school.\If there were a third-year who didn't plan on going to college but has a job offer, response:	then why the heck would they come here in the first place?
context: Are you calling me an idiot?\Whoops.\I am an idiot.\We might have no luck with the normal students,\but someone who already has a job offer might have some free time.\This is a college prep school.\If there were a third-year who didn't plan on going to college but has a job offer,\then why the heck would they come here in the first place? response:	Why the heck did I come here?
context: Whoops.\I am an idiot.\We might have no luck with the normal students,\but someone who already has a job offer might have some free time.\This is a college prep school.\If there were a third-year who didn't plan on going to college but has a job offer,\then why the heck would they come here in the first place?\Why the heck did I come here? response:	Whoops.
context: I am an idiot.\We might have no luck with the normal students,\but someone who already has a job offer might have some free time.\This is a college prep school.\If there were a third-year who didn't plan on going to college but has a job offer,\then why the heck would they come here in the first place?\Why the heck did I come here?\Whoops. response:	Youth!
context: We might have no luck with the normal students,\but someone who already has a job offer might have some free time.\This is a college prep school.\If there were a third-year who didn't plan on going to college but has a job offer,\then why the heck would they come here in the first place?\Why the heck did I come here?\Whoops.\Youth! response:	But Kyousuke, you still haven't found a job, right?
context: but someone who already has a job offer might have some free time.\This is a college prep school.\If there were a third-year who didn't plan on going to college but has a job offer,\then why the heck would they come here in the first place?\Why the heck did I come here?\Whoops.\Youth!\But Kyousuke, you still haven't found a job, right? response:	I haven't?
context: This is a college prep school.\If there were a third-year who didn't plan on going to college but has a job offer,\then why the heck would they come here in the first place?\Why the heck did I come here?\Whoops.\Youth!\But Kyousuke, you still haven't found a job, right?\I haven't? response:	Cat...
context: If there were a third-year who didn't plan on going to college but has a job offer,\then why the heck would they come here in the first place?\Why the heck did I come here?\Whoops.\Youth!\But Kyousuke, you still haven't found a job, right?\I haven't?\Cat... response:	Food...
context: then why the heck would they come here in the first place?\Why the heck did I come here?\Whoops.\Youth!\But Kyousuke, you still haven't found a job, right?\I haven't?\Cat...\Food... response:	Where do you think you're going, Rin?
context: Why the heck did I come here?\Whoops.\Youth!\But Kyousuke, you still haven't found a job, right?\I haven't?\Cat...\Food...\Where do you think you're going, Rin? response:	We're about to start the Little Busters's first morning practice.
context: Whoops.\Youth!\But Kyousuke, you still haven't found a job, right?\I haven't?\Cat...\Food...\Where do you think you're going, Rin?\We're about to start the Little Busters's first morning practice. response:	What? Morning practice?
context: Youth!\But Kyousuke, you still haven't found a job, right?\I haven't?\Cat...\Food...\Where do you think you're going, Rin?\We're about to start the Little Busters's first morning practice.\What? Morning practice? response:	Wait, we're seriously doing that?
context: But Kyousuke, you still haven't found a job, right?\I haven't?\Cat...\Food...\Where do you think you're going, Rin?\We're about to start the Little Busters's first morning practice.\What? Morning practice?\Wait, we're seriously doing that? response:	We can only use the field when the girls' softball team isn't.
context: I haven't?\Cat...\Food...\Where do you think you're going, Rin?\We're about to start the Little Busters's first morning practice.\What? Morning practice?\Wait, we're seriously doing that?\We can only use the field when the girls' softball team isn't. response:	Let's play!
context: Cat...\Food...\Where do you think you're going, Rin?\We're about to start the Little Busters's first morning practice.\What? Morning practice?\Wait, we're seriously doing that?\We can only use the field when the girls' softball team isn't.\Let's play! response:	Come!
context: Food...\Where do you think you're going, Rin?\We're about to start the Little Busters's first morning practice.\What? Morning practice?\Wait, we're seriously doing that?\We can only use the field when the girls' softball team isn't.\Let's play!\Come! response:	The dawn of our youth is now!
context: Where do you think you're going, Rin?\We're about to start the Little Busters's first morning practice.\What? Morning practice?\Wait, we're seriously doing that?\We can only use the field when the girls' softball team isn't.\Let's play!\Come!\The dawn of our youth is now! response:	I don't wanna!
context: We're about to start the Little Busters's first morning practice.\What? Morning practice?\Wait, we're seriously doing that?\We can only use the field when the girls' softball team isn't.\Let's play!\Come!\The dawn of our youth is now!\I don't wanna! response:	Our team, the Little Busters, still needs four more members.
context: What? Morning practice?\Wait, we're seriously doing that?\We can only use the field when the girls' softball team isn't.\Let's play!\Come!\The dawn of our youth is now!\I don't wanna!\Our team, the Little Busters, still needs four more members. response:	Hey, Riki.
context: Wait, we're seriously doing that?\We can only use the field when the girls' softball team isn't.\Let's play!\Come!\The dawn of our youth is now!\I don't wanna!\Our team, the Little Busters, still needs four more members.\Hey, Riki. response:	Here's that idiom dictionary I borrowed from you the other day.
context: We can only use the field when the girls' softball team isn't.\Let's play!\Come!\The dawn of our youth is now!\I don't wanna!\Our team, the Little Busters, still needs four more members.\Hey, Riki.\Here's that idiom dictionary I borrowed from you the other day. response:	What's this?
context: Let's play!\Come!\The dawn of our youth is now!\I don't wanna!\Our team, the Little Busters, still needs four more members.\Hey, Riki.\Here's that idiom dictionary I borrowed from you the other day.\What's this? response:	Now then, first period is language arts...
context: Come!\The dawn of our youth is now!\I don't wanna!\Our team, the Little Busters, still needs four more members.\Hey, Riki.\Here's that idiom dictionary I borrowed from you the other day.\What's this?\Now then, first period is language arts... response:	Why is it in a bag? C'mon, tell me.
