context: Keep your dog on a response:	leash!
context: Keep your dog on a\leash! response:	Tetsudou Hisakawa
context: Keep your dog on a\leash!\Tetsudou Hisakawa response:	I found Menma!
context: Keep your dog on a\leash!\Tetsudou Hisakawa\I found Menma! response:	Episode 3 Menma's Search Party
context: Keep your dog on a\leash!\Tetsudou Hisakawa\I found Menma!\Episode 3 Menma's Search Party response:	Extra! Menma's Search Party to commemorate the end of summer. 6pm at the secret base. Let's get everyone together to enjoy a barbecue out on a cool evening. We can talk lots about Menma's wish. Everyone should bring food!
context: Keep your dog on a\leash!\Tetsudou Hisakawa\I found Menma!\Episode 3 Menma's Search Party\Extra! Menma's Search Party to commemorate the end of summer. 6pm at the secret base. Let's get everyone together to enjoy a barbecue out on a cool evening. We can talk lots about Menma's wish. Everyone should bring food! response:	We still don't know the name of the flower we saw that day.
context: Keep your dog on a\leash!\Tetsudou Hisakawa\I found Menma!\Episode 3 Menma's Search Party\Extra! Menma's Search Party to commemorate the end of summer. 6pm at the secret base. Let's get everyone together to enjoy a barbecue out on a cool evening. We can talk lots about Menma's wish. Everyone should bring food!\We still don't know the name of the flower we saw that day. response:	nanpeeji mo tsuiyashite
context: Keep your dog on a\leash!\Tetsudou Hisakawa\I found Menma!\Episode 3 Menma's Search Party\Extra! Menma's Search Party to commemorate the end of summer. 6pm at the secret base. Let's get everyone together to enjoy a barbecue out on a cool evening. We can talk lots about Menma's wish. Everyone should bring food!\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite response:	tuzurareta bokura no kibun
context: leash!\Tetsudou Hisakawa\I found Menma!\Episode 3 Menma's Search Party\Extra! Menma's Search Party to commemorate the end of summer. 6pm at the secret base. Let's get everyone together to enjoy a barbecue out on a cool evening. We can talk lots about Menma's wish. Everyone should bring food!\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun response:	doushiteka ichigyou no
context: Tetsudou Hisakawa\I found Menma!\Episode 3 Menma's Search Party\Extra! Menma's Search Party to commemorate the end of summer. 6pm at the secret base. Let's get everyone together to enjoy a barbecue out on a cool evening. We can talk lots about Menma's wish. Everyone should bring food!\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no response:	kuuhaku wo umerarenai
context: I found Menma!\Episode 3 Menma's Search Party\Extra! Menma's Search Party to commemorate the end of summer. 6pm at the secret base. Let's get everyone together to enjoy a barbecue out on a cool evening. We can talk lots about Menma's wish. Everyone should bring food!\We still don't know the name of the flower we saw that day.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai response:	oshibana no shiori hasande
