context: Vegeta! response:	Your guard is down!
context: Vegeta!\Your guard is down! response:	He got him!
context: Vegeta!\Your guard is down!\He got him! response:	Yow... Damn that Vegeta...
context: Vegeta!\Your guard is down!\He got him!\Yow... Damn that Vegeta... response:	I see now, you're a lot better than I expected.
context: Vegeta!\Your guard is down!\He got him!\Yow... Damn that Vegeta...\I see now, you're a lot better than I expected. response:	And having Vegeta run off on you like that must have hurt too.
context: Vegeta!\Your guard is down!\He got him!\Yow... Damn that Vegeta...\I see now, you're a lot better than I expected.\And having Vegeta run off on you like that must have hurt too. response:	l have to end this quickly.
context: Vegeta!\Your guard is down!\He got him!\Yow... Damn that Vegeta...\I see now, you're a lot better than I expected.\And having Vegeta run off on you like that must have hurt too.\l have to end this quickly. response:	Otherwise, what little hope we have will be lost.
context: Vegeta!\Your guard is down!\He got him!\Yow... Damn that Vegeta...\I see now, you're a lot better than I expected.\And having Vegeta run off on you like that must have hurt too.\l have to end this quickly.\Otherwise, what little hope we have will be lost. response:	This is a nice development. From what I saw,
context: Your guard is down!\He got him!\Yow... Damn that Vegeta...\I see now, you're a lot better than I expected.\And having Vegeta run off on you like that must have hurt too.\l have to end this quickly.\Otherwise, what little hope we have will be lost.\This is a nice development. From what I saw, response:	Kakarrot and Ginyu both have about the same level of ability.
context: He got him!\Yow... Damn that Vegeta...\I see now, you're a lot better than I expected.\And having Vegeta run off on you like that must have hurt too.\l have to end this quickly.\Otherwise, what little hope we have will be lost.\This is a nice development. From what I saw,\Kakarrot and Ginyu both have about the same level of ability. response:	If I'm lucky, the two of them might just take care of each other.
context: Yow... Damn that Vegeta...\I see now, you're a lot better than I expected.\And having Vegeta run off on you like that must have hurt too.\l have to end this quickly.\Otherwise, what little hope we have will be lost.\This is a nice development. From what I saw,\Kakarrot and Ginyu both have about the same level of ability.\If I'm lucky, the two of them might just take care of each other. response:	If that happens, I can't fail!
context: I see now, you're a lot better than I expected.\And having Vegeta run off on you like that must have hurt too.\l have to end this quickly.\Otherwise, what little hope we have will be lost.\This is a nice development. From what I saw,\Kakarrot and Ginyu both have about the same level of ability.\If I'm lucky, the two of them might just take care of each other.\If that happens, I can't fail! response:	As soon as I get the password to have my wish granted out of those runts,
context: And having Vegeta run off on you like that must have hurt too.\l have to end this quickly.\Otherwise, what little hope we have will be lost.\This is a nice development. From what I saw,\Kakarrot and Ginyu both have about the same level of ability.\If I'm lucky, the two of them might just take care of each other.\If that happens, I can't fail!\As soon as I get the password to have my wish granted out of those runts, response:	I'll take care of them, too.
context: l have to end this quickly.\Otherwise, what little hope we have will be lost.\This is a nice development. From what I saw,\Kakarrot and Ginyu both have about the same level of ability.\If I'm lucky, the two of them might just take care of each other.\If that happens, I can't fail!\As soon as I get the password to have my wish granted out of those runts,\I'll take care of them, too. response:	Then, once I make myself immortally young,
context: Otherwise, what little hope we have will be lost.\This is a nice development. From what I saw,\Kakarrot and Ginyu both have about the same level of ability.\If I'm lucky, the two of them might just take care of each other.\If that happens, I can't fail!\As soon as I get the password to have my wish granted out of those runts,\I'll take care of them, too.\Then, once I make myself immortally young, response:	I'll have a chance of beating even Freeza in battle!
context: This is a nice development. From what I saw,\Kakarrot and Ginyu both have about the same level of ability.\If I'm lucky, the two of them might just take care of each other.\If that happens, I can't fail!\As soon as I get the password to have my wish granted out of those runts,\I'll take care of them, too.\Then, once I make myself immortally young,\I'll have a chance of beating even Freeza in battle! response:	Gohan, no matter what it takes, we have to borrow the Dragon Radar from Bulma- san,
context: Kakarrot and Ginyu both have about the same level of ability.\If I'm lucky, the two of them might just take care of each other.\If that happens, I can't fail!\As soon as I get the password to have my wish granted out of those runts,\I'll take care of them, too.\Then, once I make myself immortally young,\I'll have a chance of beating even Freeza in battle!\Gohan, no matter what it takes, we have to borrow the Dragon Radar from Bulma- san, response:	and find the Dragon Balls before Freeza gets the password from Grand Elder- san.
context: If I'm lucky, the two of them might just take care of each other.\If that happens, I can't fail!\As soon as I get the password to have my wish granted out of those runts,\I'll take care of them, too.\Then, once I make myself immortally young,\I'll have a chance of beating even Freeza in battle!\Gohan, no matter what it takes, we have to borrow the Dragon Radar from Bulma- san,\and find the Dragon Balls before Freeza gets the password from Grand Elder- san. response:	Right!
context: If that happens, I can't fail!\As soon as I get the password to have my wish granted out of those runts,\I'll take care of them, too.\Then, once I make myself immortally young,\I'll have a chance of beating even Freeza in battle!\Gohan, no matter what it takes, we have to borrow the Dragon Radar from Bulma- san,\and find the Dragon Balls before Freeza gets the password from Grand Elder- san.\Right! response:	You certainly have impressive speed for a Saiyan.
context: As soon as I get the password to have my wish granted out of those runts,\I'll take care of them, too.\Then, once I make myself immortally young,\I'll have a chance of beating even Freeza in battle!\Gohan, no matter what it takes, we have to borrow the Dragon Radar from Bulma- san,\and find the Dragon Balls before Freeza gets the password from Grand Elder- san.\Right!\You certainly have impressive speed for a Saiyan. response:	Ginyu Special Corps Commander, Ginyu...
context: I'll take care of them, too.\Then, once I make myself immortally young,\I'll have a chance of beating even Freeza in battle!\Gohan, no matter what it takes, we have to borrow the Dragon Radar from Bulma- san,\and find the Dragon Balls before Freeza gets the password from Grand Elder- san.\Right!\You certainly have impressive speed for a Saiyan.\Ginyu Special Corps Commander, Ginyu... response:	Like this?
context: Then, once I make myself immortally young,\I'll have a chance of beating even Freeza in battle!\Gohan, no matter what it takes, we have to borrow the Dragon Radar from Bulma- san,\and find the Dragon Balls before Freeza gets the password from Grand Elder- san.\Right!\You certainly have impressive speed for a Saiyan.\Ginyu Special Corps Commander, Ginyu...\Like this? response:	F- fool! Your feet are reversed! Your feet!
context: I'll have a chance of beating even Freeza in battle!\Gohan, no matter what it takes, we have to borrow the Dragon Radar from Bulma- san,\and find the Dragon Balls before Freeza gets the password from Grand Elder- san.\Right!\You certainly have impressive speed for a Saiyan.\Ginyu Special Corps Commander, Ginyu...\Like this?\F- fool! Your feet are reversed! Your feet! response:	Oh, really?
context: Gohan, no matter what it takes, we have to borrow the Dragon Radar from Bulma- san,\and find the Dragon Balls before Freeza gets the password from Grand Elder- san.\Right!\You certainly have impressive speed for a Saiyan.\Ginyu Special Corps Commander, Ginyu...\Like this?\F- fool! Your feet are reversed! Your feet!\Oh, really? response:	You know, you guys all pose in the strangest ways, huh?
context: and find the Dragon Balls before Freeza gets the password from Grand Elder- san.\Right!\You certainly have impressive speed for a Saiyan.\Ginyu Special Corps Commander, Ginyu...\Like this?\F- fool! Your feet are reversed! Your feet!\Oh, really?\You know, you guys all pose in the strangest ways, huh? response:	I've never seen anything like it.
context: Right!\You certainly have impressive speed for a Saiyan.\Ginyu Special Corps Commander, Ginyu...\Like this?\F- fool! Your feet are reversed! Your feet!\Oh, really?\You know, you guys all pose in the strangest ways, huh?\I've never seen anything like it. response:	W- what!? Can't you grasp the splendor of the Ultra Fighting Pose!?
context: You certainly have impressive speed for a Saiyan.\Ginyu Special Corps Commander, Ginyu...\Like this?\F- fool! Your feet are reversed! Your feet!\Oh, really?\You know, you guys all pose in the strangest ways, huh?\I've never seen anything like it.\W- what!? Can't you grasp the splendor of the Ultra Fighting Pose!? response:	It doesn't matter to me either way, I'm running out of time.
context: Ginyu Special Corps Commander, Ginyu...\Like this?\F- fool! Your feet are reversed! Your feet!\Oh, really?\You know, you guys all pose in the strangest ways, huh?\I've never seen anything like it.\W- what!? Can't you grasp the splendor of the Ultra Fighting Pose!?\It doesn't matter to me either way, I'm running out of time. response:	Sorry to interrupt your big entrance,
context: Like this?\F- fool! Your feet are reversed! Your feet!\Oh, really?\You know, you guys all pose in the strangest ways, huh?\I've never seen anything like it.\W- what!? Can't you grasp the splendor of the Ultra Fighting Pose!?\It doesn't matter to me either way, I'm running out of time.\Sorry to interrupt your big entrance, response:	but I have to end this right now.
context: F- fool! Your feet are reversed! Your feet!\Oh, really?\You know, you guys all pose in the strangest ways, huh?\I've never seen anything like it.\W- what!? Can't you grasp the splendor of the Ultra Fighting Pose!?\It doesn't matter to me either way, I'm running out of time.\Sorry to interrupt your big entrance,\but I have to end this right now. response:	Oh, aren't you the confident one?
context: Oh, really?\You know, you guys all pose in the strangest ways, huh?\I've never seen anything like it.\W- what!? Can't you grasp the splendor of the Ultra Fighting Pose!?\It doesn't matter to me either way, I'm running out of time.\Sorry to interrupt your big entrance,\but I have to end this right now.\Oh, aren't you the confident one? response:	This is the first time that I, Ginyu- sama, have heard such insolence.
context: You know, you guys all pose in the strangest ways, huh?\I've never seen anything like it.\W- what!? Can't you grasp the splendor of the Ultra Fighting Pose!?\It doesn't matter to me either way, I'm running out of time.\Sorry to interrupt your big entrance,\but I have to end this right now.\Oh, aren't you the confident one?\This is the first time that I, Ginyu- sama, have heard such insolence. response:	If you had dared to come off to me like that
context: I've never seen anything like it.\W- what!? Can't you grasp the splendor of the Ultra Fighting Pose!?\It doesn't matter to me either way, I'm running out of time.\Sorry to interrupt your big entrance,\but I have to end this right now.\Oh, aren't you the confident one?\This is the first time that I, Ginyu- sama, have heard such insolence.\If you had dared to come off to me like that response:	while we were sizing each other up earlier,
context: W- what!? Can't you grasp the splendor of the Ultra Fighting Pose!?\It doesn't matter to me either way, I'm running out of time.\Sorry to interrupt your big entrance,\but I have to end this right now.\Oh, aren't you the confident one?\This is the first time that I, Ginyu- sama, have heard such insolence.\If you had dared to come off to me like that\while we were sizing each other up earlier, response:	I would not have hesitated to knock you off your perch.
