context: Granny, I've found him. response:	The person who's the most important to me.
context: Granny, I've found him.\The person who's the most important to me. response:	Granny, I'm sure that my tears, through him...
context: Granny, I've found him.\The person who's the most important to me.\Granny, I'm sure that my tears, through him... response:	What's wrong? Not turning on the lights...
context: Granny, I've found him.\The person who's the most important to me.\Granny, I'm sure that my tears, through him...\What's wrong? Not turning on the lights... response:	Onii-chan,
context: Granny, I've found him.\The person who's the most important to me.\Granny, I'm sure that my tears, through him...\What's wrong? Not turning on the lights...\Onii-chan, response:	Shinichirou told me that he likes me.
context: Granny, I've found him.\The person who's the most important to me.\Granny, I'm sure that my tears, through him...\What's wrong? Not turning on the lights...\Onii-chan,\Shinichirou told me that he likes me. response:	And he wants me to go out with him.
context: Granny, I've found him.\The person who's the most important to me.\Granny, I'm sure that my tears, through him...\What's wrong? Not turning on the lights...\Onii-chan,\Shinichirou told me that he likes me.\And he wants me to go out with him. response:	I see, isn't that great?
context: Granny, I've found him.\The person who's the most important to me.\Granny, I'm sure that my tears, through him...\What's wrong? Not turning on the lights...\Onii-chan,\Shinichirou told me that he likes me.\And he wants me to go out with him.\I see, isn't that great? response:	Right now... I want to cry.
context: The person who's the most important to me.\Granny, I'm sure that my tears, through him...\What's wrong? Not turning on the lights...\Onii-chan,\Shinichirou told me that he likes me.\And he wants me to go out with him.\I see, isn't that great?\Right now... I want to cry. response:	I wonder why that is...
context: Granny, I'm sure that my tears, through him...\What's wrong? Not turning on the lights...\Onii-chan,\Shinichirou told me that he likes me.\And he wants me to go out with him.\I see, isn't that great?\Right now... I want to cry.\I wonder why that is... response:	I'm not even sad, and yet...
context: What's wrong? Not turning on the lights...\Onii-chan,\Shinichirou told me that he likes me.\And he wants me to go out with him.\I see, isn't that great?\Right now... I want to cry.\I wonder why that is...\I'm not even sad, and yet... response:	I really, really want to cry.
context: Onii-chan,\Shinichirou told me that he likes me.\And he wants me to go out with him.\I see, isn't that great?\Right now... I want to cry.\I wonder why that is...\I'm not even sad, and yet...\I really, really want to cry. response:	It must be because I'm happy...
context: Shinichirou told me that he likes me.\And he wants me to go out with him.\I see, isn't that great?\Right now... I want to cry.\I wonder why that is...\I'm not even sad, and yet...\I really, really want to cry.\It must be because I'm happy... response:	My birthday is later,
context: And he wants me to go out with him.\I see, isn't that great?\Right now... I want to cry.\I wonder why that is...\I'm not even sad, and yet...\I really, really want to cry.\It must be because I'm happy...\My birthday is later, response:	so Shinichirou-kun is my older brother.
context: I see, isn't that great?\Right now... I want to cry.\I wonder why that is...\I'm not even sad, and yet...\I really, really want to cry.\It must be because I'm happy...\My birthday is later,\so Shinichirou-kun is my older brother. response:	I said it...
context: Right now... I want to cry.\I wonder why that is...\I'm not even sad, and yet...\I really, really want to cry.\It must be because I'm happy...\My birthday is later,\so Shinichirou-kun is my older brother.\I said it... response:	Look at me too...
context: I wonder why that is...\I'm not even sad, and yet...\I really, really want to cry.\It must be because I'm happy...\My birthday is later,\so Shinichirou-kun is my older brother.\I said it...\Look at me too... response:	Please...
context: I'm not even sad, and yet...\I really, really want to cry.\It must be because I'm happy...\My birthday is later,\so Shinichirou-kun is my older brother.\I said it...\Look at me too...\Please... response:	Shinichirou...
context: I really, really want to cry.\It must be because I'm happy...\My birthday is later,\so Shinichirou-kun is my older brother.\I said it...\Look at me too...\Please...\Shinichirou... response:	It was soft...
context: It must be because I'm happy...\My birthday is later,\so Shinichirou-kun is my older brother.\I said it...\Look at me too...\Please...\Shinichirou...\It was soft... response:	What am I doing...
context: My birthday is later,\so Shinichirou-kun is my older brother.\I said it...\Look at me too...\Please...\Shinichirou...\It was soft...\What am I doing... response:	Thank you!
context: so Shinichirou-kun is my older brother.\I said it...\Look at me too...\Please...\Shinichirou...\It was soft...\What am I doing...\Thank you! response:	Why did I smile?
context: I said it...\Look at me too...\Please...\Shinichirou...\It was soft...\What am I doing...\Thank you!\Why did I smile? response:	I'm sorry...
context: Look at me too...\Please...\Shinichirou...\It was soft...\What am I doing...\Thank you!\Why did I smile?\I'm sorry... response:	But I don't really have that kind of feelings towards Ai-chan.
context: Please...\Shinichirou...\It was soft...\What am I doing...\Thank you!\Why did I smile?\I'm sorry...\But I don't really have that kind of feelings towards Ai-chan. response:	To me you're a childhood friend, and Miyokichi's girlfriend.
context: Shinichirou...\It was soft...\What am I doing...\Thank you!\Why did I smile?\I'm sorry...\But I don't really have that kind of feelings towards Ai-chan.\To me you're a childhood friend, and Miyokichi's girlfriend. response:	I'll forget what happened just now.
