context: OP response:	ED
context: OP\ED response:	Part the First
context: OP\ED\Part the First response:	The blue moon illuminated
context: OP\ED\Part the First\The blue moon illuminated response:	your wandering shadow.
context: OP\ED\Part the First\The blue moon illuminated\your wandering shadow. response:	I could never tell you all I wanted to say.
context: OP\ED\Part the First\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say. response:	It was so very frustrating.
context: OP\ED\Part the First\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating. response:	I think about your faked smile,
context: OP\ED\Part the First\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile, response:	and forget all the hot tears we shed.
context: ED\Part the First\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed. response:	What do these empty husks,
context: Part the First\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks, response:	those empty eyes of yours, reflect, my dear?
context: The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear? response:	The transient quarter moon
context: your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon response:	hides in a rift in the clouds,
context: I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds, response:	as darkness seeps up from the ground.
context: It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground. response:	Tell me the truth, please.
context: I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground.\Tell me the truth, please. response:	Are you so despondent
