context: It really is you, Kirino! response:	Ayase...
context: It really is you, Kirino!\Ayase... response:	That's so weird!
context: It really is you, Kirino!\Ayase...\That's so weird! response:	Fancy running into you here!
context: It really is you, Kirino!\Ayase...\That's so weird!\Fancy running into you here! response:	Yeah... what a coincidence...
context: It really is you, Kirino!\Ayase...\That's so weird!\Fancy running into you here!\Yeah... what a coincidence... response:	Someone she knows?
context: It really is you, Kirino!\Ayase...\That's so weird!\Fancy running into you here!\Yeah... what a coincidence...\Someone she knows? response:	Her best friend, apparently.
context: It really is you, Kirino!\Ayase...\That's so weird!\Fancy running into you here!\Yeah... what a coincidence...\Someone she knows?\Her best friend, apparently. response:	But why are you here?
context: It really is you, Kirino!\Ayase...\That's so weird!\Fancy running into you here!\Yeah... what a coincidence...\Someone she knows?\Her best friend, apparently.\But why are you here? response:	I heard you were taking the day off from work because you were busy with the track team...
context: Ayase...\That's so weird!\Fancy running into you here!\Yeah... what a coincidence...\Someone she knows?\Her best friend, apparently.\But why are you here?\I heard you were taking the day off from work because you were busy with the track team... response:	W-Well... um...
context: That's so weird!\Fancy running into you here!\Yeah... what a coincidence...\Someone she knows?\Her best friend, apparently.\But why are you here?\I heard you were taking the day off from work because you were busy with the track team...\W-Well... um... response:	You want me to deal with this??
context: Fancy running into you here!\Yeah... what a coincidence...\Someone she knows?\Her best friend, apparently.\But why are you here?\I heard you were taking the day off from work because you were busy with the track team...\W-Well... um...\You want me to deal with this?? response:	Yo!
context: Yeah... what a coincidence...\Someone she knows?\Her best friend, apparently.\But why are you here?\I heard you were taking the day off from work because you were busy with the track team...\W-Well... um...\You want me to deal with this??\Yo! response:	Oh, it's Onii-san!
context: Someone she knows?\Her best friend, apparently.\But why are you here?\I heard you were taking the day off from work because you were busy with the track team...\W-Well... um...\You want me to deal with this??\Yo!\Oh, it's Onii-san! response:	Might you two be out on a date?
context: Her best friend, apparently.\But why are you here?\I heard you were taking the day off from work because you were busy with the track team...\W-Well... um...\You want me to deal with this??\Yo!\Oh, it's Onii-san!\Might you two be out on a date? response:	Well, something like that.
context: But why are you here?\I heard you were taking the day off from work because you were busy with the track team...\W-Well... um...\You want me to deal with this??\Yo!\Oh, it's Onii-san!\Might you two be out on a date?\Well, something like that. response:	Wait, what
