context: Everyone's ready. response:	Man, we have exams coming up,
context: Everyone's ready.\Man, we have exams coming up, response:	and these girls couldn't care less about studying.
context: Everyone's ready.\Man, we have exams coming up,\and these girls couldn't care less about studying. response:	Have you still not gotten in contact with Miku?
context: Everyone's ready.\Man, we have exams coming up,\and these girls couldn't care less about studying.\Have you still not gotten in contact with Miku? response:	The number you called...
context: Everyone's ready.\Man, we have exams coming up,\and these girls couldn't care less about studying.\Have you still not gotten in contact with Miku?\The number you called... response:	I think her phone's turned off.
context: Everyone's ready.\Man, we have exams coming up,\and these girls couldn't care less about studying.\Have you still not gotten in contact with Miku?\The number you called...\I think her phone's turned off. response:	Hang on. She told me where she went.
context: Everyone's ready.\Man, we have exams coming up,\and these girls couldn't care less about studying.\Have you still not gotten in contact with Miku?\The number you called...\I think her phone's turned off.\Hang on. She told me where she went. response:	Ichika!
context: Everyone's ready.\Man, we have exams coming up,\and these girls couldn't care less about studying.\Have you still not gotten in contact with Miku?\The number you called...\I think her phone's turned off.\Hang on. She told me where she went.\Ichika! response:	If Yotsuba can't say no, you can say no for her.
context: Man, we have exams coming up,\and these girls couldn't care less about studying.\Have you still not gotten in contact with Miku?\The number you called...\I think her phone's turned off.\Hang on. She told me where she went.\Ichika!\If Yotsuba can't say no, you can say no for her. response:	You're good at impersonating each other, are you not?
context: and these girls couldn't care less about studying.\Have you still not gotten in contact with Miku?\The number you called...\I think her phone's turned off.\Hang on. She told me where she went.\Ichika!\If Yotsuba can't say no, you can say no for her.\You're good at impersonating each other, are you not? response:	I'm not that good at it.
context: Have you still not gotten in contact with Miku?\The number you called...\I think her phone's turned off.\Hang on. She told me where she went.\Ichika!\If Yotsuba can't say no, you can say no for her.\You're good at impersonating each other, are you not?\I'm not that good at it. response:	Remember what happened when I tried to impersonate Ichika?
context: The number you called...\I think her phone's turned off.\Hang on. She told me where she went.\Ichika!\If Yotsuba can't say no, you can say no for her.\You're good at impersonating each other, are you not?\I'm not that good at it.\Remember what happened when I tried to impersonate Ichika? response:	I know.
context: I think her phone's turned off.\Hang on. She told me where she went.\Ichika!\If Yotsuba can't say no, you can say no for her.\You're good at impersonating each other, are you not?\I'm not that good at it.\Remember what happened when I tried to impersonate Ichika?\I know. response:	As soon as Miku arrives, we'll have her wear your track suit, and..
context: Hang on. She told me where she went.\Ichika!\If Yotsuba can't say no, you can say no for her.\You're good at impersonating each other, are you not?\I'm not that good at it.\Remember what happened when I tried to impersonate Ichika?\I know.\As soon as Miku arrives, we'll have her wear your track suit, and.. response:	Shoot!
context: Ichika!\If Yotsuba can't say no, you can say no for her.\You're good at impersonating each other, are you not?\I'm not that good at it.\Remember what happened when I tried to impersonate Ichika?\I know.\As soon as Miku arrives, we'll have her wear your track suit, and..\Shoot! response:	They're leaving!
context: If Yotsuba can't say no, you can say no for her.\You're good at impersonating each other, are you not?\I'm not that good at it.\Remember what happened when I tried to impersonate Ichika?\I know.\As soon as Miku arrives, we'll have her wear your track suit, and..\Shoot!\They're leaving! response:	We need to act before they get to the station!
context: You're good at impersonating each other, are you not?\I'm not that good at it.\Remember what happened when I tried to impersonate Ichika?\I know.\As soon as Miku arrives, we'll have her wear your track suit, and..\Shoot!\They're leaving!\We need to act before they get to the station! response:	But what do we do?
context: I'm not that good at it.\Remember what happened when I tried to impersonate Ichika?\I know.\As soon as Miku arrives, we'll have her wear your track suit, and..\Shoot!\They're leaving!\We need to act before they get to the station!\But what do we do? response:	Seven Goodbyes Part 3
context: Remember what happened when I tried to impersonate Ichika?\I know.\As soon as Miku arrives, we'll have her wear your track suit, and..\Shoot!\They're leaving!\We need to act before they get to the station!\But what do we do?\Seven Goodbyes Part 3 response:	I'm not going home, no matter what.
context: I know.\As soon as Miku arrives, we'll have her wear your track suit, and..\Shoot!\They're leaving!\We need to act before they get to the station!\But what do we do?\Seven Goodbyes Part 3\I'm not going home, no matter what. response:	You're going to make yourself sick with all that sugar.
context: As soon as Miku arrives, we'll have her wear your track suit, and..\Shoot!\They're leaving!\We need to act before they get to the station!\But what do we do?\Seven Goodbyes Part 3\I'm not going home, no matter what.\You're going to make yourself sick with all that sugar. response:	None of your business.
context: Shoot!\They're leaving!\We need to act before they get to the station!\But what do we do?\Seven Goodbyes Part 3\I'm not going home, no matter what.\You're going to make yourself sick with all that sugar.\None of your business. response:	You drink old lady tea. You'd never understand.
context: They're leaving!\We need to act before they get to the station!\But what do we do?\Seven Goodbyes Part 3\I'm not going home, no matter what.\You're going to make yourself sick with all that sugar.\None of your business.\You drink old lady tea. You'd never understand. response:	You're such a child, not appreciating this refined taste.
context: We need to act before they get to the station!\But what do we do?\Seven Goodbyes Part 3\I'm not going home, no matter what.\You're going to make yourself sick with all that sugar.\None of your business.\You drink old lady tea. You'd never understand.\You're such a child, not appreciating this refined taste. response:	Leave once you're done drinking that.
context: But what do we do?\Seven Goodbyes Part 3\I'm not going home, no matter what.\You're going to make yourself sick with all that sugar.\None of your business.\You drink old lady tea. You'd never understand.\You're such a child, not appreciating this refined taste.\Leave once you're done drinking that. response:	How did you even find out where my new hotel was?
context: Seven Goodbyes Part 3\I'm not going home, no matter what.\You're going to make yourself sick with all that sugar.\None of your business.\You drink old lady tea. You'd never understand.\You're such a child, not appreciating this refined taste.\Leave once you're done drinking that.\How did you even find out where my new hotel was? response:	I went to your last hotel the day before.
context: I'm not going home, no matter what.\You're going to make yourself sick with all that sugar.\None of your business.\You drink old lady tea. You'd never understand.\You're such a child, not appreciating this refined taste.\Leave once you're done drinking that.\How did you even find out where my new hotel was?\I went to your last hotel the day before. response:	I saw you stomping out.
context: You're going to make yourself sick with all that sugar.\None of your business.\You drink old lady tea. You'd never understand.\You're such a child, not appreciating this refined taste.\Leave once you're done drinking that.\How did you even find out where my new hotel was?\I went to your last hotel the day before.\I saw you stomping out. response:	What were you doing with Futaro?
context: None of your business.\You drink old lady tea. You'd never understand.\You're such a child, not appreciating this refined taste.\Leave once you're done drinking that.\How did you even find out where my new hotel was?\I went to your last hotel the day before.\I saw you stomping out.\What were you doing with Futaro? response:	If I had to describe what happened the day before yesterday in one word...
context: You drink old lady tea. You'd never understand.\You're such a child, not appreciating this refined taste.\Leave once you're done drinking that.\How did you even find out where my new hotel was?\I went to your last hotel the day before.\I saw you stomping out.\What were you doing with Futaro?\If I had to describe what happened the day before yesterday in one word... response:	Terrible.
context: You're such a child, not appreciating this refined taste.\Leave once you're done drinking that.\How did you even find out where my new hotel was?\I went to your last hotel the day before.\I saw you stomping out.\What were you doing with Futaro?\If I had to describe what happened the day before yesterday in one word...\Terrible. response:	I'm never going to forgive that bastard.
context: Leave once you're done drinking that.\How did you even find out where my new hotel was?\I went to your last hotel the day before.\I saw you stomping out.\What were you doing with Futaro?\If I had to describe what happened the day before yesterday in one word...\Terrible.\I'm never going to forgive that bastard. response:	Wh-What did he do to you?
context: How did you even find out where my new hotel was?\I went to your last hotel the day before.\I saw you stomping out.\What were you doing with Futaro?\If I had to describe what happened the day before yesterday in one word...\Terrible.\I'm never going to forgive that bastard.\Wh-What did he do to you? response:	Hear me out!
context: I went to your last hotel the day before.\I saw you stomping out.\What were you doing with Futaro?\If I had to describe what happened the day before yesterday in one word...\Terrible.\I'm never going to forgive that bastard.\Wh-What did he do to you?\Hear me out! response:	He showed up in disguise! He tricked me!
context: I saw you stomping out.\What were you doing with Futaro?\If I had to describe what happened the day before yesterday in one word...\Terrible.\I'm never going to forgive that bastard.\Wh-What did he do to you?\Hear me out!\He showed up in disguise! He tricked me! response:	Oh.
context: What were you doing with Futaro?\If I had to describe what happened the day before yesterday in one word...\Terrible.\I'm never going to forgive that bastard.\Wh-What did he do to you?\Hear me out!\He showed up in disguise! He tricked me!\Oh. response:	That's it?!
context: If I had to describe what happened the day before yesterday in one word...\Terrible.\I'm never going to forgive that bastard.\Wh-What did he do to you?\Hear me out!\He showed up in disguise! He tricked me!\Oh.\That's it?! response:	He was horrible!
context: Terrible.\I'm never going to forgive that bastard.\Wh-What did he do to you?\Hear me out!\He showed up in disguise! He tricked me!\Oh.\That's it?!\He was horrible! response:	Why aren't you making more of a reaction?!
context: I'm never going to forgive that bastard.\Wh-What did he do to you?\Hear me out!\He showed up in disguise! He tricked me!\Oh.\That's it?!\He was horrible!\Why aren't you making more of a reaction?! response:	I mean, that's something we do all the time.
context: Wh-What did he do to you?\Hear me out!\He showed up in disguise! He tricked me!\Oh.\That's it?!\He was horrible!\Why aren't you making more of a reaction?!\I mean, that's something we do all the time. response:	I mean, yeah, but...
context: Hear me out!\He showed up in disguise! He tricked me!\Oh.\That's it?!\He was horrible!\Why aren't you making more of a reaction?!\I mean, that's something we do all the time.\I mean, yeah, but... response:	That time,
context: He showed up in disguise! He tricked me!\Oh.\That's it?!\He was horrible!\Why aren't you making more of a reaction?!\I mean, that's something we do all the time.\I mean, yeah, but...\That time, response:	and that time...
context: Oh.\That's it?!\He was horrible!\Why aren't you making more of a reaction?!\I mean, that's something we do all the time.\I mean, yeah, but...\That time,\and that time... response:	It was him all along!
