context: Moscow Sheremetyevo International Airport response:	Look!
context: Moscow Sheremetyevo International Airport\Look! response:	Yakov's team is here!
context: Moscow Sheremetyevo International Airport\Look!\Yakov's team is here! response:	Meow
context: Moscow Sheremetyevo International Airport\Look!\Yakov's team is here!\Meow response:	Yuratchka!
context: Moscow Sheremetyevo International Airport\Look!\Yakov's team is here!\Meow\Yuratchka! response:	Yuri!
context: Moscow Sheremetyevo International Airport\Look!\Yakov's team is here!\Meow\Yuratchka!\Yuri! response:	Mila, watch my luggage.
context: Moscow Sheremetyevo International Airport\Look!\Yakov's team is here!\Meow\Yuratchka!\Yuri!\Mila, watch my luggage. response:	Huh?
context: Moscow Sheremetyevo International Airport\Look!\Yakov's team is here!\Meow\Yuratchka!\Yuri!\Mila, watch my luggage.\Huh? response:	Oh.
context: Look!\Yakov's team is here!\Meow\Yuratchka!\Yuri!\Mila, watch my luggage.\Huh?\Oh. response:	Coach Yakov, Yuri's disappeared.
context: Yakov's team is here!\Meow\Yuratchka!\Yuri!\Mila, watch my luggage.\Huh?\Oh.\Coach Yakov, Yuri's disappeared. response:	Oh, yeah.
context: Meow\Yuratchka!\Yuri!\Mila, watch my luggage.\Huh?\Oh.\Coach Yakov, Yuri's disappeared.\Oh, yeah. response:	His family in Moscow's coming to pick him up.
context: Yuratchka!\Yuri!\Mila, watch my luggage.\Huh?\Oh.\Coach Yakov, Yuri's disappeared.\Oh, yeah.\His family in Moscow's coming to pick him up. response:	My name is Yuri Plisetsky.
context: Yuri!\Mila, watch my luggage.\Huh?\Oh.\Coach Yakov, Yuri's disappeared.\Oh, yeah.\His family in Moscow's coming to pick him up.\My name is Yuri Plisetsky. response:	In my senior debut, I'm aiming for number one in the world.
context: Mila, watch my luggage.\Huh?\Oh.\Coach Yakov, Yuri's disappeared.\Oh, yeah.\His family in Moscow's coming to pick him up.\My name is Yuri Plisetsky.\In my senior debut, I'm aiming for number one in the world. response:	I'm the Ice Tiger of Russia.
context: Huh?\Oh.\Coach Yakov, Yuri's disappeared.\Oh, yeah.\His family in Moscow's coming to pick him up.\My name is Yuri Plisetsky.\In my senior debut, I'm aiming for number one in the world.\I'm the Ice Tiger of Russia. response:	Oh, Yuri!
context: Oh.\Coach Yakov, Yuri's disappeared.\Oh, yeah.\His family in Moscow's coming to pick him up.\My name is Yuri Plisetsky.\In my senior debut, I'm aiming for number one in the world.\I'm the Ice Tiger of Russia.\Oh, Yuri! response:	Grandpa!
context: Coach Yakov, Yuri's disappeared.\Oh, yeah.\His family in Moscow's coming to pick him up.\My name is Yuri Plisetsky.\In my senior debut, I'm aiming for number one in the world.\I'm the Ice Tiger of Russia.\Oh, Yuri!\Grandpa! response:	Crack
context: Oh, yeah.\His family in Moscow's coming to pick him up.\My name is Yuri Plisetsky.\In my senior debut, I'm aiming for number one in the world.\I'm the Ice Tiger of Russia.\Oh, Yuri!\Grandpa!\Crack response:	S-Sorry, I forgot you had a bad back.
context: His family in Moscow's coming to pick him up.\My name is Yuri Plisetsky.\In my senior debut, I'm aiming for number one in the world.\I'm the Ice Tiger of Russia.\Oh, Yuri!\Grandpa!\Crack\S-Sorry, I forgot you had a bad back. response:	Yuri, I made my usual pirozhkis for you.
context: My name is Yuri Plisetsky.\In my senior debut, I'm aiming for number one in the world.\I'm the Ice Tiger of Russia.\Oh, Yuri!\Grandpa!\Crack\S-Sorry, I forgot you had a bad back.\Yuri, I made my usual pirozhkis for you. response:	Grandpa, have you ever had a pork cutlet bowl?
context: In my senior debut, I'm aiming for number one in the world.\I'm the Ice Tiger of Russia.\Oh, Yuri!\Grandpa!\Crack\S-Sorry, I forgot you had a bad back.\Yuri, I made my usual pirozhkis for you.\Grandpa, have you ever had a pork cutlet bowl? response:	Pork cutlet bowl?
context: I'm the Ice Tiger of Russia.\Oh, Yuri!\Grandpa!\Crack\S-Sorry, I forgot you had a bad back.\Yuri, I made my usual pirozhkis for you.\Grandpa, have you ever had a pork cutlet bowl?\Pork cutlet bowl? response:	I had them back in Japan.
context: Oh, Yuri!\Grandpa!\Crack\S-Sorry, I forgot you had a bad back.\Yuri, I made my usual pirozhkis for you.\Grandpa, have you ever had a pork cutlet bowl?\Pork cutlet bowl?\I had them back in Japan. response:	They're really tasty!
context: Grandpa!\Crack\S-Sorry, I forgot you had a bad back.\Yuri, I made my usual pirozhkis for you.\Grandpa, have you ever had a pork cutlet bowl?\Pork cutlet bowl?\I had them back in Japan.\They're really tasty! response:	Are the pirozhkis not very good?
context: Crack\S-Sorry, I forgot you had a bad back.\Yuri, I made my usual pirozhkis for you.\Grandpa, have you ever had a pork cutlet bowl?\Pork cutlet bowl?\I had them back in Japan.\They're really tasty!\Are the pirozhkis not very good? response:	No, that's not what I meant.
context: S-Sorry, I forgot you had a bad back.\Yuri, I made my usual pirozhkis for you.\Grandpa, have you ever had a pork cutlet bowl?\Pork cutlet bowl?\I had them back in Japan.\They're really tasty!\Are the pirozhkis not very good?\No, that's not what I meant. response:	Our national hero, Victor Nikiforov, has returned to Russia as a coach
context: Yuri, I made my usual pirozhkis for you.\Grandpa, have you ever had a pork cutlet bowl?\Pork cutlet bowl?\I had them back in Japan.\They're really tasty!\Are the pirozhkis not very good?\No, that's not what I meant.\Our national hero, Victor Nikiforov, has returned to Russia as a coach response:	in the Figure Skating Grand Prix Series.
context: Grandpa, have you ever had a pork cutlet bowl?\Pork cutlet bowl?\I had them back in Japan.\They're really tasty!\Are the pirozhkis not very good?\No, that's not what I meant.\Our national hero, Victor Nikiforov, has returned to Russia as a coach\in the Figure Skating Grand Prix Series. response:	Eighth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Short Program
context: Pork cutlet bowl?\I had them back in Japan.\They're really tasty!\Are the pirozhkis not very good?\No, that's not what I meant.\Our national hero, Victor Nikiforov, has returned to Russia as a coach\in the Figure Skating Grand Prix Series.\Eighth Skate Yuri vs. Yuri The Horror!! Rostelecom Cup, Short Program response:	Yuri vs. Yuri.
