context: W-What?! Legion?! response:	Then the ones that attacked us are from Zentopia?
context: W-What?! Legion?!\Then the ones that attacked us are from Zentopia? response:	Yeah. I'm positive.
context: W-What?! Legion?!\Then the ones that attacked us are from Zentopia?\Yeah. I'm positive. response:	Why would Fiore's largest religious organization attack us?
context: W-What?! Legion?!\Then the ones that attacked us are from Zentopia?\Yeah. I'm positive.\Why would Fiore's largest religious organization attack us? response:	I don't know, but he said some crap about a crusade...
context: W-What?! Legion?!\Then the ones that attacked us are from Zentopia?\Yeah. I'm positive.\Why would Fiore's largest religious organization attack us?\I don't know, but he said some crap about a crusade... response:	Who gives a damn about all that?!
context: W-What?! Legion?!\Then the ones that attacked us are from Zentopia?\Yeah. I'm positive.\Why would Fiore's largest religious organization attack us?\I don't know, but he said some crap about a crusade...\Who gives a damn about all that?! response:	Lucy, I swear we'll get that memento back for you!
context: W-What?! Legion?!\Then the ones that attacked us are from Zentopia?\Yeah. I'm positive.\Why would Fiore's largest religious organization attack us?\I don't know, but he said some crap about a crusade...\Who gives a damn about all that?!\Lucy, I swear we'll get that memento back for you! response:	Yeah.
context: W-What?! Legion?!\Then the ones that attacked us are from Zentopia?\Yeah. I'm positive.\Why would Fiore's largest religious organization attack us?\I don't know, but he said some crap about a crusade...\Who gives a damn about all that?!\Lucy, I swear we'll get that memento back for you!\Yeah. response:	Don't be so glum.
context: Then the ones that attacked us are from Zentopia?\Yeah. I'm positive.\Why would Fiore's largest religious organization attack us?\I don't know, but he said some crap about a crusade...\Who gives a damn about all that?!\Lucy, I swear we'll get that memento back for you!\Yeah.\Don't be so glum. response:	You were being controlled by magic...
context: Yeah. I'm positive.\Why would Fiore's largest religious organization attack us?\I don't know, but he said some crap about a crusade...\Who gives a damn about all that?!\Lucy, I swear we'll get that memento back for you!\Yeah.\Don't be so glum.\You were being controlled by magic... response:	I'm sorry. I couldn't do anything to help...
context: Why would Fiore's largest religious organization attack us?\I don't know, but he said some crap about a crusade...\Who gives a damn about all that?!\Lucy, I swear we'll get that memento back for you!\Yeah.\Don't be so glum.\You were being controlled by magic...\I'm sorry. I couldn't do anything to help... response:	No, it's not your fault, Michelle.
