context: I'm dead. response:	I'm dead. I died.
context: I'm dead.\I'm dead. I died. response:	I'm dead. I died. I'm dead,
context: I'm dead.\I'm dead. I died.\I'm dead. I died. I'm dead, response:	I'm dead. I died. I'm dead, Dead!
context: I'm dead.\I'm dead. I died.\I'm dead. I died. I'm dead,\I'm dead. I died. I'm dead, Dead! response:	I'm dead. I died. I'm dead, Dead! Huh? How? I died?
context: I'm dead.\I'm dead. I died.\I'm dead. I died. I'm dead,\I'm dead. I died. I'm dead, Dead!\I'm dead. I died. I'm dead, Dead! Huh? How? I died? response:	They're level 40. This is impossible!
context: I'm dead.\I'm dead. I died.\I'm dead. I died. I'm dead,\I'm dead. I died. I'm dead, Dead!\I'm dead. I died. I'm dead, Dead! Huh? How? I died?\They're level 40. This is impossible! response:	They're level 40. This is impossible! They're invincible!
context: I'm dead.\I'm dead. I died.\I'm dead. I died. I'm dead,\I'm dead. I died. I'm dead, Dead!\I'm dead. I died. I'm dead, Dead! Huh? How? I died?\They're level 40. This is impossible!\They're level 40. This is impossible! They're invincible! response:	What are they, monsters?
context: I'm dead.\I'm dead. I died.\I'm dead. I died. I'm dead,\I'm dead. I died. I'm dead, Dead!\I'm dead. I died. I'm dead, Dead! Huh? How? I died?\They're level 40. This is impossible!\They're level 40. This is impossible! They're invincible!\What are they, monsters? response:	What are they, monsters? So strong for such a low level,
context: I'm dead. I died.\I'm dead. I died. I'm dead,\I'm dead. I died. I'm dead, Dead!\I'm dead. I died. I'm dead, Dead! Huh? How? I died?\They're level 40. This is impossible!\They're level 40. This is impossible! They're invincible!\What are they, monsters?\What are they, monsters? So strong for such a low level, response:	So strong for such a low level, How many just died?
context: I'm dead. I died. I'm dead,\I'm dead. I died. I'm dead, Dead!\I'm dead. I died. I'm dead, Dead! Huh? How? I died?\They're level 40. This is impossible!\They're level 40. This is impossible! They're invincible!\What are they, monsters?\What are they, monsters? So strong for such a low level,\So strong for such a low level, How many just died? response:	So strong for such a low level, How many just died? A low-level spell took out 40 or 50 of us!
context: I'm dead. I died. I'm dead, Dead!\I'm dead. I died. I'm dead, Dead! Huh? How? I died?\They're level 40. This is impossible!\They're level 40. This is impossible! They're invincible!\What are they, monsters?\What are they, monsters? So strong for such a low level,\So strong for such a low level, How many just died?\So strong for such a low level, How many just died? A low-level spell took out 40 or 50 of us! response:	How many just died? A low-level spell took out 40 or 50 of us! Are these the legendary...?!
context: I'm dead. I died. I'm dead, Dead! Huh? How? I died?\They're level 40. This is impossible!\They're level 40. This is impossible! They're invincible!\What are they, monsters?\What are they, monsters? So strong for such a low level,\So strong for such a low level, How many just died?\So strong for such a low level, How many just died? A low-level spell took out 40 or 50 of us!\How many just died? A low-level spell took out 40 or 50 of us! Are these the legendary...?! response:	Are these the legendary...?! Is this gonna end with all of us dying?
context: They're level 40. This is impossible!\They're level 40. This is impossible! They're invincible!\What are they, monsters?\What are they, monsters? So strong for such a low level,\So strong for such a low level, How many just died?\So strong for such a low level, How many just died? A low-level spell took out 40 or 50 of us!\How many just died? A low-level spell took out 40 or 50 of us! Are these the legendary...?!\Are these the legendary...?! Is this gonna end with all of us dying? response:	Is this gonna end with all of us dying? No, there's still hope.
context: They're level 40. This is impossible! They're invincible!\What are they, monsters?\What are they, monsters? So strong for such a low level,\So strong for such a low level, How many just died?\So strong for such a low level, How many just died? A low-level spell took out 40 or 50 of us!\How many just died? A low-level spell took out 40 or 50 of us! Are these the legendary...?!\Are these the legendary...?! Is this gonna end with all of us dying?\Is this gonna end with all of us dying? No, there's still hope. response:	Is this gonna end with all of us dying? No, there's still hope. There's one person left.
context: What are they, monsters?\What are they, monsters? So strong for such a low level,\So strong for such a low level, How many just died?\So strong for such a low level, How many just died? A low-level spell took out 40 or 50 of us!\How many just died? A low-level spell took out 40 or 50 of us! Are these the legendary...?!\Are these the legendary...?! Is this gonna end with all of us dying?\Is this gonna end with all of us dying? No, there's still hope.\Is this gonna end with all of us dying? No, there's still hope. There's one person left. response:	There's one person left....Who?
