context: Here we come! response:	It's the start of Inuyasha!
context: Here we come!\It's the start of Inuyasha! response:	We're going to gatherall the shards of the Sacred Jewel...
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel... response:	and I'll destroy Naraku with my Tetsusaiga!
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga! response:	The land of herancestors was destroyed
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\The land of herancestors was destroyed response:	and heryounger brother, Kohaku, has fallen into Naraku's hands.
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\The land of herancestors was destroyed\and heryounger brother, Kohaku, has fallen into Naraku's hands. response:	But Sango has a cute, dependable friend, Kirara, who's always by her side.
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\The land of herancestors was destroyed\and heryounger brother, Kohaku, has fallen into Naraku's hands.\But Sango has a cute, dependable friend, Kirara, who's always by her side. response:	Miroku, Sango, Shippo and Kirara...
context: Here we come!\It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\The land of herancestors was destroyed\and heryounger brother, Kohaku, has fallen into Naraku's hands.\But Sango has a cute, dependable friend, Kirara, who's always by her side.\Miroku, Sango, Shippo and Kirara... response:	travel back in time!
context: It's the start of Inuyasha!\We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\The land of herancestors was destroyed\and heryounger brother, Kohaku, has fallen into Naraku's hands.\But Sango has a cute, dependable friend, Kirara, who's always by her side.\Miroku, Sango, Shippo and Kirara...\travel back in time! response:	To a Feudal Fairytale!
context: We're going to gatherall the shards of the Sacred Jewel...\and I'll destroy Naraku with my Tetsusaiga!\The land of herancestors was destroyed\and heryounger brother, Kohaku, has fallen into Naraku's hands.\But Sango has a cute, dependable friend, Kirara, who's always by her side.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale! response:	Inuyasha!
context: and I'll destroy Naraku with my Tetsusaiga!\The land of herancestors was destroyed\and heryounger brother, Kohaku, has fallen into Naraku's hands.\But Sango has a cute, dependable friend, Kirara, who's always by her side.\Miroku, Sango, Shippo and Kirara...\travel back in time!\To a Feudal Fairytale!\Inuyasha! response:	Ourfriend Kirara is a feline demon with two tails!
