context: You're alive, Ichika. response:	I knew the whole time.
context: You're alive, Ichika.\I knew the whole time. response:	Are you okay?
context: You're alive, Ichika.\I knew the whole time.\Are you okay? response:	You're not hurt, are you?
context: You're alive, Ichika.\I knew the whole time.\Are you okay?\You're not hurt, are you? response:	I'm not hurt.
context: You're alive, Ichika.\I knew the whole time.\Are you okay?\You're not hurt, are you?\I'm not hurt. response:	Why are you here?
context: You're alive, Ichika.\I knew the whole time.\Are you okay?\You're not hurt, are you?\I'm not hurt.\Why are you here? response:	Did you come to see me
context: You're alive, Ichika.\I knew the whole time.\Are you okay?\You're not hurt, are you?\I'm not hurt.\Why are you here?\Did you come to see me response:	I was looking for you!
context: You're alive, Ichika.\I knew the whole time.\Are you okay?\You're not hurt, are you?\I'm not hurt.\Why are you here?\Did you come to see me\I was looking for you! response:	Do you know how worried we were after you went missing?
context: I knew the whole time.\Are you okay?\You're not hurt, are you?\I'm not hurt.\Why are you here?\Did you come to see me\I was looking for you!\Do you know how worried we were after you went missing? response:	Missing?
context: Are you okay?\You're not hurt, are you?\I'm not hurt.\Why are you here?\Did you come to see me\I was looking for you!\Do you know how worried we were after you went missing?\Missing? response:	How am I...?
context: You're not hurt, are you?\I'm not hurt.\Why are you here?\Did you come to see me\I was looking for you!\Do you know how worried we were after you went missing?\Missing?\How am I...? response:	You sent out a distress signal, didn't you?
context: I'm not hurt.\Why are you here?\Did you come to see me\I was looking for you!\Do you know how worried we were after you went missing?\Missing?\How am I...?\You sent out a distress signal, didn't you? response:	Huh?
context: Why are you here?\Did you come to see me\I was looking for you!\Do you know how worried we were after you went missing?\Missing?\How am I...?\You sent out a distress signal, didn't you?\Huh? response:	Th-That was an accident.
context: Did you come to see me\I was looking for you!\Do you know how worried we were after you went missing?\Missing?\How am I...?\You sent out a distress signal, didn't you?\Huh?\Th-That was an accident. response:	Then why was the signal lost from the unmanned pod...
context: I was looking for you!\Do you know how worried we were after you went missing?\Missing?\How am I...?\You sent out a distress signal, didn't you?\Huh?\Th-That was an accident.\Then why was the signal lost from the unmanned pod... response:	S-Some things kind of happened...
context: Do you know how worried we were after you went missing?\Missing?\How am I...?\You sent out a distress signal, didn't you?\Huh?\Th-That was an accident.\Then why was the signal lost from the unmanned pod...\S-Some things kind of happened... response:	Uh, that was me.
context: Missing?\How am I...?\You sent out a distress signal, didn't you?\Huh?\Th-That was an accident.\Then why was the signal lost from the unmanned pod...\S-Some things kind of happened...\Uh, that was me. response:	I thought Senpai... I mean, Ichika-san, was in danger...
context: How am I...?\You sent out a distress signal, didn't you?\Huh?\Th-That was an accident.\Then why was the signal lost from the unmanned pod...\S-Some things kind of happened...\Uh, that was me.\I thought Senpai... I mean, Ichika-san, was in danger... response:	So I...
context: You sent out a distress signal, didn't you?\Huh?\Th-That was an accident.\Then why was the signal lost from the unmanned pod...\S-Some things kind of happened...\Uh, that was me.\I thought Senpai... I mean, Ichika-san, was in danger...\So I... response:	Who are you?
context: Huh?\Th-That was an accident.\Then why was the signal lost from the unmanned pod...\S-Some things kind of happened...\Uh, that was me.\I thought Senpai... I mean, Ichika-san, was in danger...\So I...\Who are you? response:	I'll introduce him to you.
context: Th-That was an accident.\Then why was the signal lost from the unmanned pod...\S-Some things kind of happened...\Uh, that was me.\I thought Senpai... I mean, Ichika-san, was in danger...\So I...\Who are you?\I'll introduce him to you. response:	This is Kaito Kirishima-kun.
context: Then why was the signal lost from the unmanned pod...\S-Some things kind of happened...\Uh, that was me.\I thought Senpai... I mean, Ichika-san, was in danger...\So I...\Who are you?\I'll introduce him to you.\This is Kaito Kirishima-kun. response:	He's my, um...
context: S-Some things kind of happened...\Uh, that was me.\I thought Senpai... I mean, Ichika-san, was in danger...\So I...\Who are you?\I'll introduce him to you.\This is Kaito Kirishima-kun.\He's my, um... response:	Boyfriend... kinda...
context: Uh, that was me.\I thought Senpai... I mean, Ichika-san, was in danger...\So I...\Who are you?\I'll introduce him to you.\This is Kaito Kirishima-kun.\He's my, um...\Boyfriend... kinda... response:	N-Nice to meet you.
context: I thought Senpai... I mean, Ichika-san, was in danger...\So I...\Who are you?\I'll introduce him to you.\This is Kaito Kirishima-kun.\He's my, um...\Boyfriend... kinda...\N-Nice to meet you. response:	Wh-Wha...
context: So I...\Who are you?\I'll introduce him to you.\This is Kaito Kirishima-kun.\He's my, um...\Boyfriend... kinda...\N-Nice to meet you.\Wh-Wha... response:	What were you thinking, Ichika?!
context: Who are you?\I'll introduce him to you.\This is Kaito Kirishima-kun.\He's my, um...\Boyfriend... kinda...\N-Nice to meet you.\Wh-Wha...\What were you thinking, Ichika?! response:	U-Um...
context: I'll introduce him to you.\This is Kaito Kirishima-kun.\He's my, um...\Boyfriend... kinda...\N-Nice to meet you.\Wh-Wha...\What were you thinking, Ichika?!\U-Um... response:	Not only are you interacting with the locals,
context: This is Kaito Kirishima-kun.\He's my, um...\Boyfriend... kinda...\N-Nice to meet you.\Wh-Wha...\What were you thinking, Ichika?!\U-Um...\Not only are you interacting with the locals, response:	but now you've got a boyfriend?! What the hell?!
context: He's my, um...\Boyfriend... kinda...\N-Nice to meet you.\Wh-Wha...\What were you thinking, Ichika?!\U-Um...\Not only are you interacting with the locals,\but now you've got a boyfriend?! What the hell?! response:	You know Federation law, right?
context: Boyfriend... kinda...\N-Nice to meet you.\Wh-Wha...\What were you thinking, Ichika?!\U-Um...\Not only are you interacting with the locals,\but now you've got a boyfriend?! What the hell?!\You know Federation law, right? response:	That hurts...
context: N-Nice to meet you.\Wh-Wha...\What were you thinking, Ichika?!\U-Um...\Not only are you interacting with the locals,\but now you've got a boyfriend?! What the hell?!\You know Federation law, right?\That hurts... response:	You know what it says, right?
context: Wh-Wha...\What were you thinking, Ichika?!\U-Um...\Not only are you interacting with the locals,\but now you've got a boyfriend?! What the hell?!\You know Federation law, right?\That hurts...\You know what it says, right? response:	You're interacting with Kaito-kun, too...
context: What were you thinking, Ichika?!\U-Um...\Not only are you interacting with the locals,\but now you've got a boyfriend?! What the hell?!\You know Federation law, right?\That hurts...\You know what it says, right?\You're interacting with Kaito-kun, too... response:	I came here to save you!
