context: Fight! response:	Heroes are Born
context: Fight!\Heroes are Born response:	Team Rabbits of the MJP,
context: Fight!\Heroes are Born\Team Rabbits of the MJP, response:	in recognition of your remarkable feat at Undina Base,
context: Fight!\Heroes are Born\Team Rabbits of the MJP,\in recognition of your remarkable feat at Undina Base, response:	we award you the Level-3 Order of Merit Medal.
context: Fight!\Heroes are Born\Team Rabbits of the MJP,\in recognition of your remarkable feat at Undina Base,\we award you the Level-3 Order of Merit Medal. response:	The acting head of the Pacific Rim-India Alliance presented
context: Fight!\Heroes are Born\Team Rabbits of the MJP,\in recognition of your remarkable feat at Undina Base,\we award you the Level-3 Order of Merit Medal.\The acting head of the Pacific Rim-India Alliance presented response:	medals to members of the MJP.
context: Fight!\Heroes are Born\Team Rabbits of the MJP,\in recognition of your remarkable feat at Undina Base,\we award you the Level-3 Order of Merit Medal.\The acting head of the Pacific Rim-India Alliance presented\medals to members of the MJP. response:	They earned that?!
context: Fight!\Heroes are Born\Team Rabbits of the MJP,\in recognition of your remarkable feat at Undina Base,\we award you the Level-3 Order of Merit Medal.\The acting head of the Pacific Rim-India Alliance presented\medals to members of the MJP.\They earned that?! response:	For real?
context: Heroes are Born\Team Rabbits of the MJP,\in recognition of your remarkable feat at Undina Base,\we award you the Level-3 Order of Merit Medal.\The acting head of the Pacific Rim-India Alliance presented\medals to members of the MJP.\They earned that?!\For real? response:	The young heroes obtained our
context: Team Rabbits of the MJP,\in recognition of your remarkable feat at Undina Base,\we award you the Level-3 Order of Merit Medal.\The acting head of the Pacific Rim-India Alliance presented\medals to members of the MJP.\They earned that?!\For real?\The young heroes obtained our response:	first major victory since the
context: in recognition of your remarkable feat at Undina Base,\we award you the Level-3 Order of Merit Medal.\The acting head of the Pacific Rim-India Alliance presented\medals to members of the MJP.\They earned that?!\For real?\The young heroes obtained our\first major victory since the response:	Global Defense Force began fighting the Wulgaru.
context: we award you the Level-3 Order of Merit Medal.\The acting head of the Pacific Rim-India Alliance presented\medals to members of the MJP.\They earned that?!\For real?\The young heroes obtained our\first major victory since the\Global Defense Force began fighting the Wulgaru. response:	It was their first time in actual combat.
context: The acting head of the Pacific Rim-India Alliance presented\medals to members of the MJP.\They earned that?!\For real?\The young heroes obtained our\first major victory since the\Global Defense Force began fighting the Wulgaru.\It was their first time in actual combat. response:	They defended Undina Base, which we were going to
context: medals to members of the MJP.\They earned that?!\For real?\The young heroes obtained our\first major victory since the\Global Defense Force began fighting the Wulgaru.\It was their first time in actual combat.\They defended Undina Base, which we were going to response:	abandon, and forced the elite Wulgaru fleet to retreat.
context: They earned that?!\For real?\The young heroes obtained our\first major victory since the\Global Defense Force began fighting the Wulgaru.\It was their first time in actual combat.\They defended Undina Base, which we were going to\abandon, and forced the elite Wulgaru fleet to retreat. response:	Dang, I'm glad we established the MJP.
context: For real?\The young heroes obtained our\first major victory since the\Global Defense Force began fighting the Wulgaru.\It was their first time in actual combat.\They defended Undina Base, which we were going to\abandon, and forced the elite Wulgaru fleet to retreat.\Dang, I'm glad we established the MJP. response:	As a member of
context: The young heroes obtained our\first major victory since the\Global Defense Force began fighting the Wulgaru.\It was their first time in actual combat.\They defended Undina Base, which we were going to\abandon, and forced the elite Wulgaru fleet to retreat.\Dang, I'm glad we established the MJP.\As a member of response:	the Pacific Rim-India Alliance, I'm proud we did, Commander Simon.
context: first major victory since the\Global Defense Force began fighting the Wulgaru.\It was their first time in actual combat.\They defended Undina Base, which we were going to\abandon, and forced the elite Wulgaru fleet to retreat.\Dang, I'm glad we established the MJP.\As a member of\the Pacific Rim-India Alliance, I'm proud we did, Commander Simon. response:	At any rate, this organization is finally beginning to bear fruit.
context: Global Defense Force began fighting the Wulgaru.\It was their first time in actual combat.\They defended Undina Base, which we were going to\abandon, and forced the elite Wulgaru fleet to retreat.\Dang, I'm glad we established the MJP.\As a member of\the Pacific Rim-India Alliance, I'm proud we did, Commander Simon.\At any rate, this organization is finally beginning to bear fruit. response:	It's hard to believe we've been
context: It was their first time in actual combat.\They defended Undina Base, which we were going to\abandon, and forced the elite Wulgaru fleet to retreat.\Dang, I'm glad we established the MJP.\As a member of\the Pacific Rim-India Alliance, I'm proud we did, Commander Simon.\At any rate, this organization is finally beginning to bear fruit.\It's hard to believe we've been response:	fighting in space development equipment thus far.
context: They defended Undina Base, which we were going to\abandon, and forced the elite Wulgaru fleet to retreat.\Dang, I'm glad we established the MJP.\As a member of\the Pacific Rim-India Alliance, I'm proud we did, Commander Simon.\At any rate, this organization is finally beginning to bear fruit.\It's hard to believe we've been\fighting in space development equipment thus far. response:	I'm not sure I'd say it is bearing fruit after one victory,
context: abandon, and forced the elite Wulgaru fleet to retreat.\Dang, I'm glad we established the MJP.\As a member of\the Pacific Rim-India Alliance, I'm proud we did, Commander Simon.\At any rate, this organization is finally beginning to bear fruit.\It's hard to believe we've been\fighting in space development equipment thus far.\I'm not sure I'd say it is bearing fruit after one victory, response:	let alone one that was a fluke.
context: Dang, I'm glad we established the MJP.\As a member of\the Pacific Rim-India Alliance, I'm proud we did, Commander Simon.\At any rate, this organization is finally beginning to bear fruit.\It's hard to believe we've been\fighting in space development equipment thus far.\I'm not sure I'd say it is bearing fruit after one victory,\let alone one that was a fluke. response:	It's too soon to tell if it's worth the expense.
context: As a member of\the Pacific Rim-India Alliance, I'm proud we did, Commander Simon.\At any rate, this organization is finally beginning to bear fruit.\It's hard to believe we've been\fighting in space development equipment thus far.\I'm not sure I'd say it is bearing fruit after one victory,\let alone one that was a fluke.\It's too soon to tell if it's worth the expense. response:	Indeed.
context: the Pacific Rim-India Alliance, I'm proud we did, Commander Simon.\At any rate, this organization is finally beginning to bear fruit.\It's hard to believe we've been\fighting in space development equipment thus far.\I'm not sure I'd say it is bearing fruit after one victory,\let alone one that was a fluke.\It's too soon to tell if it's worth the expense.\Indeed. response:	The MJP needed a massive budget to create children who can fight.
context: At any rate, this organization is finally beginning to bear fruit.\It's hard to believe we've been\fighting in space development equipment thus far.\I'm not sure I'd say it is bearing fruit after one victory,\let alone one that was a fluke.\It's too soon to tell if it's worth the expense.\Indeed.\The MJP needed a massive budget to create children who can fight. response:	Created to fight, these children were stripped
context: It's hard to believe we've been\fighting in space development equipment thus far.\I'm not sure I'd say it is bearing fruit after one victory,\let alone one that was a fluke.\It's too soon to tell if it's worth the expense.\Indeed.\The MJP needed a massive budget to create children who can fight.\Created to fight, these children were stripped response:	of their lives the moment they were born.
context: fighting in space development equipment thus far.\I'm not sure I'd say it is bearing fruit after one victory,\let alone one that was a fluke.\It's too soon to tell if it's worth the expense.\Indeed.\The MJP needed a massive budget to create children who can fight.\Created to fight, these children were stripped\of their lives the moment they were born. response:	I find it lamentable.
context: I'm not sure I'd say it is bearing fruit after one victory,\let alone one that was a fluke.\It's too soon to tell if it's worth the expense.\Indeed.\The MJP needed a massive budget to create children who can fight.\Created to fight, these children were stripped\of their lives the moment they were born.\I find it lamentable. response:	Intelligence Strategist Amane!
context: let alone one that was a fluke.\It's too soon to tell if it's worth the expense.\Indeed.\The MJP needed a massive budget to create children who can fight.\Created to fight, these children were stripped\of their lives the moment they were born.\I find it lamentable.\Intelligence Strategist Amane! response:	The MJP was a project created to adapt humans to life in outer space,
context: It's too soon to tell if it's worth the expense.\Indeed.\The MJP needed a massive budget to create children who can fight.\Created to fight, these children were stripped\of their lives the moment they were born.\I find it lamentable.\Intelligence Strategist Amane!\The MJP was a project created to adapt humans to life in outer space, response:	not to pump out soldiers with no purpose but to fight.
context: Indeed.\The MJP needed a massive budget to create children who can fight.\Created to fight, these children were stripped\of their lives the moment they were born.\I find it lamentable.\Intelligence Strategist Amane!\The MJP was a project created to adapt humans to life in outer space,\not to pump out soldiers with no purpose but to fight. response:	Lt. Amane, refrain from making such thoughtless remarks.
context: The MJP needed a massive budget to create children who can fight.\Created to fight, these children were stripped\of their lives the moment they were born.\I find it lamentable.\Intelligence Strategist Amane!\The MJP was a project created to adapt humans to life in outer space,\not to pump out soldiers with no purpose but to fight.\Lt. Amane, refrain from making such thoughtless remarks. response:	The MJP is currently the center of attention. It could create misconceptions.
context: Created to fight, these children were stripped\of their lives the moment they were born.\I find it lamentable.\Intelligence Strategist Amane!\The MJP was a project created to adapt humans to life in outer space,\not to pump out soldiers with no purpose but to fight.\Lt. Amane, refrain from making such thoughtless remarks.\The MJP is currently the center of attention. It could create misconceptions. response:	Very well.
context: of their lives the moment they were born.\I find it lamentable.\Intelligence Strategist Amane!\The MJP was a project created to adapt humans to life in outer space,\not to pump out soldiers with no purpose but to fight.\Lt. Amane, refrain from making such thoughtless remarks.\The MJP is currently the center of attention. It could create misconceptions.\Very well. response:	I'll tell the commander about the press conference.
context: I find it lamentable.\Intelligence Strategist Amane!\The MJP was a project created to adapt humans to life in outer space,\not to pump out soldiers with no purpose but to fight.\Lt. Amane, refrain from making such thoughtless remarks.\The MJP is currently the center of attention. It could create misconceptions.\Very well.\I'll tell the commander about the press conference. response:	I am terribly sorry, but we're swamped with requests for interviews.
context: Intelligence Strategist Amane!\The MJP was a project created to adapt humans to life in outer space,\not to pump out soldiers with no purpose but to fight.\Lt. Amane, refrain from making such thoughtless remarks.\The MJP is currently the center of attention. It could create misconceptions.\Very well.\I'll tell the commander about the press conference.\I am terribly sorry, but we're swamped with requests for interviews. response:	I hate to say it, but we cannot give you one anytime soon.
context: The MJP was a project created to adapt humans to life in outer space,\not to pump out soldiers with no purpose but to fight.\Lt. Amane, refrain from making such thoughtless remarks.\The MJP is currently the center of attention. It could create misconceptions.\Very well.\I'll tell the commander about the press conference.\I am terribly sorry, but we're swamped with requests for interviews.\I hate to say it, but we cannot give you one anytime soon. response:	I bet they're hounding Undina Base as well!
context: not to pump out soldiers with no purpose but to fight.\Lt. Amane, refrain from making such thoughtless remarks.\The MJP is currently the center of attention. It could create misconceptions.\Very well.\I'll tell the commander about the press conference.\I am terribly sorry, but we're swamped with requests for interviews.\I hate to say it, but we cannot give you one anytime soon.\I bet they're hounding Undina Base as well! response:	Now then, please present your questions one at a time.
context: Lt. Amane, refrain from making such thoughtless remarks.\The MJP is currently the center of attention. It could create misconceptions.\Very well.\I'll tell the commander about the press conference.\I am terribly sorry, but we're swamped with requests for interviews.\I hate to say it, but we cannot give you one anytime soon.\I bet they're hounding Undina Base as well!\Now then, please present your questions one at a time. response:	Uh, I'd like to go first.
