context: And now, news about the incident at True Cross Academy. response:	The students who were taken hostage were all rescued uninjured, but the culprit escaped.
context: And now, news about the incident at True Cross Academy.\The students who were taken hostage were all rescued uninjured, but the culprit escaped. response:	The Order of the True Cross is conducting a search within a 10 km radius, but so far without success.
context: And now, news about the incident at True Cross Academy.\The students who were taken hostage were all rescued uninjured, but the culprit escaped.\The Order of the True Cross is conducting a search within a 10 km radius, but so far without success. response:	Shiemi! Please infuse the valeriana.
context: And now, news about the incident at True Cross Academy.\The students who were taken hostage were all rescued uninjured, but the culprit escaped.\The Order of the True Cross is conducting a search within a 10 km radius, but so far without success.\Shiemi! Please infuse the valeriana. response:	Okay...
context: And now, news about the incident at True Cross Academy.\The students who were taken hostage were all rescued uninjured, but the culprit escaped.\The Order of the True Cross is conducting a search within a 10 km radius, but so far without success.\Shiemi! Please infuse the valeriana.\Okay... response:	I wonder if they're all right at the Academy?
context: And now, news about the incident at True Cross Academy.\The students who were taken hostage were all rescued uninjured, but the culprit escaped.\The Order of the True Cross is conducting a search within a 10 km radius, but so far without success.\Shiemi! Please infuse the valeriana.\Okay...\I wonder if they're all right at the Academy? response:	Oh my!
context: And now, news about the incident at True Cross Academy.\The students who were taken hostage were all rescued uninjured, but the culprit escaped.\The Order of the True Cross is conducting a search within a 10 km radius, but so far without success.\Shiemi! Please infuse the valeriana.\Okay...\I wonder if they're all right at the Academy?\Oh my! response:	Are you all right?
context: And now, news about the incident at True Cross Academy.\The students who were taken hostage were all rescued uninjured, but the culprit escaped.\The Order of the True Cross is conducting a search within a 10 km radius, but so far without success.\Shiemi! Please infuse the valeriana.\Okay...\I wonder if they're all right at the Academy?\Oh my!\Are you all right? response:	You have terrible wounds! They must be treated right away!
context: The students who were taken hostage were all rescued uninjured, but the culprit escaped.\The Order of the True Cross is conducting a search within a 10 km radius, but so far without success.\Shiemi! Please infuse the valeriana.\Okay...\I wonder if they're all right at the Academy?\Oh my!\Are you all right?\You have terrible wounds! They must be treated right away! response:	I can't move her! What should I do?
context: The Order of the True Cross is conducting a search within a 10 km radius, but so far without success.\Shiemi! Please infuse the valeriana.\Okay...\I wonder if they're all right at the Academy?\Oh my!\Are you all right?\You have terrible wounds! They must be treated right away!\I can't move her! What should I do? response:	Ni?
context: Shiemi! Please infuse the valeriana.\Okay...\I wonder if they're all right at the Academy?\Oh my!\Are you all right?\You have terrible wounds! They must be treated right away!\I can't move her! What should I do?\Ni? response:	You're going to help me?
context: Okay...\I wonder if they're all right at the Academy?\Oh my!\Are you all right?\You have terrible wounds! They must be treated right away!\I can't move her! What should I do?\Ni?\You're going to help me? response:	What's wrong? Take a seat.
context: I wonder if they're all right at the Academy?\Oh my!\Are you all right?\You have terrible wounds! They must be treated right away!\I can't move her! What should I do?\Ni?\You're going to help me?\What's wrong? Take a seat. response:	They say that boys take after their mothers, and you really resemble Yuri a lot.
context: Oh my!\Are you all right?\You have terrible wounds! They must be treated right away!\I can't move her! What should I do?\Ni?\You're going to help me?\What's wrong? Take a seat.\They say that boys take after their mothers, and you really resemble Yuri a lot. response:	Yuri?
context: Are you all right?\You have terrible wounds! They must be treated right away!\I can't move her! What should I do?\Ni?\You're going to help me?\What's wrong? Take a seat.\They say that boys take after their mothers, and you really resemble Yuri a lot.\Yuri? response:	Didn't Fujimoto tell you?
context: You have terrible wounds! They must be treated right away!\I can't move her! What should I do?\Ni?\You're going to help me?\What's wrong? Take a seat.\They say that boys take after their mothers, and you really resemble Yuri a lot.\Yuri?\Didn't Fujimoto tell you? response:	No, nothing.
context: I can't move her! What should I do?\Ni?\You're going to help me?\What's wrong? Take a seat.\They say that boys take after their mothers, and you really resemble Yuri a lot.\Yuri?\Didn't Fujimoto tell you?\No, nothing. response:	I see.
context: Ni?\You're going to help me?\What's wrong? Take a seat.\They say that boys take after their mothers, and you really resemble Yuri a lot.\Yuri?\Didn't Fujimoto tell you?\No, nothing.\I see. response:	That's the only photo of Yuri I have left.
context: You're going to help me?\What's wrong? Take a seat.\They say that boys take after their mothers, and you really resemble Yuri a lot.\Yuri?\Didn't Fujimoto tell you?\No, nothing.\I see.\That's the only photo of Yuri I have left. response:	Fujimoto named Sir Pheles your guardian,
context: What's wrong? Take a seat.\They say that boys take after their mothers, and you really resemble Yuri a lot.\Yuri?\Didn't Fujimoto tell you?\No, nothing.\I see.\That's the only photo of Yuri I have left.\Fujimoto named Sir Pheles your guardian, response:	but Sir Pheles has been arrested by the Order of the True Cross.
context: They say that boys take after their mothers, and you really resemble Yuri a lot.\Yuri?\Didn't Fujimoto tell you?\No, nothing.\I see.\That's the only photo of Yuri I have left.\Fujimoto named Sir Pheles your guardian,\but Sir Pheles has been arrested by the Order of the True Cross. response:	That's why I decided to take you in as your grandfather.
context: Yuri?\Didn't Fujimoto tell you?\No, nothing.\I see.\That's the only photo of Yuri I have left.\Fujimoto named Sir Pheles your guardian,\but Sir Pheles has been arrested by the Order of the True Cross.\That's why I decided to take you in as your grandfather. response:	In kindergarten, we had to draw portraits on Mother's Day.
context: Didn't Fujimoto tell you?\No, nothing.\I see.\That's the only photo of Yuri I have left.\Fujimoto named Sir Pheles your guardian,\but Sir Pheles has been arrested by the Order of the True Cross.\That's why I decided to take you in as your grandfather.\In kindergarten, we had to draw portraits on Mother's Day. response:	Rin drew it from imagination, but I couldn't draw anything.
context: No, nothing.\I see.\That's the only photo of Yuri I have left.\Fujimoto named Sir Pheles your guardian,\but Sir Pheles has been arrested by the Order of the True Cross.\That's why I decided to take you in as your grandfather.\In kindergarten, we had to draw portraits on Mother's Day.\Rin drew it from imagination, but I couldn't draw anything. response:	Now I'm feeling just like back then.
