context: What was that? response:	Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca?
context: What was that?\Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca? response:	If we recognized a Lord who expanded his territories after claiming to be with the Union,
context: What was that?\Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca?\If we recognized a Lord who expanded his territories after claiming to be with the Union, response:	we'd have little hope of suppressing a surge of like-minded Lords
context: What was that?\Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca?\If we recognized a Lord who expanded his territories after claiming to be with the Union,\we'd have little hope of suppressing a surge of like-minded Lords response:	If I act on your advice, I will have no choice but to attack Theo Cornaro.
context: What was that?\Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca?\If we recognized a Lord who expanded his territories after claiming to be with the Union,\we'd have little hope of suppressing a surge of like-minded Lords\If I act on your advice, I will have no choice but to attack Theo Cornaro. response:	Your adopted daughter will surely share a fate with her Lord.
context: What was that?\Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca?\If we recognized a Lord who expanded his territories after claiming to be with the Union,\we'd have little hope of suppressing a surge of like-minded Lords\If I act on your advice, I will have no choice but to attack Theo Cornaro.\Your adopted daughter will surely share a fate with her Lord. response:	You're sure of this?
context: What was that?\Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca?\If we recognized a Lord who expanded his territories after claiming to be with the Union,\we'd have little hope of suppressing a surge of like-minded Lords\If I act on your advice, I will have no choice but to attack Theo Cornaro.\Your adopted daughter will surely share a fate with her Lord.\You're sure of this? response:	I am prepared for that.
context: What was that?\Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca?\If we recognized a Lord who expanded his territories after claiming to be with the Union,\we'd have little hope of suppressing a surge of like-minded Lords\If I act on your advice, I will have no choice but to attack Theo Cornaro.\Your adopted daughter will surely share a fate with her Lord.\You're sure of this?\I am prepared for that. response:	Our decision is as follows.
context: Wouldn't it be in the Alliance's best interests to ally ourselves with that mage Siluca?\If we recognized a Lord who expanded his territories after claiming to be with the Union,\we'd have little hope of suppressing a surge of like-minded Lords\If I act on your advice, I will have no choice but to attack Theo Cornaro.\Your adopted daughter will surely share a fate with her Lord.\You're sure of this?\I am prepared for that.\Our decision is as follows. response:	Theo Cornaro's request to pledge allegiance, as well as to join the Alliance...
context: If we recognized a Lord who expanded his territories after claiming to be with the Union,\we'd have little hope of suppressing a surge of like-minded Lords\If I act on your advice, I will have no choice but to attack Theo Cornaro.\Your adopted daughter will surely share a fate with her Lord.\You're sure of this?\I am prepared for that.\Our decision is as follows.\Theo Cornaro's request to pledge allegiance, as well as to join the Alliance... response:	I advise that he forfeit his territories and court rank, and quickly depart from Savis.
context: we'd have little hope of suppressing a surge of like-minded Lords\If I act on your advice, I will have no choice but to attack Theo Cornaro.\Your adopted daughter will surely share a fate with her Lord.\You're sure of this?\I am prepared for that.\Our decision is as follows.\Theo Cornaro's request to pledge allegiance, as well as to join the Alliance...\I advise that he forfeit his territories and court rank, and quickly depart from Savis. response:	Otherwise...
context: If I act on your advice, I will have no choice but to attack Theo Cornaro.\Your adopted daughter will surely share a fate with her Lord.\You're sure of this?\I am prepared for that.\Our decision is as follows.\Theo Cornaro's request to pledge allegiance, as well as to join the Alliance...\I advise that he forfeit his territories and court rank, and quickly depart from Savis.\Otherwise... response:	The Valdrind Order of Knights will arrive in full force to regain the King of Savis's lands,
context: Your adopted daughter will surely share a fate with her Lord.\You're sure of this?\I am prepared for that.\Our decision is as follows.\Theo Cornaro's request to pledge allegiance, as well as to join the Alliance...\I advise that he forfeit his territories and court rank, and quickly depart from Savis.\Otherwise...\The Valdrind Order of Knights will arrive in full force to regain the King of Savis's lands, response:	and subjugate Viscount Theo Cornaro.
context: You're sure of this?\I am prepared for that.\Our decision is as follows.\Theo Cornaro's request to pledge allegiance, as well as to join the Alliance...\I advise that he forfeit his territories and court rank, and quickly depart from Savis.\Otherwise...\The Valdrind Order of Knights will arrive in full force to regain the King of Savis's lands,\and subjugate Viscount Theo Cornaro. response:	You overplayed your hand, you see.
context: I am prepared for that.\Our decision is as follows.\Theo Cornaro's request to pledge allegiance, as well as to join the Alliance...\I advise that he forfeit his territories and court rank, and quickly depart from Savis.\Otherwise...\The Valdrind Order of Knights will arrive in full force to regain the King of Savis's lands,\and subjugate Viscount Theo Cornaro.\You overplayed your hand, you see. response:	Unfortunately, I cannot follow your advice.
context: Our decision is as follows.\Theo Cornaro's request to pledge allegiance, as well as to join the Alliance...\I advise that he forfeit his territories and court rank, and quickly depart from Savis.\Otherwise...\The Valdrind Order of Knights will arrive in full force to regain the King of Savis's lands,\and subjugate Viscount Theo Cornaro.\You overplayed your hand, you see.\Unfortunately, I cannot follow your advice. response:	The next time we meet will be on the battlefield.
context: Theo Cornaro's request to pledge allegiance, as well as to join the Alliance...\I advise that he forfeit his territories and court rank, and quickly depart from Savis.\Otherwise...\The Valdrind Order of Knights will arrive in full force to regain the King of Savis's lands,\and subjugate Viscount Theo Cornaro.\You overplayed your hand, you see.\Unfortunately, I cannot follow your advice.\The next time we meet will be on the battlefield. response:	Unbelievable!
context: I advise that he forfeit his territories and court rank, and quickly depart from Savis.\Otherwise...\The Valdrind Order of Knights will arrive in full force to regain the King of Savis's lands,\and subjugate Viscount Theo Cornaro.\You overplayed your hand, you see.\Unfortunately, I cannot follow your advice.\The next time we meet will be on the battlefield.\Unbelievable! response:	Sure, I get that a contracted mage must set aside his personal feelings.
context: Otherwise...\The Valdrind Order of Knights will arrive in full force to regain the King of Savis's lands,\and subjugate Viscount Theo Cornaro.\You overplayed your hand, you see.\Unfortunately, I cannot follow your advice.\The next time we meet will be on the battlefield.\Unbelievable!\Sure, I get that a contracted mage must set aside his personal feelings. response:	But he takes it way too far!
context: The Valdrind Order of Knights will arrive in full force to regain the King of Savis's lands,\and subjugate Viscount Theo Cornaro.\You overplayed your hand, you see.\Unfortunately, I cannot follow your advice.\The next time we meet will be on the battlefield.\Unbelievable!\Sure, I get that a contracted mage must set aside his personal feelings.\But he takes it way too far! response:	Don't be so harsh on Father.
context: and subjugate Viscount Theo Cornaro.\You overplayed your hand, you see.\Unfortunately, I cannot follow your advice.\The next time we meet will be on the battlefield.\Unbelievable!\Sure, I get that a contracted mage must set aside his personal feelings.\But he takes it way too far!\Don't be so harsh on Father. response:	If the Alliance won't have us, then we'll just lean on the Union.
context: You overplayed your hand, you see.\Unfortunately, I cannot follow your advice.\The next time we meet will be on the battlefield.\Unbelievable!\Sure, I get that a contracted mage must set aside his personal feelings.\But he takes it way too far!\Don't be so harsh on Father.\If the Alliance won't have us, then we'll just lean on the Union. response:	Villar Constance...
context: Unfortunately, I cannot follow your advice.\The next time we meet will be on the battlefield.\Unbelievable!\Sure, I get that a contracted mage must set aside his personal feelings.\But he takes it way too far!\Don't be so harsh on Father.\If the Alliance won't have us, then we'll just lean on the Union.\Villar Constance... response:	You really think the Lustful Earl will take our side?
context: The next time we meet will be on the battlefield.\Unbelievable!\Sure, I get that a contracted mage must set aside his personal feelings.\But he takes it way too far!\Don't be so harsh on Father.\If the Alliance won't have us, then we'll just lean on the Union.\Villar Constance...\You really think the Lustful Earl will take our side? response:	Margaret?
context: Unbelievable!\Sure, I get that a contracted mage must set aside his personal feelings.\But he takes it way too far!\Don't be so harsh on Father.\If the Alliance won't have us, then we'll just lean on the Union.\Villar Constance...\You really think the Lustful Earl will take our side?\Margaret? response:	The earl says he has no intention of meeting with you now.
context: Sure, I get that a contracted mage must set aside his personal feelings.\But he takes it way too far!\Don't be so harsh on Father.\If the Alliance won't have us, then we'll just lean on the Union.\Villar Constance...\You really think the Lustful Earl will take our side?\Margaret?\The earl says he has no intention of meeting with you now. response:	I know that your bid to join the Alliance fell through,
context: But he takes it way too far!\Don't be so harsh on Father.\If the Alliance won't have us, then we'll just lean on the Union.\Villar Constance...\You really think the Lustful Earl will take our side?\Margaret?\The earl says he has no intention of meeting with you now.\I know that your bid to join the Alliance fell through, response:	but you have some nerve to show up here!
context: Don't be so harsh on Father.\If the Alliance won't have us, then we'll just lean on the Union.\Villar Constance...\You really think the Lustful Earl will take our side?\Margaret?\The earl says he has no intention of meeting with you now.\I know that your bid to join the Alliance fell through,\but you have some nerve to show up here! response:	When Plan A doesn't work out, the only option is to go with Plan B.
context: If the Alliance won't have us, then we'll just lean on the Union.\Villar Constance...\You really think the Lustful Earl will take our side?\Margaret?\The earl says he has no intention of meeting with you now.\I know that your bid to join the Alliance fell through,\but you have some nerve to show up here!\When Plan A doesn't work out, the only option is to go with Plan B. response:	If Lord Theo manages to survive, the Kreische family's prestige will be sullied,
context: Villar Constance...\You really think the Lustful Earl will take our side?\Margaret?\The earl says he has no intention of meeting with you now.\I know that your bid to join the Alliance fell through,\but you have some nerve to show up here!\When Plan A doesn't work out, the only option is to go with Plan B.\If Lord Theo manages to survive, the Kreische family's prestige will be sullied, response:	and that will allow us to hold back the Alliance's resolve.
context: You really think the Lustful Earl will take our side?\Margaret?\The earl says he has no intention of meeting with you now.\I know that your bid to join the Alliance fell through,\but you have some nerve to show up here!\When Plan A doesn't work out, the only option is to go with Plan B.\If Lord Theo manages to survive, the Kreische family's prestige will be sullied,\and that will allow us to hold back the Alliance's resolve. response:	Do you really think saving your Lord will help the earl?
context: Margaret?\The earl says he has no intention of meeting with you now.\I know that your bid to join the Alliance fell through,\but you have some nerve to show up here!\When Plan A doesn't work out, the only option is to go with Plan B.\If Lord Theo manages to survive, the Kreische family's prestige will be sullied,\and that will allow us to hold back the Alliance's resolve.\Do you really think saving your Lord will help the earl? response:	No.
