context: So that flowers may bloom with innumerable deaths providing their nourishment, response:	Riko! So that flowers may bloom with innumerable deaths providing their nourishment,
context: So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! So that flowers may bloom with innumerable deaths providing their nourishment, response:	Riko! there are countless tragedies buried at the bottom of this beautiful world.
context: So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! there are countless tragedies buried at the bottom of this beautiful world. response:	there are countless tragedies buried at the bottom of this beautiful world.
context: So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world. response:	Riko! there are countless tragedies buried at the bottom of this beautiful world.
context: So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\Riko! there are countless tragedies buried at the bottom of this beautiful world. response:	there are countless tragedies buried at the bottom of this beautiful world.
context: So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world. response:	But unless you are one of those directly concerned, this is not something you can know.
context: So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\But unless you are one of those directly concerned, this is not something you can know. response:	You should simply be captivated by the utterly dazzling beauty and push on,
context: So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\But unless you are one of those directly concerned, this is not something you can know.\You should simply be captivated by the utterly dazzling beauty and push on, response:	Hold on... You should simply be captivated by the utterly dazzling beauty and push on,
context: Riko! So that flowers may bloom with innumerable deaths providing their nourishment,\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\But unless you are one of those directly concerned, this is not something you can know.\You should simply be captivated by the utterly dazzling beauty and push on,\Hold on... You should simply be captivated by the utterly dazzling beauty and push on, response:	You should simply be captivated by the utterly dazzling beauty and push on,
context: Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\But unless you are one of those directly concerned, this is not something you can know.\You should simply be captivated by the utterly dazzling beauty and push on,\Hold on... You should simply be captivated by the utterly dazzling beauty and push on,\You should simply be captivated by the utterly dazzling beauty and push on, response:	Riko... You should simply be captivated by the utterly dazzling beauty and push on,
context: there are countless tragedies buried at the bottom of this beautiful world.\Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\But unless you are one of those directly concerned, this is not something you can know.\You should simply be captivated by the utterly dazzling beauty and push on,\Hold on... You should simply be captivated by the utterly dazzling beauty and push on,\You should simply be captivated by the utterly dazzling beauty and push on,\Riko... You should simply be captivated by the utterly dazzling beauty and push on, response:	treading firmly on the ground below.
context: Riko! there are countless tragedies buried at the bottom of this beautiful world.\there are countless tragedies buried at the bottom of this beautiful world.\But unless you are one of those directly concerned, this is not something you can know.\You should simply be captivated by the utterly dazzling beauty and push on,\Hold on... You should simply be captivated by the utterly dazzling beauty and push on,\You should simply be captivated by the utterly dazzling beauty and push on,\Riko... You should simply be captivated by the utterly dazzling beauty and push on,\treading firmly on the ground below. response:	Don't leave me behind, Riko! treading firmly on the ground below.
context: there are countless tragedies buried at the bottom of this beautiful world.\But unless you are one of those directly concerned, this is not something you can know.\You should simply be captivated by the utterly dazzling beauty and push on,\Hold on... You should simply be captivated by the utterly dazzling beauty and push on,\You should simply be captivated by the utterly dazzling beauty and push on,\Riko... You should simply be captivated by the utterly dazzling beauty and push on,\treading firmly on the ground below.\Don't leave me behind, Riko! treading firmly on the ground below. response:	For your tragedy, too, is sure to become sustenance and give birth to the blooming of new flowers...
context: But unless you are one of those directly concerned, this is not something you can know.\You should simply be captivated by the utterly dazzling beauty and push on,\Hold on... You should simply be captivated by the utterly dazzling beauty and push on,\You should simply be captivated by the utterly dazzling beauty and push on,\Riko... You should simply be captivated by the utterly dazzling beauty and push on,\treading firmly on the ground below.\Don't leave me behind, Riko! treading firmly on the ground below.\For your tragedy, too, is sure to become sustenance and give birth to the blooming of new flowers... response:	Riko!
