context: I-I can't believe this! response:	How can you not know what your boyfriend's post-graduation plans are?
context: I-I can't believe this!\How can you not know what your boyfriend's post-graduation plans are? response:	Well... we never talk about stuff like that.
context: I-I can't believe this!\How can you not know what your boyfriend's post-graduation plans are?\Well... we never talk about stuff like that. response:	What?!
context: I-I can't believe this!\How can you not know what your boyfriend's post-graduation plans are?\Well... we never talk about stuff like that.\What?! response:	You're already a senior, but you haven't discussed it?
context: I-I can't believe this!\How can you not know what your boyfriend's post-graduation plans are?\Well... we never talk about stuff like that.\What?!\You're already a senior, but you haven't discussed it? response:	What do you normally talk about then?
context: I-I can't believe this!\How can you not know what your boyfriend's post-graduation plans are?\Well... we never talk about stuff like that.\What?!\You're already a senior, but you haven't discussed it?\What do you normally talk about then? response:	Stuff like the upcoming Umibouzu concert...
context: I-I can't believe this!\How can you not know what your boyfriend's post-graduation plans are?\Well... we never talk about stuff like that.\What?!\You're already a senior, but you haven't discussed it?\What do you normally talk about then?\Stuff like the upcoming Umibouzu concert... response:	Or guessing what order he'll perform his songs in...
context: I-I can't believe this!\How can you not know what your boyfriend's post-graduation plans are?\Well... we never talk about stuff like that.\What?!\You're already a senior, but you haven't discussed it?\What do you normally talk about then?\Stuff like the upcoming Umibouzu concert...\Or guessing what order he'll perform his songs in... response:	I figured it would be something like that, but...
context: How can you not know what your boyfriend's post-graduation plans are?\Well... we never talk about stuff like that.\What?!\You're already a senior, but you haven't discussed it?\What do you normally talk about then?\Stuff like the upcoming Umibouzu concert...\Or guessing what order he'll perform his songs in...\I figured it would be something like that, but... response:	You've got to be kidding!
context: Well... we never talk about stuff like that.\What?!\You're already a senior, but you haven't discussed it?\What do you normally talk about then?\Stuff like the upcoming Umibouzu concert...\Or guessing what order he'll perform his songs in...\I figured it would be something like that, but...\You've got to be kidding! response:	Aren't your boyfriend's post-graduation plans a source for concern when making your own?
context: What?!\You're already a senior, but you haven't discussed it?\What do you normally talk about then?\Stuff like the upcoming Umibouzu concert...\Or guessing what order he'll perform his songs in...\I figured it would be something like that, but...\You've got to be kidding!\Aren't your boyfriend's post-graduation plans a source for concern when making your own? response:	Do you two talk about this stuff with Nakao-chi and Suzuki-kun?
context: You're already a senior, but you haven't discussed it?\What do you normally talk about then?\Stuff like the upcoming Umibouzu concert...\Or guessing what order he'll perform his songs in...\I figured it would be something like that, but...\You've got to be kidding!\Aren't your boyfriend's post-graduation plans a source for concern when making your own?\Do you two talk about this stuff with Nakao-chi and Suzuki-kun? response:	Of course.
context: What do you normally talk about then?\Stuff like the upcoming Umibouzu concert...\Or guessing what order he'll perform his songs in...\I figured it would be something like that, but...\You've got to be kidding!\Aren't your boyfriend's post-graduation plans a source for concern when making your own?\Do you two talk about this stuff with Nakao-chi and Suzuki-kun?\Of course. response:	Nakao-chi is going into the family business, running a dessert shop,
context: Stuff like the upcoming Umibouzu concert...\Or guessing what order he'll perform his songs in...\I figured it would be something like that, but...\You've got to be kidding!\Aren't your boyfriend's post-graduation plans a source for concern when making your own?\Do you two talk about this stuff with Nakao-chi and Suzuki-kun?\Of course.\Nakao-chi is going into the family business, running a dessert shop, response:	Like Kazuyoshi Yamaguchi's wife, huh? How admirable!
context: Or guessing what order he'll perform his songs in...\I figured it would be something like that, but...\You've got to be kidding!\Aren't your boyfriend's post-graduation plans a source for concern when making your own?\Do you two talk about this stuff with Nakao-chi and Suzuki-kun?\Of course.\Nakao-chi is going into the family business, running a dessert shop,\Like Kazuyoshi Yamaguchi's wife, huh? How admirable! response:	You idiot! That's Kazutoyo Yamauchi's wife!
context: I figured it would be something like that, but...\You've got to be kidding!\Aren't your boyfriend's post-graduation plans a source for concern when making your own?\Do you two talk about this stuff with Nakao-chi and Suzuki-kun?\Of course.\Nakao-chi is going into the family business, running a dessert shop,\Like Kazuyoshi Yamaguchi's wife, huh? How admirable!\You idiot! That's Kazutoyo Yamauchi's wife! response:	Aaah. You're right.
context: You've got to be kidding!\Aren't your boyfriend's post-graduation plans a source for concern when making your own?\Do you two talk about this stuff with Nakao-chi and Suzuki-kun?\Of course.\Nakao-chi is going into the family business, running a dessert shop,\Like Kazuyoshi Yamaguchi's wife, huh? How admirable!\You idiot! That's Kazutoyo Yamauchi's wife!\Aaah. You're right. response:	What about you, Chiharu-chan?
context: Aren't your boyfriend's post-graduation plans a source for concern when making your own?\Do you two talk about this stuff with Nakao-chi and Suzuki-kun?\Of course.\Nakao-chi is going into the family business, running a dessert shop,\Like Kazuyoshi Yamaguchi's wife, huh? How admirable!\You idiot! That's Kazutoyo Yamauchi's wife!\Aaah. You're right.\What about you, Chiharu-chan? response:	I've decided to go to the same university as Suzuki-kun for the time being.
context: Do you two talk about this stuff with Nakao-chi and Suzuki-kun?\Of course.\Nakao-chi is going into the family business, running a dessert shop,\Like Kazuyoshi Yamaguchi's wife, huh? How admirable!\You idiot! That's Kazutoyo Yamauchi's wife!\Aaah. You're right.\What about you, Chiharu-chan?\I've decided to go to the same university as Suzuki-kun for the time being. response:	I-Is that so?
context: Of course.\Nakao-chi is going into the family business, running a dessert shop,\Like Kazuyoshi Yamaguchi's wife, huh? How admirable!\You idiot! That's Kazutoyo Yamauchi's wife!\Aaah. You're right.\What about you, Chiharu-chan?\I've decided to go to the same university as Suzuki-kun for the time being.\I-Is that so? response:	In that case...
context: Nakao-chi is going into the family business, running a dessert shop,\Like Kazuyoshi Yamaguchi's wife, huh? How admirable!\You idiot! That's Kazutoyo Yamauchi's wife!\Aaah. You're right.\What about you, Chiharu-chan?\I've decided to go to the same university as Suzuki-kun for the time being.\I-Is that so?\In that case... response:	Premonition of Separation?! Risa and Otani's Different Paths
context: Like Kazuyoshi Yamaguchi's wife, huh? How admirable!\You idiot! That's Kazutoyo Yamauchi's wife!\Aaah. You're right.\What about you, Chiharu-chan?\I've decided to go to the same university as Suzuki-kun for the time being.\I-Is that so?\In that case...\Premonition of Separation?! Risa and Otani's Different Paths response:	I'm going to college.
context: You idiot! That's Kazutoyo Yamauchi's wife!\Aaah. You're right.\What about you, Chiharu-chan?\I've decided to go to the same university as Suzuki-kun for the time being.\I-Is that so?\In that case...\Premonition of Separation?! Risa and Otani's Different Paths\I'm going to college. response:	What?! College?
context: Aaah. You're right.\What about you, Chiharu-chan?\I've decided to go to the same university as Suzuki-kun for the time being.\I-Is that so?\In that case...\Premonition of Separation?! Risa and Otani's Different Paths\I'm going to college.\What?! College? response:	No need to act so surprised!
context: What about you, Chiharu-chan?\I've decided to go to the same university as Suzuki-kun for the time being.\I-Is that so?\In that case...\Premonition of Separation?! Risa and Otani's Different Paths\I'm going to college.\What?! College?\No need to act so surprised! response:	What's with that?
context: I've decided to go to the same university as Suzuki-kun for the time being.\I-Is that so?\In that case...\Premonition of Separation?! Risa and Otani's Different Paths\I'm going to college.\What?! College?\No need to act so surprised!\What's with that? response:	Are you serious?
context: I-Is that so?\In that case...\Premonition of Separation?! Risa and Otani's Different Paths\I'm going to college.\What?! College?\No need to act so surprised!\What's with that?\Are you serious? response:	Of course I am.
context: In that case...\Premonition of Separation?! Risa and Otani's Different Paths\I'm going to college.\What?! College?\No need to act so surprised!\What's with that?\Are you serious?\Of course I am. response:	Oh? So you really are serious...
context: Premonition of Separation?! Risa and Otani's Different Paths\I'm going to college.\What?! College?\No need to act so surprised!\What's with that?\Are you serious?\Of course I am.\Oh? So you really are serious... response:	There's no way you'll get in.
context: I'm going to college.\What?! College?\No need to act so surprised!\What's with that?\Are you serious?\Of course I am.\Oh? So you really are serious...\There's no way you'll get in. response:	What was that?!
context: What?! College?\No need to act so surprised!\What's with that?\Are you serious?\Of course I am.\Oh? So you really are serious...\There's no way you'll get in.\What was that?! response:	Taking entrance exams isn't free, you know.
context: No need to act so surprised!\What's with that?\Are you serious?\Of course I am.\Oh? So you really are serious...\There's no way you'll get in.\What was that?!\Taking entrance exams isn't free, you know. response:	I'm aware of that!
context: What's with that?\Are you serious?\Of course I am.\Oh? So you really are serious...\There's no way you'll get in.\What was that?!\Taking entrance exams isn't free, you know.\I'm aware of that! response:	If you become a ronin, it'll cost you...
context: Are you serious?\Of course I am.\Oh? So you really are serious...\There's no way you'll get in.\What was that?!\Taking entrance exams isn't free, you know.\I'm aware of that!\If you become a ronin, it'll cost you... response:	Reconsider before you go wasting your time and money, okay?
context: Of course I am.\Oh? So you really are serious...\There's no way you'll get in.\What was that?!\Taking entrance exams isn't free, you know.\I'm aware of that!\If you become a ronin, it'll cost you...\Reconsider before you go wasting your time and money, okay? response:	You could've at least said, Wow! Go for it!
