context: Huh... response:	He's a pretty good swimmer.
context: Huh...\He's a pretty good swimmer. response:	Azure Waters
context: Huh...\He's a pretty good swimmer.\Azure Waters response:	Well, better get moving.
context: Huh...\He's a pretty good swimmer.\Azure Waters\Well, better get moving. response:	Oh, sorry about that.
context: Huh...\He's a pretty good swimmer.\Azure Waters\Well, better get moving.\Oh, sorry about that. response:	Did the smoke get to you?
context: Huh...\He's a pretty good swimmer.\Azure Waters\Well, better get moving.\Oh, sorry about that.\Did the smoke get to you? response:	His skin is unusually cold...
context: Huh...\He's a pretty good swimmer.\Azure Waters\Well, better get moving.\Oh, sorry about that.\Did the smoke get to you?\His skin is unusually cold... response:	even for someone who's been swimming.
context: Huh...\He's a pretty good swimmer.\Azure Waters\Well, better get moving.\Oh, sorry about that.\Did the smoke get to you?\His skin is unusually cold...\even for someone who's been swimming. response:	Yuuta?
context: He's a pretty good swimmer.\Azure Waters\Well, better get moving.\Oh, sorry about that.\Did the smoke get to you?\His skin is unusually cold...\even for someone who's been swimming.\Yuuta? response:	Yuuta!
context: Azure Waters\Well, better get moving.\Oh, sorry about that.\Did the smoke get to you?\His skin is unusually cold...\even for someone who's been swimming.\Yuuta?\Yuuta! response:	What is it?!
context: Well, better get moving.\Oh, sorry about that.\Did the smoke get to you?\His skin is unusually cold...\even for someone who's been swimming.\Yuuta?\Yuuta!\What is it?! response:	Excuse me. What happened to him?
context: Oh, sorry about that.\Did the smoke get to you?\His skin is unusually cold...\even for someone who's been swimming.\Yuuta?\Yuuta!\What is it?!\Excuse me. What happened to him? response:	I'm sorry. I think it was my fault.
context: Did the smoke get to you?\His skin is unusually cold...\even for someone who's been swimming.\Yuuta?\Yuuta!\What is it?!\Excuse me. What happened to him?\I'm sorry. I think it was my fault. response:	He must have breathed in my cigarette smoke.
context: His skin is unusually cold...\even for someone who's been swimming.\Yuuta?\Yuuta!\What is it?!\Excuse me. What happened to him?\I'm sorry. I think it was my fault.\He must have breathed in my cigarette smoke. response:	Mommy.
context: even for someone who's been swimming.\Yuuta?\Yuuta!\What is it?!\Excuse me. What happened to him?\I'm sorry. I think it was my fault.\He must have breathed in my cigarette smoke.\Mommy. response:	You certainly caught a lot again today, didn't you?
context: Yuuta?\Yuuta!\What is it?!\Excuse me. What happened to him?\I'm sorry. I think it was my fault.\He must have breathed in my cigarette smoke.\Mommy.\You certainly caught a lot again today, didn't you? response:	All right, let's get ourselves home.
context: Yuuta!\What is it?!\Excuse me. What happened to him?\I'm sorry. I think it was my fault.\He must have breathed in my cigarette smoke.\Mommy.\You certainly caught a lot again today, didn't you?\All right, let's get ourselves home. response:	Um...
context: What is it?!\Excuse me. What happened to him?\I'm sorry. I think it was my fault.\He must have breathed in my cigarette smoke.\Mommy.\You certainly caught a lot again today, didn't you?\All right, let's get ourselves home.\Um... response:	Was there something else?
context: Excuse me. What happened to him?\I'm sorry. I think it was my fault.\He must have breathed in my cigarette smoke.\Mommy.\You certainly caught a lot again today, didn't you?\All right, let's get ourselves home.\Um...\Was there something else? response:	From what I saw just now, that boy is quite the swimmer.
context: I'm sorry. I think it was my fault.\He must have breathed in my cigarette smoke.\Mommy.\You certainly caught a lot again today, didn't you?\All right, let's get ourselves home.\Um...\Was there something else?\From what I saw just now, that boy is quite the swimmer. response:	But does he happen to have difficulty with running?
context: He must have breathed in my cigarette smoke.\Mommy.\You certainly caught a lot again today, didn't you?\All right, let's get ourselves home.\Um...\Was there something else?\From what I saw just now, that boy is quite the swimmer.\But does he happen to have difficulty with running? response:	So what if he does?
context: Mommy.\You certainly caught a lot again today, didn't you?\All right, let's get ourselves home.\Um...\Was there something else?\From what I saw just now, that boy is quite the swimmer.\But does he happen to have difficulty with running?\So what if he does? response:	And is he always very thirsty, perhaps even unusually so?
context: You certainly caught a lot again today, didn't you?\All right, let's get ourselves home.\Um...\Was there something else?\From what I saw just now, that boy is quite the swimmer.\But does he happen to have difficulty with running?\So what if he does?\And is he always very thirsty, perhaps even unusually so? response:	Mushi-Shi
context: All right, let's get ourselves home.\Um...\Was there something else?\From what I saw just now, that boy is quite the swimmer.\But does he happen to have difficulty with running?\So what if he does?\And is he always very thirsty, perhaps even unusually so?\Mushi-Shi response:	Mushi-Shi
