context: How does it look, Azalea? response:	No change in its standby location.
context: How does it look, Azalea?\No change in its standby location. response:	No other signs of enemies.
context: How does it look, Azalea?\No change in its standby location.\No other signs of enemies. response:	Okay, let's get started!
context: How does it look, Azalea?\No change in its standby location.\No other signs of enemies.\Okay, let's get started! response:	All right!
context: How does it look, Azalea?\No change in its standby location.\No other signs of enemies.\Okay, let's get started!\All right! response:	Let's go.
context: How does it look, Azalea?\No change in its standby location.\No other signs of enemies.\Okay, let's get started!\All right!\Let's go. response:	You know the plan, right?
context: How does it look, Azalea?\No change in its standby location.\No other signs of enemies.\Okay, let's get started!\All right!\Let's go.\You know the plan, right? response:	Right!
context: How does it look, Azalea?\No change in its standby location.\No other signs of enemies.\Okay, let's get started!\All right!\Let's go.\You know the plan, right?\Right! response:	Stay sharp, Naotsugu.
context: No change in its standby location.\No other signs of enemies.\Okay, let's get started!\All right!\Let's go.\You know the plan, right?\Right!\Stay sharp, Naotsugu. response:	Leave it to me.
context: No other signs of enemies.\Okay, let's get started!\All right!\Let's go.\You know the plan, right?\Right!\Stay sharp, Naotsugu.\Leave it to me. response:	Naotsugu, you're within twenty meters.
context: Okay, let's get started!\All right!\Let's go.\You know the plan, right?\Right!\Stay sharp, Naotsugu.\Leave it to me.\Naotsugu, you're within twenty meters. response:	Roger.
context: All right!\Let's go.\You know the plan, right?\Right!\Stay sharp, Naotsugu.\Leave it to me.\Naotsugu, you're within twenty meters.\Roger. response:	Castle of Stone!
context: Let's go.\You know the plan, right?\Right!\Stay sharp, Naotsugu.\Leave it to me.\Naotsugu, you're within twenty meters.\Roger.\Castle of Stone! response:	Okay, now!
context: You know the plan, right?\Right!\Stay sharp, Naotsugu.\Leave it to me.\Naotsugu, you're within twenty meters.\Roger.\Castle of Stone!\Okay, now! response:	Let's go.
context: Right!\Stay sharp, Naotsugu.\Leave it to me.\Naotsugu, you're within twenty meters.\Roger.\Castle of Stone!\Okay, now!\Let's go. response:	Keep those shields up!
context: Stay sharp, Naotsugu.\Leave it to me.\Naotsugu, you're within twenty meters.\Roger.\Castle of Stone!\Okay, now!\Let's go.\Keep those shields up! response:	Eleven, twelve, thirteen, fourteen, fifteen...
context: Leave it to me.\Naotsugu, you're within twenty meters.\Roger.\Castle of Stone!\Okay, now!\Let's go.\Keep those shields up!\Eleven, twelve, thirteen, fourteen, fifteen... response:	The skill Luseat just used,
