context: = LOGO START = response:	= LOGO END =
context: = LOGO START =\= LOGO END = response:	= OP START =
context: = LOGO START =\= LOGO END =\= OP START = response:	= MAIN START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START = response:	= MAIN END =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END = response:	= ED START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START = response:	Approved
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved response:	neiki yori sotto yoake ga kuru
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru response:	kimi no yume wa ima mori wo kakeru
context: = LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru response:	mezamete akari wo sagasu shigusa
context: = OP START =\= MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa response:	nakushita nara mitsuketeageyou
context: = MAIN START =\= MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou response:	kimi to boku no mirai ni kakureteiru
context: = MAIN END =\= ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru response:	saa koko he te wo tsunaidara
context: = ED START =\Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara response:	hodokenai you kimi to tooku he
context: Approved\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he response:	haruka na hi no kioku ni saita
context: neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita response:	aoi kuni no miru story
context: kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story response:	kagayaku hitomi
context: mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi response:	sono utagoe
context: nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe response:	tsutaeyou
context: kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou response:	Dawn comes softer than a sleeping breath
context: saa koko he te wo tsunaidara\hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath response:	Your dream runs through the forest now
context: hodokenai you kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now response:	You wake up and stir to find the light
context: haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light response:	If you've lost it, I'll find it for you
context: aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you response:	It's hidden in our future
context: kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future response:	Now if we joined hands
context: sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands response:	we could go far away without letting go
context: tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we could go far away without letting go response:	In the memory of a far off day
context: Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we could go far away without letting go\In the memory of a far off day response:	the story of the blue country bloomed
context: Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed response:	Shining eyes
context: You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes response:	Your singing voice
context: If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice response:	Let's share it
context: It's hidden in our future\Now if we joined hands\we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it response:	Wolf and Calm Before the Storm
context: Now if we joined hands\we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Calm Before the Storm response:	Chroniclers?
context: we could go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Calm Before the Storm\Chroniclers? response:	You mean those folks who are always tirelessly writing the town journal?
context: In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Calm Before the Storm\Chroniclers?\You mean those folks who are always tirelessly writing the town journal? response:	I call it history rather than journals.
context: the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Wolf and Calm Before the Storm\Chroniclers?\You mean those folks who are always tirelessly writing the town journal?\I call it history rather than journals. response:	Well, all they do for a living is sit down and get money from the nobility and church to write words all day.
context: Shining eyes\Your singing voice\Let's share it\Wolf and Calm Before the Storm\Chroniclers?\You mean those folks who are always tirelessly writing the town journal?\I call it history rather than journals.\Well, all they do for a living is sit down and get money from the nobility and church to write words all day. response:	Chroniclers also collect various folktales.
context: Your singing voice\Let's share it\Wolf and Calm Before the Storm\Chroniclers?\You mean those folks who are always tirelessly writing the town journal?\I call it history rather than journals.\Well, all they do for a living is sit down and get money from the nobility and church to write words all day.\Chroniclers also collect various folktales. response:	That's what I'm interested in.
context: Let's share it\Wolf and Calm Before the Storm\Chroniclers?\You mean those folks who are always tirelessly writing the town journal?\I call it history rather than journals.\Well, all they do for a living is sit down and get money from the nobility and church to write words all day.\Chroniclers also collect various folktales.\That's what I'm interested in. response:	Oh?
context: Wolf and Calm Before the Storm\Chroniclers?\You mean those folks who are always tirelessly writing the town journal?\I call it history rather than journals.\Well, all they do for a living is sit down and get money from the nobility and church to write words all day.\Chroniclers also collect various folktales.\That's what I'm interested in.\Oh? response:	I've got to go up north, you see.
context: Chroniclers?\You mean those folks who are always tirelessly writing the town journal?\I call it history rather than journals.\Well, all they do for a living is sit down and get money from the nobility and church to write words all day.\Chroniclers also collect various folktales.\That's what I'm interested in.\Oh?\I've got to go up north, you see. response:	I want to know what the road is like on the way.
context: You mean those folks who are always tirelessly writing the town journal?\I call it history rather than journals.\Well, all they do for a living is sit down and get money from the nobility and church to write words all day.\Chroniclers also collect various folktales.\That's what I'm interested in.\Oh?\I've got to go up north, you see.\I want to know what the road is like on the way. response:	A business opportunity?
context: I call it history rather than journals.\Well, all they do for a living is sit down and get money from the nobility and church to write words all day.\Chroniclers also collect various folktales.\That's what I'm interested in.\Oh?\I've got to go up north, you see.\I want to know what the road is like on the way.\A business opportunity? response:	I wish it were.
context: Well, all they do for a living is sit down and get money from the nobility and church to write words all day.\Chroniclers also collect various folktales.\That's what I'm interested in.\Oh?\I've got to go up north, you see.\I want to know what the road is like on the way.\A business opportunity?\I wish it were. response:	I'm just doing this for my own interest.
context: Chroniclers also collect various folktales.\That's what I'm interested in.\Oh?\I've got to go up north, you see.\I want to know what the road is like on the way.\A business opportunity?\I wish it were.\I'm just doing this for my own interest. response:	Even though as a merchant I know it's not profitable.
context: That's what I'm interested in.\Oh?\I've got to go up north, you see.\I want to know what the road is like on the way.\A business opportunity?\I wish it were.\I'm just doing this for my own interest.\Even though as a merchant I know it's not profitable. response:	Seems you've found yourself quite a fun hobby.
context: Oh?\I've got to go up north, you see.\I want to know what the road is like on the way.\A business opportunity?\I wish it were.\I'm just doing this for my own interest.\Even though as a merchant I know it's not profitable.\Seems you've found yourself quite a fun hobby. response:	I wonder.
context: I've got to go up north, you see.\I want to know what the road is like on the way.\A business opportunity?\I wish it were.\I'm just doing this for my own interest.\Even though as a merchant I know it's not profitable.\Seems you've found yourself quite a fun hobby.\I wonder. response:	So, any ideas?
context: I want to know what the road is like on the way.\A business opportunity?\I wish it were.\I'm just doing this for my own interest.\Even though as a merchant I know it's not profitable.\Seems you've found yourself quite a fun hobby.\I wonder.\So, any ideas? response:	Well... you want someone from the Rowen guild, right?
context: A business opportunity?\I wish it were.\I'm just doing this for my own interest.\Even though as a merchant I know it's not profitable.\Seems you've found yourself quite a fun hobby.\I wonder.\So, any ideas?\Well... you want someone from the Rowen guild, right? response:	You know someone?
context: I wish it were.\I'm just doing this for my own interest.\Even though as a merchant I know it's not profitable.\Seems you've found yourself quite a fun hobby.\I wonder.\So, any ideas?\Well... you want someone from the Rowen guild, right?\You know someone? response:	It's simple when you're a merchant of my caliber.
