context: The cumulative results for the practical exam are out! response:	I can't believe he got first place with no rescue points.
context: The cumulative results for the practical exam are out!\I can't believe he got first place with no rescue points. response:	The faux villains acquire their targets and draw near them.
context: The cumulative results for the practical exam are out!\I can't believe he got first place with no rescue points.\The faux villains acquire their targets and draw near them. response:	In the second half, as others were slowing down,
context: The cumulative results for the practical exam are out!\I can't believe he got first place with no rescue points.\The faux villains acquire their targets and draw near them.\In the second half, as others were slowing down, response:	he used his flashy Quirk to keep bringing them close and then counterattacking.
context: The cumulative results for the practical exam are out!\I can't believe he got first place with no rescue points.\The faux villains acquire their targets and draw near them.\In the second half, as others were slowing down,\he used his flashy Quirk to keep bringing them close and then counterattacking. response:	It's the result of his toughness.
context: The cumulative results for the practical exam are out!\I can't believe he got first place with no rescue points.\The faux villains acquire their targets and draw near them.\In the second half, as others were slowing down,\he used his flashy Quirk to keep bringing them close and then counterattacking.\It's the result of his toughness. response:	In contrast, there's the 7th place student with zero villain points.
context: The cumulative results for the practical exam are out!\I can't believe he got first place with no rescue points.\The faux villains acquire their targets and draw near them.\In the second half, as others were slowing down,\he used his flashy Quirk to keep bringing them close and then counterattacking.\It's the result of his toughness.\In contrast, there's the 7th place student with zero villain points. response:	There have been other examinees who took on the large villain in the past,
context: The cumulative results for the practical exam are out!\I can't believe he got first place with no rescue points.\The faux villains acquire their targets and draw near them.\In the second half, as others were slowing down,\he used his flashy Quirk to keep bringing them close and then counterattacking.\It's the result of his toughness.\In contrast, there's the 7th place student with zero villain points.\There have been other examinees who took on the large villain in the past, response:	but it's been a while since I last saw someone blow it away.
context: I can't believe he got first place with no rescue points.\The faux villains acquire their targets and draw near them.\In the second half, as others were slowing down,\he used his flashy Quirk to keep bringing them close and then counterattacking.\It's the result of his toughness.\In contrast, there's the 7th place student with zero villain points.\There have been other examinees who took on the large villain in the past,\but it's been a while since I last saw someone blow it away. response:	But to suffer such a serious injury from his own attack...
context: The faux villains acquire their targets and draw near them.\In the second half, as others were slowing down,\he used his flashy Quirk to keep bringing them close and then counterattacking.\It's the result of his toughness.\In contrast, there's the 7th place student with zero villain points.\There have been other examinees who took on the large villain in the past,\but it's been a while since I last saw someone blow it away.\But to suffer such a serious injury from his own attack... response:	It's like he's a young child whose Quirk just manifested.
context: In the second half, as others were slowing down,\he used his flashy Quirk to keep bringing them close and then counterattacking.\It's the result of his toughness.\In contrast, there's the 7th place student with zero villain points.\There have been other examinees who took on the large villain in the past,\but it's been a while since I last saw someone blow it away.\But to suffer such a serious injury from his own attack...\It's like he's a young child whose Quirk just manifested. response:	The night after I opened my acceptance letter...
