context: It's hot! It's hot! It's hot! response:	Once upon a time, there lived a grandmother and a grandfather.
context: It's hot! It's hot! It's hot!\Once upon a time, there lived a grandmother and a grandfather. response:	The weather's great today.
context: It's hot! It's hot! It's hot!\Once upon a time, there lived a grandmother and a grandfather.\The weather's great today. response:	Sakura Baa-san went to the river to do the laundry.
context: It's hot! It's hot! It's hot!\Once upon a time, there lived a grandmother and a grandfather.\The weather's great today.\Sakura Baa-san went to the river to do the laundry. response:	Yukimura Jii-san went to the mountain to get firewood...
context: It's hot! It's hot! It's hot!\Once upon a time, there lived a grandmother and a grandfather.\The weather's great today.\Sakura Baa-san went to the river to do the laundry.\Yukimura Jii-san went to the mountain to get firewood... response:	which was what he was supposed to do, but instead he was helping with the laundry.
context: It's hot! It's hot! It's hot!\Once upon a time, there lived a grandmother and a grandfather.\The weather's great today.\Sakura Baa-san went to the river to do the laundry.\Yukimura Jii-san went to the mountain to get firewood...\which was what he was supposed to do, but instead he was helping with the laundry. response:	Then all of a sudden, a large peach came drifting down the river.
context: It's hot! It's hot! It's hot!\Once upon a time, there lived a grandmother and a grandfather.\The weather's great today.\Sakura Baa-san went to the river to do the laundry.\Yukimura Jii-san went to the mountain to get firewood...\which was what he was supposed to do, but instead he was helping with the laundry.\Then all of a sudden, a large peach came drifting down the river. response:	What is this!?
context: It's hot! It's hot! It's hot!\Once upon a time, there lived a grandmother and a grandfather.\The weather's great today.\Sakura Baa-san went to the river to do the laundry.\Yukimura Jii-san went to the mountain to get firewood...\which was what he was supposed to do, but instead he was helping with the laundry.\Then all of a sudden, a large peach came drifting down the river.\What is this!? response:	Yay, I love peaches!
context: Once upon a time, there lived a grandmother and a grandfather.\The weather's great today.\Sakura Baa-san went to the river to do the laundry.\Yukimura Jii-san went to the mountain to get firewood...\which was what he was supposed to do, but instead he was helping with the laundry.\Then all of a sudden, a large peach came drifting down the river.\What is this!?\Yay, I love peaches! response:	Granny.
context: The weather's great today.\Sakura Baa-san went to the river to do the laundry.\Yukimura Jii-san went to the mountain to get firewood...\which was what he was supposed to do, but instead he was helping with the laundry.\Then all of a sudden, a large peach came drifting down the river.\What is this!?\Yay, I love peaches!\Granny. response:	Grandmother and Grandfather took the peach home and...
context: Sakura Baa-san went to the river to do the laundry.\Yukimura Jii-san went to the mountain to get firewood...\which was what he was supposed to do, but instead he was helping with the laundry.\Then all of a sudden, a large peach came drifting down the river.\What is this!?\Yay, I love peaches!\Granny.\Grandmother and Grandfather took the peach home and... response:	Shine.
