context: I realize I'm a dreamer by nature, response:	but never in my wildest dreams did I ever imagine meeting the girl again.
context: I realize I'm a dreamer by nature,\but never in my wildest dreams did I ever imagine meeting the girl again. response:	I only knew her name.
context: I realize I'm a dreamer by nature,\but never in my wildest dreams did I ever imagine meeting the girl again.\I only knew her name. response:	When I was darkness at that time
context: I realize I'm a dreamer by nature,\but never in my wildest dreams did I ever imagine meeting the girl again.\I only knew her name.\When I was darkness at that time response:	With trembling lips
context: I realize I'm a dreamer by nature,\but never in my wildest dreams did I ever imagine meeting the girl again.\I only knew her name.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: I realize I'm a dreamer by nature,\but never in my wildest dreams did I ever imagine meeting the girl again.\I only knew her name.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: I realize I'm a dreamer by nature,\but never in my wildest dreams did I ever imagine meeting the girl again.\I only knew her name.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: I realize I'm a dreamer by nature,\but never in my wildest dreams did I ever imagine meeting the girl again.\I only knew her name.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: but never in my wildest dreams did I ever imagine meeting the girl again.\I only knew her name.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: I only knew her name.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Huh?
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Huh? response:	Too bad! Someone beat us to it.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Huh?\Too bad! Someone beat us to it. response:	Would it be all right if I show this person the place too?
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Huh?\Too bad! Someone beat us to it.\Would it be all right if I show this person the place too? response:	Huh? Sorry but that would be a problem.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Huh?\Too bad! Someone beat us to it.\Would it be all right if I show this person the place too?\Huh? Sorry but that would be a problem. response:	This customer has pretty well decided on this place.
context: I wanna need your love\I'm a broken rose\I wanna need your love\Huh?\Too bad! Someone beat us to it.\Would it be all right if I show this person the place too?\Huh? Sorry but that would be a problem.\This customer has pretty well decided on this place. response:	Nana!
context: I'm a broken rose\I wanna need your love\Huh?\Too bad! Someone beat us to it.\Would it be all right if I show this person the place too?\Huh? Sorry but that would be a problem.\This customer has pretty well decided on this place.\Nana! response:	That's you, right, Nana?! No way! What a coincidence!
context: I wanna need your love\Huh?\Too bad! Someone beat us to it.\Would it be all right if I show this person the place too?\Huh? Sorry but that would be a problem.\This customer has pretty well decided on this place.\Nana!\That's you, right, Nana?! No way! What a coincidence! response:	Who are you?
context: Huh?\Too bad! Someone beat us to it.\Would it be all right if I show this person the place too?\Huh? Sorry but that would be a problem.\This customer has pretty well decided on this place.\Nana!\That's you, right, Nana?! No way! What a coincidence!\Who are you? response:	Am I such a forgettable person?
context: Too bad! Someone beat us to it.\Would it be all right if I show this person the place too?\Huh? Sorry but that would be a problem.\This customer has pretty well decided on this place.\Nana!\That's you, right, Nana?! No way! What a coincidence!\Who are you?\Am I such a forgettable person? response:	Sorry, sorry.
context: Would it be all right if I show this person the place too?\Huh? Sorry but that would be a problem.\This customer has pretty well decided on this place.\Nana!\That's you, right, Nana?! No way! What a coincidence!\Who are you?\Am I such a forgettable person?\Sorry, sorry. response:	Are you all right, Nana?
context: Huh? Sorry but that would be a problem.\This customer has pretty well decided on this place.\Nana!\That's you, right, Nana?! No way! What a coincidence!\Who are you?\Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana? response:	So you do remember.
context: This customer has pretty well decided on this place.\Nana!\That's you, right, Nana?! No way! What a coincidence!\Who are you?\Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana?\So you do remember. response:	I didn't recognize you at first.
context: Nana!\That's you, right, Nana?! No way! What a coincidence!\Who are you?\Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana?\So you do remember.\I didn't recognize you at first. response:	You look different with these clothes and hairdo.
context: That's you, right, Nana?! No way! What a coincidence!\Who are you?\Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana?\So you do remember.\I didn't recognize you at first.\You look different with these clothes and hairdo. response:	You don't have a fixed style, do you?
context: Who are you?\Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana?\So you do remember.\I didn't recognize you at first.\You look different with these clothes and hairdo.\You don't have a fixed style, do you? response:	So, are you two friends?
context: Am I such a forgettable person?\Sorry, sorry.\Are you all right, Nana?\So you do remember.\I didn't recognize you at first.\You look different with these clothes and hairdo.\You don't have a fixed style, do you?\So, are you two friends? response:	- I wouldn't really say we're friends... - Yes, we are!
context: Sorry, sorry.\Are you all right, Nana?\So you do remember.\I didn't recognize you at first.\You look different with these clothes and hairdo.\You don't have a fixed style, do you?\So, are you two friends?\- I wouldn't really say we're friends... - Yes, we are! response:	Anyway, you. Miss Osaki? What's your decision?
