context: Just now joining us, Julius? response:	Thanks for gracing us with your presence.
context: Just now joining us, Julius?\Thanks for gracing us with your presence. response:	Please... You will ruin my reputation.
context: Just now joining us, Julius?\Thanks for gracing us with your presence.\Please... You will ruin my reputation. response:	But I am not the man called Julius.
context: Just now joining us, Julius?\Thanks for gracing us with your presence.\Please... You will ruin my reputation.\But I am not the man called Julius. response:	Let's see...
context: Just now joining us, Julius?\Thanks for gracing us with your presence.\Please... You will ruin my reputation.\But I am not the man called Julius.\Let's see... response:	Perhaps I shall go by Juli.
context: Just now joining us, Julius?\Thanks for gracing us with your presence.\Please... You will ruin my reputation.\But I am not the man called Julius.\Let's see...\Perhaps I shall go by Juli. response:	Even if it is temporary,
context: Just now joining us, Julius?\Thanks for gracing us with your presence.\Please... You will ruin my reputation.\But I am not the man called Julius.\Let's see...\Perhaps I shall go by Juli.\Even if it is temporary, response:	a man with a knight's status must never lower himself
context: Just now joining us, Julius?\Thanks for gracing us with your presence.\Please... You will ruin my reputation.\But I am not the man called Julius.\Let's see...\Perhaps I shall go by Juli.\Even if it is temporary,\a man with a knight's status must never lower himself response:	to the rank of mercenary.
context: Thanks for gracing us with your presence.\Please... You will ruin my reputation.\But I am not the man called Julius.\Let's see...\Perhaps I shall go by Juli.\Even if it is temporary,\a man with a knight's status must never lower himself\to the rank of mercenary. response:	The man you see here is not Julius Euclius, the knight,
context: Please... You will ruin my reputation.\But I am not the man called Julius.\Let's see...\Perhaps I shall go by Juli.\Even if it is temporary,\a man with a knight's status must never lower himself\to the rank of mercenary.\The man you see here is not Julius Euclius, the knight, response:	but a simple wanderer called Juli.
context: But I am not the man called Julius.\Let's see...\Perhaps I shall go by Juli.\Even if it is temporary,\a man with a knight's status must never lower himself\to the rank of mercenary.\The man you see here is not Julius Euclius, the knight,\but a simple wanderer called Juli. response:	A proper household's code of chivalry is a real pain, huh?
context: Let's see...\Perhaps I shall go by Juli.\Even if it is temporary,\a man with a knight's status must never lower himself\to the rank of mercenary.\The man you see here is not Julius Euclius, the knight,\but a simple wanderer called Juli.\A proper household's code of chivalry is a real pain, huh? response:	Bull...
context: Perhaps I shall go by Juli.\Even if it is temporary,\a man with a knight's status must never lower himself\to the rank of mercenary.\The man you see here is not Julius Euclius, the knight,\but a simple wanderer called Juli.\A proper household's code of chivalry is a real pain, huh?\Bull... response:	It seems you're doing better than I expected.
context: Even if it is temporary,\a man with a knight's status must never lower himself\to the rank of mercenary.\The man you see here is not Julius Euclius, the knight,\but a simple wanderer called Juli.\A proper household's code of chivalry is a real pain, huh?\Bull...\It seems you're doing better than I expected. response:	How are you feeling?
context: a man with a knight's status must never lower himself\to the rank of mercenary.\The man you see here is not Julius Euclius, the knight,\but a simple wanderer called Juli.\A proper household's code of chivalry is a real pain, huh?\Bull...\It seems you're doing better than I expected.\How are you feeling? response:	Well, there were only some scratches!
context: to the rank of mercenary.\The man you see here is not Julius Euclius, the knight,\but a simple wanderer called Juli.\A proper household's code of chivalry is a real pain, huh?\Bull...\It seems you're doing better than I expected.\How are you feeling?\Well, there were only some scratches! response:	A little spit fixed them right up!
context: The man you see here is not Julius Euclius, the knight,\but a simple wanderer called Juli.\A proper household's code of chivalry is a real pain, huh?\Bull...\It seems you're doing better than I expected.\How are you feeling?\Well, there were only some scratches!\A little spit fixed them right up! response:	What about you?
