context: TS response:	OP
context: TS\OP response:	Of course, everyone here knows Miller.
context: TS\OP\Of course, everyone here knows Miller. response:	She was scouted while performing here, right?
context: TS\OP\Of course, everyone here knows Miller.\She was scouted while performing here, right? response:	By Generation Bleu, I think.
context: TS\OP\Of course, everyone here knows Miller.\She was scouted while performing here, right?\By Generation Bleu, I think. response:	There's really no mistake, Gazelle.
context: TS\OP\Of course, everyone here knows Miller.\She was scouted while performing here, right?\By Generation Bleu, I think.\There's really no mistake, Gazelle. response:	Miller and her band are...
context: TS\OP\Of course, everyone here knows Miller.\She was scouted while performing here, right?\By Generation Bleu, I think.\There's really no mistake, Gazelle.\Miller and her band are... response:	Did you hear about that here?
context: TS\OP\Of course, everyone here knows Miller.\She was scouted while performing here, right?\By Generation Bleu, I think.\There's really no mistake, Gazelle.\Miller and her band are...\Did you hear about that here? response:	I don't know, but a company like GenBlu signing a musician directly is a bit strange...
context: OP\Of course, everyone here knows Miller.\She was scouted while performing here, right?\By Generation Bleu, I think.\There's really no mistake, Gazelle.\Miller and her band are...\Did you hear about that here?\I don't know, but a company like GenBlu signing a musician directly is a bit strange... response:	Well, GenBlu HQ is a big city where tens of thousands of people live.
context: Of course, everyone here knows Miller.\She was scouted while performing here, right?\By Generation Bleu, I think.\There's really no mistake, Gazelle.\Miller and her band are...\Did you hear about that here?\I don't know, but a company like GenBlu signing a musician directly is a bit strange...\Well, GenBlu HQ is a big city where tens of thousands of people live. response:	But they said it's just a six month contract...
context: She was scouted while performing here, right?\By Generation Bleu, I think.\There's really no mistake, Gazelle.\Miller and her band are...\Did you hear about that here?\I don't know, but a company like GenBlu signing a musician directly is a bit strange...\Well, GenBlu HQ is a big city where tens of thousands of people live.\But they said it's just a six month contract... response:	What exactly do you guys want to know?
context: By Generation Bleu, I think.\There's really no mistake, Gazelle.\Miller and her band are...\Did you hear about that here?\I don't know, but a company like GenBlu signing a musician directly is a bit strange...\Well, GenBlu HQ is a big city where tens of thousands of people live.\But they said it's just a six month contract...\What exactly do you guys want to know? response:	The identity of the woman named Miller!
context: There's really no mistake, Gazelle.\Miller and her band are...\Did you hear about that here?\I don't know, but a company like GenBlu signing a musician directly is a bit strange...\Well, GenBlu HQ is a big city where tens of thousands of people live.\But they said it's just a six month contract...\What exactly do you guys want to know?\The identity of the woman named Miller! response:	This is Miller, right?
context: Miller and her band are...\Did you hear about that here?\I don't know, but a company like GenBlu signing a musician directly is a bit strange...\Well, GenBlu HQ is a big city where tens of thousands of people live.\But they said it's just a six month contract...\What exactly do you guys want to know?\The identity of the woman named Miller!\This is Miller, right? response:	Yeah.
context: Did you hear about that here?\I don't know, but a company like GenBlu signing a musician directly is a bit strange...\Well, GenBlu HQ is a big city where tens of thousands of people live.\But they said it's just a six month contract...\What exactly do you guys want to know?\The identity of the woman named Miller!\This is Miller, right?\Yeah. response:	This proves Miller the singer really exists.
context: I don't know, but a company like GenBlu signing a musician directly is a bit strange...\Well, GenBlu HQ is a big city where tens of thousands of people live.\But they said it's just a six month contract...\What exactly do you guys want to know?\The identity of the woman named Miller!\This is Miller, right?\Yeah.\This proves Miller the singer really exists. response:	The whole thing is nonsense!
context: Well, GenBlu HQ is a big city where tens of thousands of people live.\But they said it's just a six month contract...\What exactly do you guys want to know?\The identity of the woman named Miller!\This is Miller, right?\Yeah.\This proves Miller the singer really exists.\The whole thing is nonsense! response:	Have you ever been to one of her shows?
context: But they said it's just a six month contract...\What exactly do you guys want to know?\The identity of the woman named Miller!\This is Miller, right?\Yeah.\This proves Miller the singer really exists.\The whole thing is nonsense!\Have you ever been to one of her shows? response:	It's so passionate and sexy!
context: What exactly do you guys want to know?\The identity of the woman named Miller!\This is Miller, right?\Yeah.\This proves Miller the singer really exists.\The whole thing is nonsense!\Have you ever been to one of her shows?\It's so passionate and sexy! response:	Compared to her, that girl is just...
context: The identity of the woman named Miller!\This is Miller, right?\Yeah.\This proves Miller the singer really exists.\The whole thing is nonsense!\Have you ever been to one of her shows?\It's so passionate and sexy!\Compared to her, that girl is just... response:	Y'know, just a little female geek.
context: This is Miller, right?\Yeah.\This proves Miller the singer really exists.\The whole thing is nonsense!\Have you ever been to one of her shows?\It's so passionate and sexy!\Compared to her, that girl is just...\Y'know, just a little female geek. response:	We're going to America.
context: Yeah.\This proves Miller the singer really exists.\The whole thing is nonsense!\Have you ever been to one of her shows?\It's so passionate and sexy!\Compared to her, that girl is just...\Y'know, just a little female geek.\We're going to America. response:	Again?
context: This proves Miller the singer really exists.\The whole thing is nonsense!\Have you ever been to one of her shows?\It's so passionate and sexy!\Compared to her, that girl is just...\Y'know, just a little female geek.\We're going to America.\Again? response:	To Elena Peoples' birthplace?
context: The whole thing is nonsense!\Have you ever been to one of her shows?\It's so passionate and sexy!\Compared to her, that girl is just...\Y'know, just a little female geek.\We're going to America.\Again?\To Elena Peoples' birthplace? response:	Kyrie.
context: Have you ever been to one of her shows?\It's so passionate and sexy!\Compared to her, that girl is just...\Y'know, just a little female geek.\We're going to America.\Again?\To Elena Peoples' birthplace?\Kyrie. response:	Kyrie!
context: It's so passionate and sexy!\Compared to her, that girl is just...\Y'know, just a little female geek.\We're going to America.\Again?\To Elena Peoples' birthplace?\Kyrie.\Kyrie! response:	Respond to me!
context: Compared to her, that girl is just...\Y'know, just a little female geek.\We're going to America.\Again?\To Elena Peoples' birthplace?\Kyrie.\Kyrie!\Respond to me! response:	Elena!
context: Y'know, just a little female geek.\We're going to America.\Again?\To Elena Peoples' birthplace?\Kyrie.\Kyrie!\Respond to me!\Elena! response:	Elena?
context: We're going to America.\Again?\To Elena Peoples' birthplace?\Kyrie.\Kyrie!\Respond to me!\Elena!\Elena? response:	Is that... me?
context: Again?\To Elena Peoples' birthplace?\Kyrie.\Kyrie!\Respond to me!\Elena!\Elena?\Is that... me? response:	Is that another comic book quote?
context: To Elena Peoples' birthplace?\Kyrie.\Kyrie!\Respond to me!\Elena!\Elena?\Is that... me?\Is that another comic book quote? response:	I don't think so...
context: Kyrie.\Kyrie!\Respond to me!\Elena!\Elena?\Is that... me?\Is that another comic book quote?\I don't think so... response:	Where's Ao?
context: Kyrie!\Respond to me!\Elena!\Elena?\Is that... me?\Is that another comic book quote?\I don't think so...\Where's Ao? response:	I don't see any Secrets around.
context: Respond to me!\Elena!\Elena?\Is that... me?\Is that another comic book quote?\I don't think so...\Where's Ao?\I don't see any Secrets around. response:	There is no mistake that a Scub Burst has occurred.
context: Elena!\Elena?\Is that... me?\Is that another comic book quote?\I don't think so...\Where's Ao?\I don't see any Secrets around.\There is no mistake that a Scub Burst has occurred. response:	The pillars of light that come with the emergences of Scub Corals and Secrets have been sighted.
context: Elena?\Is that... me?\Is that another comic book quote?\I don't think so...\Where's Ao?\I don't see any Secrets around.\There is no mistake that a Scub Burst has occurred.\The pillars of light that come with the emergences of Scub Corals and Secrets have been sighted. response:	The Secret is definitely closing in on the Scub.
context: Is that... me?\Is that another comic book quote?\I don't think so...\Where's Ao?\I don't see any Secrets around.\There is no mistake that a Scub Burst has occurred.\The pillars of light that come with the emergences of Scub Corals and Secrets have been sighted.\The Secret is definitely closing in on the Scub. response:	I've been wondering for a while, but what exactly are those pillars of light?
context: Is that another comic book quote?\I don't think so...\Where's Ao?\I don't see any Secrets around.\There is no mistake that a Scub Burst has occurred.\The pillars of light that come with the emergences of Scub Corals and Secrets have been sighted.\The Secret is definitely closing in on the Scub.\I've been wondering for a while, but what exactly are those pillars of light? response:	Ao, that's a
context: I don't think so...\Where's Ao?\I don't see any Secrets around.\There is no mistake that a Scub Burst has occurred.\The pillars of light that come with the emergences of Scub Corals and Secrets have been sighted.\The Secret is definitely closing in on the Scub.\I've been wondering for a while, but what exactly are those pillars of light?\Ao, that's a response:	Where do the Scub and the Secrets come from?
context: Where's Ao?\I don't see any Secrets around.\There is no mistake that a Scub Burst has occurred.\The pillars of light that come with the emergences of Scub Corals and Secrets have been sighted.\The Secret is definitely closing in on the Scub.\I've been wondering for a while, but what exactly are those pillars of light?\Ao, that's a\Where do the Scub and the Secrets come from? response:	There are multiple theories in regards to the origin of Secrets.
