context: Do you mean Eleven is just a friends club? response:	Something like that.
context: Do you mean Eleven is just a friends club?\Something like that. response:	Oh, you must be kidding.
context: Do you mean Eleven is just a friends club?\Something like that.\Oh, you must be kidding. response:	Huh...
context: Do you mean Eleven is just a friends club?\Something like that.\Oh, you must be kidding.\Huh... response:	You better drop the attitude!
context: Do you mean Eleven is just a friends club?\Something like that.\Oh, you must be kidding.\Huh...\You better drop the attitude! response:	You called me out, and this is what I get?
context: Do you mean Eleven is just a friends club?\Something like that.\Oh, you must be kidding.\Huh...\You better drop the attitude!\You called me out, and this is what I get? response:	I'll kill you.
context: Do you mean Eleven is just a friends club?\Something like that.\Oh, you must be kidding.\Huh...\You better drop the attitude!\You called me out, and this is what I get?\I'll kill you. response:	Hold it. Sorry, it was my fault.
context: Do you mean Eleven is just a friends club?\Something like that.\Oh, you must be kidding.\Huh...\You better drop the attitude!\You called me out, and this is what I get?\I'll kill you.\Hold it. Sorry, it was my fault. response:	Believe me. I am on your side.
context: Something like that.\Oh, you must be kidding.\Huh...\You better drop the attitude!\You called me out, and this is what I get?\I'll kill you.\Hold it. Sorry, it was my fault.\Believe me. I am on your side. response:	Does someone on your side strangle you on first sight?
context: Oh, you must be kidding.\Huh...\You better drop the attitude!\You called me out, and this is what I get?\I'll kill you.\Hold it. Sorry, it was my fault.\Believe me. I am on your side.\Does someone on your side strangle you on first sight? response:	Well, that's just how I am.
context: Huh...\You better drop the attitude!\You called me out, and this is what I get?\I'll kill you.\Hold it. Sorry, it was my fault.\Believe me. I am on your side.\Does someone on your side strangle you on first sight?\Well, that's just how I am. response:	It's no laughing matter.
context: You better drop the attitude!\You called me out, and this is what I get?\I'll kill you.\Hold it. Sorry, it was my fault.\Believe me. I am on your side.\Does someone on your side strangle you on first sight?\Well, that's just how I am.\It's no laughing matter. response:	Sorry,
context: You called me out, and this is what I get?\I'll kill you.\Hold it. Sorry, it was my fault.\Believe me. I am on your side.\Does someone on your side strangle you on first sight?\Well, that's just how I am.\It's no laughing matter.\Sorry, response:	but when people talk down to me,
context: I'll kill you.\Hold it. Sorry, it was my fault.\Believe me. I am on your side.\Does someone on your side strangle you on first sight?\Well, that's just how I am.\It's no laughing matter.\Sorry,\but when people talk down to me, response:	and I lose track of myself, and...
context: Hold it. Sorry, it was my fault.\Believe me. I am on your side.\Does someone on your side strangle you on first sight?\Well, that's just how I am.\It's no laughing matter.\Sorry,\but when people talk down to me,\and I lose track of myself, and... response:	And?
context: Believe me. I am on your side.\Does someone on your side strangle you on first sight?\Well, that's just how I am.\It's no laughing matter.\Sorry,\but when people talk down to me,\and I lose track of myself, and...\And? response:	I become someone else and start being extremely destructive.
context: Does someone on your side strangle you on first sight?\Well, that's just how I am.\It's no laughing matter.\Sorry,\but when people talk down to me,\and I lose track of myself, and...\And?\I become someone else and start being extremely destructive. response:	It was my fault, too.
context: Well, that's just how I am.\It's no laughing matter.\Sorry,\but when people talk down to me,\and I lose track of myself, and...\And?\I become someone else and start being extremely destructive.\It was my fault, too. response:	Sorry.
context: It's no laughing matter.\Sorry,\but when people talk down to me,\and I lose track of myself, and...\And?\I become someone else and start being extremely destructive.\It was my fault, too.\Sorry. response:	I'm Xiaogang. Community Head of 17th Autonomous Section.
context: Sorry,\but when people talk down to me,\and I lose track of myself, and...\And?\I become someone else and start being extremely destructive.\It was my fault, too.\Sorry.\I'm Xiaogang. Community Head of 17th Autonomous Section. response:	Community Head, huh?
context: but when people talk down to me,\and I lose track of myself, and...\And?\I become someone else and start being extremely destructive.\It was my fault, too.\Sorry.\I'm Xiaogang. Community Head of 17th Autonomous Section.\Community Head, huh? response:	A negotiator of sorts.
context: and I lose track of myself, and...\And?\I become someone else and start being extremely destructive.\It was my fault, too.\Sorry.\I'm Xiaogang. Community Head of 17th Autonomous Section.\Community Head, huh?\A negotiator of sorts. response:	Negotiator? Against the machines?
context: And?\I become someone else and start being extremely destructive.\It was my fault, too.\Sorry.\I'm Xiaogang. Community Head of 17th Autonomous Section.\Community Head, huh?\A negotiator of sorts.\Negotiator? Against the machines? response:	Yeah.
context: I become someone else and start being extremely destructive.\It was my fault, too.\Sorry.\I'm Xiaogang. Community Head of 17th Autonomous Section.\Community Head, huh?\A negotiator of sorts.\Negotiator? Against the machines?\Yeah. response:	Your abilities are your speed and your Wizard Gun, huh?
context: It was my fault, too.\Sorry.\I'm Xiaogang. Community Head of 17th Autonomous Section.\Community Head, huh?\A negotiator of sorts.\Negotiator? Against the machines?\Yeah.\Your abilities are your speed and your Wizard Gun, huh? response:	And yours?
context: Sorry.\I'm Xiaogang. Community Head of 17th Autonomous Section.\Community Head, huh?\A negotiator of sorts.\Negotiator? Against the machines?\Yeah.\Your abilities are your speed and your Wizard Gun, huh?\And yours? response:	I can't show you.
context: I'm Xiaogang. Community Head of 17th Autonomous Section.\Community Head, huh?\A negotiator of sorts.\Negotiator? Against the machines?\Yeah.\Your abilities are your speed and your Wizard Gun, huh?\And yours?\I can't show you. response:	What's this?
context: Community Head, huh?\A negotiator of sorts.\Negotiator? Against the machines?\Yeah.\Your abilities are your speed and your Wizard Gun, huh?\And yours?\I can't show you.\What's this? response:	A jamming device. I made it.
context: A negotiator of sorts.\Negotiator? Against the machines?\Yeah.\Your abilities are your speed and your Wizard Gun, huh?\And yours?\I can't show you.\What's this?\A jamming device. I made it. response:	It disrupts the machines' tracking.
context: Negotiator? Against the machines?\Yeah.\Your abilities are your speed and your Wizard Gun, huh?\And yours?\I can't show you.\What's this?\A jamming device. I made it.\It disrupts the machines' tracking. response:	Do you think we can win against the machines?
context: Yeah.\Your abilities are your speed and your Wizard Gun, huh?\And yours?\I can't show you.\What's this?\A jamming device. I made it.\It disrupts the machines' tracking.\Do you think we can win against the machines? response:	Probably not.
context: Your abilities are your speed and your Wizard Gun, huh?\And yours?\I can't show you.\What's this?\A jamming device. I made it.\It disrupts the machines' tracking.\Do you think we can win against the machines?\Probably not. response:	We Eleven are monsters, even though we look like humans.
context: And yours?\I can't show you.\What's this?\A jamming device. I made it.\It disrupts the machines' tracking.\Do you think we can win against the machines?\Probably not.\We Eleven are monsters, even though we look like humans. response:	It's hilarious that we monsters are humanity's last hope.
context: I can't show you.\What's this?\A jamming device. I made it.\It disrupts the machines' tracking.\Do you think we can win against the machines?\Probably not.\We Eleven are monsters, even though we look like humans.\It's hilarious that we monsters are humanity's last hope. response:	We all ought to disappear, including me.
context: What's this?\A jamming device. I made it.\It disrupts the machines' tracking.\Do you think we can win against the machines?\Probably not.\We Eleven are monsters, even though we look like humans.\It's hilarious that we monsters are humanity's last hope.\We all ought to disappear, including me. response:	Here they come.
