context: Morni response:	Wakanalia, please help me!
context: Morni\Wakanalia, please help me! response:	We must combine our strength
context: Morni\Wakanalia, please help me!\We must combine our strength response:	to free the sun god, who's been sealed in Amana Iward!
context: Morni\Wakanalia, please help me!\We must combine our strength\to free the sun god, who's been sealed in Amana Iward! response:	You were exiled from the Country of Sound, Musico.
context: Morni\Wakanalia, please help me!\We must combine our strength\to free the sun god, who's been sealed in Amana Iward!\You were exiled from the Country of Sound, Musico. response:	How can you save the world alone?
context: Morni\Wakanalia, please help me!\We must combine our strength\to free the sun god, who's been sealed in Amana Iward!\You were exiled from the Country of Sound, Musico.\How can you save the world alone? response:	She's not alone.
context: Morni\Wakanalia, please help me!\We must combine our strength\to free the sun god, who's been sealed in Amana Iward!\You were exiled from the Country of Sound, Musico.\How can you save the world alone?\She's not alone. response:	Sawania! You came!
context: Morni\Wakanalia, please help me!\We must combine our strength\to free the sun god, who's been sealed in Amana Iward!\You were exiled from the Country of Sound, Musico.\How can you save the world alone?\She's not alone.\Sawania! You came! response:	I couldn't leave you by yourself, Konacchine.
context: Wakanalia, please help me!\We must combine our strength\to free the sun god, who's been sealed in Amana Iward!\You were exiled from the Country of Sound, Musico.\How can you save the world alone?\She's not alone.\Sawania! You came!\I couldn't leave you by yourself, Konacchine. response:	Wakanalia.
context: We must combine our strength\to free the sun god, who's been sealed in Amana Iward!\You were exiled from the Country of Sound, Musico.\How can you save the world alone?\She's not alone.\Sawania! You came!\I couldn't leave you by yourself, Konacchine.\Wakanalia. response:	Don't you also wish to take back the Harp of the Muse?
context: to free the sun god, who's been sealed in Amana Iward!\You were exiled from the Country of Sound, Musico.\How can you save the world alone?\She's not alone.\Sawania! You came!\I couldn't leave you by yourself, Konacchine.\Wakanalia.\Don't you also wish to take back the Harp of the Muse? response:	Yes, but the Country of Sound and I are...
context: You were exiled from the Country of Sound, Musico.\How can you save the world alone?\She's not alone.\Sawania! You came!\I couldn't leave you by yourself, Konacchine.\Wakanalia.\Don't you also wish to take back the Harp of the Muse?\Yes, but the Country of Sound and I are... response:	I'm not concerned with saving the world.
context: How can you save the world alone?\She's not alone.\Sawania! You came!\I couldn't leave you by yourself, Konacchine.\Wakanalia.\Don't you also wish to take back the Harp of the Muse?\Yes, but the Country of Sound and I are...\I'm not concerned with saving the world. response:	I just want to see what the three of us can accomplish.
context: She's not alone.\Sawania! You came!\I couldn't leave you by yourself, Konacchine.\Wakanalia.\Don't you also wish to take back the Harp of the Muse?\Yes, but the Country of Sound and I are...\I'm not concerned with saving the world.\I just want to see what the three of us can accomplish. response:	It'll be fun.
context: Sawania! You came!\I couldn't leave you by yourself, Konacchine.\Wakanalia.\Don't you also wish to take back the Harp of the Muse?\Yes, but the Country of Sound and I are...\I'm not concerned with saving the world.\I just want to see what the three of us can accomplish.\It'll be fun. response:	You're right. Let's go.
context: I couldn't leave you by yourself, Konacchine.\Wakanalia.\Don't you also wish to take back the Harp of the Muse?\Yes, but the Country of Sound and I are...\I'm not concerned with saving the world.\I just want to see what the three of us can accomplish.\It'll be fun.\You're right. Let's go. response:	Taking the frog brothers,
context: Wakanalia.\Don't you also wish to take back the Harp of the Muse?\Yes, but the Country of Sound and I are...\I'm not concerned with saving the world.\I just want to see what the three of us can accomplish.\It'll be fun.\You're right. Let's go.\Taking the frog brothers, response:	Taichi and Wien, along as companions,
context: Don't you also wish to take back the Harp of the Muse?\Yes, but the Country of Sound and I are...\I'm not concerned with saving the world.\I just want to see what the three of us can accomplish.\It'll be fun.\You're right. Let's go.\Taking the frog brothers,\Taichi and Wien, along as companions, response:	they set out for the faraway land of Amano Iward.
context: Yes, but the Country of Sound and I are...\I'm not concerned with saving the world.\I just want to see what the three of us can accomplish.\It'll be fun.\You're right. Let's go.\Taking the frog brothers,\Taichi and Wien, along as companions,\they set out for the faraway land of Amano Iward. response:	Cue the first song!
context: I'm not concerned with saving the world.\I just want to see what the three of us can accomplish.\It'll be fun.\You're right. Let's go.\Taking the frog brothers,\Taichi and Wien, along as companions,\they set out for the faraway land of Amano Iward.\Cue the first song! response:	I want to play a prince.
context: I just want to see what the three of us can accomplish.\It'll be fun.\You're right. Let's go.\Taking the frog brothers,\Taichi and Wien, along as companions,\they set out for the faraway land of Amano Iward.\Cue the first song!\I want to play a prince. response:	There are no princes.
context: It'll be fun.\You're right. Let's go.\Taking the frog brothers,\Taichi and Wien, along as companions,\they set out for the faraway land of Amano Iward.\Cue the first song!\I want to play a prince.\There are no princes. response:	Hey, can I have magic powers?
context: You're right. Let's go.\Taking the frog brothers,\Taichi and Wien, along as companions,\they set out for the faraway land of Amano Iward.\Cue the first song!\I want to play a prince.\There are no princes.\Hey, can I have magic powers? response:	Why do we have to be frogs?
context: Taking the frog brothers,\Taichi and Wien, along as companions,\they set out for the faraway land of Amano Iward.\Cue the first song!\I want to play a prince.\There are no princes.\Hey, can I have magic powers?\Why do we have to be frogs? response:	This is pretty long, Konatsu.
context: Taichi and Wien, along as companions,\they set out for the faraway land of Amano Iward.\Cue the first song!\I want to play a prince.\There are no princes.\Hey, can I have magic powers?\Why do we have to be frogs?\This is pretty long, Konatsu. response:	She's right!
context: they set out for the faraway land of Amano Iward.\Cue the first song!\I want to play a prince.\There are no princes.\Hey, can I have magic powers?\Why do we have to be frogs?\This is pretty long, Konatsu.\She's right! response:	And there should be a lot more singing!
context: Cue the first song!\I want to play a prince.\There are no princes.\Hey, can I have magic powers?\Why do we have to be frogs?\This is pretty long, Konatsu.\She's right!\And there should be a lot more singing! response:	I know that!
context: I want to play a prince.\There are no princes.\Hey, can I have magic powers?\Why do we have to be frogs?\This is pretty long, Konatsu.\She's right!\And there should be a lot more singing!\I know that! response:	Weren't you just asking about magic powers?
context: There are no princes.\Hey, can I have magic powers?\Why do we have to be frogs?\This is pretty long, Konatsu.\She's right!\And there should be a lot more singing!\I know that!\Weren't you just asking about magic powers? response:	Don't worry!
context: Hey, can I have magic powers?\Why do we have to be frogs?\This is pretty long, Konatsu.\She's right!\And there should be a lot more singing!\I know that!\Weren't you just asking about magic powers?\Don't worry! response:	Wakana's grand masterpiece filling the whole auditorium.
context: Why do we have to be frogs?\This is pretty long, Konatsu.\She's right!\And there should be a lot more singing!\I know that!\Weren't you just asking about magic powers?\Don't worry!\Wakana's grand masterpiece filling the whole auditorium. response:	My what?
context: This is pretty long, Konatsu.\She's right!\And there should be a lot more singing!\I know that!\Weren't you just asking about magic powers?\Don't worry!\Wakana's grand masterpiece filling the whole auditorium.\My what? response:	How's the song coming along?
context: She's right!\And there should be a lot more singing!\I know that!\Weren't you just asking about magic powers?\Don't worry!\Wakana's grand masterpiece filling the whole auditorium.\My what?\How's the song coming along? response:	I'd like to start rehearsals soon.
context: And there should be a lot more singing!\I know that!\Weren't you just asking about magic powers?\Don't worry!\Wakana's grand masterpiece filling the whole auditorium.\My what?\How's the song coming along?\I'd like to start rehearsals soon. response:	Well, it's starting to take shape...
context: I know that!\Weren't you just asking about magic powers?\Don't worry!\Wakana's grand masterpiece filling the whole auditorium.\My what?\How's the song coming along?\I'd like to start rehearsals soon.\Well, it's starting to take shape... response:	It should be done this weekend,
context: Weren't you just asking about magic powers?\Don't worry!\Wakana's grand masterpiece filling the whole auditorium.\My what?\How's the song coming along?\I'd like to start rehearsals soon.\Well, it's starting to take shape...\It should be done this weekend, response:	or maybe by the beginning of next week.
context: Don't worry!\Wakana's grand masterpiece filling the whole auditorium.\My what?\How's the song coming along?\I'd like to start rehearsals soon.\Well, it's starting to take shape...\It should be done this weekend,\or maybe by the beginning of next week. response:	I wouldn't exactly call it a masterpiece, though.
context: Wakana's grand masterpiece filling the whole auditorium.\My what?\How's the song coming along?\I'd like to start rehearsals soon.\Well, it's starting to take shape...\It should be done this weekend,\or maybe by the beginning of next week.\I wouldn't exactly call it a masterpiece, though. response:	Okay, I'll finalize the script by then,
context: My what?\How's the song coming along?\I'd like to start rehearsals soon.\Well, it's starting to take shape...\It should be done this weekend,\or maybe by the beginning of next week.\I wouldn't exactly call it a masterpiece, though.\Okay, I'll finalize the script by then, response:	and we can start full rehearsals next week.
context: How's the song coming along?\I'd like to start rehearsals soon.\Well, it's starting to take shape...\It should be done this weekend,\or maybe by the beginning of next week.\I wouldn't exactly call it a masterpiece, though.\Okay, I'll finalize the script by then,\and we can start full rehearsals next week. response:	Okay.
context: I'd like to start rehearsals soon.\Well, it's starting to take shape...\It should be done this weekend,\or maybe by the beginning of next week.\I wouldn't exactly call it a masterpiece, though.\Okay, I'll finalize the script by then,\and we can start full rehearsals next week.\Okay. response:	Episode 11 Waxing and Waning
context: Well, it's starting to take shape...\It should be done this weekend,\or maybe by the beginning of next week.\I wouldn't exactly call it a masterpiece, though.\Okay, I'll finalize the script by then,\and we can start full rehearsals next week.\Okay.\Episode 11 Waxing and Waning response:	I wondered if it was getting a bit long.
context: It should be done this weekend,\or maybe by the beginning of next week.\I wouldn't exactly call it a masterpiece, though.\Okay, I'll finalize the script by then,\and we can start full rehearsals next week.\Okay.\Episode 11 Waxing and Waning\I wondered if it was getting a bit long. response:	You could cut it by half.
context: or maybe by the beginning of next week.\I wouldn't exactly call it a masterpiece, though.\Okay, I'll finalize the script by then,\and we can start full rehearsals next week.\Okay.\Episode 11 Waxing and Waning\I wondered if it was getting a bit long.\You could cut it by half. response:	By half?!
context: I wouldn't exactly call it a masterpiece, though.\Okay, I'll finalize the script by then,\and we can start full rehearsals next week.\Okay.\Episode 11 Waxing and Waning\I wondered if it was getting a bit long.\You could cut it by half.\By half?! response:	Agreed.
context: Okay, I'll finalize the script by then,\and we can start full rehearsals next week.\Okay.\Episode 11 Waxing and Waning\I wondered if it was getting a bit long.\You could cut it by half.\By half?!\Agreed. response:	Choir Club Culture Fair
context: and we can start full rehearsals next week.\Okay.\Episode 11 Waxing and Waning\I wondered if it was getting a bit long.\You could cut it by half.\By half?!\Agreed.\Choir Club Culture Fair response:	Beauties and the Frogs
context: Okay.\Episode 11 Waxing and Waning\I wondered if it was getting a bit long.\You could cut it by half.\By half?!\Agreed.\Choir Club Culture Fair\Beauties and the Frogs response:	Script - Miyamoto
context: Episode 11 Waxing and Waning\I wondered if it was getting a bit long.\You could cut it by half.\By half?!\Agreed.\Choir Club Culture Fair\Beauties and the Frogs\Script - Miyamoto response:	Song - Wakana
context: I wondered if it was getting a bit long.\You could cut it by half.\By half?!\Agreed.\Choir Club Culture Fair\Beauties and the Frogs\Script - Miyamoto\Song - Wakana response:	-Amigo! Amigo!
context: You could cut it by half.\By half?!\Agreed.\Choir Club Culture Fair\Beauties and the Frogs\Script - Miyamoto\Song - Wakana\-Amigo! Amigo! response:	-Hauoli
context: By half?!\Agreed.\Choir Club Culture Fair\Beauties and the Frogs\Script - Miyamoto\Song - Wakana\-Amigo! Amigo!\-Hauoli response:	Come on, you can't be serious.
context: Agreed.\Choir Club Culture Fair\Beauties and the Frogs\Script - Miyamoto\Song - Wakana\-Amigo! Amigo!\-Hauoli\Come on, you can't be serious. response:	If you put in some magic here,
context: Choir Club Culture Fair\Beauties and the Frogs\Script - Miyamoto\Song - Wakana\-Amigo! Amigo!\-Hauoli\Come on, you can't be serious.\If you put in some magic here, response:	Choreography - Sawa
context: Beauties and the Frogs\Script - Miyamoto\Song - Wakana\-Amigo! Amigo!\-Hauoli\Come on, you can't be serious.\If you put in some magic here,\Choreography - Sawa response:	Set - Tanaka
context: Script - Miyamoto\Song - Wakana\-Amigo! Amigo!\-Hauoli\Come on, you can't be serious.\If you put in some magic here,\Choreography - Sawa\Set - Tanaka response:	Props - Wien
context: Song - Wakana\-Amigo! Amigo!\-Hauoli\Come on, you can't be serious.\If you put in some magic here,\Choreography - Sawa\Set - Tanaka\Props - Wien response:	Costumes - Someone help!
context: -Amigo! Amigo!\-Hauoli\Come on, you can't be serious.\If you put in some magic here,\Choreography - Sawa\Set - Tanaka\Props - Wien\Costumes - Someone help! response:	Stage Crew - Everyone
context: -Hauoli\Come on, you can't be serious.\If you put in some magic here,\Choreography - Sawa\Set - Tanaka\Props - Wien\Costumes - Someone help!\Stage Crew - Everyone response:	(26 days to go)
context: Come on, you can't be serious.\If you put in some magic here,\Choreography - Sawa\Set - Tanaka\Props - Wien\Costumes - Someone help!\Stage Crew - Everyone\(26 days to go) response:	this scene would have a faster pace.
context: If you put in some magic here,\Choreography - Sawa\Set - Tanaka\Props - Wien\Costumes - Someone help!\Stage Crew - Everyone\(26 days to go)\this scene would have a faster pace. response:	What do you mean by sets?
context: Choreography - Sawa\Set - Tanaka\Props - Wien\Costumes - Someone help!\Stage Crew - Everyone\(26 days to go)\this scene would have a faster pace.\What do you mean by sets? response:	You know, like drawing mountains and
context: Set - Tanaka\Props - Wien\Costumes - Someone help!\Stage Crew - Everyone\(26 days to go)\this scene would have a faster pace.\What do you mean by sets?\You know, like drawing mountains and response:	castles on plywood for the scene backdrops.
context: Props - Wien\Costumes - Someone help!\Stage Crew - Everyone\(26 days to go)\this scene would have a faster pace.\What do you mean by sets?\You know, like drawing mountains and\castles on plywood for the scene backdrops. response:	So I'll have to draw?
context: Costumes - Someone help!\Stage Crew - Everyone\(26 days to go)\this scene would have a faster pace.\What do you mean by sets?\You know, like drawing mountains and\castles on plywood for the scene backdrops.\So I'll have to draw? response:	No way!
context: Stage Crew - Everyone\(26 days to go)\this scene would have a faster pace.\What do you mean by sets?\You know, like drawing mountains and\castles on plywood for the scene backdrops.\So I'll have to draw?\No way! response:	I don't do art!
context: (26 days to go)\this scene would have a faster pace.\What do you mean by sets?\You know, like drawing mountains and\castles on plywood for the scene backdrops.\So I'll have to draw?\No way!\I don't do art! response:	In fact, I was told to never draw again.
context: this scene would have a faster pace.\What do you mean by sets?\You know, like drawing mountains and\castles on plywood for the scene backdrops.\So I'll have to draw?\No way!\I don't do art!\In fact, I was told to never draw again. response:	By whom?
context: What do you mean by sets?\You know, like drawing mountains and\castles on plywood for the scene backdrops.\So I'll have to draw?\No way!\I don't do art!\In fact, I was told to never draw again.\By whom? response:	Why won't you even try?
