context: For some odd reason, it felt like something was amiss. response:	On TV, there was a match between two teams that I had never heard of before,
context: For some odd reason, it felt like something was amiss.\On TV, there was a match between two teams that I had never heard of before, response:	but for some odd reason, I felt compelled to cheer for the losing team.
context: For some odd reason, it felt like something was amiss.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team. response:	And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.
context: For some odd reason, it felt like something was amiss.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again. response:	Incoming: Suzumiya Haruhi
context: For some odd reason, it felt like something was amiss.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Incoming: Suzumiya Haruhi response:	How did I know that?
context: For some odd reason, it felt like something was amiss.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Incoming: Suzumiya Haruhi\How did I know that? response:	Kyon-kun, the phone.
context: For some odd reason, it felt like something was amiss.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Incoming: Suzumiya Haruhi\How did I know that?\Kyon-kun, the phone. response:	You don't have to tell me. I know.
context: For some odd reason, it felt like something was amiss.\On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Incoming: Suzumiya Haruhi\How did I know that?\Kyon-kun, the phone.\You don't have to tell me. I know. response:	You're free today, right?
context: On TV, there was a match between two teams that I had never heard of before,\but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Incoming: Suzumiya Haruhi\How did I know that?\Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right? response:	We're all meeting in front of the station at exactly 2 o'clock.
context: but for some odd reason, I felt compelled to cheer for the losing team.\And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Incoming: Suzumiya Haruhi\How did I know that?\Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock. response:	Make sure you come!
context: And, again for some odd reason, I had the feeling that Haruhi was about to cause a commotion again.\Incoming: Suzumiya Haruhi\How did I know that?\Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come! response:	I didn't even get to say a thing.
context: Incoming: Suzumiya Haruhi\How did I know that?\Kyon-kun, the phone.\You don't have to tell me. I know.\You're free today, right?\We're all meeting in front of the station at exactly 2 o'clock.\Make sure you come!\I didn't even get to say a thing. response:	What?
