context: Timing and Subtitles brought to you by The Little Lover Team @Viki response:	I won't take the entrance exam. I know exactly what I want to do.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I won't take the entrance exam. I know exactly what I want to do. response:	You are so spoiled and easy going.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I won't take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going. response:	I want to go back to that time.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I won't take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to go back to that time. response:	I want to be small again.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I won't take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to go back to that time.\I want to be small again. response:	Minami-kun.
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I won't take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to go back to that time.\I want to be small again.\Minami-kun. response:	Where are you Chiyomi?
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I won't take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to go back to that time.\I want to be small again.\Minami-kun.\Where are you Chiyomi? response:	Here, over here, Minami-kun!
context: Timing and Subtitles brought to you by The Little Lover Team @Viki\I won't take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to go back to that time.\I want to be small again.\Minami-kun.\Where are you Chiyomi?\Here, over here, Minami-kun! response:	Chiyomi-chan has been missing?
context: I won't take the entrance exam. I know exactly what I want to do.\You are so spoiled and easy going.\I want to go back to that time.\I want to be small again.\Minami-kun.\Where are you Chiyomi?\Here, over here, Minami-kun!\Chiyomi-chan has been missing? response:	In Tokyo?!
context: You are so spoiled and easy going.\I want to go back to that time.\I want to be small again.\Minami-kun.\Where are you Chiyomi?\Here, over here, Minami-kun!\Chiyomi-chan has been missing?\In Tokyo?! response:	What are you thinking?
context: I want to go back to that time.\I want to be small again.\Minami-kun.\Where are you Chiyomi?\Here, over here, Minami-kun!\Chiyomi-chan has been missing?\In Tokyo?!\What are you thinking? response:	I told you yesterday. The dance workshop.
context: I want to be small again.\Minami-kun.\Where are you Chiyomi?\Here, over here, Minami-kun!\Chiyomi-chan has been missing?\In Tokyo?!\What are you thinking?\I told you yesterday. The dance workshop. response:	So, please let me stay by your side.
context: Minami-kun.\Where are you Chiyomi?\Here, over here, Minami-kun!\Chiyomi-chan has been missing?\In Tokyo?!\What are you thinking?\I told you yesterday. The dance workshop.\So, please let me stay by your side. response:	Hey wait, why do I have to do that?
context: Where are you Chiyomi?\Here, over here, Minami-kun!\Chiyomi-chan has been missing?\In Tokyo?!\What are you thinking?\I told you yesterday. The dance workshop.\So, please let me stay by your side.\Hey wait, why do I have to do that? response:	Princess, please wake up.
context: Here, over here, Minami-kun!\Chiyomi-chan has been missing?\In Tokyo?!\What are you thinking?\I told you yesterday. The dance workshop.\So, please let me stay by your side.\Hey wait, why do I have to do that?\Princess, please wake up. response:	What's the matter?
context: Chiyomi-chan has been missing?\In Tokyo?!\What are you thinking?\I told you yesterday. The dance workshop.\So, please let me stay by your side.\Hey wait, why do I have to do that?\Princess, please wake up.\What's the matter? response:	Oh, you are a prince from the neighboring country.
context: In Tokyo?!\What are you thinking?\I told you yesterday. The dance workshop.\So, please let me stay by your side.\Hey wait, why do I have to do that?\Princess, please wake up.\What's the matter?\Oh, you are a prince from the neighboring country. response:	Our princess suddenly passed away today, being cast a spell by a witch.
context: What are you thinking?\I told you yesterday. The dance workshop.\So, please let me stay by your side.\Hey wait, why do I have to do that?\Princess, please wake up.\What's the matter?\Oh, you are a prince from the neighboring country.\Our princess suddenly passed away today, being cast a spell by a witch. response:	Oh. How pitiful.
context: I told you yesterday. The dance workshop.\So, please let me stay by your side.\Hey wait, why do I have to do that?\Princess, please wake up.\What's the matter?\Oh, you are a prince from the neighboring country.\Our princess suddenly passed away today, being cast a spell by a witch.\Oh. How pitiful. response:	My, how beautiful this princess is.
context: So, please let me stay by your side.\Hey wait, why do I have to do that?\Princess, please wake up.\What's the matter?\Oh, you are a prince from the neighboring country.\Our princess suddenly passed away today, being cast a spell by a witch.\Oh. How pitiful.\My, how beautiful this princess is. response:	(It's a pity) such a beautiful princess passed away.
context: Hey wait, why do I have to do that?\Princess, please wake up.\What's the matter?\Oh, you are a prince from the neighboring country.\Our princess suddenly passed away today, being cast a spell by a witch.\Oh. How pitiful.\My, how beautiful this princess is.\(It's a pity) such a beautiful princess passed away. response:	Please accept my love
context: Princess, please wake up.\What's the matter?\Oh, you are a prince from the neighboring country.\Our princess suddenly passed away today, being cast a spell by a witch.\Oh. How pitiful.\My, how beautiful this princess is.\(It's a pity) such a beautiful princess passed away.\Please accept my love response:	and come to life again.
context: What's the matter?\Oh, you are a prince from the neighboring country.\Our princess suddenly passed away today, being cast a spell by a witch.\Oh. How pitiful.\My, how beautiful this princess is.\(It's a pity) such a beautiful princess passed away.\Please accept my love\and come to life again. response:	The witch's spell is broken.
context: Oh, you are a prince from the neighboring country.\Our princess suddenly passed away today, being cast a spell by a witch.\Oh. How pitiful.\My, how beautiful this princess is.\(It's a pity) such a beautiful princess passed away.\Please accept my love\and come to life again.\The witch's spell is broken. response:	The princess came to life!
context: Our princess suddenly passed away today, being cast a spell by a witch.\Oh. How pitiful.\My, how beautiful this princess is.\(It's a pity) such a beautiful princess passed away.\Please accept my love\and come to life again.\The witch's spell is broken.\The princess came to life! response:	Prince...
context: Oh. How pitiful.\My, how beautiful this princess is.\(It's a pity) such a beautiful princess passed away.\Please accept my love\and come to life again.\The witch's spell is broken.\The princess came to life!\Prince... response:	Hooray! Hooray!
context: My, how beautiful this princess is.\(It's a pity) such a beautiful princess passed away.\Please accept my love\and come to life again.\The witch's spell is broken.\The princess came to life!\Prince...\Hooray! Hooray! response:	You helped me, right?
context: (It's a pity) such a beautiful princess passed away.\Please accept my love\and come to life again.\The witch's spell is broken.\The princess came to life!\Prince...\Hooray! Hooray!\You helped me, right? response:	Yes.
context: Please accept my love\and come to life again.\The witch's spell is broken.\The princess came to life!\Prince...\Hooray! Hooray!\You helped me, right?\Yes. response:	My beautiful princess.
context: and come to life again.\The witch's spell is broken.\The princess came to life!\Prince...\Hooray! Hooray!\You helped me, right?\Yes.\My beautiful princess. response:	Please marry me.
context: The witch's spell is broken.\The princess came to life!\Prince...\Hooray! Hooray!\You helped me, right?\Yes.\My beautiful princess.\Please marry me. response:	Yes.
context: The princess came to life!\Prince...\Hooray! Hooray!\You helped me, right?\Yes.\My beautiful princess.\Please marry me.\Yes. response:	Great!
context: Prince...\Hooray! Hooray!\You helped me, right?\Yes.\My beautiful princess.\Please marry me.\Yes.\Great! response:	The prince's kiss broke the witch's spell,
context: Hooray! Hooray!\You helped me, right?\Yes.\My beautiful princess.\Please marry me.\Yes.\Great!\The prince's kiss broke the witch's spell, response:	and the two have lived
context: You helped me, right?\Yes.\My beautiful princess.\Please marry me.\Yes.\Great!\The prince's kiss broke the witch's spell,\and the two have lived response:	happily ever after!
context: Yes.\My beautiful princess.\Please marry me.\Yes.\Great!\The prince's kiss broke the witch's spell,\and the two have lived\happily ever after! response:	It doesn't dry.
context: My beautiful princess.\Please marry me.\Yes.\Great!\The prince's kiss broke the witch's spell,\and the two have lived\happily ever after!\It doesn't dry. response:	As for me, could a prince's kiss
context: Please marry me.\Yes.\Great!\The prince's kiss broke the witch's spell,\and the two have lived\happily ever after!\It doesn't dry.\As for me, could a prince's kiss response:	return me to the original size?
context: Yes.\Great!\The prince's kiss broke the witch's spell,\and the two have lived\happily ever after!\It doesn't dry.\As for me, could a prince's kiss\return me to the original size? response:	How in the world is it possible?
context: Great!\The prince's kiss broke the witch's spell,\and the two have lived\happily ever after!\It doesn't dry.\As for me, could a prince's kiss\return me to the original size?\How in the world is it possible? response:	Yeah, right.
context: The prince's kiss broke the witch's spell,\and the two have lived\happily ever after!\It doesn't dry.\As for me, could a prince's kiss\return me to the original size?\How in the world is it possible?\Yeah, right. response:	First of all, do you have the qualities to be called a princess?
context: and the two have lived\happily ever after!\It doesn't dry.\As for me, could a prince's kiss\return me to the original size?\How in the world is it possible?\Yeah, right.\First of all, do you have the qualities to be called a princess? response:	So, who is the prince?
