context: This is a BETA version response:	Enjoy watching! I love you all!
context: This is a BETA version\Enjoy watching! I love you all! response:	When the timer goes off, please open your eyes
context: This is a BETA version\Enjoy watching! I love you all!\When the timer goes off, please open your eyes response:	When you open your eyes, you will forget all you
context: This is a BETA version\Enjoy watching! I love you all!\When the timer goes off, please open your eyes\When you open your eyes, you will forget all you response:	have said and experienced while your eyes were closed
context: This is a BETA version\Enjoy watching! I love you all!\When the timer goes off, please open your eyes\When you open your eyes, you will forget all you\have said and experienced while your eyes were closed response:	Are you still daydreaming, Kiyora!?
context: This is a BETA version\Enjoy watching! I love you all!\When the timer goes off, please open your eyes\When you open your eyes, you will forget all you\have said and experienced while your eyes were closed\Are you still daydreaming, Kiyora!? response:	What's your hand doing?!
context: This is a BETA version\Enjoy watching! I love you all!\When the timer goes off, please open your eyes\When you open your eyes, you will forget all you\have said and experienced while your eyes were closed\Are you still daydreaming, Kiyora!?\What's your hand doing?! response:	Quickly decide when to do our repeat-performance, as we have to begin practicing again.
context: This is a BETA version\Enjoy watching! I love you all!\When the timer goes off, please open your eyes\When you open your eyes, you will forget all you\have said and experienced while your eyes were closed\Are you still daydreaming, Kiyora!?\What's your hand doing?!\Quickly decide when to do our repeat-performance, as we have to begin practicing again. response:	Repeat-performance? Are you really sure we can do it?
context: Enjoy watching! I love you all!\When the timer goes off, please open your eyes\When you open your eyes, you will forget all you\have said and experienced while your eyes were closed\Are you still daydreaming, Kiyora!?\What's your hand doing?!\Quickly decide when to do our repeat-performance, as we have to begin practicing again.\Repeat-performance? Are you really sure we can do it? response:	Of course! Didn't you read the newspaper?
context: When the timer goes off, please open your eyes\When you open your eyes, you will forget all you\have said and experienced while your eyes were closed\Are you still daydreaming, Kiyora!?\What's your hand doing?!\Quickly decide when to do our repeat-performance, as we have to begin practicing again.\Repeat-performance? Are you really sure we can do it?\Of course! Didn't you read the newspaper? response:	Nope
context: When you open your eyes, you will forget all you\have said and experienced while your eyes were closed\Are you still daydreaming, Kiyora!?\What's your hand doing?!\Quickly decide when to do our repeat-performance, as we have to begin practicing again.\Repeat-performance? Are you really sure we can do it?\Of course! Didn't you read the newspaper?\Nope response:	Master! Nope
context: have said and experienced while your eyes were closed\Are you still daydreaming, Kiyora!?\What's your hand doing?!\Quickly decide when to do our repeat-performance, as we have to begin practicing again.\Repeat-performance? Are you really sure we can do it?\Of course! Didn't you read the newspaper?\Nope\Master! Nope response:	Master!
context: Are you still daydreaming, Kiyora!?\What's your hand doing?!\Quickly decide when to do our repeat-performance, as we have to begin practicing again.\Repeat-performance? Are you really sure we can do it?\Of course! Didn't you read the newspaper?\Nope\Master! Nope\Master! response:	Hai-yo!
context: What's your hand doing?!\Quickly decide when to do our repeat-performance, as we have to begin practicing again.\Repeat-performance? Are you really sure we can do it?\Of course! Didn't you read the newspaper?\Nope\Master! Nope\Master!\Hai-yo! response:	This!
context: Quickly decide when to do our repeat-performance, as we have to begin practicing again.\Repeat-performance? Are you really sure we can do it?\Of course! Didn't you read the newspaper?\Nope\Master! Nope\Master!\Hai-yo!\This! response:	Rising Star is well received.
context: Repeat-performance? Are you really sure we can do it?\Of course! Didn't you read the newspaper?\Nope\Master! Nope\Master!\Hai-yo!\This!\Rising Star is well received. response:	Yaaa, I didn't expect that we can gain profits..
context: Of course! Didn't you read the newspaper?\Nope\Master! Nope\Master!\Hai-yo!\This!\Rising Star is well received.\Yaaa, I didn't expect that we can gain profits.. response:	We should do it again!
context: Nope\Master! Nope\Master!\Hai-yo!\This!\Rising Star is well received.\Yaaa, I didn't expect that we can gain profits..\We should do it again! response:	Yosh! Let me contact all of them!
context: Master! Nope\Master!\Hai-yo!\This!\Rising Star is well received.\Yaaa, I didn't expect that we can gain profits..\We should do it again!\Yosh! Let me contact all of them! response:	Repeat-performance?
context: Master!\Hai-yo!\This!\Rising Star is well received.\Yaaa, I didn't expect that we can gain profits..\We should do it again!\Yosh! Let me contact all of them!\Repeat-performance? response:	Sure, let's do it!
context: Hai-yo!\This!\Rising Star is well received.\Yaaa, I didn't expect that we can gain profits..\We should do it again!\Yosh! Let me contact all of them!\Repeat-performance?\Sure, let's do it! response:	What? Repeat-performance? Sure!
context: This!\Rising Star is well received.\Yaaa, I didn't expect that we can gain profits..\We should do it again!\Yosh! Let me contact all of them!\Repeat-performance?\Sure, let's do it!\What? Repeat-performance? Sure! response:	Ah, it's fine with me but next time let me perform cello concerto!
context: Rising Star is well received.\Yaaa, I didn't expect that we can gain profits..\We should do it again!\Yosh! Let me contact all of them!\Repeat-performance?\Sure, let's do it!\What? Repeat-performance? Sure!\Ah, it's fine with me but next time let me perform cello concerto! response:	What are you talking about!
context: Yaaa, I didn't expect that we can gain profits..\We should do it again!\Yosh! Let me contact all of them!\Repeat-performance?\Sure, let's do it!\What? Repeat-performance? Sure!\Ah, it's fine with me but next time let me perform cello concerto!\What are you talking about! response:	With that in mind, I'm already working on it now!!
context: We should do it again!\Yosh! Let me contact all of them!\Repeat-performance?\Sure, let's do it!\What? Repeat-performance? Sure!\Ah, it's fine with me but next time let me perform cello concerto!\What are you talking about!\With that in mind, I'm already working on it now!! response:	Repeat-performance Decided!!
context: Yosh! Let me contact all of them!\Repeat-performance?\Sure, let's do it!\What? Repeat-performance? Sure!\Ah, it's fine with me but next time let me perform cello concerto!\What are you talking about!\With that in mind, I'm already working on it now!!\Repeat-performance Decided!! response:	Why??
context: Repeat-performance?\Sure, let's do it!\What? Repeat-performance? Sure!\Ah, it's fine with me but next time let me perform cello concerto!\What are you talking about!\With that in mind, I'm already working on it now!!\Repeat-performance Decided!!\Why?? response:	Why am I here in such a place?
context: Sure, let's do it!\What? Repeat-performance? Sure!\Ah, it's fine with me but next time let me perform cello concerto!\What are you talking about!\With that in mind, I'm already working on it now!!\Repeat-performance Decided!!\Why??\Why am I here in such a place? response:	Ha? Why? But didn't you suddenly call me, saying that you wanted to eat ramen?
context: What? Repeat-performance? Sure!\Ah, it's fine with me but next time let me perform cello concerto!\What are you talking about!\With that in mind, I'm already working on it now!!\Repeat-performance Decided!!\Why??\Why am I here in such a place?\Ha? Why? But didn't you suddenly call me, saying that you wanted to eat ramen? response:	Now Senpai's not afraid of going by airplane anymore.
context: Ah, it's fine with me but next time let me perform cello concerto!\What are you talking about!\With that in mind, I'm already working on it now!!\Repeat-performance Decided!!\Why??\Why am I here in such a place?\Ha? Why? But didn't you suddenly call me, saying that you wanted to eat ramen?\Now Senpai's not afraid of going by airplane anymore. response:	Please try it
context: What are you talking about!\With that in mind, I'm already working on it now!!\Repeat-performance Decided!!\Why??\Why am I here in such a place?\Ha? Why? But didn't you suddenly call me, saying that you wanted to eat ramen?\Now Senpai's not afraid of going by airplane anymore.\Please try it response:	As a starter...
context: With that in mind, I'm already working on it now!!\Repeat-performance Decided!!\Why??\Why am I here in such a place?\Ha? Why? But didn't you suddenly call me, saying that you wanted to eat ramen?\Now Senpai's not afraid of going by airplane anymore.\Please try it\As a starter... response:	what about going to Hokkaido?
context: Repeat-performance Decided!!\Why??\Why am I here in such a place?\Ha? Why? But didn't you suddenly call me, saying that you wanted to eat ramen?\Now Senpai's not afraid of going by airplane anymore.\Please try it\As a starter...\what about going to Hokkaido? response:	And by the way, why must it be Hokkaido? Is there something else?
context: Why??\Why am I here in such a place?\Ha? Why? But didn't you suddenly call me, saying that you wanted to eat ramen?\Now Senpai's not afraid of going by airplane anymore.\Please try it\As a starter...\what about going to Hokkaido?\And by the way, why must it be Hokkaido? Is there something else? response:	No..nothing..
context: Why am I here in such a place?\Ha? Why? But didn't you suddenly call me, saying that you wanted to eat ramen?\Now Senpai's not afraid of going by airplane anymore.\Please try it\As a starter...\what about going to Hokkaido?\And by the way, why must it be Hokkaido? Is there something else?\No..nothing.. response:	Seriously, just to eat ramen we're going to Hokkaido??
context: Ha? Why? But didn't you suddenly call me, saying that you wanted to eat ramen?\Now Senpai's not afraid of going by airplane anymore.\Please try it\As a starter...\what about going to Hokkaido?\And by the way, why must it be Hokkaido? Is there something else?\No..nothing..\Seriously, just to eat ramen we're going to Hokkaido?? response:	Wah, the way of thinking of the RICH is different!! But I feel bad, that you're taking me too. Hm?
context: Now Senpai's not afraid of going by airplane anymore.\Please try it\As a starter...\what about going to Hokkaido?\And by the way, why must it be Hokkaido? Is there something else?\No..nothing..\Seriously, just to eat ramen we're going to Hokkaido??\Wah, the way of thinking of the RICH is different!! But I feel bad, that you're taking me too. Hm? response:	Because it's dangerous to go alone, isn't it!
context: Please try it\As a starter...\what about going to Hokkaido?\And by the way, why must it be Hokkaido? Is there something else?\No..nothing..\Seriously, just to eat ramen we're going to Hokkaido??\Wah, the way of thinking of the RICH is different!! But I feel bad, that you're taking me too. Hm?\Because it's dangerous to go alone, isn't it! response:	Ha?
context: As a starter...\what about going to Hokkaido?\And by the way, why must it be Hokkaido? Is there something else?\No..nothing..\Seriously, just to eat ramen we're going to Hokkaido??\Wah, the way of thinking of the RICH is different!! But I feel bad, that you're taking me too. Hm?\Because it's dangerous to go alone, isn't it!\Ha? response:	But two guys going to Hokkaido, hmm... Ha?
context: what about going to Hokkaido?\And by the way, why must it be Hokkaido? Is there something else?\No..nothing..\Seriously, just to eat ramen we're going to Hokkaido??\Wah, the way of thinking of the RICH is different!! But I feel bad, that you're taking me too. Hm?\Because it's dangerous to go alone, isn't it!\Ha?\But two guys going to Hokkaido, hmm... Ha? response:	But two guys going to Hokkaido, hmm...
context: And by the way, why must it be Hokkaido? Is there something else?\No..nothing..\Seriously, just to eat ramen we're going to Hokkaido??\Wah, the way of thinking of the RICH is different!! But I feel bad, that you're taking me too. Hm?\Because it's dangerous to go alone, isn't it!\Ha?\But two guys going to Hokkaido, hmm... Ha?\But two guys going to Hokkaido, hmm... response:	Somehow it is odd, isn't it?
context: No..nothing..\Seriously, just to eat ramen we're going to Hokkaido??\Wah, the way of thinking of the RICH is different!! But I feel bad, that you're taking me too. Hm?\Because it's dangerous to go alone, isn't it!\Ha?\But two guys going to Hokkaido, hmm... Ha?\But two guys going to Hokkaido, hmm...\Somehow it is odd, isn't it? response:	That's why if we took Masumi too, it would be odd!
context: Seriously, just to eat ramen we're going to Hokkaido??\Wah, the way of thinking of the RICH is different!! But I feel bad, that you're taking me too. Hm?\Because it's dangerous to go alone, isn't it!\Ha?\But two guys going to Hokkaido, hmm... Ha?\But two guys going to Hokkaido, hmm...\Somehow it is odd, isn't it?\That's why if we took Masumi too, it would be odd! response:	Masumi-chan! Just when we were talking about him!
context: Wah, the way of thinking of the RICH is different!! But I feel bad, that you're taking me too. Hm?\Because it's dangerous to go alone, isn't it!\Ha?\But two guys going to Hokkaido, hmm... Ha?\But two guys going to Hokkaido, hmm...\Somehow it is odd, isn't it?\That's why if we took Masumi too, it would be odd!\Masumi-chan! Just when we were talking about him! response:	E-eh, what are you doing?
context: Because it's dangerous to go alone, isn't it!\Ha?\But two guys going to Hokkaido, hmm... Ha?\But two guys going to Hokkaido, hmm...\Somehow it is odd, isn't it?\That's why if we took Masumi too, it would be odd!\Masumi-chan! Just when we were talking about him!\E-eh, what are you doing? response:	You yourself, what are you doing!!
