context: People say that when someone dies, they can go to heaven. response:	But I don't think that's the case.
context: People say that when someone dies, they can go to heaven.\But I don't think that's the case. response:	When someone dies,
context: People say that when someone dies, they can go to heaven.\But I don't think that's the case.\When someone dies, response:	I'm sure that person journeys into people's hearts.
context: People say that when someone dies, they can go to heaven.\But I don't think that's the case.\When someone dies,\I'm sure that person journeys into people's hearts. response:	They live on as a memory,
context: People say that when someone dies, they can go to heaven.\But I don't think that's the case.\When someone dies,\I'm sure that person journeys into people's hearts.\They live on as a memory, response:	just like my mother and father currently live on in our hearts.
context: People say that when someone dies, they can go to heaven.\But I don't think that's the case.\When someone dies,\I'm sure that person journeys into people's hearts.\They live on as a memory,\just like my mother and father currently live on in our hearts. response:	But that, too, will eventually wane.
context: People say that when someone dies, they can go to heaven.\But I don't think that's the case.\When someone dies,\I'm sure that person journeys into people's hearts.\They live on as a memory,\just like my mother and father currently live on in our hearts.\But that, too, will eventually wane. response:	That's why people desire to leave something behind in this world.
context: People say that when someone dies, they can go to heaven.\But I don't think that's the case.\When someone dies,\I'm sure that person journeys into people's hearts.\They live on as a memory,\just like my mother and father currently live on in our hearts.\But that, too, will eventually wane.\That's why people desire to leave something behind in this world. response:	So others don't forget them.
context: But I don't think that's the case.\When someone dies,\I'm sure that person journeys into people's hearts.\They live on as a memory,\just like my mother and father currently live on in our hearts.\But that, too, will eventually wane.\That's why people desire to leave something behind in this world.\So others don't forget them. response:	Is this even going to show up?
context: When someone dies,\I'm sure that person journeys into people's hearts.\They live on as a memory,\just like my mother and father currently live on in our hearts.\But that, too, will eventually wane.\That's why people desire to leave something behind in this world.\So others don't forget them.\Is this even going to show up? response:	The viewfinder's completely black.
context: I'm sure that person journeys into people's hearts.\They live on as a memory,\just like my mother and father currently live on in our hearts.\But that, too, will eventually wane.\That's why people desire to leave something behind in this world.\So others don't forget them.\Is this even going to show up?\The viewfinder's completely black. response:	So they're not forgotten...
context: They live on as a memory,\just like my mother and father currently live on in our hearts.\But that, too, will eventually wane.\That's why people desire to leave something behind in this world.\So others don't forget them.\Is this even going to show up?\The viewfinder's completely black.\So they're not forgotten... response:	Wh-What's going on?!
