context: Late Night Show response:	Late Night Show
context: Late Night Show\Late Night Show response:	Bones 10th anniversary project
context: Late Night Show\Late Night Show\Bones 10th anniversary project response:	A healthy soul...
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul... response:	Joma, Joma, Dabarasa...
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\Joma, Joma, Dabarasa... response:	If read backwards, this line is Majo Majo Saraba da, which means something like witch, witch, farewell.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\Joma, Joma, Dabarasa...\If read backwards, this line is Majo Majo Saraba da, which means something like witch, witch, farewell. response:	Joma, Joma, Dabarasa...
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\Joma, Joma, Dabarasa...\If read backwards, this line is Majo Majo Saraba da, which means something like witch, witch, farewell.\Joma, Joma, Dabarasa... response:	Thus ends Witch Mass.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\Joma, Joma, Dabarasa...\If read backwards, this line is Majo Majo Saraba da, which means something like witch, witch, farewell.\Joma, Joma, Dabarasa...\Thus ends Witch Mass. response:	Joma, Joma, Dabarasa.
context: Late Night Show\Bones 10th anniversary project\A healthy soul...\Joma, Joma, Dabarasa...\If read backwards, this line is Majo Majo Saraba da, which means something like witch, witch, farewell.\Joma, Joma, Dabarasa...\Thus ends Witch Mass.\Joma, Joma, Dabarasa. response:	Let's go, Chrona, Ragnarok.
context: Bones 10th anniversary project\A healthy soul...\Joma, Joma, Dabarasa...\If read backwards, this line is Majo Majo Saraba da, which means something like witch, witch, farewell.\Joma, Joma, Dabarasa...\Thus ends Witch Mass.\Joma, Joma, Dabarasa.\Let's go, Chrona, Ragnarok. response:	Yes, Medusa-sama.
context: A healthy soul...\Joma, Joma, Dabarasa...\If read backwards, this line is Majo Majo Saraba da, which means something like witch, witch, farewell.\Joma, Joma, Dabarasa...\Thus ends Witch Mass.\Joma, Joma, Dabarasa.\Let's go, Chrona, Ragnarok.\Yes, Medusa-sama. response:	This is a free fansub. Not for sale or rent.
context: Joma, Joma, Dabarasa...\If read backwards, this line is Majo Majo Saraba da, which means something like witch, witch, farewell.\Joma, Joma, Dabarasa...\Thus ends Witch Mass.\Joma, Joma, Dabarasa.\Let's go, Chrona, Ragnarok.\Yes, Medusa-sama.\This is a free fansub. Not for sale or rent. response:	The good stuff has finally appeared!
context: If read backwards, this line is Majo Majo Saraba da, which means something like witch, witch, farewell.\Joma, Joma, Dabarasa...\Thus ends Witch Mass.\Joma, Joma, Dabarasa.\Let's go, Chrona, Ragnarok.\Yes, Medusa-sama.\This is a free fansub. Not for sale or rent.\The good stuff has finally appeared! response:	The late night show is filled with prized images!
context: Joma, Joma, Dabarasa...\Thus ends Witch Mass.\Joma, Joma, Dabarasa.\Let's go, Chrona, Ragnarok.\Yes, Medusa-sama.\This is a free fansub. Not for sale or rent.\The good stuff has finally appeared!\The late night show is filled with prized images! response:	For now...
context: Thus ends Witch Mass.\Joma, Joma, Dabarasa.\Let's go, Chrona, Ragnarok.\Yes, Medusa-sama.\This is a free fansub. Not for sale or rent.\The good stuff has finally appeared!\The late night show is filled with prized images!\For now... response:	It's quite awesome! So, we offered
context: Joma, Joma, Dabarasa.\Let's go, Chrona, Ragnarok.\Yes, Medusa-sama.\This is a free fansub. Not for sale or rent.\The good stuff has finally appeared!\The late night show is filled with prized images!\For now...\It's quite awesome! So, we offered response:	since it was commissioned!
context: Let's go, Chrona, Ragnarok.\Yes, Medusa-sama.\This is a free fansub. Not for sale or rent.\The good stuff has finally appeared!\The late night show is filled with prized images!\For now...\It's quite awesome! So, we offered\since it was commissioned! response:	Hold it.
context: Yes, Medusa-sama.\This is a free fansub. Not for sale or rent.\The good stuff has finally appeared!\The late night show is filled with prized images!\For now...\It's quite awesome! So, we offered\since it was commissioned!\Hold it. response:	My...
