context: Even if we're preoccupied by the spring weather, response:	playing with girls' dreams of love is abominable! Abominable snowman!
context: Even if we're preoccupied by the spring weather,\playing with girls' dreams of love is abominable! Abominable snowman! response:	In the name of the moon, Sailor Moon will punish you.
context: Even if we're preoccupied by the spring weather,\playing with girls' dreams of love is abominable! Abominable snowman!\In the name of the moon, Sailor Moon will punish you. response:	I'm sorry I'm not straightforward, I can say it in my dreams
context: Even if we're preoccupied by the spring weather,\playing with girls' dreams of love is abominable! Abominable snowman!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams response:	My thoughts are about to short circuit, I want to see you right now
context: Even if we're preoccupied by the spring weather,\playing with girls' dreams of love is abominable! Abominable snowman!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now response:	Moonlight that makes me want to cry, midnight that keeps me from calling
context: Even if we're preoccupied by the spring weather,\playing with girls' dreams of love is abominable! Abominable snowman!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling response:	Because I'm so innocent, what should I do? The heart is a kaleidoscope
context: Even if we're preoccupied by the spring weather,\playing with girls' dreams of love is abominable! Abominable snowman!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope response:	Guided by the light of the moon
context: Even if we're preoccupied by the spring weather,\playing with girls' dreams of love is abominable! Abominable snowman!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: playing with girls' dreams of love is abominable! Abominable snowman!\In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: In the name of the moon, Sailor Moon will punish you.\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade. response:	I'm a Cancer. My blood type is O and my birthstone is the pearl.
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl. response:	I'm clumsier than others and a bit of a crybaby. That's about it.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it. response:	One day, a strange black cat named Luna appeared
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared response:	and made me into a sailor warrior.
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior. response:	But she wants me to fight bad guys. That makes me really nervous.
context: We were born in the same land, miracle romance\I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous. response:	Oh well, I guess everything will be okay.
context: I believe in it, miracle romance\I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay. response:	Mysterious Sleeping Illness, Protect The Girls' Hearts In Love
context: I'm Usagi Tsukino, 14 years old. I'm in the eighth grade.\I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Mysterious Sleeping Illness, Protect The Girls' Hearts In Love response:	Jadeite, what of the energy that we are to give our great ruler?
context: I'm a Cancer. My blood type is O and my birthstone is the pearl.\I'm clumsier than others and a bit of a crybaby. That's about it.\One day, a strange black cat named Luna appeared\and made me into a sailor warrior.\But she wants me to fight bad guys. That makes me really nervous.\Oh well, I guess everything will be okay.\Mysterious Sleeping Illness, Protect The Girls' Hearts In Love\Jadeite, what of the energy that we are to give our great ruler? response:	Queen Beryl, please give us a little more time.
