context: Antarctica, huh? response:	Antarctica, yeah...
context: Antarctica, huh?\Antarctica, yeah... response:	It really is Antarctica!
context: Antarctica, huh?\Antarctica, yeah...\It really is Antarctica! response:	Yeah...
context: Antarctica, huh?\Antarctica, yeah...\It really is Antarctica!\Yeah... response:	High school girls!
context: Antarctica, huh?\Antarctica, yeah...\It really is Antarctica!\Yeah...\High school girls! response:	Yes?
context: Antarctica, huh?\Antarctica, yeah...\It really is Antarctica!\Yeah...\High school girls!\Yes? response:	Within 100 kg. You're clear.
context: Antarctica, huh?\Antarctica, yeah...\It really is Antarctica!\Yeah...\High school girls!\Yes?\Within 100 kg. You're clear. response:	I ate so much while cutting down on my sweets, but it didn't change!
context: Antarctica, huh?\Antarctica, yeah...\It really is Antarctica!\Yeah...\High school girls!\Yes?\Within 100 kg. You're clear.\I ate so much while cutting down on my sweets, but it didn't change! response:	You should think about that, my dear.
context: Antarctica, yeah...\It really is Antarctica!\Yeah...\High school girls!\Yes?\Within 100 kg. You're clear.\I ate so much while cutting down on my sweets, but it didn't change!\You should think about that, my dear. response:	Is that really what we're taking there?
context: It really is Antarctica!\Yeah...\High school girls!\Yes?\Within 100 kg. You're clear.\I ate so much while cutting down on my sweets, but it didn't change!\You should think about that, my dear.\Is that really what we're taking there? response:	We can't go in the snow cat, I suppose?
context: Yeah...\High school girls!\Yes?\Within 100 kg. You're clear.\I ate so much while cutting down on my sweets, but it didn't change!\You should think about that, my dear.\Is that really what we're taking there?\We can't go in the snow cat, I suppose? response:	Yuzuki-chan, you look like you could die right now.
context: High school girls!\Yes?\Within 100 kg. You're clear.\I ate so much while cutting down on my sweets, but it didn't change!\You should think about that, my dear.\Is that really what we're taking there?\We can't go in the snow cat, I suppose?\Yuzuki-chan, you look like you could die right now. response:	I certainly feel like it.
context: Yes?\Within 100 kg. You're clear.\I ate so much while cutting down on my sweets, but it didn't change!\You should think about that, my dear.\Is that really what we're taking there?\We can't go in the snow cat, I suppose?\Yuzuki-chan, you look like you could die right now.\I certainly feel like it. response:	Look!
context: Within 100 kg. You're clear.\I ate so much while cutting down on my sweets, but it didn't change!\You should think about that, my dear.\Is that really what we're taking there?\We can't go in the snow cat, I suppose?\Yuzuki-chan, you look like you could die right now.\I certainly feel like it.\Look! response:	It really is a big boat, isn't it?
context: I ate so much while cutting down on my sweets, but it didn't change!\You should think about that, my dear.\Is that really what we're taking there?\We can't go in the snow cat, I suppose?\Yuzuki-chan, you look like you could die right now.\I certainly feel like it.\Look!\It really is a big boat, isn't it? response:	Right?
context: You should think about that, my dear.\Is that really what we're taking there?\We can't go in the snow cat, I suppose?\Yuzuki-chan, you look like you could die right now.\I certainly feel like it.\Look!\It really is a big boat, isn't it?\Right? response:	Yeah.
context: Is that really what we're taking there?\We can't go in the snow cat, I suppose?\Yuzuki-chan, you look like you could die right now.\I certainly feel like it.\Look!\It really is a big boat, isn't it?\Right?\Yeah. response:	At least look first.
context: We can't go in the snow cat, I suppose?\Yuzuki-chan, you look like you could die right now.\I certainly feel like it.\Look!\It really is a big boat, isn't it?\Right?\Yeah.\At least look first. response:	A Place Further Than the Universe
context: Yuzuki-chan, you look like you could die right now.\I certainly feel like it.\Look!\It really is a big boat, isn't it?\Right?\Yeah.\At least look first.\A Place Further Than the Universe response:	25 Likes 17 Comments
context: I certainly feel like it.\Look!\It really is a big boat, isn't it?\Right?\Yeah.\At least look first.\A Place Further Than the Universe\25 Likes 17 Comments response:	Partial Friendship
context: Look!\It really is a big boat, isn't it?\Right?\Yeah.\At least look first.\A Place Further Than the Universe\25 Likes 17 Comments\Partial Friendship response:	JarGenie IfYouTouchMeI'llKillYou MessageRead
