context: Miss Kobayashi! Kanna! Breakfast is ready! response:	This miso soup is good.
context: Miss Kobayashi! Kanna! Breakfast is ready!\This miso soup is good. response:	Thank you. I made it using only ingredients from this world, too.
context: Miss Kobayashi! Kanna! Breakfast is ready!\This miso soup is good.\Thank you. I made it using only ingredients from this world, too. response:	We're off!
context: Miss Kobayashi! Kanna! Breakfast is ready!\This miso soup is good.\Thank you. I made it using only ingredients from this world, too.\We're off! response:	Yes, watch out for cars!
context: Miss Kobayashi! Kanna! Breakfast is ready!\This miso soup is good.\Thank you. I made it using only ingredients from this world, too.\We're off!\Yes, watch out for cars! response:	Kanna, make you sure you don't destroy them if you run into one.
context: Miss Kobayashi! Kanna! Breakfast is ready!\This miso soup is good.\Thank you. I made it using only ingredients from this world, too.\We're off!\Yes, watch out for cars!\Kanna, make you sure you don't destroy them if you run into one. response:	Yup.
context: Miss Kobayashi! Kanna! Breakfast is ready!\This miso soup is good.\Thank you. I made it using only ingredients from this world, too.\We're off!\Yes, watch out for cars!\Kanna, make you sure you don't destroy them if you run into one.\Yup. response:	Yes! This morning I wasn't chastised by Miss Kobayashi for any mistakes.
context: Miss Kobayashi! Kanna! Breakfast is ready!\This miso soup is good.\Thank you. I made it using only ingredients from this world, too.\We're off!\Yes, watch out for cars!\Kanna, make you sure you don't destroy them if you run into one.\Yup.\Yes! This morning I wasn't chastised by Miss Kobayashi for any mistakes. response:	It was a perfect morning.
context: This miso soup is good.\Thank you. I made it using only ingredients from this world, too.\We're off!\Yes, watch out for cars!\Kanna, make you sure you don't destroy them if you run into one.\Yup.\Yes! This morning I wasn't chastised by Miss Kobayashi for any mistakes.\It was a perfect morning. response:	I must be improving my skills as maid.
context: Thank you. I made it using only ingredients from this world, too.\We're off!\Yes, watch out for cars!\Kanna, make you sure you don't destroy them if you run into one.\Yup.\Yes! This morning I wasn't chastised by Miss Kobayashi for any mistakes.\It was a perfect morning.\I must be improving my skills as maid. response:	Perhaps that means I'm getting used to this world, too?
context: We're off!\Yes, watch out for cars!\Kanna, make you sure you don't destroy them if you run into one.\Yup.\Yes! This morning I wasn't chastised by Miss Kobayashi for any mistakes.\It was a perfect morning.\I must be improving my skills as maid.\Perhaps that means I'm getting used to this world, too? response:	You've been happier lately, haven't you, Kobayashi-san?
context: Yes, watch out for cars!\Kanna, make you sure you don't destroy them if you run into one.\Yup.\Yes! This morning I wasn't chastised by Miss Kobayashi for any mistakes.\It was a perfect morning.\I must be improving my skills as maid.\Perhaps that means I'm getting used to this world, too?\You've been happier lately, haven't you, Kobayashi-san? response:	Huh? Have I?
context: Kanna, make you sure you don't destroy them if you run into one.\Yup.\Yes! This morning I wasn't chastised by Miss Kobayashi for any mistakes.\It was a perfect morning.\I must be improving my skills as maid.\Perhaps that means I'm getting used to this world, too?\You've been happier lately, haven't you, Kobayashi-san?\Huh? Have I? response:	You used to be a bit more stoic before.
context: Yup.\Yes! This morning I wasn't chastised by Miss Kobayashi for any mistakes.\It was a perfect morning.\I must be improving my skills as maid.\Perhaps that means I'm getting used to this world, too?\You've been happier lately, haven't you, Kobayashi-san?\Huh? Have I?\You used to be a bit more stoic before. response:	It's like you've become a little more open.
context: Yes! This morning I wasn't chastised by Miss Kobayashi for any mistakes.\It was a perfect morning.\I must be improving my skills as maid.\Perhaps that means I'm getting used to this world, too?\You've been happier lately, haven't you, Kobayashi-san?\Huh? Have I?\You used to be a bit more stoic before.\It's like you've become a little more open. response:	See you later.
context: It was a perfect morning.\I must be improving my skills as maid.\Perhaps that means I'm getting used to this world, too?\You've been happier lately, haven't you, Kobayashi-san?\Huh? Have I?\You used to be a bit more stoic before.\It's like you've become a little more open.\See you later. response:	I guess it's been two months since she showed up, huh?
context: I must be improving my skills as maid.\Perhaps that means I'm getting used to this world, too?\You've been happier lately, haven't you, Kobayashi-san?\Huh? Have I?\You used to be a bit more stoic before.\It's like you've become a little more open.\See you later.\I guess it's been two months since she showed up, huh? response:	What was I like back then?
context: Perhaps that means I'm getting used to this world, too?\You've been happier lately, haven't you, Kobayashi-san?\Huh? Have I?\You used to be a bit more stoic before.\It's like you've become a little more open.\See you later.\I guess it's been two months since she showed up, huh?\What was I like back then? response:	The secret is to marinate it in honey.
context: You've been happier lately, haven't you, Kobayashi-san?\Huh? Have I?\You used to be a bit more stoic before.\It's like you've become a little more open.\See you later.\I guess it's been two months since she showed up, huh?\What was I like back then?\The secret is to marinate it in honey. response:	Today's Po i n t
context: Huh? Have I?\You used to be a bit more stoic before.\It's like you've become a little more open.\See you later.\I guess it's been two months since she showed up, huh?\What was I like back then?\The secret is to marinate it in honey.\Today's Po i n t response:	Then it'll grow softer, and the meat will absorb flavor more easily.
context: You used to be a bit more stoic before.\It's like you've become a little more open.\See you later.\I guess it's been two months since she showed up, huh?\What was I like back then?\The secret is to marinate it in honey.\Today's Po i n t\Then it'll grow softer, and the meat will absorb flavor more easily. response:	Maybe Miss Kobayashi will eat my tail meat if I prepare it like that.
context: It's like you've become a little more open.\See you later.\I guess it's been two months since she showed up, huh?\What was I like back then?\The secret is to marinate it in honey.\Today's Po i n t\Then it'll grow softer, and the meat will absorb flavor more easily.\Maybe Miss Kobayashi will eat my tail meat if I prepare it like that. response:	What modern girls want their lover to do most!
context: See you later.\I guess it's been two months since she showed up, huh?\What was I like back then?\The secret is to marinate it in honey.\Today's Po i n t\Then it'll grow softer, and the meat will absorb flavor more easily.\Maybe Miss Kobayashi will eat my tail meat if I prepare it like that.\What modern girls want their lover to do most! response:	2) Pet their head 3) Hold their hand in public 4) Carry like a princess 5) Hug them from behind
context: I guess it's been two months since she showed up, huh?\What was I like back then?\The secret is to marinate it in honey.\Today's Po i n t\Then it'll grow softer, and the meat will absorb flavor more easily.\Maybe Miss Kobayashi will eat my tail meat if I prepare it like that.\What modern girls want their lover to do most!\2) Pet their head 3) Hold their hand in public 4) Carry like a princess 5) Hug them from behind response:	First place is...
context: What was I like back then?\The secret is to marinate it in honey.\Today's Po i n t\Then it'll grow softer, and the meat will absorb flavor more easily.\Maybe Miss Kobayashi will eat my tail meat if I prepare it like that.\What modern girls want their lover to do most!\2) Pet their head 3) Hold their hand in public 4) Carry like a princess 5) Hug them from behind\First place is... response:	2) Head petted 3) Holding hands in public
context: The secret is to marinate it in honey.\Today's Po i n t\Then it'll grow softer, and the meat will absorb flavor more easily.\Maybe Miss Kobayashi will eat my tail meat if I prepare it like that.\What modern girls want their lover to do most!\2) Pet their head 3) Hold their hand in public 4) Carry like a princess 5) Hug them from behind\First place is...\2) Head petted 3) Holding hands in public response:	1) Push them against a wall
context: Today's Po i n t\Then it'll grow softer, and the meat will absorb flavor more easily.\Maybe Miss Kobayashi will eat my tail meat if I prepare it like that.\What modern girls want their lover to do most!\2) Pet their head 3) Hold their hand in public 4) Carry like a princess 5) Hug them from behind\First place is...\2) Head petted 3) Holding hands in public\1) Push them against a wall response:	being pushed against a wall!
context: Then it'll grow softer, and the meat will absorb flavor more easily.\Maybe Miss Kobayashi will eat my tail meat if I prepare it like that.\What modern girls want their lover to do most!\2) Pet their head 3) Hold their hand in public 4) Carry like a princess 5) Hug them from behind\First place is...\2) Head petted 3) Holding hands in public\1) Push them against a wall\being pushed against a wall! response:	I'd love to experience it myself at least once!
context: Maybe Miss Kobayashi will eat my tail meat if I prepare it like that.\What modern girls want their lover to do most!\2) Pet their head 3) Hold their hand in public 4) Carry like a princess 5) Hug them from behind\First place is...\2) Head petted 3) Holding hands in public\1) Push them against a wall\being pushed against a wall!\I'd love to experience it myself at least once! response:	Hmm, so they pursue love with sounds.
context: What modern girls want their lover to do most!\2) Pet their head 3) Hold their hand in public 4) Carry like a princess 5) Hug them from behind\First place is...\2) Head petted 3) Holding hands in public\1) Push them against a wall\being pushed against a wall!\I'd love to experience it myself at least once!\Hmm, so they pursue love with sounds. response:	Just like birds.
context: 2) Pet their head 3) Hold their hand in public 4) Carry like a princess 5) Hug them from behind\First place is...\2) Head petted 3) Holding hands in public\1) Push them against a wall\being pushed against a wall!\I'd love to experience it myself at least once!\Hmm, so they pursue love with sounds.\Just like birds. response:	Me, too!
context: First place is...\2) Head petted 3) Holding hands in public\1) Push them against a wall\being pushed against a wall!\I'd love to experience it myself at least once!\Hmm, so they pursue love with sounds.\Just like birds.\Me, too! response:	Pursue love...
context: 2) Head petted 3) Holding hands in public\1) Push them against a wall\being pushed against a wall!\I'd love to experience it myself at least once!\Hmm, so they pursue love with sounds.\Just like birds.\Me, too!\Pursue love... response:	Miss Kobayashi.
