context: Jeez... response:	So these are the Discipline Rooms I've heard so much about...
context: Jeez...\So these are the Discipline Rooms I've heard so much about... response:	What the hell is your problem, Korona?
context: Jeez...\So these are the Discipline Rooms I've heard so much about...\What the hell is your problem, Korona? response:	Uh, right! I'm sorry!
context: Jeez...\So these are the Discipline Rooms I've heard so much about...\What the hell is your problem, Korona?\Uh, right! I'm sorry! response:	Hey, skank. You still alive?
context: Jeez...\So these are the Discipline Rooms I've heard so much about...\What the hell is your problem, Korona?\Uh, right! I'm sorry!\Hey, skank. You still alive? response:	What do you want?
context: Jeez...\So these are the Discipline Rooms I've heard so much about...\What the hell is your problem, Korona?\Uh, right! I'm sorry!\Hey, skank. You still alive?\What do you want? response:	As it happens, I have a favor to ask of you.
context: Jeez...\So these are the Discipline Rooms I've heard so much about...\What the hell is your problem, Korona?\Uh, right! I'm sorry!\Hey, skank. You still alive?\What do you want?\As it happens, I have a favor to ask of you. response:	By that you mean order, don't you?
context: Jeez...\So these are the Discipline Rooms I've heard so much about...\What the hell is your problem, Korona?\Uh, right! I'm sorry!\Hey, skank. You still alive?\What do you want?\As it happens, I have a favor to ask of you.\By that you mean order, don't you? response:	Are you gonna do it or not? What's it gonna be?
context: So these are the Discipline Rooms I've heard so much about...\What the hell is your problem, Korona?\Uh, right! I'm sorry!\Hey, skank. You still alive?\What do you want?\As it happens, I have a favor to ask of you.\By that you mean order, don't you?\Are you gonna do it or not? What's it gonna be? response:	Yeah, yeah...
context: What the hell is your problem, Korona?\Uh, right! I'm sorry!\Hey, skank. You still alive?\What do you want?\As it happens, I have a favor to ask of you.\By that you mean order, don't you?\Are you gonna do it or not? What's it gonna be?\Yeah, yeah... response:	So what is it you want me to do?
context: Uh, right! I'm sorry!\Hey, skank. You still alive?\What do you want?\As it happens, I have a favor to ask of you.\By that you mean order, don't you?\Are you gonna do it or not? What's it gonna be?\Yeah, yeah...\So what is it you want me to do? response:	Compete in the Phoenix Festa.
context: Hey, skank. You still alive?\What do you want?\As it happens, I have a favor to ask of you.\By that you mean order, don't you?\Are you gonna do it or not? What's it gonna be?\Yeah, yeah...\So what is it you want me to do?\Compete in the Phoenix Festa. response:	Hey.
context: What do you want?\As it happens, I have a favor to ask of you.\By that you mean order, don't you?\Are you gonna do it or not? What's it gonna be?\Yeah, yeah...\So what is it you want me to do?\Compete in the Phoenix Festa.\Hey. response:	R-Right!
context: As it happens, I have a favor to ask of you.\By that you mean order, don't you?\Are you gonna do it or not? What's it gonna be?\Yeah, yeah...\So what is it you want me to do?\Compete in the Phoenix Festa.\Hey.\R-Right! response:	AYATO AMAGIRI SEIDOUKAN ACADEMY
context: By that you mean order, don't you?\Are you gonna do it or not? What's it gonna be?\Yeah, yeah...\So what is it you want me to do?\Compete in the Phoenix Festa.\Hey.\R-Right!\AYATO AMAGIRI SEIDOUKAN ACADEMY response:	This Seidoukan punk... destroy him.
context: Are you gonna do it or not? What's it gonna be?\Yeah, yeah...\So what is it you want me to do?\Compete in the Phoenix Festa.\Hey.\R-Right!\AYATO AMAGIRI SEIDOUKAN ACADEMY\This Seidoukan punk... destroy him. response:	No need for you to win.
context: Yeah, yeah...\So what is it you want me to do?\Compete in the Phoenix Festa.\Hey.\R-Right!\AYATO AMAGIRI SEIDOUKAN ACADEMY\This Seidoukan punk... destroy him.\No need for you to win. response:	Oh, of course, no biggie if you do happen to win.
context: So what is it you want me to do?\Compete in the Phoenix Festa.\Hey.\R-Right!\AYATO AMAGIRI SEIDOUKAN ACADEMY\This Seidoukan punk... destroy him.\No need for you to win.\Oh, of course, no biggie if you do happen to win. response:	You make it sound so damned easy!
context: Compete in the Phoenix Festa.\Hey.\R-Right!\AYATO AMAGIRI SEIDOUKAN ACADEMY\This Seidoukan punk... destroy him.\No need for you to win.\Oh, of course, no biggie if you do happen to win.\You make it sound so damned easy! response:	So what's your reason for targeting him?
context: Hey.\R-Right!\AYATO AMAGIRI SEIDOUKAN ACADEMY\This Seidoukan punk... destroy him.\No need for you to win.\Oh, of course, no biggie if you do happen to win.\You make it sound so damned easy!\So what's your reason for targeting him? response:	Not that I'm obligated to tell you, but whatever.
context: R-Right!\AYATO AMAGIRI SEIDOUKAN ACADEMY\This Seidoukan punk... destroy him.\No need for you to win.\Oh, of course, no biggie if you do happen to win.\You make it sound so damned easy!\So what's your reason for targeting him?\Not that I'm obligated to tell you, but whatever. response:	Right!
context: AYATO AMAGIRI SEIDOUKAN ACADEMY\This Seidoukan punk... destroy him.\No need for you to win.\Oh, of course, no biggie if you do happen to win.\You make it sound so damned easy!\So what's your reason for targeting him?\Not that I'm obligated to tell you, but whatever.\Right! response:	SER=VERESTA SEIDOUKAN ACADEMY
context: This Seidoukan punk... destroy him.\No need for you to win.\Oh, of course, no biggie if you do happen to win.\You make it sound so damned easy!\So what's your reason for targeting him?\Not that I'm obligated to tell you, but whatever.\Right!\SER=VERESTA SEIDOUKAN ACADEMY response:	That punk's Ogre Lux is going to be a major pain in the ass sooner or later.
context: No need for you to win.\Oh, of course, no biggie if you do happen to win.\You make it sound so damned easy!\So what's your reason for targeting him?\Not that I'm obligated to tell you, but whatever.\Right!\SER=VERESTA SEIDOUKAN ACADEMY\That punk's Ogre Lux is going to be a major pain in the ass sooner or later. response:	If that's your take on it, it must really be powerful.
context: Oh, of course, no biggie if you do happen to win.\You make it sound so damned easy!\So what's your reason for targeting him?\Not that I'm obligated to tell you, but whatever.\Right!\SER=VERESTA SEIDOUKAN ACADEMY\That punk's Ogre Lux is going to be a major pain in the ass sooner or later.\If that's your take on it, it must really be powerful. response:	Anybody would think so if they saw it in real life.
