context: Ragna-mail connector, purge. response:	Deploy pressure barriers.
context: Ragna-mail connector, purge.\Deploy pressure barriers. response:	Dragonium reactor, engage.
context: Ragna-mail connector, purge.\Deploy pressure barriers.\Dragonium reactor, engage. response:	Connect D-brane resonator.
context: Ragna-mail connector, purge.\Deploy pressure barriers.\Dragonium reactor, engage.\Connect D-brane resonator. response:	Begin feeding all power.
context: Ragna-mail connector, purge.\Deploy pressure barriers.\Dragonium reactor, engage.\Connect D-brane resonator.\Begin feeding all power. response:	The preparations are complete.
context: Ragna-mail connector, purge.\Deploy pressure barriers.\Dragonium reactor, engage.\Connect D-brane resonator.\Begin feeding all power.\The preparations are complete. response:	But...
context: Ragna-mail connector, purge.\Deploy pressure barriers.\Dragonium reactor, engage.\Connect D-brane resonator.\Begin feeding all power.\The preparations are complete.\But... response:	Ange isn't here.
context: Ragna-mail connector, purge.\Deploy pressure barriers.\Dragonium reactor, engage.\Connect D-brane resonator.\Begin feeding all power.\The preparations are complete.\But...\Ange isn't here. response:	Why did you let her go?
context: Deploy pressure barriers.\Dragonium reactor, engage.\Connect D-brane resonator.\Begin feeding all power.\The preparations are complete.\But...\Ange isn't here.\Why did you let her go? response:	Jealousy?
context: Dragonium reactor, engage.\Connect D-brane resonator.\Begin feeding all power.\The preparations are complete.\But...\Ange isn't here.\Why did you let her go?\Jealousy? response:	Why do you need Ange?
context: Connect D-brane resonator.\Begin feeding all power.\The preparations are complete.\But...\Ange isn't here.\Why did you let her go?\Jealousy?\Why do you need Ange? response:	I've promised you my loyalty, Embryo-sama.
context: Begin feeding all power.\The preparations are complete.\But...\Ange isn't here.\Why did you let her go?\Jealousy?\Why do you need Ange?\I've promised you my loyalty, Embryo-sama. response:	I fought for you.
context: The preparations are complete.\But...\Ange isn't here.\Why did you let her go?\Jealousy?\Why do you need Ange?\I've promised you my loyalty, Embryo-sama.\I fought for you. response:	Yet it's Ange again?
context: But...\Ange isn't here.\Why did you let her go?\Jealousy?\Why do you need Ange?\I've promised you my loyalty, Embryo-sama.\I fought for you.\Yet it's Ange again? response:	Are you done with me?
context: Ange isn't here.\Why did you let her go?\Jealousy?\Why do you need Ange?\I've promised you my loyalty, Embryo-sama.\I fought for you.\Yet it's Ange again?\Are you done with me? response:	It's strong, intelligent women that will create my new world.
context: Why did you let her go?\Jealousy?\Why do you need Ange?\I've promised you my loyalty, Embryo-sama.\I fought for you.\Yet it's Ange again?\Are you done with me?\It's strong, intelligent women that will create my new world. response:	That's why I chose you.
context: Jealousy?\Why do you need Ange?\I've promised you my loyalty, Embryo-sama.\I fought for you.\Yet it's Ange again?\Are you done with me?\It's strong, intelligent women that will create my new world.\That's why I chose you. response:	I chose Ange for the same reason.
context: Why do you need Ange?\I've promised you my loyalty, Embryo-sama.\I fought for you.\Yet it's Ange again?\Are you done with me?\It's strong, intelligent women that will create my new world.\That's why I chose you.\I chose Ange for the same reason. response:	I have no use for foolish women.
context: I've promised you my loyalty, Embryo-sama.\I fought for you.\Yet it's Ange again?\Are you done with me?\It's strong, intelligent women that will create my new world.\That's why I chose you.\I chose Ange for the same reason.\I have no use for foolish women. response:	Ange will surely come here...
context: I fought for you.\Yet it's Ange again?\Are you done with me?\It's strong, intelligent women that will create my new world.\That's why I chose you.\I chose Ange for the same reason.\I have no use for foolish women.\Ange will surely come here... response:	If only to kill me.
context: Yet it's Ange again?\Are you done with me?\It's strong, intelligent women that will create my new world.\That's why I chose you.\I chose Ange for the same reason.\I have no use for foolish women.\Ange will surely come here...\If only to kill me. response:	Salia, if you were truly intelligent and strong,
context: Are you done with me?\It's strong, intelligent women that will create my new world.\That's why I chose you.\I chose Ange for the same reason.\I have no use for foolish women.\Ange will surely come here...\If only to kill me.\Salia, if you were truly intelligent and strong, response:	you would know what to do.
context: It's strong, intelligent women that will create my new world.\That's why I chose you.\I chose Ange for the same reason.\I have no use for foolish women.\Ange will surely come here...\If only to kill me.\Salia, if you were truly intelligent and strong,\you would know what to do. response:	I'll capture Ange and make her submit.
context: That's why I chose you.\I chose Ange for the same reason.\I have no use for foolish women.\Ange will surely come here...\If only to kill me.\Salia, if you were truly intelligent and strong,\you would know what to do.\I'll capture Ange and make her submit. response:	I'm hoping you do, my Salia.
context: I chose Ange for the same reason.\I have no use for foolish women.\Ange will surely come here...\If only to kill me.\Salia, if you were truly intelligent and strong,\you would know what to do.\I'll capture Ange and make her submit.\I'm hoping you do, my Salia. response:	Replace the damaged plating on the laser.
context: I have no use for foolish women.\Ange will surely come here...\If only to kill me.\Salia, if you were truly intelligent and strong,\you would know what to do.\I'll capture Ange and make her submit.\I'm hoping you do, my Salia.\Replace the damaged plating on the laser. response:	Prioritize resupplying on Rosalie's machine.
context: Ange will surely come here...\If only to kill me.\Salia, if you were truly intelligent and strong,\you would know what to do.\I'll capture Ange and make her submit.\I'm hoping you do, my Salia.\Replace the damaged plating on the laser.\Prioritize resupplying on Rosalie's machine. response:	Do a damage check on Hilda's machine.
context: If only to kill me.\Salia, if you were truly intelligent and strong,\you would know what to do.\I'll capture Ange and make her submit.\I'm hoping you do, my Salia.\Replace the damaged plating on the laser.\Prioritize resupplying on Rosalie's machine.\Do a damage check on Hilda's machine. response:	Yes, ma'am.
context: Salia, if you were truly intelligent and strong,\you would know what to do.\I'll capture Ange and make her submit.\I'm hoping you do, my Salia.\Replace the damaged plating on the laser.\Prioritize resupplying on Rosalie's machine.\Do a damage check on Hilda's machine.\Yes, ma'am. response:	Marika.
context: you would know what to do.\I'll capture Ange and make her submit.\I'm hoping you do, my Salia.\Replace the damaged plating on the laser.\Prioritize resupplying on Rosalie's machine.\Do a damage check on Hilda's machine.\Yes, ma'am.\Marika. response:	Marika!
context: I'll capture Ange and make her submit.\I'm hoping you do, my Salia.\Replace the damaged plating on the laser.\Prioritize resupplying on Rosalie's machine.\Do a damage check on Hilda's machine.\Yes, ma'am.\Marika.\Marika! response:	Merge the two Earths?
context: I'm hoping you do, my Salia.\Replace the damaged plating on the laser.\Prioritize resupplying on Rosalie's machine.\Do a damage check on Hilda's machine.\Yes, ma'am.\Marika.\Marika!\Merge the two Earths? response:	The Ragna-mails are the regulators,
context: Replace the damaged plating on the laser.\Prioritize resupplying on Rosalie's machine.\Do a damage check on Hilda's machine.\Yes, ma'am.\Marika.\Marika!\Merge the two Earths?\The Ragna-mails are the regulators, response:	and Aura is the energy source.
context: Prioritize resupplying on Rosalie's machine.\Do a damage check on Hilda's machine.\Yes, ma'am.\Marika.\Marika!\Merge the two Earths?\The Ragna-mails are the regulators,\and Aura is the energy source. response:	Embryo is going to merge the two Earths, space-time and all.
context: Do a damage check on Hilda's machine.\Yes, ma'am.\Marika.\Marika!\Merge the two Earths?\The Ragna-mails are the regulators,\and Aura is the energy source.\Embryo is going to merge the two Earths, space-time and all. response:	He'll make a new Earth.
context: Yes, ma'am.\Marika.\Marika!\Merge the two Earths?\The Ragna-mails are the regulators,\and Aura is the energy source.\Embryo is going to merge the two Earths, space-time and all.\He'll make a new Earth. response:	She can't take anymore.
context: Marika.\Marika!\Merge the two Earths?\The Ragna-mails are the regulators,\and Aura is the energy source.\Embryo is going to merge the two Earths, space-time and all.\He'll make a new Earth.\She can't take anymore. response:	She needs to rest.
context: Marika!\Merge the two Earths?\The Ragna-mails are the regulators,\and Aura is the energy source.\Embryo is going to merge the two Earths, space-time and all.\He'll make a new Earth.\She can't take anymore.\She needs to rest. response:	If the two Earths were to merge, everything would be destroyed.
context: Merge the two Earths?\The Ragna-mails are the regulators,\and Aura is the energy source.\Embryo is going to merge the two Earths, space-time and all.\He'll make a new Earth.\She can't take anymore.\She needs to rest.\If the two Earths were to merge, everything would be destroyed. response:	We must hurry.
context: The Ragna-mails are the regulators,\and Aura is the energy source.\Embryo is going to merge the two Earths, space-time and all.\He'll make a new Earth.\She can't take anymore.\She needs to rest.\If the two Earths were to merge, everything would be destroyed.\We must hurry. response:	Commander, the People of Aura wish for an alliance with the Norma.
context: and Aura is the energy source.\Embryo is going to merge the two Earths, space-time and all.\He'll make a new Earth.\She can't take anymore.\She needs to rest.\If the two Earths were to merge, everything would be destroyed.\We must hurry.\Commander, the People of Aura wish for an alliance with the Norma. response:	An alliance?
context: Embryo is going to merge the two Earths, space-time and all.\He'll make a new Earth.\She can't take anymore.\She needs to rest.\If the two Earths were to merge, everything would be destroyed.\We must hurry.\Commander, the People of Aura wish for an alliance with the Norma.\An alliance? response:	It'll be difficult to penetrate Embryo's defenses with our Ryushinki alone.
context: He'll make a new Earth.\She can't take anymore.\She needs to rest.\If the two Earths were to merge, everything would be destroyed.\We must hurry.\Commander, the People of Aura wish for an alliance with the Norma.\An alliance?\It'll be difficult to penetrate Embryo's defenses with our Ryushinki alone. response:	I imagine your situation is much the same.
context: She can't take anymore.\She needs to rest.\If the two Earths were to merge, everything would be destroyed.\We must hurry.\Commander, the People of Aura wish for an alliance with the Norma.\An alliance?\It'll be difficult to penetrate Embryo's defenses with our Ryushinki alone.\I imagine your situation is much the same. response:	It's true that we can't do anything against their Ragna-mails alone.
