context: It's a bit late to ask, but how are you feeling? response:	I'm fine.
context: It's a bit late to ask, but how are you feeling?\I'm fine. response:	Honestly, it's almost more than I can handle.
context: It's a bit late to ask, but how are you feeling?\I'm fine.\Honestly, it's almost more than I can handle. response:	Like this, I think I could pull off ten, or even twenty, projections.
context: It's a bit late to ask, but how are you feeling?\I'm fine.\Honestly, it's almost more than I can handle.\Like this, I think I could pull off ten, or even twenty, projections. response:	I'm just glad it worked.
context: It's a bit late to ask, but how are you feeling?\I'm fine.\Honestly, it's almost more than I can handle.\Like this, I think I could pull off ten, or even twenty, projections.\I'm just glad it worked. response:	Okay, now's our chance.
context: It's a bit late to ask, but how are you feeling?\I'm fine.\Honestly, it's almost more than I can handle.\Like this, I think I could pull off ten, or even twenty, projections.\I'm just glad it worked.\Okay, now's our chance. response:	Let's go.
context: It's a bit late to ask, but how are you feeling?\I'm fine.\Honestly, it's almost more than I can handle.\Like this, I think I could pull off ten, or even twenty, projections.\I'm just glad it worked.\Okay, now's our chance.\Let's go. response:	Shirou and I will sneak into Ryuudou Temple from the rear,
context: It's a bit late to ask, but how are you feeling?\I'm fine.\Honestly, it's almost more than I can handle.\Like this, I think I could pull off ten, or even twenty, projections.\I'm just glad it worked.\Okay, now's our chance.\Let's go.\Shirou and I will sneak into Ryuudou Temple from the rear, response:	then give you the signal, Saber.
context: I'm fine.\Honestly, it's almost more than I can handle.\Like this, I think I could pull off ten, or even twenty, projections.\I'm just glad it worked.\Okay, now's our chance.\Let's go.\Shirou and I will sneak into Ryuudou Temple from the rear,\then give you the signal, Saber. response:	When you see it, storm the temple through the front entrance,
context: Honestly, it's almost more than I can handle.\Like this, I think I could pull off ten, or even twenty, projections.\I'm just glad it worked.\Okay, now's our chance.\Let's go.\Shirou and I will sneak into Ryuudou Temple from the rear,\then give you the signal, Saber.\When you see it, storm the temple through the front entrance, response:	and keep his attention on you.
context: Like this, I think I could pull off ten, or even twenty, projections.\I'm just glad it worked.\Okay, now's our chance.\Let's go.\Shirou and I will sneak into Ryuudou Temple from the rear,\then give you the signal, Saber.\When you see it, storm the temple through the front entrance,\and keep his attention on you. response:	While you're doing that,
