context: So for this problem response:	What? I still don't get it.
context: So for this problem\What? I still don't get it. response:	Akagi, why did you decide to go out with me?
context: So for this problem\What? I still don't get it.\Akagi, why did you decide to go out with me? response:	Ryoko-chan, you're calling me Ma-kun, not Akagi. Remember?
context: So for this problem\What? I still don't get it.\Akagi, why did you decide to go out with me?\Ryoko-chan, you're calling me Ma-kun, not Akagi. Remember? response:	Authority
context: So for this problem\What? I still don't get it.\Akagi, why did you decide to go out with me?\Ryoko-chan, you're calling me Ma-kun, not Akagi. Remember?\Authority response:	Are we seriously doing that?
context: So for this problem\What? I still don't get it.\Akagi, why did you decide to go out with me?\Ryoko-chan, you're calling me Ma-kun, not Akagi. Remember?\Authority\Are we seriously doing that? response:	I'm not answering your question unless you call me Ma-kun.
context: So for this problem\What? I still don't get it.\Akagi, why did you decide to go out with me?\Ryoko-chan, you're calling me Ma-kun, not Akagi. Remember?\Authority\Are we seriously doing that?\I'm not answering your question unless you call me Ma-kun. response:	Ma-kun.
context: So for this problem\What? I still don't get it.\Akagi, why did you decide to go out with me?\Ryoko-chan, you're calling me Ma-kun, not Akagi. Remember?\Authority\Are we seriously doing that?\I'm not answering your question unless you call me Ma-kun.\Ma-kun. response:	I couldn't hear you.
context: What? I still don't get it.\Akagi, why did you decide to go out with me?\Ryoko-chan, you're calling me Ma-kun, not Akagi. Remember?\Authority\Are we seriously doing that?\I'm not answering your question unless you call me Ma-kun.\Ma-kun.\I couldn't hear you. response:	Say it up close.
context: Akagi, why did you decide to go out with me?\Ryoko-chan, you're calling me Ma-kun, not Akagi. Remember?\Authority\Are we seriously doing that?\I'm not answering your question unless you call me Ma-kun.\Ma-kun.\I couldn't hear you.\Say it up close. response:	Ma-kun.
context: Ryoko-chan, you're calling me Ma-kun, not Akagi. Remember?\Authority\Are we seriously doing that?\I'm not answering your question unless you call me Ma-kun.\Ma-kun.\I couldn't hear you.\Say it up close.\Ma-kun. response:	Seriously, we were talking about something important!
context: Authority\Are we seriously doing that?\I'm not answering your question unless you call me Ma-kun.\Ma-kun.\I couldn't hear you.\Say it up close.\Ma-kun.\Seriously, we were talking about something important! response:	You knew I was going to do that.
context: Are we seriously doing that?\I'm not answering your question unless you call me Ma-kun.\Ma-kun.\I couldn't hear you.\Say it up close.\Ma-kun.\Seriously, we were talking about something important!\You knew I was going to do that. response:	What did you even see in me anyway?!
context: I'm not answering your question unless you call me Ma-kun.\Ma-kun.\I couldn't hear you.\Say it up close.\Ma-kun.\Seriously, we were talking about something important!\You knew I was going to do that.\What did you even see in me anyway?! response:	I wonder.
context: Ma-kun.\I couldn't hear you.\Say it up close.\Ma-kun.\Seriously, we were talking about something important!\You knew I was going to do that.\What did you even see in me anyway?!\I wonder. response:	Dammit, we were in the middle of something serious!
context: I couldn't hear you.\Say it up close.\Ma-kun.\Seriously, we were talking about something important!\You knew I was going to do that.\What did you even see in me anyway?!\I wonder.\Dammit, we were in the middle of something serious! response:	You knew I was going to do that.
context: Say it up close.\Ma-kun.\Seriously, we were talking about something important!\You knew I was going to do that.\What did you even see in me anyway?!\I wonder.\Dammit, we were in the middle of something serious!\You knew I was going to do that. response:	What do I like about you?
context: Ma-kun.\Seriously, we were talking about something important!\You knew I was going to do that.\What did you even see in me anyway?!\I wonder.\Dammit, we were in the middle of something serious!\You knew I was going to do that.\What do I like about you? response:	Your face, I guess.
context: Seriously, we were talking about something important!\You knew I was going to do that.\What did you even see in me anyway?!\I wonder.\Dammit, we were in the middle of something serious!\You knew I was going to do that.\What do I like about you?\Your face, I guess. response:	What?
context: You knew I was going to do that.\What did you even see in me anyway?!\I wonder.\Dammit, we were in the middle of something serious!\You knew I was going to do that.\What do I like about you?\Your face, I guess.\What? response:	So my personality doesn't matter, does it?!
context: What did you even see in me anyway?!\I wonder.\Dammit, we were in the middle of something serious!\You knew I was going to do that.\What do I like about you?\Your face, I guess.\What?\So my personality doesn't matter, does it?! response:	You have a cute face, though.
context: I wonder.\Dammit, we were in the middle of something serious!\You knew I was going to do that.\What do I like about you?\Your face, I guess.\What?\So my personality doesn't matter, does it?!\You have a cute face, though. response:	You don't care about what's on the inside at all?
context: Dammit, we were in the middle of something serious!\You knew I was going to do that.\What do I like about you?\Your face, I guess.\What?\So my personality doesn't matter, does it?!\You have a cute face, though.\You don't care about what's on the inside at all? response:	Well, you're cute.
context: You knew I was going to do that.\What do I like about you?\Your face, I guess.\What?\So my personality doesn't matter, does it?!\You have a cute face, though.\You don't care about what's on the inside at all?\Well, you're cute. response:	Again, not the point.
