context: We humans are miserable creatures. response:	We reject what we fear.
context: We humans are miserable creatures.\We reject what we fear. response:	We attack because we don't understand.
context: We humans are miserable creatures.\We reject what we fear.\We attack because we don't understand. response:	Human cowardice...
context: We humans are miserable creatures.\We reject what we fear.\We attack because we don't understand.\Human cowardice... response:	I know.
context: We humans are miserable creatures.\We reject what we fear.\We attack because we don't understand.\Human cowardice...\I know. response:	You're scared too...
context: We humans are miserable creatures.\We reject what we fear.\We attack because we don't understand.\Human cowardice...\I know.\You're scared too... response:	Are you human or a Corpses?!
context: We humans are miserable creatures.\We reject what we fear.\We attack because we don't understand.\Human cowardice...\I know.\You're scared too...\Are you human or a Corpses?! response:	I'm neither!
context: We humans are miserable creatures.\We reject what we fear.\We attack because we don't understand.\Human cowardice...\I know.\You're scared too...\Are you human or a Corpses?!\I'm neither! response:	I'm a Corpseless!
context: We reject what we fear.\We attack because we don't understand.\Human cowardice...\I know.\You're scared too...\Are you human or a Corpses?!\I'm neither!\I'm a Corpseless! response:	Ikoma, this side has been taken care of.
context: We attack because we don't understand.\Human cowardice...\I know.\You're scared too...\Are you human or a Corpses?!\I'm neither!\I'm a Corpseless!\Ikoma, this side has been taken care of. response:	Hey... Ikoma?
context: Human cowardice...\I know.\You're scared too...\Are you human or a Corpses?!\I'm neither!\I'm a Corpseless!\Ikoma, this side has been taken care of.\Hey... Ikoma? response:	Ikoma...
context: I know.\You're scared too...\Are you human or a Corpses?!\I'm neither!\I'm a Corpseless!\Ikoma, this side has been taken care of.\Hey... Ikoma?\Ikoma... response:	I'm a... Corpseless.
context: You're scared too...\Are you human or a Corpses?!\I'm neither!\I'm a Corpseless!\Ikoma, this side has been taken care of.\Hey... Ikoma?\Ikoma...\I'm a... Corpseless. response:	If you fully turn into a Corpse and lose what makes you human...
context: Are you human or a Corpses?!\I'm neither!\I'm a Corpseless!\Ikoma, this side has been taken care of.\Hey... Ikoma?\Ikoma...\I'm a... Corpseless.\If you fully turn into a Corpse and lose what makes you human... response:	So you're saying Nameless can be saved with the white blood?
context: I'm neither!\I'm a Corpseless!\Ikoma, this side has been taken care of.\Hey... Ikoma?\Ikoma...\I'm a... Corpseless.\If you fully turn into a Corpse and lose what makes you human...\So you're saying Nameless can be saved with the white blood? response:	That's right.
context: I'm a Corpseless!\Ikoma, this side has been taken care of.\Hey... Ikoma?\Ikoma...\I'm a... Corpseless.\If you fully turn into a Corpse and lose what makes you human...\So you're saying Nameless can be saved with the white blood?\That's right. response:	It will be able to undo the black blood's effects.
context: Ikoma, this side has been taken care of.\Hey... Ikoma?\Ikoma...\I'm a... Corpseless.\If you fully turn into a Corpse and lose what makes you human...\So you're saying Nameless can be saved with the white blood?\That's right.\It will be able to undo the black blood's effects. response:	But with only one left, you can only save either yourself or Nameless, not both.
context: Hey... Ikoma?\Ikoma...\I'm a... Corpseless.\If you fully turn into a Corpse and lose what makes you human...\So you're saying Nameless can be saved with the white blood?\That's right.\It will be able to undo the black blood's effects.\But with only one left, you can only save either yourself or Nameless, not both. response:	Either way, you have to hurry.
context: Ikoma...\I'm a... Corpseless.\If you fully turn into a Corpse and lose what makes you human...\So you're saying Nameless can be saved with the white blood?\That's right.\It will be able to undo the black blood's effects.\But with only one left, you can only save either yourself or Nameless, not both.\Either way, you have to hurry. response:	It's only a matter of time before it takes your mind.
