context: Wow, who's that? response:	His face is so pretty.
context: Wow, who's that?\His face is so pretty. response:	Is that a girl?
context: Wow, who's that?\His face is so pretty.\Is that a girl? response:	No, you moron. He's in a guy's uniform.
context: Wow, who's that?\His face is so pretty.\Is that a girl?\No, you moron. He's in a guy's uniform. response:	I've never seen him around here before.
context: Wow, who's that?\His face is so pretty.\Is that a girl?\No, you moron. He's in a guy's uniform.\I've never seen him around here before. response:	He doesn't go to our school, does he?
context: Wow, who's that?\His face is so pretty.\Is that a girl?\No, you moron. He's in a guy's uniform.\I've never seen him around here before.\He doesn't go to our school, does he? response:	That's not our uniform. Unless, he's a...
context: Wow, who's that?\His face is so pretty.\Is that a girl?\No, you moron. He's in a guy's uniform.\I've never seen him around here before.\He doesn't go to our school, does he?\That's not our uniform. Unless, he's a... response:	A transfer student?
context: Wow, who's that?\His face is so pretty.\Is that a girl?\No, you moron. He's in a guy's uniform.\I've never seen him around here before.\He doesn't go to our school, does he?\That's not our uniform. Unless, he's a...\A transfer student? response:	There's a new transfer student today?
context: His face is so pretty.\Is that a girl?\No, you moron. He's in a guy's uniform.\I've never seen him around here before.\He doesn't go to our school, does he?\That's not our uniform. Unless, he's a...\A transfer student?\There's a new transfer student today? response:	Well, so I heard.
context: Is that a girl?\No, you moron. He's in a guy's uniform.\I've never seen him around here before.\He doesn't go to our school, does he?\That's not our uniform. Unless, he's a...\A transfer student?\There's a new transfer student today?\Well, so I heard. response:	But it seems a bit too sudden to me.
context: No, you moron. He's in a guy's uniform.\I've never seen him around here before.\He doesn't go to our school, does he?\That's not our uniform. Unless, he's a...\A transfer student?\There's a new transfer student today?\Well, so I heard.\But it seems a bit too sudden to me. response:	Apparently the teachers just never told us about it.
context: I've never seen him around here before.\He doesn't go to our school, does he?\That's not our uniform. Unless, he's a...\A transfer student?\There's a new transfer student today?\Well, so I heard.\But it seems a bit too sudden to me.\Apparently the teachers just never told us about it. response:	And I hear it's a guy.
context: He doesn't go to our school, does he?\That's not our uniform. Unless, he's a...\A transfer student?\There's a new transfer student today?\Well, so I heard.\But it seems a bit too sudden to me.\Apparently the teachers just never told us about it.\And I hear it's a guy. response:	Not only that, but people are saying he's a real pretty boy!
context: That's not our uniform. Unless, he's a...\A transfer student?\There's a new transfer student today?\Well, so I heard.\But it seems a bit too sudden to me.\Apparently the teachers just never told us about it.\And I hear it's a guy.\Not only that, but people are saying he's a real pretty boy! response:	Talk about stealing the spotlight!
context: A transfer student?\There's a new transfer student today?\Well, so I heard.\But it seems a bit too sudden to me.\Apparently the teachers just never told us about it.\And I hear it's a guy.\Not only that, but people are saying he's a real pretty boy!\Talk about stealing the spotlight! response:	Okay, everyone, I know it's a bit sudden, but we have a new student joining us today.
context: There's a new transfer student today?\Well, so I heard.\But it seems a bit too sudden to me.\Apparently the teachers just never told us about it.\And I hear it's a guy.\Not only that, but people are saying he's a real pretty boy!\Talk about stealing the spotlight!\Okay, everyone, I know it's a bit sudden, but we have a new student joining us today. response:	Come on in, Tsugumi-san.
context: Well, so I heard.\But it seems a bit too sudden to me.\Apparently the teachers just never told us about it.\And I hear it's a guy.\Not only that, but people are saying he's a real pretty boy!\Talk about stealing the spotlight!\Okay, everyone, I know it's a bit sudden, but we have a new student joining us today.\Come on in, Tsugumi-san. response:	Okay.
context: But it seems a bit too sudden to me.\Apparently the teachers just never told us about it.\And I hear it's a guy.\Not only that, but people are saying he's a real pretty boy!\Talk about stealing the spotlight!\Okay, everyone, I know it's a bit sudden, but we have a new student joining us today.\Come on in, Tsugumi-san.\Okay. response:	Pleased to make your acquaintance, everyone. I am Tsugumi Seishirou.
