context: OP response:	OP
context: OP\OP response:	ED
context: OP\OP\ED response:	Men are transient.
context: OP\OP\ED\Men are transient. response:	Time is hollow.
context: OP\OP\ED\Men are transient.\Time is hollow. response:	The sea is volatile.
context: OP\OP\ED\Men are transient.\Time is hollow.\The sea is volatile. response:	Headed for the same port, we travel across the shifting waves.
context: OP\OP\ED\Men are transient.\Time is hollow.\The sea is volatile.\Headed for the same port, we travel across the shifting waves. response:	Strange things occur, and we suspect one another.
context: OP\OP\ED\Men are transient.\Time is hollow.\The sea is volatile.\Headed for the same port, we travel across the shifting waves.\Strange things occur, and we suspect one another. response:	Ayakashi, Mononoke, Umi Bozu.
context: OP\ED\Men are transient.\Time is hollow.\The sea is volatile.\Headed for the same port, we travel across the shifting waves.\Strange things occur, and we suspect one another.\Ayakashi, Mononoke, Umi Bozu. response:	As long as darkness exists within the hearts of men, there will always be more.
context: ED\Men are transient.\Time is hollow.\The sea is volatile.\Headed for the same port, we travel across the shifting waves.\Strange things occur, and we suspect one another.\Ayakashi, Mononoke, Umi Bozu.\As long as darkness exists within the hearts of men, there will always be more. response:	Let them come, for my invitation is what they fear most.
context: Men are transient.\Time is hollow.\The sea is volatile.\Headed for the same port, we travel across the shifting waves.\Strange things occur, and we suspect one another.\Ayakashi, Mononoke, Umi Bozu.\As long as darkness exists within the hearts of men, there will always be more.\Let them come, for my invitation is what they fear most. response:	The blue moon illuminated
context: Time is hollow.\The sea is volatile.\Headed for the same port, we travel across the shifting waves.\Strange things occur, and we suspect one another.\Ayakashi, Mononoke, Umi Bozu.\As long as darkness exists within the hearts of men, there will always be more.\Let them come, for my invitation is what they fear most.\The blue moon illuminated response:	your wandering shadow.
context: The sea is volatile.\Headed for the same port, we travel across the shifting waves.\Strange things occur, and we suspect one another.\Ayakashi, Mononoke, Umi Bozu.\As long as darkness exists within the hearts of men, there will always be more.\Let them come, for my invitation is what they fear most.\The blue moon illuminated\your wandering shadow. response:	I could never tell you all I wanted to say.
context: Headed for the same port, we travel across the shifting waves.\Strange things occur, and we suspect one another.\Ayakashi, Mononoke, Umi Bozu.\As long as darkness exists within the hearts of men, there will always be more.\Let them come, for my invitation is what they fear most.\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say. response:	It was so very frustrating.
context: Strange things occur, and we suspect one another.\Ayakashi, Mononoke, Umi Bozu.\As long as darkness exists within the hearts of men, there will always be more.\Let them come, for my invitation is what they fear most.\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating. response:	I think about your faked smile,
context: Ayakashi, Mononoke, Umi Bozu.\As long as darkness exists within the hearts of men, there will always be more.\Let them come, for my invitation is what they fear most.\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile, response:	and forget all the hot tears we shed.
context: As long as darkness exists within the hearts of men, there will always be more.\Let them come, for my invitation is what they fear most.\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed. response:	What do these empty husks,
context: Let them come, for my invitation is what they fear most.\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks, response:	those empty eyes of yours, reflect, my dear?
context: The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear? response:	The transient quarter moon
context: your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon response:	hides in a rift in the clouds,
context: I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds, response:	as darkness seeps up from the ground.
context: It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed.\What do these empty husks,\those empty eyes of yours, reflect, my dear?\The transient quarter moon\hides in a rift in the clouds,\as darkness seeps up from the ground. response:	Tell me the truth, please.
