context: Ow... response:	Hold still.
context: Ow...\Hold still. response:	Okay, all done.
context: Ow...\Hold still.\Okay, all done. response:	Thanks.
context: Ow...\Hold still.\Okay, all done.\Thanks. response:	Tohsaka?
context: Ow...\Hold still.\Okay, all done.\Thanks.\Tohsaka? response:	I'm making dinner.
context: Ow...\Hold still.\Okay, all done.\Thanks.\Tohsaka?\I'm making dinner. response:	Dinner? In a situation like this?
context: Ow...\Hold still.\Okay, all done.\Thanks.\Tohsaka?\I'm making dinner.\Dinner? In a situation like this? response:	Of course.
context: Ow...\Hold still.\Okay, all done.\Thanks.\Tohsaka?\I'm making dinner.\Dinner? In a situation like this?\Of course. response:	We can't come up with decent ideas on empty stomachs, right?
context: Hold still.\Okay, all done.\Thanks.\Tohsaka?\I'm making dinner.\Dinner? In a situation like this?\Of course.\We can't come up with decent ideas on empty stomachs, right? response:	I did a lot of thinking afterward...
context: Okay, all done.\Thanks.\Tohsaka?\I'm making dinner.\Dinner? In a situation like this?\Of course.\We can't come up with decent ideas on empty stomachs, right?\I did a lot of thinking afterward... response:	About why I started fighting in the Grail War.
context: Thanks.\Tohsaka?\I'm making dinner.\Dinner? In a situation like this?\Of course.\We can't come up with decent ideas on empty stomachs, right?\I did a lot of thinking afterward...\About why I started fighting in the Grail War. response:	About what I wanted to accomplish.
context: Tohsaka?\I'm making dinner.\Dinner? In a situation like this?\Of course.\We can't come up with decent ideas on empty stomachs, right?\I did a lot of thinking afterward...\About why I started fighting in the Grail War.\About what I wanted to accomplish. response:	And?
context: I'm making dinner.\Dinner? In a situation like this?\Of course.\We can't come up with decent ideas on empty stomachs, right?\I did a lot of thinking afterward...\About why I started fighting in the Grail War.\About what I wanted to accomplish.\And? response:	At first, I was just dragged into it, but that makes no difference.
context: Dinner? In a situation like this?\Of course.\We can't come up with decent ideas on empty stomachs, right?\I did a lot of thinking afterward...\About why I started fighting in the Grail War.\About what I wanted to accomplish.\And?\At first, I was just dragged into it, but that makes no difference. response:	I like heroes of justice.
context: Of course.\We can't come up with decent ideas on empty stomachs, right?\I did a lot of thinking afterward...\About why I started fighting in the Grail War.\About what I wanted to accomplish.\And?\At first, I was just dragged into it, but that makes no difference.\I like heroes of justice. response:	So I have to protect people.
context: We can't come up with decent ideas on empty stomachs, right?\I did a lot of thinking afterward...\About why I started fighting in the Grail War.\About what I wanted to accomplish.\And?\At first, I was just dragged into it, but that makes no difference.\I like heroes of justice.\So I have to protect people. response:	Even if I'm not a Master, even if I've lost Saber,
context: I did a lot of thinking afterward...\About why I started fighting in the Grail War.\About what I wanted to accomplish.\And?\At first, I was just dragged into it, but that makes no difference.\I like heroes of justice.\So I have to protect people.\Even if I'm not a Master, even if I've lost Saber, response:	I'm going to fight nonetheless.
context: About why I started fighting in the Grail War.\About what I wanted to accomplish.\And?\At first, I was just dragged into it, but that makes no difference.\I like heroes of justice.\So I have to protect people.\Even if I'm not a Master, even if I've lost Saber,\I'm going to fight nonetheless. response:	Oh.
context: About what I wanted to accomplish.\And?\At first, I was just dragged into it, but that makes no difference.\I like heroes of justice.\So I have to protect people.\Even if I'm not a Master, even if I've lost Saber,\I'm going to fight nonetheless.\Oh. response:	Look, I'm talking seriously here. At least pay attention.
context: And?\At first, I was just dragged into it, but that makes no difference.\I like heroes of justice.\So I have to protect people.\Even if I'm not a Master, even if I've lost Saber,\I'm going to fight nonetheless.\Oh.\Look, I'm talking seriously here. At least pay attention. response:	I am paying attention.
context: At first, I was just dragged into it, but that makes no difference.\I like heroes of justice.\So I have to protect people.\Even if I'm not a Master, even if I've lost Saber,\I'm going to fight nonetheless.\Oh.\Look, I'm talking seriously here. At least pay attention.\I am paying attention. response:	The idea of others dying bothers you more than the idea of yourself dying.
context: I like heroes of justice.\So I have to protect people.\Even if I'm not a Master, even if I've lost Saber,\I'm going to fight nonetheless.\Oh.\Look, I'm talking seriously here. At least pay attention.\I am paying attention.\The idea of others dying bothers you more than the idea of yourself dying. response:	So, even if you are weak, you've decided to keep fighting, right?
context: So I have to protect people.\Even if I'm not a Master, even if I've lost Saber,\I'm going to fight nonetheless.\Oh.\Look, I'm talking seriously here. At least pay attention.\I am paying attention.\The idea of others dying bothers you more than the idea of yourself dying.\So, even if you are weak, you've decided to keep fighting, right? response:	Yeah, that's right...
context: Even if I'm not a Master, even if I've lost Saber,\I'm going to fight nonetheless.\Oh.\Look, I'm talking seriously here. At least pay attention.\I am paying attention.\The idea of others dying bothers you more than the idea of yourself dying.\So, even if you are weak, you've decided to keep fighting, right?\Yeah, that's right... response:	What's with you?
context: I'm going to fight nonetheless.\Oh.\Look, I'm talking seriously here. At least pay attention.\I am paying attention.\The idea of others dying bothers you more than the idea of yourself dying.\So, even if you are weak, you've decided to keep fighting, right?\Yeah, that's right...\What's with you? response:	You look like a squirrel that bit into a candy instead of a nut.
context: Oh.\Look, I'm talking seriously here. At least pay attention.\I am paying attention.\The idea of others dying bothers you more than the idea of yourself dying.\So, even if you are weak, you've decided to keep fighting, right?\Yeah, that's right...\What's with you?\You look like a squirrel that bit into a candy instead of a nut. response:	No, I just assumed you'd be against it.
context: Look, I'm talking seriously here. At least pay attention.\I am paying attention.\The idea of others dying bothers you more than the idea of yourself dying.\So, even if you are weak, you've decided to keep fighting, right?\Yeah, that's right...\What's with you?\You look like a squirrel that bit into a candy instead of a nut.\No, I just assumed you'd be against it. response:	Of course I'm against it.
context: I am paying attention.\The idea of others dying bothers you more than the idea of yourself dying.\So, even if you are weak, you've decided to keep fighting, right?\Yeah, that's right...\What's with you?\You look like a squirrel that bit into a candy instead of a nut.\No, I just assumed you'd be against it.\Of course I'm against it. response:	But after you saved me like that, I can hardly object, can I?
context: The idea of others dying bothers you more than the idea of yourself dying.\So, even if you are weak, you've decided to keep fighting, right?\Yeah, that's right...\What's with you?\You look like a squirrel that bit into a candy instead of a nut.\No, I just assumed you'd be against it.\Of course I'm against it.\But after you saved me like that, I can hardly object, can I? response:	Plus, I've also learned that you'll do it, even if I try to stop you.
context: So, even if you are weak, you've decided to keep fighting, right?\Yeah, that's right...\What's with you?\You look like a squirrel that bit into a candy instead of a nut.\No, I just assumed you'd be against it.\Of course I'm against it.\But after you saved me like that, I can hardly object, can I?\Plus, I've also learned that you'll do it, even if I try to stop you. response:	Then we're still partners?
context: Yeah, that's right...\What's with you?\You look like a squirrel that bit into a candy instead of a nut.\No, I just assumed you'd be against it.\Of course I'm against it.\But after you saved me like that, I can hardly object, can I?\Plus, I've also learned that you'll do it, even if I try to stop you.\Then we're still partners? response:	I guess.
context: What's with you?\You look like a squirrel that bit into a candy instead of a nut.\No, I just assumed you'd be against it.\Of course I'm against it.\But after you saved me like that, I can hardly object, can I?\Plus, I've also learned that you'll do it, even if I try to stop you.\Then we're still partners?\I guess. response:	Anyway, I'd lose sleep worrying about leaving you alone.
context: You look like a squirrel that bit into a candy instead of a nut.\No, I just assumed you'd be against it.\Of course I'm against it.\But after you saved me like that, I can hardly object, can I?\Plus, I've also learned that you'll do it, even if I try to stop you.\Then we're still partners?\I guess.\Anyway, I'd lose sleep worrying about leaving you alone. response:	Besides...
context: No, I just assumed you'd be against it.\Of course I'm against it.\But after you saved me like that, I can hardly object, can I?\Plus, I've also learned that you'll do it, even if I try to stop you.\Then we're still partners?\I guess.\Anyway, I'd lose sleep worrying about leaving you alone.\Besides... response:	To put it in your terms, I don't exactly hate you.
context: Of course I'm against it.\But after you saved me like that, I can hardly object, can I?\Plus, I've also learned that you'll do it, even if I try to stop you.\Then we're still partners?\I guess.\Anyway, I'd lose sleep worrying about leaving you alone.\Besides...\To put it in your terms, I don't exactly hate you. response:	And your cooking is good.
context: But after you saved me like that, I can hardly object, can I?\Plus, I've also learned that you'll do it, even if I try to stop you.\Then we're still partners?\I guess.\Anyway, I'd lose sleep worrying about leaving you alone.\Besides...\To put it in your terms, I don't exactly hate you.\And your cooking is good. response:	So that's how I feel about it, and you're okay still working with me, right?
context: Plus, I've also learned that you'll do it, even if I try to stop you.\Then we're still partners?\I guess.\Anyway, I'd lose sleep worrying about leaving you alone.\Besides...\To put it in your terms, I don't exactly hate you.\And your cooking is good.\So that's how I feel about it, and you're okay still working with me, right? response:	I need a refill!
context: Then we're still partners?\I guess.\Anyway, I'd lose sleep worrying about leaving you alone.\Besides...\To put it in your terms, I don't exactly hate you.\And your cooking is good.\So that's how I feel about it, and you're okay still working with me, right?\I need a refill! response:	For now, our enemy is Caster.
context: I guess.\Anyway, I'd lose sleep worrying about leaving you alone.\Besides...\To put it in your terms, I don't exactly hate you.\And your cooking is good.\So that's how I feel about it, and you're okay still working with me, right?\I need a refill!\For now, our enemy is Caster. response:	She's protected by Kuzuki, a close-combat fighter,
context: Anyway, I'd lose sleep worrying about leaving you alone.\Besides...\To put it in your terms, I don't exactly hate you.\And your cooking is good.\So that's how I feel about it, and you're okay still working with me, right?\I need a refill!\For now, our enemy is Caster.\She's protected by Kuzuki, a close-combat fighter, response:	and Archer, who's gone over to her side.
context: Besides...\To put it in your terms, I don't exactly hate you.\And your cooking is good.\So that's how I feel about it, and you're okay still working with me, right?\I need a refill!\For now, our enemy is Caster.\She's protected by Kuzuki, a close-combat fighter,\and Archer, who's gone over to her side. response:	And it's only a matter of time before Saber falls under her control.
context: To put it in your terms, I don't exactly hate you.\And your cooking is good.\So that's how I feel about it, and you're okay still working with me, right?\I need a refill!\For now, our enemy is Caster.\She's protected by Kuzuki, a close-combat fighter,\and Archer, who's gone over to her side.\And it's only a matter of time before Saber falls under her control. response:	Yeah, once Saber's fully controlled by her,
context: And your cooking is good.\So that's how I feel about it, and you're okay still working with me, right?\I need a refill!\For now, our enemy is Caster.\She's protected by Kuzuki, a close-combat fighter,\and Archer, who's gone over to her side.\And it's only a matter of time before Saber falls under her control.\Yeah, once Saber's fully controlled by her, response:	we really won't have any chance.
context: So that's how I feel about it, and you're okay still working with me, right?\I need a refill!\For now, our enemy is Caster.\She's protected by Kuzuki, a close-combat fighter,\and Archer, who's gone over to her side.\And it's only a matter of time before Saber falls under her control.\Yeah, once Saber's fully controlled by her,\we really won't have any chance. response:	Exactly. Do you have any ideas?
context: I need a refill!\For now, our enemy is Caster.\She's protected by Kuzuki, a close-combat fighter,\and Archer, who's gone over to her side.\And it's only a matter of time before Saber falls under her control.\Yeah, once Saber's fully controlled by her,\we really won't have any chance.\Exactly. Do you have any ideas? response:	Hear me out, and don't get mad.
context: For now, our enemy is Caster.\She's protected by Kuzuki, a close-combat fighter,\and Archer, who's gone over to her side.\And it's only a matter of time before Saber falls under her control.\Yeah, once Saber's fully controlled by her,\we really won't have any chance.\Exactly. Do you have any ideas?\Hear me out, and don't get mad. response:	Could we work with other Masters?
context: She's protected by Kuzuki, a close-combat fighter,\and Archer, who's gone over to her side.\And it's only a matter of time before Saber falls under her control.\Yeah, once Saber's fully controlled by her,\we really won't have any chance.\Exactly. Do you have any ideas?\Hear me out, and don't get mad.\Could we work with other Masters? response:	It's all right.
context: and Archer, who's gone over to her side.\And it's only a matter of time before Saber falls under her control.\Yeah, once Saber's fully controlled by her,\we really won't have any chance.\Exactly. Do you have any ideas?\Hear me out, and don't get mad.\Could we work with other Masters?\It's all right. response:	Actually, I was thinking the same thing.
context: And it's only a matter of time before Saber falls under her control.\Yeah, once Saber's fully controlled by her,\we really won't have any chance.\Exactly. Do you have any ideas?\Hear me out, and don't get mad.\Could we work with other Masters?\It's all right.\Actually, I was thinking the same thing. response:	We still don't know who Lancer's Master is, so that's out,
context: Yeah, once Saber's fully controlled by her,\we really won't have any chance.\Exactly. Do you have any ideas?\Hear me out, and don't get mad.\Could we work with other Masters?\It's all right.\Actually, I was thinking the same thing.\We still don't know who Lancer's Master is, so that's out, response:	but we might have a shot with Illyasviel.
context: we really won't have any chance.\Exactly. Do you have any ideas?\Hear me out, and don't get mad.\Could we work with other Masters?\It's all right.\Actually, I was thinking the same thing.\We still don't know who Lancer's Master is, so that's out,\but we might have a shot with Illyasviel. response:	But how do we find her?
context: Exactly. Do you have any ideas?\Hear me out, and don't get mad.\Could we work with other Masters?\It's all right.\Actually, I was thinking the same thing.\We still don't know who Lancer's Master is, so that's out,\but we might have a shot with Illyasviel.\But how do we find her? response:	I have an idea of where she is.
context: Hear me out, and don't get mad.\Could we work with other Masters?\It's all right.\Actually, I was thinking the same thing.\We still don't know who Lancer's Master is, so that's out,\but we might have a shot with Illyasviel.\But how do we find her?\I have an idea of where she is. response:	Long ago, my father told me something.
context: Could we work with other Masters?\It's all right.\Actually, I was thinking the same thing.\We still don't know who Lancer's Master is, so that's out,\but we might have a shot with Illyasviel.\But how do we find her?\I have an idea of where she is.\Long ago, my father told me something. response:	That the Einzberns have a villa in the forest outside of town.
context: It's all right.\Actually, I was thinking the same thing.\We still don't know who Lancer's Master is, so that's out,\but we might have a shot with Illyasviel.\But how do we find her?\I have an idea of where she is.\Long ago, my father told me something.\That the Einzberns have a villa in the forest outside of town. response:	Why can I not find it?
context: Actually, I was thinking the same thing.\We still don't know who Lancer's Master is, so that's out,\but we might have a shot with Illyasviel.\But how do we find her?\I have an idea of where she is.\Long ago, my father told me something.\That the Einzberns have a villa in the forest outside of town.\Why can I not find it? response:	There is no Holy Grail here.
context: We still don't know who Lancer's Master is, so that's out,\but we might have a shot with Illyasviel.\But how do we find her?\I have an idea of where she is.\Long ago, my father told me something.\That the Einzberns have a villa in the forest outside of town.\Why can I not find it?\There is no Holy Grail here. response:	No, that was obviously a lie.
context: but we might have a shot with Illyasviel.\But how do we find her?\I have an idea of where she is.\Long ago, my father told me something.\That the Einzberns have a villa in the forest outside of town.\Why can I not find it?\There is no Holy Grail here.\No, that was obviously a lie. response:	The Holy Grail War's overseer would never let the catalyst, his trump card, out of sight.
context: But how do we find her?\I have an idea of where she is.\Long ago, my father told me something.\That the Einzberns have a villa in the forest outside of town.\Why can I not find it?\There is no Holy Grail here.\No, that was obviously a lie.\The Holy Grail War's overseer would never let the catalyst, his trump card, out of sight. response:	My family is still new to the Mages Association.
context: I have an idea of where she is.\Long ago, my father told me something.\That the Einzberns have a villa in the forest outside of town.\Why can I not find it?\There is no Holy Grail here.\No, that was obviously a lie.\The Holy Grail War's overseer would never let the catalyst, his trump card, out of sight.\My family is still new to the Mages Association. response:	Gaining prestige is one reason I'm fighting in this Grail War.
context: Long ago, my father told me something.\That the Einzberns have a villa in the forest outside of town.\Why can I not find it?\There is no Holy Grail here.\No, that was obviously a lie.\The Holy Grail War's overseer would never let the catalyst, his trump card, out of sight.\My family is still new to the Mages Association.\Gaining prestige is one reason I'm fighting in this Grail War. response:	El-Melloi didn't take the last war seriously, but I'm different.
context: That the Einzberns have a villa in the forest outside of town.\Why can I not find it?\There is no Holy Grail here.\No, that was obviously a lie.\The Holy Grail War's overseer would never let the catalyst, his trump card, out of sight.\My family is still new to the Mages Association.\Gaining prestige is one reason I'm fighting in this Grail War.\El-Melloi didn't take the last war seriously, but I'm different. response:	I fully intend to win.
context: Why can I not find it?\There is no Holy Grail here.\No, that was obviously a lie.\The Holy Grail War's overseer would never let the catalyst, his trump card, out of sight.\My family is still new to the Mages Association.\Gaining prestige is one reason I'm fighting in this Grail War.\El-Melloi didn't take the last war seriously, but I'm different.\I fully intend to win. response:	For one thing, I've invested a lot more capital.
context: There is no Holy Grail here.\No, that was obviously a lie.\The Holy Grail War's overseer would never let the catalyst, his trump card, out of sight.\My family is still new to the Mages Association.\Gaining prestige is one reason I'm fighting in this Grail War.\El-Melloi didn't take the last war seriously, but I'm different.\I fully intend to win.\For one thing, I've invested a lot more capital. response:	Do you think a purchased title is purchased glory?
context: No, that was obviously a lie.\The Holy Grail War's overseer would never let the catalyst, his trump card, out of sight.\My family is still new to the Mages Association.\Gaining prestige is one reason I'm fighting in this Grail War.\El-Melloi didn't take the last war seriously, but I'm different.\I fully intend to win.\For one thing, I've invested a lot more capital.\Do you think a purchased title is purchased glory? response:	No, one should use every tool at one's disposal.
context: The Holy Grail War's overseer would never let the catalyst, his trump card, out of sight.\My family is still new to the Mages Association.\Gaining prestige is one reason I'm fighting in this Grail War.\El-Melloi didn't take the last war seriously, but I'm different.\I fully intend to win.\For one thing, I've invested a lot more capital.\Do you think a purchased title is purchased glory?\No, one should use every tool at one's disposal. response:	If you intend to use wealth as a weapon,
context: My family is still new to the Mages Association.\Gaining prestige is one reason I'm fighting in this Grail War.\El-Melloi didn't take the last war seriously, but I'm different.\I fully intend to win.\For one thing, I've invested a lot more capital.\Do you think a purchased title is purchased glory?\No, one should use every tool at one's disposal.\If you intend to use wealth as a weapon, response:	I expect you have a strategy tailored to it.
context: Gaining prestige is one reason I'm fighting in this Grail War.\El-Melloi didn't take the last war seriously, but I'm different.\I fully intend to win.\For one thing, I've invested a lot more capital.\Do you think a purchased title is purchased glory?\No, one should use every tool at one's disposal.\If you intend to use wealth as a weapon,\I expect you have a strategy tailored to it. response:	Don't get the wrong idea.
context: El-Melloi didn't take the last war seriously, but I'm different.\I fully intend to win.\For one thing, I've invested a lot more capital.\Do you think a purchased title is purchased glory?\No, one should use every tool at one's disposal.\If you intend to use wealth as a weapon,\I expect you have a strategy tailored to it.\Don't get the wrong idea. response:	As a mage, I've made preparations to overwhelm the other Masters.
context: I fully intend to win.\For one thing, I've invested a lot more capital.\Do you think a purchased title is purchased glory?\No, one should use every tool at one's disposal.\If you intend to use wealth as a weapon,\I expect you have a strategy tailored to it.\Don't get the wrong idea.\As a mage, I've made preparations to overwhelm the other Masters. response:	Come.
context: For one thing, I've invested a lot more capital.\Do you think a purchased title is purchased glory?\No, one should use every tool at one's disposal.\If you intend to use wealth as a weapon,\I expect you have a strategy tailored to it.\Don't get the wrong idea.\As a mage, I've made preparations to overwhelm the other Masters.\Come. response:	I'll prove it to you.
context: Do you think a purchased title is purchased glory?\No, one should use every tool at one's disposal.\If you intend to use wealth as a weapon,\I expect you have a strategy tailored to it.\Don't get the wrong idea.\As a mage, I've made preparations to overwhelm the other Masters.\Come.\I'll prove it to you. response:	Is this an alchemy workshop?
context: No, one should use every tool at one's disposal.\If you intend to use wealth as a weapon,\I expect you have a strategy tailored to it.\Don't get the wrong idea.\As a mage, I've made preparations to overwhelm the other Masters.\Come.\I'll prove it to you.\Is this an alchemy workshop? response:	My family uses a magic system that generates mana via exchange.
context: If you intend to use wealth as a weapon,\I expect you have a strategy tailored to it.\Don't get the wrong idea.\As a mage, I've made preparations to overwhelm the other Masters.\Come.\I'll prove it to you.\Is this an alchemy workshop?\My family uses a magic system that generates mana via exchange. response:	Well, it's a primitive curse that relies on human sacrifice.
