context: <sign: Incinerator > response:	So what are we going to start with?
context: <sign: Incinerator >\So what are we going to start with? response:	It took me a while to think it over,
context: <sign: Incinerator >\So what are we going to start with?\It took me a while to think it over, response:	but I think we should start with Yui.
context: <sign: Incinerator >\So what are we going to start with?\It took me a while to think it over,\but I think we should start with Yui. response:	Who?
context: <sign: Incinerator >\So what are we going to start with?\It took me a while to think it over,\but I think we should start with Yui.\Who? response:	You know, the girl who does vocals for the guerrilla live concerts in the cafe.
context: <sign: Incinerator >\So what are we going to start with?\It took me a while to think it over,\but I think we should start with Yui.\Who?\You know, the girl who does vocals for the guerrilla live concerts in the cafe. response:	Dont you remember her?
context: <sign: Incinerator >\So what are we going to start with?\It took me a while to think it over,\but I think we should start with Yui.\Who?\You know, the girl who does vocals for the guerrilla live concerts in the cafe.\Dont you remember her? response:	Shes always so energetic, laughing away while she bullies Hinata.
context: <sign: Incinerator >\So what are we going to start with?\It took me a while to think it over,\but I think we should start with Yui.\Who?\You know, the girl who does vocals for the guerrilla live concerts in the cafe.\Dont you remember her?\Shes always so energetic, laughing away while she bullies Hinata. response:	She does the bands vocals and anything else she likes doing.
context: So what are we going to start with?\It took me a while to think it over,\but I think we should start with Yui.\Who?\You know, the girl who does vocals for the guerrilla live concerts in the cafe.\Dont you remember her?\Shes always so energetic, laughing away while she bullies Hinata.\She does the bands vocals and anything else she likes doing. response:	I think shes already found peace.
context: It took me a while to think it over,\but I think we should start with Yui.\Who?\You know, the girl who does vocals for the guerrilla live concerts in the cafe.\Dont you remember her?\Shes always so energetic, laughing away while she bullies Hinata.\She does the bands vocals and anything else she likes doing.\I think shes already found peace. response:	If we just give her a gentle push,
context: but I think we should start with Yui.\Who?\You know, the girl who does vocals for the guerrilla live concerts in the cafe.\Dont you remember her?\Shes always so energetic, laughing away while she bullies Hinata.\She does the bands vocals and anything else she likes doing.\I think shes already found peace.\If we just give her a gentle push, response:	shell be able to leave this place.
context: Who?\You know, the girl who does vocals for the guerrilla live concerts in the cafe.\Dont you remember her?\Shes always so energetic, laughing away while she bullies Hinata.\She does the bands vocals and anything else she likes doing.\I think shes already found peace.\If we just give her a gentle push,\shell be able to leave this place. response:	Thats what I think.
context: You know, the girl who does vocals for the guerrilla live concerts in the cafe.\Dont you remember her?\Shes always so energetic, laughing away while she bullies Hinata.\She does the bands vocals and anything else she likes doing.\I think shes already found peace.\If we just give her a gentle push,\shell be able to leave this place.\Thats what I think. response:	If you think so, then alright.
context: Dont you remember her?\Shes always so energetic, laughing away while she bullies Hinata.\She does the bands vocals and anything else she likes doing.\I think shes already found peace.\If we just give her a gentle push,\shell be able to leave this place.\Thats what I think.\If you think so, then alright. response:	You agree?
context: Shes always so energetic, laughing away while she bullies Hinata.\She does the bands vocals and anything else she likes doing.\I think shes already found peace.\If we just give her a gentle push,\shell be able to leave this place.\Thats what I think.\If you think so, then alright.\You agree? response:	Okay, then lets do that.
context: She does the bands vocals and anything else she likes doing.\I think shes already found peace.\If we just give her a gentle push,\shell be able to leave this place.\Thats what I think.\If you think so, then alright.\You agree?\Okay, then lets do that. response:	So, how's it going on your end?
context: I think shes already found peace.\If we just give her a gentle push,\shell be able to leave this place.\Thats what I think.\If you think so, then alright.\You agree?\Okay, then lets do that.\So, how's it going on your end? response:	Well, it took some time...
context: If we just give her a gentle push,\shell be able to leave this place.\Thats what I think.\If you think so, then alright.\You agree?\Okay, then lets do that.\So, how's it going on your end?\Well, it took some time... response:	Hand Sonic, version 5.
context: shell be able to leave this place.\Thats what I think.\If you think so, then alright.\You agree?\Okay, then lets do that.\So, how's it going on your end?\Well, it took some time...\Hand Sonic, version 5. response:	This is Hand Sonic version 5.
context: Thats what I think.\If you think so, then alright.\You agree?\Okay, then lets do that.\So, how's it going on your end?\Well, it took some time...\Hand Sonic, version 5.\This is Hand Sonic version 5. response:	It looks more evil than angelic...
context: If you think so, then alright.\You agree?\Okay, then lets do that.\So, how's it going on your end?\Well, it took some time...\Hand Sonic, version 5.\This is Hand Sonic version 5.\It looks more evil than angelic... response:	I made it like this because you told me Im playing the cruel Angel, so I had to make it look mean.
context: You agree?\Okay, then lets do that.\So, how's it going on your end?\Well, it took some time...\Hand Sonic, version 5.\This is Hand Sonic version 5.\It looks more evil than angelic...\I made it like this because you told me Im playing the cruel Angel, so I had to make it look mean. response:	No good?
context: Okay, then lets do that.\So, how's it going on your end?\Well, it took some time...\Hand Sonic, version 5.\This is Hand Sonic version 5.\It looks more evil than angelic...\I made it like this because you told me Im playing the cruel Angel, so I had to make it look mean.\No good? response:	No, thats great. Really unpleasant.
context: So, how's it going on your end?\Well, it took some time...\Hand Sonic, version 5.\This is Hand Sonic version 5.\It looks more evil than angelic...\I made it like this because you told me Im playing the cruel Angel, so I had to make it look mean.\No good?\No, thats great. Really unpleasant. response:	Unpleasant?
context: Well, it took some time...\Hand Sonic, version 5.\This is Hand Sonic version 5.\It looks more evil than angelic...\I made it like this because you told me Im playing the cruel Angel, so I had to make it look mean.\No good?\No, thats great. Really unpleasant.\Unpleasant? response:	No no, I mean really good.
context: Hand Sonic, version 5.\This is Hand Sonic version 5.\It looks more evil than angelic...\I made it like this because you told me Im playing the cruel Angel, so I had to make it look mean.\No good?\No, thats great. Really unpleasant.\Unpleasant?\No no, I mean really good. response:	Could you also grow wings?
context: This is Hand Sonic version 5.\It looks more evil than angelic...\I made it like this because you told me Im playing the cruel Angel, so I had to make it look mean.\No good?\No, thats great. Really unpleasant.\Unpleasant?\No no, I mean really good.\Could you also grow wings? response:	Wings?
context: It looks more evil than angelic...\I made it like this because you told me Im playing the cruel Angel, so I had to make it look mean.\No good?\No, thats great. Really unpleasant.\Unpleasant?\No no, I mean really good.\Could you also grow wings?\Wings? response:	What would I do with those?
context: I made it like this because you told me Im playing the cruel Angel, so I had to make it look mean.\No good?\No, thats great. Really unpleasant.\Unpleasant?\No no, I mean really good.\Could you also grow wings?\Wings?\What would I do with those? response:	Itd look cool, wouldnt it?
context: No good?\No, thats great. Really unpleasant.\Unpleasant?\No no, I mean really good.\Could you also grow wings?\Wings?\What would I do with those?\Itd look cool, wouldnt it? response:	I have to look cool?
context: No, thats great. Really unpleasant.\Unpleasant?\No no, I mean really good.\Could you also grow wings?\Wings?\What would I do with those?\Itd look cool, wouldnt it?\I have to look cool? response:	No, I just thought it would make you more Angel - like.
context: Unpleasant?\No no, I mean really good.\Could you also grow wings?\Wings?\What would I do with those?\Itd look cool, wouldnt it?\I have to look cool?\No, I just thought it would make you more Angel - like. response:	Ill think about it.
context: No no, I mean really good.\Could you also grow wings?\Wings?\What would I do with those?\Itd look cool, wouldnt it?\I have to look cool?\No, I just thought it would make you more Angel - like.\Ill think about it. response:	Thanks.
context: Could you also grow wings?\Wings?\What would I do with those?\Itd look cool, wouldnt it?\I have to look cool?\No, I just thought it would make you more Angel - like.\Ill think about it.\Thanks. response:	So, what am I supposed to do?
context: Wings?\What would I do with those?\Itd look cool, wouldnt it?\I have to look cool?\No, I just thought it would make you more Angel - like.\Ill think about it.\Thanks.\So, what am I supposed to do? response:	Oh, right.
context: What would I do with those?\Itd look cool, wouldnt it?\I have to look cool?\No, I just thought it would make you more Angel - like.\Ill think about it.\Thanks.\So, what am I supposed to do?\Oh, right. response:	Lets do this
context: Itd look cool, wouldnt it?\I have to look cool?\No, I just thought it would make you more Angel - like.\Ill think about it.\Thanks.\So, what am I supposed to do?\Oh, right.\Lets do this response:	You appear while shes in band practice,
context: I have to look cool?\No, I just thought it would make you more Angel - like.\Ill think about it.\Thanks.\So, what am I supposed to do?\Oh, right.\Lets do this\You appear while shes in band practice, response:	then you tell her,
context: No, I just thought it would make you more Angel - like.\Ill think about it.\Thanks.\So, what am I supposed to do?\Oh, right.\Lets do this\You appear while shes in band practice,\then you tell her, response:	Another club is complaining about the noise.”
context: Ill think about it.\Thanks.\So, what am I supposed to do?\Oh, right.\Lets do this\You appear while shes in band practice,\then you tell her,\Another club is complaining about the noise.” response:	Then you point at Yui and say,
context: Thanks.\So, what am I supposed to do?\Oh, right.\Lets do this\You appear while shes in band practice,\then you tell her,\Another club is complaining about the noise.”\Then you point at Yui and say, response:	Your guitar is especially bad.”
context: So, what am I supposed to do?\Oh, right.\Lets do this\You appear while shes in band practice,\then you tell her,\Another club is complaining about the noise.”\Then you point at Yui and say,\Your guitar is especially bad.” response:	Because of you, the band is dead.”
context: Oh, right.\Lets do this\You appear while shes in band practice,\then you tell her,\Another club is complaining about the noise.”\Then you point at Yui and say,\Your guitar is especially bad.”\Because of you, the band is dead.” response:	That being the case, Im confiscating that guitar.”
context: Lets do this\You appear while shes in band practice,\then you tell her,\Another club is complaining about the noise.”\Then you point at Yui and say,\Your guitar is especially bad.”\Because of you, the band is dead.”\That being the case, Im confiscating that guitar.” response:	Then you take her guitar and leave the scene.
context: You appear while shes in band practice,\then you tell her,\Another club is complaining about the noise.”\Then you point at Yui and say,\Your guitar is especially bad.”\Because of you, the band is dead.”\That being the case, Im confiscating that guitar.”\Then you take her guitar and leave the scene. response:	Of course, Yui will give chase.
context: then you tell her,\Another club is complaining about the noise.”\Then you point at Yui and say,\Your guitar is especially bad.”\Because of you, the band is dead.”\That being the case, Im confiscating that guitar.”\Then you take her guitar and leave the scene.\Of course, Yui will give chase. response:	Just run, and head to the inner garden.
context: Another club is complaining about the noise.”\Then you point at Yui and say,\Your guitar is especially bad.”\Because of you, the band is dead.”\That being the case, Im confiscating that guitar.”\Then you take her guitar and leave the scene.\Of course, Yui will give chase.\Just run, and head to the inner garden. response:	At that point Ill pretend to bump into you, and then you let go of the guitar.
context: Then you point at Yui and say,\Your guitar is especially bad.”\Because of you, the band is dead.”\That being the case, Im confiscating that guitar.”\Then you take her guitar and leave the scene.\Of course, Yui will give chase.\Just run, and head to the inner garden.\At that point Ill pretend to bump into you, and then you let go of the guitar. response:	Ill take it, so just run away at that point.
context: Your guitar is especially bad.”\Because of you, the band is dead.”\That being the case, Im confiscating that guitar.”\Then you take her guitar and leave the scene.\Of course, Yui will give chase.\Just run, and head to the inner garden.\At that point Ill pretend to bump into you, and then you let go of the guitar.\Ill take it, so just run away at that point. response:	This way we can create a situation where I can be alone with her.
context: Because of you, the band is dead.”\That being the case, Im confiscating that guitar.”\Then you take her guitar and leave the scene.\Of course, Yui will give chase.\Just run, and head to the inner garden.\At that point Ill pretend to bump into you, and then you let go of the guitar.\Ill take it, so just run away at that point.\This way we can create a situation where I can be alone with her. response:	Understood.
context: That being the case, Im confiscating that guitar.”\Then you take her guitar and leave the scene.\Of course, Yui will give chase.\Just run, and head to the inner garden.\At that point Ill pretend to bump into you, and then you let go of the guitar.\Ill take it, so just run away at that point.\This way we can create a situation where I can be alone with her.\Understood. response:	Alright!
context: Then you take her guitar and leave the scene.\Of course, Yui will give chase.\Just run, and head to the inner garden.\At that point Ill pretend to bump into you, and then you let go of the guitar.\Ill take it, so just run away at that point.\This way we can create a situation where I can be alone with her.\Understood.\Alright! response:	Now we just wait for the start of rehearsal and go!
context: Of course, Yui will give chase.\Just run, and head to the inner garden.\At that point Ill pretend to bump into you, and then you let go of the guitar.\Ill take it, so just run away at that point.\This way we can create a situation where I can be alone with her.\Understood.\Alright!\Now we just wait for the start of rehearsal and go! response:	- Empty Classroom
context: Just run, and head to the inner garden.\At that point Ill pretend to bump into you, and then you let go of the guitar.\Ill take it, so just run away at that point.\This way we can create a situation where I can be alone with her.\Understood.\Alright!\Now we just wait for the start of rehearsal and go!\- Empty Classroom response:	Stop!
context: At that point Ill pretend to bump into you, and then you let go of the guitar.\Ill take it, so just run away at that point.\This way we can create a situation where I can be alone with her.\Understood.\Alright!\Now we just wait for the start of rehearsal and go!\- Empty Classroom\Stop! response:	Yui, dont just keep going when you mess up the rhythm!
context: Ill take it, so just run away at that point.\This way we can create a situation where I can be alone with her.\Understood.\Alright!\Now we just wait for the start of rehearsal and go!\- Empty Classroom\Stop!\Yui, dont just keep going when you mess up the rhythm! response:	Don't you think you should concentrate on just singing or playing?
context: This way we can create a situation where I can be alone with her.\Understood.\Alright!\Now we just wait for the start of rehearsal and go!\- Empty Classroom\Stop!\Yui, dont just keep going when you mess up the rhythm!\Don't you think you should concentrate on just singing or playing? response:	Yeah youre right, it sounds bad right now.
context: Understood.\Alright!\Now we just wait for the start of rehearsal and go!\- Empty Classroom\Stop!\Yui, dont just keep going when you mess up the rhythm!\Don't you think you should concentrate on just singing or playing?\Yeah youre right, it sounds bad right now. response:	No way!
context: Alright!\Now we just wait for the start of rehearsal and go!\- Empty Classroom\Stop!\Yui, dont just keep going when you mess up the rhythm!\Don't you think you should concentrate on just singing or playing?\Yeah youre right, it sounds bad right now.\No way! response:	Iwasawa - san sang and played at the same time!
context: Now we just wait for the start of rehearsal and go!\- Empty Classroom\Stop!\Yui, dont just keep going when you mess up the rhythm!\Don't you think you should concentrate on just singing or playing?\Yeah youre right, it sounds bad right now.\No way!\Iwasawa - san sang and played at the same time! response:	Thats because Iwasawa was good at both.
context: - Empty Classroom\Stop!\Yui, dont just keep going when you mess up the rhythm!\Don't you think you should concentrate on just singing or playing?\Yeah youre right, it sounds bad right now.\No way!\Iwasawa - san sang and played at the same time!\Thats because Iwasawa was good at both. response:	Im trying my best too!
context: Stop!\Yui, dont just keep going when you mess up the rhythm!\Don't you think you should concentrate on just singing or playing?\Yeah youre right, it sounds bad right now.\No way!\Iwasawa - san sang and played at the same time!\Thats because Iwasawa was good at both.\Im trying my best too! response:	Youre all too strict!
context: Yui, dont just keep going when you mess up the rhythm!\Don't you think you should concentrate on just singing or playing?\Yeah youre right, it sounds bad right now.\No way!\Iwasawa - san sang and played at the same time!\Thats because Iwasawa was good at both.\Im trying my best too!\Youre all too strict! response:	Our concerts are popular arent they?
context: Don't you think you should concentrate on just singing or playing?\Yeah youre right, it sounds bad right now.\No way!\Iwasawa - san sang and played at the same time!\Thats because Iwasawa was good at both.\Im trying my best too!\Youre all too strict!\Our concerts are popular arent they? response:	But this is a new song.
context: Yeah youre right, it sounds bad right now.\No way!\Iwasawa - san sang and played at the same time!\Thats because Iwasawa was good at both.\Im trying my best too!\Youre all too strict!\Our concerts are popular arent they?\But this is a new song. response:	Angel?!
context: No way!\Iwasawa - san sang and played at the same time!\Thats because Iwasawa was good at both.\Im trying my best too!\Youre all too strict!\Our concerts are popular arent they?\But this is a new song.\Angel?! response:	Because of your guitar, the band is dead.
context: Iwasawa - san sang and played at the same time!\Thats because Iwasawa was good at both.\Im trying my best too!\Youre all too strict!\Our concerts are popular arent they?\But this is a new song.\Angel?!\Because of your guitar, the band is dead. response:	She discovered the bands weak point in an instant!
context: Thats because Iwasawa was good at both.\Im trying my best too!\Youre all too strict!\Our concerts are popular arent they?\But this is a new song.\Angel?!\Because of your guitar, the band is dead.\She discovered the bands weak point in an instant! response:	We cant underestimate her!
context: Im trying my best too!\Youre all too strict!\Our concerts are popular arent they?\But this is a new song.\Angel?!\Because of your guitar, the band is dead.\She discovered the bands weak point in an instant!\We cant underestimate her! response:	She knows music!
context: Youre all too strict!\Our concerts are popular arent they?\But this is a new song.\Angel?!\Because of your guitar, the band is dead.\She discovered the bands weak point in an instant!\We cant underestimate her!\She knows music! response:	No way! I thought nobody noticed!
context: Our concerts are popular arent they?\But this is a new song.\Angel?!\Because of your guitar, the band is dead.\She discovered the bands weak point in an instant!\We cant underestimate her!\She knows music!\No way! I thought nobody noticed! response:	That being the case, Im confiscating that guitar.
context: But this is a new song.\Angel?!\Because of your guitar, the band is dead.\She discovered the bands weak point in an instant!\We cant underestimate her!\She knows music!\No way! I thought nobody noticed!\That being the case, Im confiscating that guitar. response:	Hey, Yui!
context: Angel?!\Because of your guitar, the band is dead.\She discovered the bands weak point in an instant!\We cant underestimate her!\She knows music!\No way! I thought nobody noticed!\That being the case, Im confiscating that guitar.\Hey, Yui! response:	Are you okay?
context: Because of your guitar, the band is dead.\She discovered the bands weak point in an instant!\We cant underestimate her!\She knows music!\No way! I thought nobody noticed!\That being the case, Im confiscating that guitar.\Hey, Yui!\Are you okay? response:	Here.
context: She discovered the bands weak point in an instant!\We cant underestimate her!\She knows music!\No way! I thought nobody noticed!\That being the case, Im confiscating that guitar.\Hey, Yui!\Are you okay?\Here. response:	Why are you alone?
context: We cant underestimate her!\She knows music!\No way! I thought nobody noticed!\That being the case, Im confiscating that guitar.\Hey, Yui!\Are you okay?\Here.\Why are you alone? response:	She didnt chase me.
context: She knows music!\No way! I thought nobody noticed!\That being the case, Im confiscating that guitar.\Hey, Yui!\Are you okay?\Here.\Why are you alone?\She didnt chase me. response:	See? Without the guitar you dont go off beat.
context: No way! I thought nobody noticed!\That being the case, Im confiscating that guitar.\Hey, Yui!\Are you okay?\Here.\Why are you alone?\She didnt chase me.\See? Without the guitar you dont go off beat. response:	But doesn't it sound kind of weak?
context: That being the case, Im confiscating that guitar.\Hey, Yui!\Are you okay?\Here.\Why are you alone?\She didnt chase me.\See? Without the guitar you dont go off beat.\But doesn't it sound kind of weak? response:	We need a rhythm guitar.
context: Hey, Yui!\Are you okay?\Here.\Why are you alone?\She didnt chase me.\See? Without the guitar you dont go off beat.\But doesn't it sound kind of weak?\We need a rhythm guitar. response:	Should we get another side guitar player then?
context: Are you okay?\Here.\Why are you alone?\She didnt chase me.\See? Without the guitar you dont go off beat.\But doesn't it sound kind of weak?\We need a rhythm guitar.\Should we get another side guitar player then? response:	What I want to say is...
context: Here.\Why are you alone?\She didnt chase me.\See? Without the guitar you dont go off beat.\But doesn't it sound kind of weak?\We need a rhythm guitar.\Should we get another side guitar player then?\What I want to say is... response:	The band has the most impact with the vocals also on guitar, dammit!!
context: Why are you alone?\She didnt chase me.\See? Without the guitar you dont go off beat.\But doesn't it sound kind of weak?\We need a rhythm guitar.\Should we get another side guitar player then?\What I want to say is...\The band has the most impact with the vocals also on guitar, dammit!! response:	Why you...
context: She didnt chase me.\See? Without the guitar you dont go off beat.\But doesn't it sound kind of weak?\We need a rhythm guitar.\Should we get another side guitar player then?\What I want to say is...\The band has the most impact with the vocals also on guitar, dammit!!\Why you... response:	She made Hisako - san angry!
context: See? Without the guitar you dont go off beat.\But doesn't it sound kind of weak?\We need a rhythm guitar.\Should we get another side guitar player then?\What I want to say is...\The band has the most impact with the vocals also on guitar, dammit!!\Why you...\She made Hisako - san angry! response:	I'm gonna go get my guitar back!
context: But doesn't it sound kind of weak?\We need a rhythm guitar.\Should we get another side guitar player then?\What I want to say is...\The band has the most impact with the vocals also on guitar, dammit!!\Why you...\She made Hisako - san angry!\I'm gonna go get my guitar back! response:	Crap!
context: We need a rhythm guitar.\Should we get another side guitar player then?\What I want to say is...\The band has the most impact with the vocals also on guitar, dammit!!\Why you...\She made Hisako - san angry!\I'm gonna go get my guitar back!\Crap! response:	Hey! Dammit, Yui!
context: Should we get another side guitar player then?\What I want to say is...\The band has the most impact with the vocals also on guitar, dammit!!\Why you...\She made Hisako - san angry!\I'm gonna go get my guitar back!\Crap!\Hey! Dammit, Yui! response:	Here she comes!
context: What I want to say is...\The band has the most impact with the vocals also on guitar, dammit!!\Why you...\She made Hisako - san angry!\I'm gonna go get my guitar back!\Crap!\Hey! Dammit, Yui!\Here she comes! response:	Where did she go?
context: The band has the most impact with the vocals also on guitar, dammit!!\Why you...\She made Hisako - san angry!\I'm gonna go get my guitar back!\Crap!\Hey! Dammit, Yui!\Here she comes!\Where did she go? response:	There she is!
context: Why you...\She made Hisako - san angry!\I'm gonna go get my guitar back!\Crap!\Hey! Dammit, Yui!\Here she comes!\Where did she go?\There she is! response:	Wait up!
context: She made Hisako - san angry!\I'm gonna go get my guitar back!\Crap!\Hey! Dammit, Yui!\Here she comes!\Where did she go?\There she is!\Wait up! response:	Whoops, sorry!
context: I'm gonna go get my guitar back!\Crap!\Hey! Dammit, Yui!\Here she comes!\Where did she go?\There she is!\Wait up!\Whoops, sorry! response:	Idiot, thats too high!
context: Crap!\Hey! Dammit, Yui!\Here she comes!\Where did she go?\There she is!\Wait up!\Whoops, sorry!\Idiot, thats too high! response:	My guitar!
context: Hey! Dammit, Yui!\Here she comes!\Where did she go?\There she is!\Wait up!\Whoops, sorry!\Idiot, thats too high!\My guitar! response:	Its fine, not a scra
context: Here she comes!\Where did she go?\There she is!\Wait up!\Whoops, sorry!\Idiot, thats too high!\My guitar!\Its fine, not a scra response:	Senpai protected it from Angel for me!
