context: Oh damn, they're doing it! response:	Looks like I fell asleep again.
context: Oh damn, they're doing it!\Looks like I fell asleep again. response:	Narcolepsy.
context: Oh damn, they're doing it!\Looks like I fell asleep again.\Narcolepsy. response:	And,
context: Oh damn, they're doing it!\Looks like I fell asleep again.\Narcolepsy.\And, response:	just like always, it disconnected me from this world.
context: Oh damn, they're doing it!\Looks like I fell asleep again.\Narcolepsy.\And,\just like always, it disconnected me from this world. response:	I had a strange, inexplicable feeling.
context: Oh damn, they're doing it!\Looks like I fell asleep again.\Narcolepsy.\And,\just like always, it disconnected me from this world.\I had a strange, inexplicable feeling. response:	As if something were buried at the bottom of my memories.
context: Oh damn, they're doing it!\Looks like I fell asleep again.\Narcolepsy.\And,\just like always, it disconnected me from this world.\I had a strange, inexplicable feeling.\As if something were buried at the bottom of my memories. response:	The boy and girl solve each of the dwarves' worries, one by one.
context: Oh damn, they're doing it!\Looks like I fell asleep again.\Narcolepsy.\And,\just like always, it disconnected me from this world.\I had a strange, inexplicable feeling.\As if something were buried at the bottom of my memories.\The boy and girl solve each of the dwarves' worries, one by one. response:	And once they solve the worries, the dwarves say goodbye to the boy and girl and disappear.
context: Looks like I fell asleep again.\Narcolepsy.\And,\just like always, it disconnected me from this world.\I had a strange, inexplicable feeling.\As if something were buried at the bottom of my memories.\The boy and girl solve each of the dwarves' worries, one by one.\And once they solve the worries, the dwarves say goodbye to the boy and girl and disappear. response:	I had seen that picture book before.
context: Narcolepsy.\And,\just like always, it disconnected me from this world.\I had a strange, inexplicable feeling.\As if something were buried at the bottom of my memories.\The boy and girl solve each of the dwarves' worries, one by one.\And once they solve the worries, the dwarves say goodbye to the boy and girl and disappear.\I had seen that picture book before. response:	But when?
context: And,\just like always, it disconnected me from this world.\I had a strange, inexplicable feeling.\As if something were buried at the bottom of my memories.\The boy and girl solve each of the dwarves' worries, one by one.\And once they solve the worries, the dwarves say goodbye to the boy and girl and disappear.\I had seen that picture book before.\But when? response:	Where?
context: just like always, it disconnected me from this world.\I had a strange, inexplicable feeling.\As if something were buried at the bottom of my memories.\The boy and girl solve each of the dwarves' worries, one by one.\And once they solve the worries, the dwarves say goodbye to the boy and girl and disappear.\I had seen that picture book before.\But when?\Where? response:	There was something I was forgetting.
context: I had a strange, inexplicable feeling.\As if something were buried at the bottom of my memories.\The boy and girl solve each of the dwarves' worries, one by one.\And once they solve the worries, the dwarves say goodbye to the boy and girl and disappear.\I had seen that picture book before.\But when?\Where?\There was something I was forgetting. response:	Something very important.
context: As if something were buried at the bottom of my memories.\The boy and girl solve each of the dwarves' worries, one by one.\And once they solve the worries, the dwarves say goodbye to the boy and girl and disappear.\I had seen that picture book before.\But when?\Where?\There was something I was forgetting.\Something very important. response:	What was it?
context: The boy and girl solve each of the dwarves' worries, one by one.\And once they solve the worries, the dwarves say goodbye to the boy and girl and disappear.\I had seen that picture book before.\But when?\Where?\There was something I was forgetting.\Something very important.\What was it? response:	I can't remember.
context: And once they solve the worries, the dwarves say goodbye to the boy and girl and disappear.\I had seen that picture book before.\But when?\Where?\There was something I was forgetting.\Something very important.\What was it?\I can't remember. response:	Suddenly, a strange thought ran through my mind.
context: I had seen that picture book before.\But when?\Where?\There was something I was forgetting.\Something very important.\What was it?\I can't remember.\Suddenly, a strange thought ran through my mind. response:	What if there really was a secret in this world,
context: But when?\Where?\There was something I was forgetting.\Something very important.\What was it?\I can't remember.\Suddenly, a strange thought ran through my mind.\What if there really was a secret in this world, response:	and I just couldn't remember it?
context: Where?\There was something I was forgetting.\Something very important.\What was it?\I can't remember.\Suddenly, a strange thought ran through my mind.\What if there really was a secret in this world,\and I just couldn't remember it? response:	There is a secret in this world.
context: There was something I was forgetting.\Something very important.\What was it?\I can't remember.\Suddenly, a strange thought ran through my mind.\What if there really was a secret in this world,\and I just couldn't remember it?\There is a secret in this world. response:	then clear all the tasks I give you.
context: Something very important.\What was it?\I can't remember.\Suddenly, a strange thought ran through my mind.\What if there really was a secret in this world,\and I just couldn't remember it?\There is a secret in this world.\then clear all the tasks I give you. response:	If you wish to know it,
context: What was it?\I can't remember.\Suddenly, a strange thought ran through my mind.\What if there really was a secret in this world,\and I just couldn't remember it?\There is a secret in this world.\then clear all the tasks I give you.\If you wish to know it, response:	Hey, Riki!
