context: Interviews with Monster Girls response:	Succubus-san Is a Real Adult
context: Interviews with Monster Girls\Succubus-san Is a Real Adult response:	I am Satou Sakie.
context: Interviews with Monster Girls\Succubus-san Is a Real Adult\I am Satou Sakie. response:	The math teacher at Shibasaki Prefectural High School.
context: Interviews with Monster Girls\Succubus-san Is a Real Adult\I am Satou Sakie.\The math teacher at Shibasaki Prefectural High School. response:	I'm 24 and single.
context: Interviews with Monster Girls\Succubus-san Is a Real Adult\I am Satou Sakie.\The math teacher at Shibasaki Prefectural High School.\I'm 24 and single. response:	My mornings start early.
context: Interviews with Monster Girls\Succubus-san Is a Real Adult\I am Satou Sakie.\The math teacher at Shibasaki Prefectural High School.\I'm 24 and single.\My mornings start early. response:	Aquarius
context: Interviews with Monster Girls\Succubus-san Is a Real Adult\I am Satou Sakie.\The math teacher at Shibasaki Prefectural High School.\I'm 24 and single.\My mornings start early.\Aquarius response:	Luck in Love Luck in Health Luck in Finances Be bold and don't fear change! You may see unexpected results! Lucky Item: Ruler
context: Interviews with Monster Girls\Succubus-san Is a Real Adult\I am Satou Sakie.\The math teacher at Shibasaki Prefectural High School.\I'm 24 and single.\My mornings start early.\Aquarius\Luck in Love Luck in Health Luck in Finances Be bold and don't fear change! You may see unexpected results! Lucky Item: Ruler response:	Today's horoscope for Aquarius looks positive.
context: Succubus-san Is a Real Adult\I am Satou Sakie.\The math teacher at Shibasaki Prefectural High School.\I'm 24 and single.\My mornings start early.\Aquarius\Luck in Love Luck in Health Luck in Finances Be bold and don't fear change! You may see unexpected results! Lucky Item: Ruler\Today's horoscope for Aquarius looks positive. response:	Be assertive and don't fear change,
context: I am Satou Sakie.\The math teacher at Shibasaki Prefectural High School.\I'm 24 and single.\My mornings start early.\Aquarius\Luck in Love Luck in Health Luck in Finances Be bold and don't fear change! You may see unexpected results! Lucky Item: Ruler\Today's horoscope for Aquarius looks positive.\Be assertive and don't fear change, response:	and a chance for love might come your way!
context: The math teacher at Shibasaki Prefectural High School.\I'm 24 and single.\My mornings start early.\Aquarius\Luck in Love Luck in Health Luck in Finances Be bold and don't fear change! You may see unexpected results! Lucky Item: Ruler\Today's horoscope for Aquarius looks positive.\Be assertive and don't fear change,\and a chance for love might come your way! response:	Next, for Pisces...
context: I'm 24 and single.\My mornings start early.\Aquarius\Luck in Love Luck in Health Luck in Finances Be bold and don't fear change! You may see unexpected results! Lucky Item: Ruler\Today's horoscope for Aquarius looks positive.\Be assertive and don't fear change,\and a chance for love might come your way!\Next, for Pisces... response:	A chance for love, huh?
context: My mornings start early.\Aquarius\Luck in Love Luck in Health Luck in Finances Be bold and don't fear change! You may see unexpected results! Lucky Item: Ruler\Today's horoscope for Aquarius looks positive.\Be assertive and don't fear change,\and a chance for love might come your way!\Next, for Pisces...\A chance for love, huh? response:	I can't even hope for a decent relationship.
context: Aquarius\Luck in Love Luck in Health Luck in Finances Be bold and don't fear change! You may see unexpected results! Lucky Item: Ruler\Today's horoscope for Aquarius looks positive.\Be assertive and don't fear change,\and a chance for love might come your way!\Next, for Pisces...\A chance for love, huh?\I can't even hope for a decent relationship. response:	Because I'm...
context: Luck in Love Luck in Health Luck in Finances Be bold and don't fear change! You may see unexpected results! Lucky Item: Ruler\Today's horoscope for Aquarius looks positive.\Be assertive and don't fear change,\and a chance for love might come your way!\Next, for Pisces...\A chance for love, huh?\I can't even hope for a decent relationship.\Because I'm... response:	a succubus.
context: Today's horoscope for Aquarius looks positive.\Be assertive and don't fear change,\and a chance for love might come your way!\Next, for Pisces...\A chance for love, huh?\I can't even hope for a decent relationship.\Because I'm...\a succubus. response:	That was close...
context: Be assertive and don't fear change,\and a chance for love might come your way!\Next, for Pisces...\A chance for love, huh?\I can't even hope for a decent relationship.\Because I'm...\a succubus.\That was close... response:	The first two-car train to Shibasaki will arrive momentarily.
context: and a chance for love might come your way!\Next, for Pisces...\A chance for love, huh?\I can't even hope for a decent relationship.\Because I'm...\a succubus.\That was close...\The first two-car train to Shibasaki will arrive momentarily. response:	Please wait behind the yellow line.
context: Next, for Pisces...\A chance for love, huh?\I can't even hope for a decent relationship.\Because I'm...\a succubus.\That was close...\The first two-car train to Shibasaki will arrive momentarily.\Please wait behind the yellow line. response:	Good morning, Satou-sensei.
context: A chance for love, huh?\I can't even hope for a decent relationship.\Because I'm...\a succubus.\That was close...\The first two-car train to Shibasaki will arrive momentarily.\Please wait behind the yellow line.\Good morning, Satou-sensei. response:	O-O-Oh... Good morning!
context: I can't even hope for a decent relationship.\Because I'm...\a succubus.\That was close...\The first two-car train to Shibasaki will arrive momentarily.\Please wait behind the yellow line.\Good morning, Satou-sensei.\O-O-Oh... Good morning! response:	You're always first to arrive, and you even clean up.
context: Because I'm...\a succubus.\That was close...\The first two-car train to Shibasaki will arrive momentarily.\Please wait behind the yellow line.\Good morning, Satou-sensei.\O-O-Oh... Good morning!\You're always first to arrive, and you even clean up. response:	Thank you for all of your effort.
context: a succubus.\That was close...\The first two-car train to Shibasaki will arrive momentarily.\Please wait behind the yellow line.\Good morning, Satou-sensei.\O-O-Oh... Good morning!\You're always first to arrive, and you even clean up.\Thank you for all of your effort. response:	Oh, no, it's nothing.
context: That was close...\The first two-car train to Shibasaki will arrive momentarily.\Please wait behind the yellow line.\Good morning, Satou-sensei.\O-O-Oh... Good morning!\You're always first to arrive, and you even clean up.\Thank you for all of your effort.\Oh, no, it's nothing. response:	I really enjoy cleaning!
context: The first two-car train to Shibasaki will arrive momentarily.\Please wait behind the yellow line.\Good morning, Satou-sensei.\O-O-Oh... Good morning!\You're always first to arrive, and you even clean up.\Thank you for all of your effort.\Oh, no, it's nothing.\I really enjoy cleaning! response:	Actually, it's because I arrived so early, I had nothing to do.
context: Please wait behind the yellow line.\Good morning, Satou-sensei.\O-O-Oh... Good morning!\You're always first to arrive, and you even clean up.\Thank you for all of your effort.\Oh, no, it's nothing.\I really enjoy cleaning!\Actually, it's because I arrived so early, I had nothing to do. response:	Oh, Satou-sensei...
