context: I made contact with him last night, but he ran away. response:	Don't underestimate Bugbear.
context: I made contact with him last night, but he ran away.\Don't underestimate Bugbear. response:	His combat abilities rival, or exceed, my own.
context: I made contact with him last night, but he ran away.\Don't underestimate Bugbear.\His combat abilities rival, or exceed, my own. response:	Even before he awakens, there could be trouble if you aren't careful.
context: I made contact with him last night, but he ran away.\Don't underestimate Bugbear.\His combat abilities rival, or exceed, my own.\Even before he awakens, there could be trouble if you aren't careful. response:	Also, we don't currently know what singularity he has.
context: I made contact with him last night, but he ran away.\Don't underestimate Bugbear.\His combat abilities rival, or exceed, my own.\Even before he awakens, there could be trouble if you aren't careful.\Also, we don't currently know what singularity he has. response:	Then getting into the ring was a mistake.
context: I made contact with him last night, but he ran away.\Don't underestimate Bugbear.\His combat abilities rival, or exceed, my own.\Even before he awakens, there could be trouble if you aren't careful.\Also, we don't currently know what singularity he has.\Then getting into the ring was a mistake. response:	It seemed like so much fun, I couldn't help myself.
context: I made contact with him last night, but he ran away.\Don't underestimate Bugbear.\His combat abilities rival, or exceed, my own.\Even before he awakens, there could be trouble if you aren't careful.\Also, we don't currently know what singularity he has.\Then getting into the ring was a mistake.\It seemed like so much fun, I couldn't help myself. response:	Well, we went through all the trouble to bring the Bakuretsujuu here.
context: I made contact with him last night, but he ran away.\Don't underestimate Bugbear.\His combat abilities rival, or exceed, my own.\Even before he awakens, there could be trouble if you aren't careful.\Also, we don't currently know what singularity he has.\Then getting into the ring was a mistake.\It seemed like so much fun, I couldn't help myself.\Well, we went through all the trouble to bring the Bakuretsujuu here. response:	Let's finish this today.
context: Don't underestimate Bugbear.\His combat abilities rival, or exceed, my own.\Even before he awakens, there could be trouble if you aren't careful.\Also, we don't currently know what singularity he has.\Then getting into the ring was a mistake.\It seemed like so much fun, I couldn't help myself.\Well, we went through all the trouble to bring the Bakuretsujuu here.\Let's finish this today. response:	If we lure him out, it'll be fine.
context: His combat abilities rival, or exceed, my own.\Even before he awakens, there could be trouble if you aren't careful.\Also, we don't currently know what singularity he has.\Then getting into the ring was a mistake.\It seemed like so much fun, I couldn't help myself.\Well, we went through all the trouble to bring the Bakuretsujuu here.\Let's finish this today.\If we lure him out, it'll be fine. response:	The Magus incident...
context: Even before he awakens, there could be trouble if you aren't careful.\Also, we don't currently know what singularity he has.\Then getting into the ring was a mistake.\It seemed like so much fun, I couldn't help myself.\Well, we went through all the trouble to bring the Bakuretsujuu here.\Let's finish this today.\If we lure him out, it'll be fine.\The Magus incident... response:	Was this a year ago?
context: Also, we don't currently know what singularity he has.\Then getting into the ring was a mistake.\It seemed like so much fun, I couldn't help myself.\Well, we went through all the trouble to bring the Bakuretsujuu here.\Let's finish this today.\If we lure him out, it'll be fine.\The Magus incident...\Was this a year ago? response:	What have you been looking at?
context: Then getting into the ring was a mistake.\It seemed like so much fun, I couldn't help myself.\Well, we went through all the trouble to bring the Bakuretsujuu here.\Let's finish this today.\If we lure him out, it'll be fine.\The Magus incident...\Was this a year ago?\What have you been looking at? response:	I was just thinking that it never hit the news.
context: It seemed like so much fun, I couldn't help myself.\Well, we went through all the trouble to bring the Bakuretsujuu here.\Let's finish this today.\If we lure him out, it'll be fine.\The Magus incident...\Was this a year ago?\What have you been looking at?\I was just thinking that it never hit the news. response:	Didn't I kill a guy with my singularity last night?
context: Well, we went through all the trouble to bring the Bakuretsujuu here.\Let's finish this today.\If we lure him out, it'll be fine.\The Magus incident...\Was this a year ago?\What have you been looking at?\I was just thinking that it never hit the news.\Didn't I kill a guy with my singularity last night? response:	Are you really okay, Haruhiko-san?
context: Let's finish this today.\If we lure him out, it'll be fine.\The Magus incident...\Was this a year ago?\What have you been looking at?\I was just thinking that it never hit the news.\Didn't I kill a guy with my singularity last night?\Are you really okay, Haruhiko-san? response:	Hey, Vice Commander...
