context: Pardon me... response:	What day is it today?
context: Pardon me...\What day is it today? response:	We're home.
context: Pardon me...\What day is it today?\We're home. response:	Miuna, Hikari!
context: Pardon me...\What day is it today?\We're home.\Miuna, Hikari! response:	What's wrong?
context: Pardon me...\What day is it today?\We're home.\Miuna, Hikari!\What's wrong? response:	Kaname-kun woke up!
context: Pardon me...\What day is it today?\We're home.\Miuna, Hikari!\What's wrong?\Kaname-kun woke up! response:	Where is he right now?
context: Pardon me...\What day is it today?\We're home.\Miuna, Hikari!\What's wrong?\Kaname-kun woke up!\Where is he right now? response:	He's at the Fishery Cooperative.
context: Pardon me...\What day is it today?\We're home.\Miuna, Hikari!\What's wrong?\Kaname-kun woke up!\Where is he right now?\He's at the Fishery Cooperative. response:	I'll watch Akira, so Akari, you can go with Hikari-kun...
context: What day is it today?\We're home.\Miuna, Hikari!\What's wrong?\Kaname-kun woke up!\Where is he right now?\He's at the Fishery Cooperative.\I'll watch Akira, so Akari, you can go with Hikari-kun... response:	Hikari!
context: We're home.\Miuna, Hikari!\What's wrong?\Kaname-kun woke up!\Where is he right now?\He's at the Fishery Cooperative.\I'll watch Akira, so Akari, you can go with Hikari-kun...\Hikari! response:	Kaname!
context: Miuna, Hikari!\What's wrong?\Kaname-kun woke up!\Where is he right now?\He's at the Fishery Cooperative.\I'll watch Akira, so Akari, you can go with Hikari-kun...\Hikari!\Kaname! response:	Wait up, Hika
context: What's wrong?\Kaname-kun woke up!\Where is he right now?\He's at the Fishery Cooperative.\I'll watch Akira, so Akari, you can go with Hikari-kun...\Hikari!\Kaname!\Wait up, Hika response:	Hey. Good morning.
context: Kaname-kun woke up!\Where is he right now?\He's at the Fishery Cooperative.\I'll watch Akira, so Akari, you can go with Hikari-kun...\Hikari!\Kaname!\Wait up, Hika\Hey. Good morning. response:	Episode Seventeen: The Sick Two
context: Where is he right now?\He's at the Fishery Cooperative.\I'll watch Akira, so Akari, you can go with Hikari-kun...\Hikari!\Kaname!\Wait up, Hika\Hey. Good morning.\Episode Seventeen: The Sick Two response:	Kaname?
context: He's at the Fishery Cooperative.\I'll watch Akira, so Akari, you can go with Hikari-kun...\Hikari!\Kaname!\Wait up, Hika\Hey. Good morning.\Episode Seventeen: The Sick Two\Kaname? response:	So you really did stay on the surface.
context: I'll watch Akira, so Akari, you can go with Hikari-kun...\Hikari!\Kaname!\Wait up, Hika\Hey. Good morning.\Episode Seventeen: The Sick Two\Kaname?\So you really did stay on the surface. response:	Kaname...
context: Hikari!\Kaname!\Wait up, Hika\Hey. Good morning.\Episode Seventeen: The Sick Two\Kaname?\So you really did stay on the surface.\Kaname... response:	You look well, Chisa
context: Kaname!\Wait up, Hika\Hey. Good morning.\Episode Seventeen: The Sick Two\Kaname?\So you really did stay on the surface.\Kaname...\You look well, Chisa response:	It's been a while, Kaname.
context: Wait up, Hika\Hey. Good morning.\Episode Seventeen: The Sick Two\Kaname?\So you really did stay on the surface.\Kaname...\You look well, Chisa\It's been a while, Kaname. response:	Tsumugu?
context: Hey. Good morning.\Episode Seventeen: The Sick Two\Kaname?\So you really did stay on the surface.\Kaname...\You look well, Chisa\It's been a while, Kaname.\Tsumugu? response:	Yeah.
context: Episode Seventeen: The Sick Two\Kaname?\So you really did stay on the surface.\Kaname...\You look well, Chisa\It's been a while, Kaname.\Tsumugu?\Yeah. response:	Kaname? Is something wrong?
context: Kaname?\So you really did stay on the surface.\Kaname...\You look well, Chisa\It's been a while, Kaname.\Tsumugu?\Yeah.\Kaname? Is something wrong? response:	It's nothing.
context: So you really did stay on the surface.\Kaname...\You look well, Chisa\It's been a while, Kaname.\Tsumugu?\Yeah.\Kaname? Is something wrong?\It's nothing. response:	Good morning, Chisaki, Tsumugu.
context: Kaname...\You look well, Chisa\It's been a while, Kaname.\Tsumugu?\Yeah.\Kaname? Is something wrong?\It's nothing.\Good morning, Chisaki, Tsumugu. response:	The truth is, I don't really remember.
context: You look well, Chisa\It's been a while, Kaname.\Tsumugu?\Yeah.\Kaname? Is something wrong?\It's nothing.\Good morning, Chisaki, Tsumugu.\The truth is, I don't really remember. response:	When I came to, I was being carried by the current.
context: It's been a while, Kaname.\Tsumugu?\Yeah.\Kaname? Is something wrong?\It's nothing.\Good morning, Chisaki, Tsumugu.\The truth is, I don't really remember.\When I came to, I was being carried by the current. response:	So you don't know how the rest of the village is doing?
context: Tsumugu?\Yeah.\Kaname? Is something wrong?\It's nothing.\Good morning, Chisaki, Tsumugu.\The truth is, I don't really remember.\When I came to, I was being carried by the current.\So you don't know how the rest of the village is doing? response:	Yeah.
context: Yeah.\Kaname? Is something wrong?\It's nothing.\Good morning, Chisaki, Tsumugu.\The truth is, I don't really remember.\When I came to, I was being carried by the current.\So you don't know how the rest of the village is doing?\Yeah. response:	Manaka...
context: Kaname? Is something wrong?\It's nothing.\Good morning, Chisaki, Tsumugu.\The truth is, I don't really remember.\When I came to, I was being carried by the current.\So you don't know how the rest of the village is doing?\Yeah.\Manaka... response:	Was there anything else you noticed?
context: It's nothing.\Good morning, Chisaki, Tsumugu.\The truth is, I don't really remember.\When I came to, I was being carried by the current.\So you don't know how the rest of the village is doing?\Yeah.\Manaka...\Was there anything else you noticed? response:	Now that I think of it, I might have heard a sound...
context: Good morning, Chisaki, Tsumugu.\The truth is, I don't really remember.\When I came to, I was being carried by the current.\So you don't know how the rest of the village is doing?\Yeah.\Manaka...\Was there anything else you noticed?\Now that I think of it, I might have heard a sound... response:	Huh?
context: The truth is, I don't really remember.\When I came to, I was being carried by the current.\So you don't know how the rest of the village is doing?\Yeah.\Manaka...\Was there anything else you noticed?\Now that I think of it, I might have heard a sound...\Huh? response:	A sound? What kind?
context: When I came to, I was being carried by the current.\So you don't know how the rest of the village is doing?\Yeah.\Manaka...\Was there anything else you noticed?\Now that I think of it, I might have heard a sound...\Huh?\A sound? What kind? response:	Something like sand flowing.
context: So you don't know how the rest of the village is doing?\Yeah.\Manaka...\Was there anything else you noticed?\Now that I think of it, I might have heard a sound...\Huh?\A sound? What kind?\Something like sand flowing. response:	I didn't hear anything like that.
context: Yeah.\Manaka...\Was there anything else you noticed?\Now that I think of it, I might have heard a sound...\Huh?\A sound? What kind?\Something like sand flowing.\I didn't hear anything like that. response:	I heard it, too.
context: Manaka...\Was there anything else you noticed?\Now that I think of it, I might have heard a sound...\Huh?\A sound? What kind?\Something like sand flowing.\I didn't hear anything like that.\I heard it, too. response:	Wha?
context: Was there anything else you noticed?\Now that I think of it, I might have heard a sound...\Huh?\A sound? What kind?\Something like sand flowing.\I didn't hear anything like that.\I heard it, too.\Wha? response:	When?
context: Now that I think of it, I might have heard a sound...\Huh?\A sound? What kind?\Something like sand flowing.\I didn't hear anything like that.\I heard it, too.\Wha?\When? response:	Today. I accidentally fell into the sea...
context: Huh?\A sound? What kind?\Something like sand flowing.\I didn't hear anything like that.\I heard it, too.\Wha?\When?\Today. I accidentally fell into the sea... response:	I heard it then.
context: A sound? What kind?\Something like sand flowing.\I didn't hear anything like that.\I heard it, too.\Wha?\When?\Today. I accidentally fell into the sea...\I heard it then. response:	Were you okay?
context: Something like sand flowing.\I didn't hear anything like that.\I heard it, too.\Wha?\When?\Today. I accidentally fell into the sea...\I heard it then.\Were you okay? response:	Well, apparently she's able to swim now.
context: I didn't hear anything like that.\I heard it, too.\Wha?\When?\Today. I accidentally fell into the sea...\I heard it then.\Were you okay?\Well, apparently she's able to swim now. response:	What?
context: I heard it, too.\Wha?\When?\Today. I accidentally fell into the sea...\I heard it then.\Were you okay?\Well, apparently she's able to swim now.\What? response:	It wasn't hard to breathe at all.
context: Wha?\When?\Today. I accidentally fell into the sea...\I heard it then.\Were you okay?\Well, apparently she's able to swim now.\What?\It wasn't hard to breathe at all. response:	You were able to breathe underwater?
context: When?\Today. I accidentally fell into the sea...\I heard it then.\Were you okay?\Well, apparently she's able to swim now.\What?\It wasn't hard to breathe at all.\You were able to breathe underwater? response:	I think so...
context: Today. I accidentally fell into the sea...\I heard it then.\Were you okay?\Well, apparently she's able to swim now.\What?\It wasn't hard to breathe at all.\You were able to breathe underwater?\I think so... response:	Your mom was from Shioshishio, right?
context: I heard it then.\Were you okay?\Well, apparently she's able to swim now.\What?\It wasn't hard to breathe at all.\You were able to breathe underwater?\I think so...\Your mom was from Shioshishio, right? response:	Her birth mother was, yes.
context: Were you okay?\Well, apparently she's able to swim now.\What?\It wasn't hard to breathe at all.\You were able to breathe underwater?\I think so...\Your mom was from Shioshishio, right?\Her birth mother was, yes. response:	I see...
context: Well, apparently she's able to swim now.\What?\It wasn't hard to breathe at all.\You were able to breathe underwater?\I think so...\Your mom was from Shioshishio, right?\Her birth mother was, yes.\I see... response:	Does that mean something?
context: What?\It wasn't hard to breathe at all.\You were able to breathe underwater?\I think so...\Your mom was from Shioshishio, right?\Her birth mother was, yes.\I see...\Does that mean something? response:	No, I might just be overthinking things.
context: It wasn't hard to breathe at all.\You were able to breathe underwater?\I think so...\Your mom was from Shioshishio, right?\Her birth mother was, yes.\I see...\Does that mean something?\No, I might just be overthinking things. response:	I'd like to talk to your daughter at another time if that's all right.
