context: What a kill count, and on only her third mission. response:	Not bad, not bad.
context: What a kill count, and on only her third mission.\Not bad, not bad. response:	No one could use that machine well,
context: What a kill count, and on only her third mission.\Not bad, not bad.\No one could use that machine well, response:	and then she does it so effortlessly.
context: What a kill count, and on only her third mission.\Not bad, not bad.\No one could use that machine well,\and then she does it so effortlessly. response:	The Villkiss must have accepted Ange.
context: What a kill count, and on only her third mission.\Not bad, not bad.\No one could use that machine well,\and then she does it so effortlessly.\The Villkiss must have accepted Ange. response:	So then she's
context: What a kill count, and on only her third mission.\Not bad, not bad.\No one could use that machine well,\and then she does it so effortlessly.\The Villkiss must have accepted Ange.\So then she's response:	Shall we begin, then?
context: What a kill count, and on only her third mission.\Not bad, not bad.\No one could use that machine well,\and then she does it so effortlessly.\The Villkiss must have accepted Ange.\So then she's\Shall we begin, then? response:	The Libertus.
context: What a kill count, and on only her third mission.\Not bad, not bad.\No one could use that machine well,\and then she does it so effortlessly.\The Villkiss must have accepted Ange.\So then she's\Shall we begin, then?\The Libertus. response:	Got a problem with that, Salia?
context: Not bad, not bad.\No one could use that machine well,\and then she does it so effortlessly.\The Villkiss must have accepted Ange.\So then she's\Shall we begin, then?\The Libertus.\Got a problem with that, Salia? response:	She'll die immediately.
context: No one could use that machine well,\and then she does it so effortlessly.\The Villkiss must have accepted Ange.\So then she's\Shall we begin, then?\The Libertus.\Got a problem with that, Salia?\She'll die immediately. response:	She the villain that killed their captain and their beloved new recruits.
context: and then she does it so effortlessly.\The Villkiss must have accepted Ange.\So then she's\Shall we begin, then?\The Libertus.\Got a problem with that, Salia?\She'll die immediately.\She the villain that killed their captain and their beloved new recruits. response:	Of course they hate her.
context: The Villkiss must have accepted Ange.\So then she's\Shall we begin, then?\The Libertus.\Got a problem with that, Salia?\She'll die immediately.\She the villain that killed their captain and their beloved new recruits.\Of course they hate her. response:	She...
context: So then she's\Shall we begin, then?\The Libertus.\Got a problem with that, Salia?\She'll die immediately.\She the villain that killed their captain and their beloved new recruits.\Of course they hate her.\She... response:	I could do it.
context: Shall we begin, then?\The Libertus.\Got a problem with that, Salia?\She'll die immediately.\She the villain that killed their captain and their beloved new recruits.\Of course they hate her.\She...\I could do it. response:	I'll show you. I can handle the Villkiss better.
context: The Libertus.\Got a problem with that, Salia?\She'll die immediately.\She the villain that killed their captain and their beloved new recruits.\Of course they hate her.\She...\I could do it.\I'll show you. I can handle the Villkiss better. response:	So why?
context: Got a problem with that, Salia?\She'll die immediately.\She the villain that killed their captain and their beloved new recruits.\Of course they hate her.\She...\I could do it.\I'll show you. I can handle the Villkiss better.\So why? response:	The right person for the job.
context: She'll die immediately.\She the villain that killed their captain and their beloved new recruits.\Of course they hate her.\She...\I could do it.\I'll show you. I can handle the Villkiss better.\So why?\The right person for the job. response:	If something happens to the Villkiss
context: She the villain that killed their captain and their beloved new recruits.\Of course they hate her.\She...\I could do it.\I'll show you. I can handle the Villkiss better.\So why?\The right person for the job.\If something happens to the Villkiss response:	I'll fix it if it comes to that.
context: Of course they hate her.\She...\I could do it.\I'll show you. I can handle the Villkiss better.\So why?\The right person for the job.\If something happens to the Villkiss\I'll fix it if it comes to that. response:	I'll stake my life on it.
context: She...\I could do it.\I'll show you. I can handle the Villkiss better.\So why?\The right person for the job.\If something happens to the Villkiss\I'll fix it if it comes to that.\I'll stake my life on it. response:	That's our duty, after all.
context: I could do it.\I'll show you. I can handle the Villkiss better.\So why?\The right person for the job.\If something happens to the Villkiss\I'll fix it if it comes to that.\I'll stake my life on it.\That's our duty, after all. response:	Mei.
context: I'll show you. I can handle the Villkiss better.\So why?\The right person for the job.\If something happens to the Villkiss\I'll fix it if it comes to that.\I'll stake my life on it.\That's our duty, after all.\Mei. response:	Focus on your own duty.
