context: Join forces? response:	Don't worry, everyone. Everything's fine.
context: Join forces?\Don't worry, everyone. Everything's fine. response:	We'll hear you out.
context: Join forces?\Don't worry, everyone. Everything's fine.\We'll hear you out. response:	That's right.
context: Join forces?\Don't worry, everyone. Everything's fine.\We'll hear you out.\That's right. response:	We should cooperate together so we can achieve our goals.
context: Join forces?\Don't worry, everyone. Everything's fine.\We'll hear you out.\That's right.\We should cooperate together so we can achieve our goals. response:	You all want to escape.
context: Join forces?\Don't worry, everyone. Everything's fine.\We'll hear you out.\That's right.\We should cooperate together so we can achieve our goals.\You all want to escape. response:	I want to become Mom of this House.
context: Join forces?\Don't worry, everyone. Everything's fine.\We'll hear you out.\That's right.\We should cooperate together so we can achieve our goals.\You all want to escape.\I want to become Mom of this House. response:	I want to drag Isabella down from her position as Mom,
context: Join forces?\Don't worry, everyone. Everything's fine.\We'll hear you out.\That's right.\We should cooperate together so we can achieve our goals.\You all want to escape.\I want to become Mom of this House.\I want to drag Isabella down from her position as Mom, response:	and seize that position for myself.
context: Don't worry, everyone. Everything's fine.\We'll hear you out.\That's right.\We should cooperate together so we can achieve our goals.\You all want to escape.\I want to become Mom of this House.\I want to drag Isabella down from her position as Mom,\and seize that position for myself. response:	Mom's position?
context: We'll hear you out.\That's right.\We should cooperate together so we can achieve our goals.\You all want to escape.\I want to become Mom of this House.\I want to drag Isabella down from her position as Mom,\and seize that position for myself.\Mom's position? response:	Just to clarify, those are my true intentions.
context: That's right.\We should cooperate together so we can achieve our goals.\You all want to escape.\I want to become Mom of this House.\I want to drag Isabella down from her position as Mom,\and seize that position for myself.\Mom's position?\Just to clarify, those are my true intentions. response:	I also want to break free from this situation.
context: We should cooperate together so we can achieve our goals.\You all want to escape.\I want to become Mom of this House.\I want to drag Isabella down from her position as Mom,\and seize that position for myself.\Mom's position?\Just to clarify, those are my true intentions.\I also want to break free from this situation. response:	Do you know about the management system here?
context: You all want to escape.\I want to become Mom of this House.\I want to drag Isabella down from her position as Mom,\and seize that position for myself.\Mom's position?\Just to clarify, those are my true intentions.\I also want to break free from this situation.\Do you know about the management system here? response:	Girls who fulfill certain conditions and live until 12 years old
context: I want to become Mom of this House.\I want to drag Isabella down from her position as Mom,\and seize that position for myself.\Mom's position?\Just to clarify, those are my true intentions.\I also want to break free from this situation.\Do you know about the management system here?\Girls who fulfill certain conditions and live until 12 years old response:	are presented with two paths when they're about to be shipped.
context: I want to drag Isabella down from her position as Mom,\and seize that position for myself.\Mom's position?\Just to clarify, those are my true intentions.\I also want to break free from this situation.\Do you know about the management system here?\Girls who fulfill certain conditions and live until 12 years old\are presented with two paths when they're about to be shipped. response:	To continue and die, or aim to become a Mom.
context: and seize that position for myself.\Mom's position?\Just to clarify, those are my true intentions.\I also want to break free from this situation.\Do you know about the management system here?\Girls who fulfill certain conditions and live until 12 years old\are presented with two paths when they're about to be shipped.\To continue and die, or aim to become a Mom. response:	What are the conditions?
context: Mom's position?\Just to clarify, those are my true intentions.\I also want to break free from this situation.\Do you know about the management system here?\Girls who fulfill certain conditions and live until 12 years old\are presented with two paths when they're about to be shipped.\To continue and die, or aim to become a Mom.\What are the conditions? response:	Scores above a certain number and the Mom's recommendation.
context: Just to clarify, those are my true intentions.\I also want to break free from this situation.\Do you know about the management system here?\Girls who fulfill certain conditions and live until 12 years old\are presented with two paths when they're about to be shipped.\To continue and die, or aim to become a Mom.\What are the conditions?\Scores above a certain number and the Mom's recommendation. response:	If you can meet these two requirements, you can survive without escaping.
context: I also want to break free from this situation.\Do you know about the management system here?\Girls who fulfill certain conditions and live until 12 years old\are presented with two paths when they're about to be shipped.\To continue and die, or aim to become a Mom.\What are the conditions?\Scores above a certain number and the Mom's recommendation.\If you can meet these two requirements, you can survive without escaping. response:	- If you're a girl. - A girl...
