context: Goodbye. response:	We're going now.
context: Goodbye.\We're going now. response:	Tabitha!
context: Goodbye.\We're going now.\Tabitha! response:	Where are you going?
context: Goodbye.\We're going now.\Tabitha!\Where are you going? response:	Don't tell me you're...
context: Goodbye.\We're going now.\Tabitha!\Where are you going?\Don't tell me you're... response:	I'm going back to Gallia.
context: Goodbye.\We're going now.\Tabitha!\Where are you going?\Don't tell me you're...\I'm going back to Gallia. response:	Why all of a sudden?!
context: Goodbye.\We're going now.\Tabitha!\Where are you going?\Don't tell me you're...\I'm going back to Gallia.\Why all of a sudden?! response:	Because if I keep hearing your voice,
context: Goodbye.\We're going now.\Tabitha!\Where are you going?\Don't tell me you're...\I'm going back to Gallia.\Why all of a sudden?!\Because if I keep hearing your voice, response:	I'll lose my resolve.
context: We're going now.\Tabitha!\Where are you going?\Don't tell me you're...\I'm going back to Gallia.\Why all of a sudden?!\Because if I keep hearing your voice,\I'll lose my resolve. response:	Tabitha...
context: Tabitha!\Where are you going?\Don't tell me you're...\I'm going back to Gallia.\Why all of a sudden?!\Because if I keep hearing your voice,\I'll lose my resolve.\Tabitha... response:	He'll really be surprised if we attack this early.
context: Where are you going?\Don't tell me you're...\I'm going back to Gallia.\Why all of a sudden?!\Because if I keep hearing your voice,\I'll lose my resolve.\Tabitha...\He'll really be surprised if we attack this early. response:	Oh.
context: Don't tell me you're...\I'm going back to Gallia.\Why all of a sudden?!\Because if I keep hearing your voice,\I'll lose my resolve.\Tabitha...\He'll really be surprised if we attack this early.\Oh. response:	It's the Elemental Siblings.
context: I'm going back to Gallia.\Why all of a sudden?!\Because if I keep hearing your voice,\I'll lose my resolve.\Tabitha...\He'll really be surprised if we attack this early.\Oh.\It's the Elemental Siblings. response:	What are you doing here?!
context: Why all of a sudden?!\Because if I keep hearing your voice,\I'll lose my resolve.\Tabitha...\He'll really be surprised if we attack this early.\Oh.\It's the Elemental Siblings.\What are you doing here?! response:	Isn't it obvious?
context: Because if I keep hearing your voice,\I'll lose my resolve.\Tabitha...\He'll really be surprised if we attack this early.\Oh.\It's the Elemental Siblings.\What are you doing here?!\Isn't it obvious? response:	We're here to kill you.
context: I'll lose my resolve.\Tabitha...\He'll really be surprised if we attack this early.\Oh.\It's the Elemental Siblings.\What are you doing here?!\Isn't it obvious?\We're here to kill you. response:	Huh?
context: Tabitha...\He'll really be surprised if we attack this early.\Oh.\It's the Elemental Siblings.\What are you doing here?!\Isn't it obvious?\We're here to kill you.\Huh? response:	Shut up and fight!
context: He'll really be surprised if we attack this early.\Oh.\It's the Elemental Siblings.\What are you doing here?!\Isn't it obvious?\We're here to kill you.\Huh?\Shut up and fight! response:	Elves from the Desert
context: Oh.\It's the Elemental Siblings.\What are you doing here?!\Isn't it obvious?\We're here to kill you.\Huh?\Shut up and fight!\Elves from the Desert response:	If we continue straight,
context: It's the Elemental Siblings.\What are you doing here?!\Isn't it obvious?\We're here to kill you.\Huh?\Shut up and fight!\Elves from the Desert\If we continue straight, response:	we should come out behind the barbarian's mansion.
context: What are you doing here?!\Isn't it obvious?\We're here to kill you.\Huh?\Shut up and fight!\Elves from the Desert\If we continue straight,\we should come out behind the barbarian's mansion. response:	I hope she's still there.
context: Isn't it obvious?\We're here to kill you.\Huh?\Shut up and fight!\Elves from the Desert\If we continue straight,\we should come out behind the barbarian's mansion.\I hope she's still there. response:	I can't wait to meet her.
context: We're here to kill you.\Huh?\Shut up and fight!\Elves from the Desert\If we continue straight,\we should come out behind the barbarian's mansion.\I hope she's still there.\I can't wait to meet her. response:	I wonder what she's like?
context: Huh?\Shut up and fight!\Elves from the Desert\If we continue straight,\we should come out behind the barbarian's mansion.\I hope she's still there.\I can't wait to meet her.\I wonder what she's like? response:	Lukshana! What if the barbarians see you?
context: Shut up and fight!\Elves from the Desert\If we continue straight,\we should come out behind the barbarian's mansion.\I hope she's still there.\I can't wait to meet her.\I wonder what she's like?\Lukshana! What if the barbarians see you? response:	Who's going to see me in the middle of this huge forest?
context: Elves from the Desert\If we continue straight,\we should come out behind the barbarian's mansion.\I hope she's still there.\I can't wait to meet her.\I wonder what she's like?\Lukshana! What if the barbarians see you?\Who's going to see me in the middle of this huge forest? response:	Let's hurry up and go.
context: If we continue straight,\we should come out behind the barbarian's mansion.\I hope she's still there.\I can't wait to meet her.\I wonder what she's like?\Lukshana! What if the barbarians see you?\Who's going to see me in the middle of this huge forest?\Let's hurry up and go. response:	Your fiancee is just as audacious
context: we should come out behind the barbarian's mansion.\I hope she's still there.\I can't wait to meet her.\I wonder what she's like?\Lukshana! What if the barbarians see you?\Who's going to see me in the middle of this huge forest?\Let's hurry up and go.\Your fiancee is just as audacious response:	and impatient as ever.
context: I hope she's still there.\I can't wait to meet her.\I wonder what she's like?\Lukshana! What if the barbarians see you?\Who's going to see me in the middle of this huge forest?\Let's hurry up and go.\Your fiancee is just as audacious\and impatient as ever. response:	She's a good girl.
context: I can't wait to meet her.\I wonder what she's like?\Lukshana! What if the barbarians see you?\Who's going to see me in the middle of this huge forest?\Let's hurry up and go.\Your fiancee is just as audacious\and impatient as ever.\She's a good girl. response:	As long as that unchecked barbarian lover isn't around...
context: I wonder what she's like?\Lukshana! What if the barbarians see you?\Who's going to see me in the middle of this huge forest?\Let's hurry up and go.\Your fiancee is just as audacious\and impatient as ever.\She's a good girl.\As long as that unchecked barbarian lover isn't around... response:	Don't get in our way.
context: Lukshana! What if the barbarians see you?\Who's going to see me in the middle of this huge forest?\Let's hurry up and go.\Your fiancee is just as audacious\and impatient as ever.\She's a good girl.\As long as that unchecked barbarian lover isn't around...\Don't get in our way. response:	I'm his champion.
context: Who's going to see me in the middle of this huge forest?\Let's hurry up and go.\Your fiancee is just as audacious\and impatient as ever.\She's a good girl.\As long as that unchecked barbarian lover isn't around...\Don't get in our way.\I'm his champion. response:	Your hair has the same color as the royal family of Gallia.
context: Let's hurry up and go.\Your fiancee is just as audacious\and impatient as ever.\She's a good girl.\As long as that unchecked barbarian lover isn't around...\Don't get in our way.\I'm his champion.\Your hair has the same color as the royal family of Gallia. response:	We actually have some ties to Gallia.
context: Your fiancee is just as audacious\and impatient as ever.\She's a good girl.\As long as that unchecked barbarian lover isn't around...\Don't get in our way.\I'm his champion.\Your hair has the same color as the royal family of Gallia.\We actually have some ties to Gallia. response:	Knights of the North Parterre... I was there...
context: and impatient as ever.\She's a good girl.\As long as that unchecked barbarian lover isn't around...\Don't get in our way.\I'm his champion.\Your hair has the same color as the royal family of Gallia.\We actually have some ties to Gallia.\Knights of the North Parterre... I was there... response:	Well, what a coincidence!
context: She's a good girl.\As long as that unchecked barbarian lover isn't around...\Don't get in our way.\I'm his champion.\Your hair has the same color as the royal family of Gallia.\We actually have some ties to Gallia.\Knights of the North Parterre... I was there...\Well, what a coincidence! response:	Fly!
context: As long as that unchecked barbarian lover isn't around...\Don't get in our way.\I'm his champion.\Your hair has the same color as the royal family of Gallia.\We actually have some ties to Gallia.\Knights of the North Parterre... I was there...\Well, what a coincidence!\Fly! response:	Hey!
context: Don't get in our way.\I'm his champion.\Your hair has the same color as the royal family of Gallia.\We actually have some ties to Gallia.\Knights of the North Parterre... I was there...\Well, what a coincidence!\Fly!\Hey! response:	I'll be fighting you.
context: I'm his champion.\Your hair has the same color as the royal family of Gallia.\We actually have some ties to Gallia.\Knights of the North Parterre... I was there...\Well, what a coincidence!\Fly!\Hey!\I'll be fighting you. response:	Didn't you get caught in Romalia?!
context: Your hair has the same color as the royal family of Gallia.\We actually have some ties to Gallia.\Knights of the North Parterre... I was there...\Well, what a coincidence!\Fly!\Hey!\I'll be fighting you.\Didn't you get caught in Romalia?! response:	You think there's a dungeon that can hold me?
context: We actually have some ties to Gallia.\Knights of the North Parterre... I was there...\Well, what a coincidence!\Fly!\Hey!\I'll be fighting you.\Didn't you get caught in Romalia?!\You think there's a dungeon that can hold me? response:	But let me tell you, I didn't enjoy being forced
context: Knights of the North Parterre... I was there...\Well, what a coincidence!\Fly!\Hey!\I'll be fighting you.\Didn't you get caught in Romalia?!\You think there's a dungeon that can hold me?\But let me tell you, I didn't enjoy being forced response:	to eat their stinking dungeon food.
context: Well, what a coincidence!\Fly!\Hey!\I'll be fighting you.\Didn't you get caught in Romalia?!\You think there's a dungeon that can hold me?\But let me tell you, I didn't enjoy being forced\to eat their stinking dungeon food. response:	I'll be taking out my anger on you!
context: Fly!\Hey!\I'll be fighting you.\Didn't you get caught in Romalia?!\You think there's a dungeon that can hold me?\But let me tell you, I didn't enjoy being forced\to eat their stinking dungeon food.\I'll be taking out my anger on you! response:	Hey, what are you doing to my mansion?!
context: Hey!\I'll be fighting you.\Didn't you get caught in Romalia?!\You think there's a dungeon that can hold me?\But let me tell you, I didn't enjoy being forced\to eat their stinking dungeon food.\I'll be taking out my anger on you!\Hey, what are you doing to my mansion?! response:	Valkyrie!
context: I'll be fighting you.\Didn't you get caught in Romalia?!\You think there's a dungeon that can hold me?\But let me tell you, I didn't enjoy being forced\to eat their stinking dungeon food.\I'll be taking out my anger on you!\Hey, what are you doing to my mansion?!\Valkyrie! response:	Saito, are you okay?
context: Didn't you get caught in Romalia?!\You think there's a dungeon that can hold me?\But let me tell you, I didn't enjoy being forced\to eat their stinking dungeon food.\I'll be taking out my anger on you!\Hey, what are you doing to my mansion?!\Valkyrie!\Saito, are you okay? response:	Let me handle that muscle brain!
context: You think there's a dungeon that can hold me?\But let me tell you, I didn't enjoy being forced\to eat their stinking dungeon food.\I'll be taking out my anger on you!\Hey, what are you doing to my mansion?!\Valkyrie!\Saito, are you okay?\Let me handle that muscle brain! response:	Would you care to find out if my brain's really all muscle?
context: But let me tell you, I didn't enjoy being forced\to eat their stinking dungeon food.\I'll be taking out my anger on you!\Hey, what are you doing to my mansion?!\Valkyrie!\Saito, are you okay?\Let me handle that muscle brain!\Would you care to find out if my brain's really all muscle? response:	I-I would!
context: to eat their stinking dungeon food.\I'll be taking out my anger on you!\Hey, what are you doing to my mansion?!\Valkyrie!\Saito, are you okay?\Let me handle that muscle brain!\Would you care to find out if my brain's really all muscle?\I-I would! response:	He looks awfully strong!
context: I'll be taking out my anger on you!\Hey, what are you doing to my mansion?!\Valkyrie!\Saito, are you okay?\Let me handle that muscle brain!\Would you care to find out if my brain's really all muscle?\I-I would!\He looks awfully strong! response:	Yeah.
context: Hey, what are you doing to my mansion?!\Valkyrie!\Saito, are you okay?\Let me handle that muscle brain!\Would you care to find out if my brain's really all muscle?\I-I would!\He looks awfully strong!\Yeah. response:	What's all the racket?
context: Valkyrie!\Saito, are you okay?\Let me handle that muscle brain!\Would you care to find out if my brain's really all muscle?\I-I would!\He looks awfully strong!\Yeah.\What's all the racket? response:	M-Miss Valliere!
context: Saito, are you okay?\Let me handle that muscle brain!\Would you care to find out if my brain's really all muscle?\I-I would!\He looks awfully strong!\Yeah.\What's all the racket?\M-Miss Valliere! response:	What?!
context: Let me handle that muscle brain!\Would you care to find out if my brain's really all muscle?\I-I would!\He looks awfully strong!\Yeah.\What's all the racket?\M-Miss Valliere!\What?! response:	Good morning.
context: Would you care to find out if my brain's really all muscle?\I-I would!\He looks awfully strong!\Yeah.\What's all the racket?\M-Miss Valliere!\What?!\Good morning. response:	It's good to see you again.
context: I-I would!\He looks awfully strong!\Yeah.\What's all the racket?\M-Miss Valliere!\What?!\Good morning.\It's good to see you again. response:	You!
context: He looks awfully strong!\Yeah.\What's all the racket?\M-Miss Valliere!\What?!\Good morning.\It's good to see you again.\You! response:	Looking for this?
