context: Coming. response:	Morning, Chise!
context: Coming.\Morning, Chise! response:	Stella.
context: Coming.\Morning, Chise!\Stella. response:	What's wrong? You look shocked.
context: Coming.\Morning, Chise!\Stella.\What's wrong? You look shocked. response:	Er, I didn't think you'd actually come by.
context: Coming.\Morning, Chise!\Stella.\What's wrong? You look shocked.\Er, I didn't think you'd actually come by. response:	I'm not a liar.
context: Coming.\Morning, Chise!\Stella.\What's wrong? You look shocked.\Er, I didn't think you'd actually come by.\I'm not a liar. response:	I-It must be cold. Come in.
context: Coming.\Morning, Chise!\Stella.\What's wrong? You look shocked.\Er, I didn't think you'd actually come by.\I'm not a liar.\I-It must be cold. Come in. response:	Thanks.
context: Coming.\Morning, Chise!\Stella.\What's wrong? You look shocked.\Er, I didn't think you'd actually come by.\I'm not a liar.\I-It must be cold. Come in.\Thanks. response:	Wow, this is amazing.
context: Morning, Chise!\Stella.\What's wrong? You look shocked.\Er, I didn't think you'd actually come by.\I'm not a liar.\I-It must be cold. Come in.\Thanks.\Wow, this is amazing. response:	You made all this?
context: Stella.\What's wrong? You look shocked.\Er, I didn't think you'd actually come by.\I'm not a liar.\I-It must be cold. Come in.\Thanks.\Wow, this is amazing.\You made all this? response:	I-It's not a big deal.
context: What's wrong? You look shocked.\Er, I didn't think you'd actually come by.\I'm not a liar.\I-It must be cold. Come in.\Thanks.\Wow, this is amazing.\You made all this?\I-It's not a big deal. response:	It was our contract.
context: Er, I didn't think you'd actually come by.\I'm not a liar.\I-It must be cold. Come in.\Thanks.\Wow, this is amazing.\You made all this?\I-It's not a big deal.\It was our contract. response:	Are you sure you should be wandering out by yourself?
context: I'm not a liar.\I-It must be cold. Come in.\Thanks.\Wow, this is amazing.\You made all this?\I-It's not a big deal.\It was our contract.\Are you sure you should be wandering out by yourself? response:	No one's going to abduct me right after Christmas.
context: I-It must be cold. Come in.\Thanks.\Wow, this is amazing.\You made all this?\I-It's not a big deal.\It was our contract.\Are you sure you should be wandering out by yourself?\No one's going to abduct me right after Christmas. response:	You were abducted on Christmas, though.
context: Thanks.\Wow, this is amazing.\You made all this?\I-It's not a big deal.\It was our contract.\Are you sure you should be wandering out by yourself?\No one's going to abduct me right after Christmas.\You were abducted on Christmas, though. response:	Stop it!
context: Wow, this is amazing.\You made all this?\I-It's not a big deal.\It was our contract.\Are you sure you should be wandering out by yourself?\No one's going to abduct me right after Christmas.\You were abducted on Christmas, though.\Stop it! response:	Jeez.
context: You made all this?\I-It's not a big deal.\It was our contract.\Are you sure you should be wandering out by yourself?\No one's going to abduct me right after Christmas.\You were abducted on Christmas, though.\Stop it!\Jeez. response:	I thought a mage's home would have a more ominous vibe.
context: I-It's not a big deal.\It was our contract.\Are you sure you should be wandering out by yourself?\No one's going to abduct me right after Christmas.\You were abducted on Christmas, though.\Stop it!\Jeez.\I thought a mage's home would have a more ominous vibe. response:	But it's spacious and clean.
context: It was our contract.\Are you sure you should be wandering out by yourself?\No one's going to abduct me right after Christmas.\You were abducted on Christmas, though.\Stop it!\Jeez.\I thought a mage's home would have a more ominous vibe.\But it's spacious and clean. response:	Y-Yeah.
context: Are you sure you should be wandering out by yourself?\No one's going to abduct me right after Christmas.\You were abducted on Christmas, though.\Stop it!\Jeez.\I thought a mage's home would have a more ominous vibe.\But it's spacious and clean.\Y-Yeah. response:	I guess I shouldn't tell her there's all kinds of creatures on her.
