context: Fujimiya Girls' High School response:	It's already been a month since school started.
context: Fujimiya Girls' High School\It's already been a month since school started. response:	Hina-chan, have you gotten used to school?
context: Fujimiya Girls' High School\It's already been a month since school started.\Hina-chan, have you gotten used to school? response:	Yes, it's a lot of fun!
context: Fujimiya Girls' High School\It's already been a month since school started.\Hina-chan, have you gotten used to school?\Yes, it's a lot of fun! response:	Our theater society is still going on, too.
context: Fujimiya Girls' High School\It's already been a month since school started.\Hina-chan, have you gotten used to school?\Yes, it's a lot of fun!\Our theater society is still going on, too. response:	I still don't do well in front of people, though...
context: Fujimiya Girls' High School\It's already been a month since school started.\Hina-chan, have you gotten used to school?\Yes, it's a lot of fun!\Our theater society is still going on, too.\I still don't do well in front of people, though... response:	But I have you, Mayu-chan, Kuu-chan, and our landlady, too.
context: Fujimiya Girls' High School\It's already been a month since school started.\Hina-chan, have you gotten used to school?\Yes, it's a lot of fun!\Our theater society is still going on, too.\I still don't do well in front of people, though...\But I have you, Mayu-chan, Kuu-chan, and our landlady, too. response:	And I've made friends...
context: Fujimiya Girls' High School\It's already been a month since school started.\Hina-chan, have you gotten used to school?\Yes, it's a lot of fun!\Our theater society is still going on, too.\I still don't do well in front of people, though...\But I have you, Mayu-chan, Kuu-chan, and our landlady, too.\And I've made friends... response:	Yua-chan!
context: It's already been a month since school started.\Hina-chan, have you gotten used to school?\Yes, it's a lot of fun!\Our theater society is still going on, too.\I still don't do well in front of people, though...\But I have you, Mayu-chan, Kuu-chan, and our landlady, too.\And I've made friends...\Yua-chan! response:	M-Morn
context: Hina-chan, have you gotten used to school?\Yes, it's a lot of fun!\Our theater society is still going on, too.\I still don't do well in front of people, though...\But I have you, Mayu-chan, Kuu-chan, and our landlady, too.\And I've made friends...\Yua-chan!\M-Morn response:	Wh-What's with you?
context: Yes, it's a lot of fun!\Our theater society is still going on, too.\I still don't do well in front of people, though...\But I have you, Mayu-chan, Kuu-chan, and our landlady, too.\And I've made friends...\Yua-chan!\M-Morn\Wh-What's with you? response:	Hey, wait for me!
context: Our theater society is still going on, too.\I still don't do well in front of people, though...\But I have you, Mayu-chan, Kuu-chan, and our landlady, too.\And I've made friends...\Yua-chan!\M-Morn\Wh-What's with you?\Hey, wait for me! response:	Are they friends?
context: I still don't do well in front of people, though...\But I have you, Mayu-chan, Kuu-chan, and our landlady, too.\And I've made friends...\Yua-chan!\M-Morn\Wh-What's with you?\Hey, wait for me!\Are they friends? response:	Y-Yeah...
context: But I have you, Mayu-chan, Kuu-chan, and our landlady, too.\And I've made friends...\Yua-chan!\M-Morn\Wh-What's with you?\Hey, wait for me!\Are they friends?\Y-Yeah... response:	Scarecrow Heroine
context: And I've made friends...\Yua-chan!\M-Morn\Wh-What's with you?\Hey, wait for me!\Are they friends?\Y-Yeah...\Scarecrow Heroine response:	Theater Club
context: Yua-chan!\M-Morn\Wh-What's with you?\Hey, wait for me!\Are they friends?\Y-Yeah...\Scarecrow Heroine\Theater Club response:	Okay, we'll begin our full practice in five minutes.
