context: Last night, multiple witnesses observed a mysterious light response:	along the Pacific coast, between Shikoku and Kyuushuu.
context: Last night, multiple witnesses observed a mysterious light\along the Pacific coast, between Shikoku and Kyuushuu. response:	Some also reported hearing what sounded like an explosion.
context: Last night, multiple witnesses observed a mysterious light\along the Pacific coast, between Shikoku and Kyuushuu.\Some also reported hearing what sounded like an explosion. response:	So, they wrote it off as a meteor?
context: Last night, multiple witnesses observed a mysterious light\along the Pacific coast, between Shikoku and Kyuushuu.\Some also reported hearing what sounded like an explosion.\So, they wrote it off as a meteor? response:	A surprising number of people are posting
context: Last night, multiple witnesses observed a mysterious light\along the Pacific coast, between Shikoku and Kyuushuu.\Some also reported hearing what sounded like an explosion.\So, they wrote it off as a meteor?\A surprising number of people are posting response:	that they wish a meteor would fall on them,
context: Last night, multiple witnesses observed a mysterious light\along the Pacific coast, between Shikoku and Kyuushuu.\Some also reported hearing what sounded like an explosion.\So, they wrote it off as a meteor?\A surprising number of people are posting\that they wish a meteor would fall on them, response:	and end it all in an instant...
context: Last night, multiple witnesses observed a mysterious light\along the Pacific coast, between Shikoku and Kyuushuu.\Some also reported hearing what sounded like an explosion.\So, they wrote it off as a meteor?\A surprising number of people are posting\that they wish a meteor would fall on them,\and end it all in an instant... response:	Mysterious Giant Meteor?
context: Last night, multiple witnesses observed a mysterious light\along the Pacific coast, between Shikoku and Kyuushuu.\Some also reported hearing what sounded like an explosion.\So, they wrote it off as a meteor?\A surprising number of people are posting\that they wish a meteor would fall on them,\and end it all in an instant...\Mysterious Giant Meteor? response:	The largest solar flare in recorded history was also observed yesterday.
context: along the Pacific coast, between Shikoku and Kyuushuu.\Some also reported hearing what sounded like an explosion.\So, they wrote it off as a meteor?\A surprising number of people are posting\that they wish a meteor would fall on them,\and end it all in an instant...\Mysterious Giant Meteor?\The largest solar flare in recorded history was also observed yesterday. response:	Experts report that...
context: Some also reported hearing what sounded like an explosion.\So, they wrote it off as a meteor?\A surprising number of people are posting\that they wish a meteor would fall on them,\and end it all in an instant...\Mysterious Giant Meteor?\The largest solar flare in recorded history was also observed yesterday.\Experts report that... response:	A large-scale solar flare?
context: So, they wrote it off as a meteor?\A surprising number of people are posting\that they wish a meteor would fall on them,\and end it all in an instant...\Mysterious Giant Meteor?\The largest solar flare in recorded history was also observed yesterday.\Experts report that...\A large-scale solar flare? response:	Anyway, the question now is how to deal with Hana's absence...
context: A surprising number of people are posting\that they wish a meteor would fall on them,\and end it all in an instant...\Mysterious Giant Meteor?\The largest solar flare in recorded history was also observed yesterday.\Experts report that...\A large-scale solar flare?\Anyway, the question now is how to deal with Hana's absence... response:	She's the only one we have who can predict the enemy's movements.
context: that they wish a meteor would fall on them,\and end it all in an instant...\Mysterious Giant Meteor?\The largest solar flare in recorded history was also observed yesterday.\Experts report that...\A large-scale solar flare?\Anyway, the question now is how to deal with Hana's absence...\She's the only one we have who can predict the enemy's movements. response:	If Hana knows the enemy's about to act,
context: and end it all in an instant...\Mysterious Giant Meteor?\The largest solar flare in recorded history was also observed yesterday.\Experts report that...\A large-scale solar flare?\Anyway, the question now is how to deal with Hana's absence...\She's the only one we have who can predict the enemy's movements.\If Hana knows the enemy's about to act, response:	she'll contact us immediately.
context: Mysterious Giant Meteor?\The largest solar flare in recorded history was also observed yesterday.\Experts report that...\A large-scale solar flare?\Anyway, the question now is how to deal with Hana's absence...\She's the only one we have who can predict the enemy's movements.\If Hana knows the enemy's about to act,\she'll contact us immediately. response:	I guarantee it on my name as a magical girl.
context: The largest solar flare in recorded history was also observed yesterday.\Experts report that...\A large-scale solar flare?\Anyway, the question now is how to deal with Hana's absence...\She's the only one we have who can predict the enemy's movements.\If Hana knows the enemy's about to act,\she'll contact us immediately.\I guarantee it on my name as a magical girl. response:	But if the enemy captures her, it'll be bad.
context: Experts report that...\A large-scale solar flare?\Anyway, the question now is how to deal with Hana's absence...\She's the only one we have who can predict the enemy's movements.\If Hana knows the enemy's about to act,\she'll contact us immediately.\I guarantee it on my name as a magical girl.\But if the enemy captures her, it'll be bad. response:	That's right.
context: A large-scale solar flare?\Anyway, the question now is how to deal with Hana's absence...\She's the only one we have who can predict the enemy's movements.\If Hana knows the enemy's about to act,\she'll contact us immediately.\I guarantee it on my name as a magical girl.\But if the enemy captures her, it'll be bad.\That's right. response:	Hana activated the Blume's weaponry.
context: Anyway, the question now is how to deal with Hana's absence...\She's the only one we have who can predict the enemy's movements.\If Hana knows the enemy's about to act,\she'll contact us immediately.\I guarantee it on my name as a magical girl.\But if the enemy captures her, it'll be bad.\That's right.\Hana activated the Blume's weaponry. response:	Once that information gets out, more people will come after her.
context: She's the only one we have who can predict the enemy's movements.\If Hana knows the enemy's about to act,\she'll contact us immediately.\I guarantee it on my name as a magical girl.\But if the enemy captures her, it'll be bad.\That's right.\Hana activated the Blume's weaponry.\Once that information gets out, more people will come after her. response:	Captain...
context: If Hana knows the enemy's about to act,\she'll contact us immediately.\I guarantee it on my name as a magical girl.\But if the enemy captures her, it'll be bad.\That's right.\Hana activated the Blume's weaponry.\Once that information gets out, more people will come after her.\Captain... response:	Why didn't you stop Hana?
context: she'll contact us immediately.\I guarantee it on my name as a magical girl.\But if the enemy captures her, it'll be bad.\That's right.\Hana activated the Blume's weaponry.\Once that information gets out, more people will come after her.\Captain...\Why didn't you stop Hana? response:	Because...
context: I guarantee it on my name as a magical girl.\But if the enemy captures her, it'll be bad.\That's right.\Hana activated the Blume's weaponry.\Once that information gets out, more people will come after her.\Captain...\Why didn't you stop Hana?\Because... response:	Stay back!
context: But if the enemy captures her, it'll be bad.\That's right.\Hana activated the Blume's weaponry.\Once that information gets out, more people will come after her.\Captain...\Why didn't you stop Hana?\Because...\Stay back! response:	Hana!
context: That's right.\Hana activated the Blume's weaponry.\Once that information gets out, more people will come after her.\Captain...\Why didn't you stop Hana?\Because...\Stay back!\Hana! response:	How much of its stored energy
context: Hana activated the Blume's weaponry.\Once that information gets out, more people will come after her.\Captain...\Why didn't you stop Hana?\Because...\Stay back!\Hana!\How much of its stored energy response:	did the Blume use with that Orgone beam yesterday?
context: Once that information gets out, more people will come after her.\Captain...\Why didn't you stop Hana?\Because...\Stay back!\Hana!\How much of its stored energy\did the Blume use with that Orgone beam yesterday? response:	I'm having Alonzo run the numbers.
context: Captain...\Why didn't you stop Hana?\Because...\Stay back!\Hana!\How much of its stored energy\did the Blume use with that Orgone beam yesterday?\I'm having Alonzo run the numbers. response:	I hope it doesn't prove a fatal impediment to our plans.
context: Why didn't you stop Hana?\Because...\Stay back!\Hana!\How much of its stored energy\did the Blume use with that Orgone beam yesterday?\I'm having Alonzo run the numbers.\I hope it doesn't prove a fatal impediment to our plans. response:	It all worked out okay...
context: Because...\Stay back!\Hana!\How much of its stored energy\did the Blume use with that Orgone beam yesterday?\I'm having Alonzo run the numbers.\I hope it doesn't prove a fatal impediment to our plans.\It all worked out okay... response:	Most of the Blume's energy should be depleted after that attack yesterday.
context: Stay back!\Hana!\How much of its stored energy\did the Blume use with that Orgone beam yesterday?\I'm having Alonzo run the numbers.\I hope it doesn't prove a fatal impediment to our plans.\It all worked out okay...\Most of the Blume's energy should be depleted after that attack yesterday. response:	If they were to use the Livlaster as an energy source, it would be a problem,
context: Hana!\How much of its stored energy\did the Blume use with that Orgone beam yesterday?\I'm having Alonzo run the numbers.\I hope it doesn't prove a fatal impediment to our plans.\It all worked out okay...\Most of the Blume's energy should be depleted after that attack yesterday.\If they were to use the Livlaster as an energy source, it would be a problem, response:	but only the princess's can move it...
context: How much of its stored energy\did the Blume use with that Orgone beam yesterday?\I'm having Alonzo run the numbers.\I hope it doesn't prove a fatal impediment to our plans.\It all worked out okay...\Most of the Blume's energy should be depleted after that attack yesterday.\If they were to use the Livlaster as an energy source, it would be a problem,\but only the princess's can move it... response:	Energy is an issue for us, as well.
context: did the Blume use with that Orgone beam yesterday?\I'm having Alonzo run the numbers.\I hope it doesn't prove a fatal impediment to our plans.\It all worked out okay...\Most of the Blume's energy should be depleted after that attack yesterday.\If they were to use the Livlaster as an energy source, it would be a problem,\but only the princess's can move it...\Energy is an issue for us, as well. response:	We need to get Siren-sama here soon.
context: I'm having Alonzo run the numbers.\I hope it doesn't prove a fatal impediment to our plans.\It all worked out okay...\Most of the Blume's energy should be depleted after that attack yesterday.\If they were to use the Livlaster as an energy source, it would be a problem,\but only the princess's can move it...\Energy is an issue for us, as well.\We need to get Siren-sama here soon. response:	Yeah.
context: I hope it doesn't prove a fatal impediment to our plans.\It all worked out okay...\Most of the Blume's energy should be depleted after that attack yesterday.\If they were to use the Livlaster as an energy source, it would be a problem,\but only the princess's can move it...\Energy is an issue for us, as well.\We need to get Siren-sama here soon.\Yeah. response:	What about the others?
context: It all worked out okay...\Most of the Blume's energy should be depleted after that attack yesterday.\If they were to use the Livlaster as an energy source, it would be a problem,\but only the princess's can move it...\Energy is an issue for us, as well.\We need to get Siren-sama here soon.\Yeah.\What about the others? response:	Are they leaving everything to us?
context: Most of the Blume's energy should be depleted after that attack yesterday.\If they were to use the Livlaster as an energy source, it would be a problem,\but only the princess's can move it...\Energy is an issue for us, as well.\We need to get Siren-sama here soon.\Yeah.\What about the others?\Are they leaving everything to us? response:	I don't know...
context: If they were to use the Livlaster as an energy source, it would be a problem,\but only the princess's can move it...\Energy is an issue for us, as well.\We need to get Siren-sama here soon.\Yeah.\What about the others?\Are they leaving everything to us?\I don't know... response:	Everyone has their own thoughts on the matter, I'm sure.
