context: Kiss Him, Not Me response:	Christmas in the Holy Land
context: Kiss Him, Not Me\Christmas in the Holy Land response:	Let's do a Chri-Pa, guys! A Chri-Pa!
context: Kiss Him, Not Me\Christmas in the Holy Land\Let's do a Chri-Pa, guys! A Chri-Pa! response:	Huh?
context: Kiss Him, Not Me\Christmas in the Holy Land\Let's do a Chri-Pa, guys! A Chri-Pa!\Huh? response:	A Chri-Pa! You know, Christmas party!
context: Kiss Him, Not Me\Christmas in the Holy Land\Let's do a Chri-Pa, guys! A Chri-Pa!\Huh?\A Chri-Pa! You know, Christmas party! response:	Oh. Sounds good.
context: Kiss Him, Not Me\Christmas in the Holy Land\Let's do a Chri-Pa, guys! A Chri-Pa!\Huh?\A Chri-Pa! You know, Christmas party!\Oh. Sounds good. response:	Right? We can reserve a karaoke room or something.
context: Kiss Him, Not Me\Christmas in the Holy Land\Let's do a Chri-Pa, guys! A Chri-Pa!\Huh?\A Chri-Pa! You know, Christmas party!\Oh. Sounds good.\Right? We can reserve a karaoke room or something. response:	Does Christmas Eve work?
context: Kiss Him, Not Me\Christmas in the Holy Land\Let's do a Chri-Pa, guys! A Chri-Pa!\Huh?\A Chri-Pa! You know, Christmas party!\Oh. Sounds good.\Right? We can reserve a karaoke room or something.\Does Christmas Eve work? response:	Sure.
context: Christmas in the Holy Land\Let's do a Chri-Pa, guys! A Chri-Pa!\Huh?\A Chri-Pa! You know, Christmas party!\Oh. Sounds good.\Right? We can reserve a karaoke room or something.\Does Christmas Eve work?\Sure. response:	It works for me.
context: Let's do a Chri-Pa, guys! A Chri-Pa!\Huh?\A Chri-Pa! You know, Christmas party!\Oh. Sounds good.\Right? We can reserve a karaoke room or something.\Does Christmas Eve work?\Sure.\It works for me. response:	Same.
context: Huh?\A Chri-Pa! You know, Christmas party!\Oh. Sounds good.\Right? We can reserve a karaoke room or something.\Does Christmas Eve work?\Sure.\It works for me.\Same. response:	Um, sorry.
context: A Chri-Pa! You know, Christmas party!\Oh. Sounds good.\Right? We can reserve a karaoke room or something.\Does Christmas Eve work?\Sure.\It works for me.\Same.\Um, sorry. response:	I'm going to Comiket on Christmas Eve, so I can't.
context: Oh. Sounds good.\Right? We can reserve a karaoke room or something.\Does Christmas Eve work?\Sure.\It works for me.\Same.\Um, sorry.\I'm going to Comiket on Christmas Eve, so I can't. response:	Huh?
context: Right? We can reserve a karaoke room or something.\Does Christmas Eve work?\Sure.\It works for me.\Same.\Um, sorry.\I'm going to Comiket on Christmas Eve, so I can't.\Huh? response:	Wait! It's Christmas Eve!
context: Does Christmas Eve work?\Sure.\It works for me.\Same.\Um, sorry.\I'm going to Comiket on Christmas Eve, so I can't.\Huh?\Wait! It's Christmas Eve! response:	It's the day everyone looks forward to the most!
context: Sure.\It works for me.\Same.\Um, sorry.\I'm going to Comiket on Christmas Eve, so I can't.\Huh?\Wait! It's Christmas Eve!\It's the day everyone looks forward to the most! response:	Tell me about it! It somehow fell on the same day this year!
context: It works for me.\Same.\Um, sorry.\I'm going to Comiket on Christmas Eve, so I can't.\Huh?\Wait! It's Christmas Eve!\It's the day everyone looks forward to the most!\Tell me about it! It somehow fell on the same day this year! response:	That's not what I mean!
context: Same.\Um, sorry.\I'm going to Comiket on Christmas Eve, so I can't.\Huh?\Wait! It's Christmas Eve!\It's the day everyone looks forward to the most!\Tell me about it! It somehow fell on the same day this year!\That's not what I mean! response:	I mean, what is Comiket anyway?
