context: But this response:	Initiating docking procedures.
context: But this\Initiating docking procedures. response:	Roger.
context: But this\Initiating docking procedures.\Roger. response:	Elevating from 6 to 9 on the Torino Scale!
context: But this\Initiating docking procedures.\Roger.\Elevating from 6 to 9 on the Torino Scale! response:	CITY A HERO ASSOCIATION HQ The course suddenly shifted?
context: But this\Initiating docking procedures.\Roger.\Elevating from 6 to 9 on the Torino Scale!\CITY A HERO ASSOCIATION HQ The course suddenly shifted? response:	I see.
context: But this\Initiating docking procedures.\Roger.\Elevating from 6 to 9 on the Torino Scale!\CITY A HERO ASSOCIATION HQ The course suddenly shifted?\I see. response:	Then we will discuss how best to deal with the situation.
context: But this\Initiating docking procedures.\Roger.\Elevating from 6 to 9 on the Torino Scale!\CITY A HERO ASSOCIATION HQ The course suddenly shifted?\I see.\Then we will discuss how best to deal with the situation. response:	Should I go now?
context: But this\Initiating docking procedures.\Roger.\Elevating from 6 to 9 on the Torino Scale!\CITY A HERO ASSOCIATION HQ The course suddenly shifted?\I see.\Then we will discuss how best to deal with the situation.\Should I go now? response:	All right.
context: Initiating docking procedures.\Roger.\Elevating from 6 to 9 on the Torino Scale!\CITY A HERO ASSOCIATION HQ The course suddenly shifted?\I see.\Then we will discuss how best to deal with the situation.\Should I go now?\All right. response:	Master, for some reason the Hero Association
context: Roger.\Elevating from 6 to 9 on the Torino Scale!\CITY A HERO ASSOCIATION HQ The course suddenly shifted?\I see.\Then we will discuss how best to deal with the situation.\Should I go now?\All right.\Master, for some reason the Hero Association response:	wants me to come in.
context: Elevating from 6 to 9 on the Torino Scale!\CITY A HERO ASSOCIATION HQ The course suddenly shifted?\I see.\Then we will discuss how best to deal with the situation.\Should I go now?\All right.\Master, for some reason the Hero Association\wants me to come in. response:	I will be back later.
context: CITY A HERO ASSOCIATION HQ The course suddenly shifted?\I see.\Then we will discuss how best to deal with the situation.\Should I go now?\All right.\Master, for some reason the Hero Association\wants me to come in.\I will be back later. response:	Okay. Maybe you're getting fired?
context: I see.\Then we will discuss how best to deal with the situation.\Should I go now?\All right.\Master, for some reason the Hero Association\wants me to come in.\I will be back later.\Okay. Maybe you're getting fired? response:	THE ULTIMATE DISCIPLE
context: Then we will discuss how best to deal with the situation.\Should I go now?\All right.\Master, for some reason the Hero Association\wants me to come in.\I will be back later.\Okay. Maybe you're getting fired?\THE ULTIMATE DISCIPLE response:	CITY Z HERO ASSOCIATION BUILDING
context: Should I go now?\All right.\Master, for some reason the Hero Association\wants me to come in.\I will be back later.\Okay. Maybe you're getting fired?\THE ULTIMATE DISCIPLE\CITY Z HERO ASSOCIATION BUILDING response:	Ah, you would be Genos?
context: All right.\Master, for some reason the Hero Association\wants me to come in.\I will be back later.\Okay. Maybe you're getting fired?\THE ULTIMATE DISCIPLE\CITY Z HERO ASSOCIATION BUILDING\Ah, you would be Genos? response:	My name is Bang. Nice to meet you.
context: Master, for some reason the Hero Association\wants me to come in.\I will be back later.\Okay. Maybe you're getting fired?\THE ULTIMATE DISCIPLE\CITY Z HERO ASSOCIATION BUILDING\Ah, you would be Genos?\My name is Bang. Nice to meet you. response:	Bang, Class S rank 3, a.k.a. Silver Fang.
context: wants me to come in.\I will be back later.\Okay. Maybe you're getting fired?\THE ULTIMATE DISCIPLE\CITY Z HERO ASSOCIATION BUILDING\Ah, you would be Genos?\My name is Bang. Nice to meet you.\Bang, Class S rank 3, a.k.a. Silver Fang. response:	He possesses true skill.
context: I will be back later.\Okay. Maybe you're getting fired?\THE ULTIMATE DISCIPLE\CITY Z HERO ASSOCIATION BUILDING\Ah, you would be Genos?\My name is Bang. Nice to meet you.\Bang, Class S rank 3, a.k.a. Silver Fang.\He possesses true skill. response:	The Association called me in.
context: Okay. Maybe you're getting fired?\THE ULTIMATE DISCIPLE\CITY Z HERO ASSOCIATION BUILDING\Ah, you would be Genos?\My name is Bang. Nice to meet you.\Bang, Class S rank 3, a.k.a. Silver Fang.\He possesses true skill.\The Association called me in. response:	Everyone's at Headquarters.
context: THE ULTIMATE DISCIPLE\CITY Z HERO ASSOCIATION BUILDING\Ah, you would be Genos?\My name is Bang. Nice to meet you.\Bang, Class S rank 3, a.k.a. Silver Fang.\He possesses true skill.\The Association called me in.\Everyone's at Headquarters. response:	This little branch office is empty just now.
context: CITY Z HERO ASSOCIATION BUILDING\Ah, you would be Genos?\My name is Bang. Nice to meet you.\Bang, Class S rank 3, a.k.a. Silver Fang.\He possesses true skill.\The Association called me in.\Everyone's at Headquarters.\This little branch office is empty just now. response:	Each of the Class S heroes got the call to come here,
context: Ah, you would be Genos?\My name is Bang. Nice to meet you.\Bang, Class S rank 3, a.k.a. Silver Fang.\He possesses true skill.\The Association called me in.\Everyone's at Headquarters.\This little branch office is empty just now.\Each of the Class S heroes got the call to come here, response:	but we're the only ones who showed up.
context: My name is Bang. Nice to meet you.\Bang, Class S rank 3, a.k.a. Silver Fang.\He possesses true skill.\The Association called me in.\Everyone's at Headquarters.\This little branch office is empty just now.\Each of the Class S heroes got the call to come here,\but we're the only ones who showed up. response:	Why is that?
context: Bang, Class S rank 3, a.k.a. Silver Fang.\He possesses true skill.\The Association called me in.\Everyone's at Headquarters.\This little branch office is empty just now.\Each of the Class S heroes got the call to come here,\but we're the only ones who showed up.\Why is that? response:	Too far away, or perhaps they're busy.
context: He possesses true skill.\The Association called me in.\Everyone's at Headquarters.\This little branch office is empty just now.\Each of the Class S heroes got the call to come here,\but we're the only ones who showed up.\Why is that?\Too far away, or perhaps they're busy. response:	Of course, some of the more cold-blooded ones simply don't bother.
context: The Association called me in.\Everyone's at Headquarters.\This little branch office is empty just now.\Each of the Class S heroes got the call to come here,\but we're the only ones who showed up.\Why is that?\Too far away, or perhaps they're busy.\Of course, some of the more cold-blooded ones simply don't bother. response:	After all, we're called up only
