context: What should I do? response:	Oh, you don't have to do anything.
context: What should I do?\Oh, you don't have to do anything. response:	You can go home. We're done for today.
context: What should I do?\Oh, you don't have to do anything.\You can go home. We're done for today. response:	It looks like our Haruhi-esque activities are done for the day.
context: What should I do?\Oh, you don't have to do anything.\You can go home. We're done for today.\It looks like our Haruhi-esque activities are done for the day. response:	She was able to get her hands on all of this stuff,
context: What should I do?\Oh, you don't have to do anything.\You can go home. We're done for today.\It looks like our Haruhi-esque activities are done for the day.\She was able to get her hands on all of this stuff, response:	and with the kind of skill that could even get an experienced negotiator to lean left.
context: What should I do?\Oh, you don't have to do anything.\You can go home. We're done for today.\It looks like our Haruhi-esque activities are done for the day.\She was able to get her hands on all of this stuff,\and with the kind of skill that could even get an experienced negotiator to lean left. response:	On top of that, it all cost nothing. In other words, it was free.
context: What should I do?\Oh, you don't have to do anything.\You can go home. We're done for today.\It looks like our Haruhi-esque activities are done for the day.\She was able to get her hands on all of this stuff,\and with the kind of skill that could even get an experienced negotiator to lean left.\On top of that, it all cost nothing. In other words, it was free. response:	There's nothing scarier than something that's free.
context: What should I do?\Oh, you don't have to do anything.\You can go home. We're done for today.\It looks like our Haruhi-esque activities are done for the day.\She was able to get her hands on all of this stuff,\and with the kind of skill that could even get an experienced negotiator to lean left.\On top of that, it all cost nothing. In other words, it was free.\There's nothing scarier than something that's free. response:	The problem is that Haruhi isn't scared at all.
context: Oh, you don't have to do anything.\You can go home. We're done for today.\It looks like our Haruhi-esque activities are done for the day.\She was able to get her hands on all of this stuff,\and with the kind of skill that could even get an experienced negotiator to lean left.\On top of that, it all cost nothing. In other words, it was free.\There's nothing scarier than something that's free.\The problem is that Haruhi isn't scared at all. response:	Actually, if there is something that would scare Haruhi, please, let me know.
context: You can go home. We're done for today.\It looks like our Haruhi-esque activities are done for the day.\She was able to get her hands on all of this stuff,\and with the kind of skill that could even get an experienced negotiator to lean left.\On top of that, it all cost nothing. In other words, it was free.\There's nothing scarier than something that's free.\The problem is that Haruhi isn't scared at all.\Actually, if there is something that would scare Haruhi, please, let me know. response:	DAY BY DAY unzari dayone dakara Day by day, everything's just so dull
context: It looks like our Haruhi-esque activities are done for the day.\She was able to get her hands on all of this stuff,\and with the kind of skill that could even get an experienced negotiator to lean left.\On top of that, it all cost nothing. In other words, it was free.\There's nothing scarier than something that's free.\The problem is that Haruhi isn't scared at all.\Actually, if there is something that would scare Haruhi, please, let me know.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull response:	Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all
context: She was able to get her hands on all of this stuff,\and with the kind of skill that could even get an experienced negotiator to lean left.\On top of that, it all cost nothing. In other words, it was free.\There's nothing scarier than something that's free.\The problem is that Haruhi isn't scared at all.\Actually, if there is something that would scare Haruhi, please, let me know.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all response:	OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive
context: and with the kind of skill that could even get an experienced negotiator to lean left.\On top of that, it all cost nothing. In other words, it was free.\There's nothing scarier than something that's free.\The problem is that Haruhi isn't scared at all.\Actually, if there is something that would scare Haruhi, please, let me know.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive response:	Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world
context: On top of that, it all cost nothing. In other words, it was free.\There's nothing scarier than something that's free.\The problem is that Haruhi isn't scared at all.\Actually, if there is something that would scare Haruhi, please, let me know.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world response:	Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me
context: There's nothing scarier than something that's free.\The problem is that Haruhi isn't scared at all.\Actually, if there is something that would scare Haruhi, please, let me know.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me response:	Kudaranai yarikara kette Kick away the boring ways of doing things,
context: The problem is that Haruhi isn't scared at all.\Actually, if there is something that would scare Haruhi, please, let me know.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikara kette Kick away the boring ways of doing things, response:	subete wa atashi ga kimeru I'm going to decide everything
context: Actually, if there is something that would scare Haruhi, please, let me know.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikara kette Kick away the boring ways of doing things,\subete wa atashi ga kimeru I'm going to decide everything response:	I SAY I SAY MY HEAVEN I say, I say my heaven
