context: Sarah and Lola competed in a receptionist battle. response:	I wanted my receptionist, Lola, to win, so I went looking for rare items,
context: Sarah and Lola competed in a receptionist battle.\I wanted my receptionist, Lola, to win, so I went looking for rare items, response:	and on the seventh floor of the hidden dungeon I visited...
context: Sarah and Lola competed in a receptionist battle.\I wanted my receptionist, Lola, to win, so I went looking for rare items,\and on the seventh floor of the hidden dungeon I visited... response:	was a rather surprising sight.
context: Sarah and Lola competed in a receptionist battle.\I wanted my receptionist, Lola, to win, so I went looking for rare items,\and on the seventh floor of the hidden dungeon I visited...\was a rather surprising sight. response:	This is the seventh floor?
context: Sarah and Lola competed in a receptionist battle.\I wanted my receptionist, Lola, to win, so I went looking for rare items,\and on the seventh floor of the hidden dungeon I visited...\was a rather surprising sight.\This is the seventh floor? response:	I guess someone decided to recreate a forest on this floor?
context: Sarah and Lola competed in a receptionist battle.\I wanted my receptionist, Lola, to win, so I went looking for rare items,\and on the seventh floor of the hidden dungeon I visited...\was a rather surprising sight.\This is the seventh floor?\I guess someone decided to recreate a forest on this floor? response:	Wolves?
context: Sarah and Lola competed in a receptionist battle.\I wanted my receptionist, Lola, to win, so I went looking for rare items,\and on the seventh floor of the hidden dungeon I visited...\was a rather surprising sight.\This is the seventh floor?\I guess someone decided to recreate a forest on this floor?\Wolves? response:	Silver Wolf Lv. 158
context: Sarah and Lola competed in a receptionist battle.\I wanted my receptionist, Lola, to win, so I went looking for rare items,\and on the seventh floor of the hidden dungeon I visited...\was a rather surprising sight.\This is the seventh floor?\I guess someone decided to recreate a forest on this floor?\Wolves?\Silver Wolf Lv. 158 response:	Skills Skills Skills Skills Leadership
context: I wanted my receptionist, Lola, to win, so I went looking for rare items,\and on the seventh floor of the hidden dungeon I visited...\was a rather surprising sight.\This is the seventh floor?\I guess someone decided to recreate a forest on this floor?\Wolves?\Silver Wolf Lv. 158\Skills Skills Skills Skills Leadership response:	Yeah, no... I'm only at level 63 right now.
context: and on the seventh floor of the hidden dungeon I visited...\was a rather surprising sight.\This is the seventh floor?\I guess someone decided to recreate a forest on this floor?\Wolves?\Silver Wolf Lv. 158\Skills Skills Skills Skills Leadership\Yeah, no... I'm only at level 63 right now. response:	I need to turn back for now.
context: was a rather surprising sight.\This is the seventh floor?\I guess someone decided to recreate a forest on this floor?\Wolves?\Silver Wolf Lv. 158\Skills Skills Skills Skills Leadership\Yeah, no... I'm only at level 63 right now.\I need to turn back for now. response:	You there.
context: This is the seventh floor?\I guess someone decided to recreate a forest on this floor?\Wolves?\Silver Wolf Lv. 158\Skills Skills Skills Skills Leadership\Yeah, no... I'm only at level 63 right now.\I need to turn back for now.\You there. response:	I have a request.
context: I guess someone decided to recreate a forest on this floor?\Wolves?\Silver Wolf Lv. 158\Skills Skills Skills Skills Leadership\Yeah, no... I'm only at level 63 right now.\I need to turn back for now.\You there.\I have a request. response:	Wh-What is childhood Emma doing here?
context: Wolves?\Silver Wolf Lv. 158\Skills Skills Skills Skills Leadership\Yeah, no... I'm only at level 63 right now.\I need to turn back for now.\You there.\I have a request.\Wh-What is childhood Emma doing here? response:	Here's my birthday gift to you.
context: Silver Wolf Lv. 158\Skills Skills Skills Skills Leadership\Yeah, no... I'm only at level 63 right now.\I need to turn back for now.\You there.\I have a request.\Wh-What is childhood Emma doing here?\Here's my birthday gift to you. response:	I picked it because it's the same color as your eyes.
context: Skills Skills Skills Skills Leadership\Yeah, no... I'm only at level 63 right now.\I need to turn back for now.\You there.\I have a request.\Wh-What is childhood Emma doing here?\Here's my birthday gift to you.\I picked it because it's the same color as your eyes. response:	I'm so happy!
context: Yeah, no... I'm only at level 63 right now.\I need to turn back for now.\You there.\I have a request.\Wh-What is childhood Emma doing here?\Here's my birthday gift to you.\I picked it because it's the same color as your eyes.\I'm so happy! response:	I promise I'll get you something nice for your birthday, too!
context: I need to turn back for now.\You there.\I have a request.\Wh-What is childhood Emma doing here?\Here's my birthday gift to you.\I picked it because it's the same color as your eyes.\I'm so happy!\I promise I'll get you something nice for your birthday, too! response:	I-Is this an illusion?
context: You there.\I have a request.\Wh-What is childhood Emma doing here?\Here's my birthday gift to you.\I picked it because it's the same color as your eyes.\I'm so happy!\I promise I'll get you something nice for your birthday, too!\I-Is this an illusion? response:	A trap in the hidden dungeon?
context: I have a request.\Wh-What is childhood Emma doing here?\Here's my birthday gift to you.\I picked it because it's the same color as your eyes.\I'm so happy!\I promise I'll get you something nice for your birthday, too!\I-Is this an illusion?\A trap in the hidden dungeon? response:	Dryade Lv. 55
context: Wh-What is childhood Emma doing here?\Here's my birthday gift to you.\I picked it because it's the same color as your eyes.\I'm so happy!\I promise I'll get you something nice for your birthday, too!\I-Is this an illusion?\A trap in the hidden dungeon?\Dryade Lv. 55 response:	Skills
context: Here's my birthday gift to you.\I picked it because it's the same color as your eyes.\I'm so happy!\I promise I'll get you something nice for your birthday, too!\I-Is this an illusion?\A trap in the hidden dungeon?\Dryade Lv. 55\Skills response:	Dryade?
context: I picked it because it's the same color as your eyes.\I'm so happy!\I promise I'll get you something nice for your birthday, too!\I-Is this an illusion?\A trap in the hidden dungeon?\Dryade Lv. 55\Skills\Dryade? response:	Having witnessed how powerful you are, I have a request.
context: I'm so happy!\I promise I'll get you something nice for your birthday, too!\I-Is this an illusion?\A trap in the hidden dungeon?\Dryade Lv. 55\Skills\Dryade?\Having witnessed how powerful you are, I have a request. response:	Th-This seems kinda out of nowhere...
context: I promise I'll get you something nice for your birthday, too!\I-Is this an illusion?\A trap in the hidden dungeon?\Dryade Lv. 55\Skills\Dryade?\Having witnessed how powerful you are, I have a request.\Th-This seems kinda out of nowhere... response:	If nothing is done, I'm going to die.
context: I-Is this an illusion?\A trap in the hidden dungeon?\Dryade Lv. 55\Skills\Dryade?\Having witnessed how powerful you are, I have a request.\Th-This seems kinda out of nowhere...\If nothing is done, I'm going to die. response:	Huh?
context: A trap in the hidden dungeon?\Dryade Lv. 55\Skills\Dryade?\Having witnessed how powerful you are, I have a request.\Th-This seems kinda out of nowhere...\If nothing is done, I'm going to die.\Huh? response:	Please! I'm begging you!
context: Dryade Lv. 55\Skills\Dryade?\Having witnessed how powerful you are, I have a request.\Th-This seems kinda out of nowhere...\If nothing is done, I'm going to die.\Huh?\Please! I'm begging you! response:	I'll do anything!
context: Skills\Dryade?\Having witnessed how powerful you are, I have a request.\Th-This seems kinda out of nowhere...\If nothing is done, I'm going to die.\Huh?\Please! I'm begging you!\I'll do anything! response:	Peek...
context: Dryade?\Having witnessed how powerful you are, I have a request.\Th-This seems kinda out of nowhere...\If nothing is done, I'm going to die.\Huh?\Please! I'm begging you!\I'll do anything!\Peek... response:	Hi-yah!
context: Having witnessed how powerful you are, I have a request.\Th-This seems kinda out of nowhere...\If nothing is done, I'm going to die.\Huh?\Please! I'm begging you!\I'll do anything!\Peek...\Hi-yah! response:	S-So what're you trying to do there?
context: Th-This seems kinda out of nowhere...\If nothing is done, I'm going to die.\Huh?\Please! I'm begging you!\I'll do anything!\Peek...\Hi-yah!\S-So what're you trying to do there? response:	Showing you that I completely surrender.
context: If nothing is done, I'm going to die.\Huh?\Please! I'm begging you!\I'll do anything!\Peek...\Hi-yah!\S-So what're you trying to do there?\Showing you that I completely surrender. response:	I-I'll at least hear you out.
context: Huh?\Please! I'm begging you!\I'll do anything!\Peek...\Hi-yah!\S-So what're you trying to do there?\Showing you that I completely surrender.\I-I'll at least hear you out. response:	Thank you so much!
context: Please! I'm begging you!\I'll do anything!\Peek...\Hi-yah!\S-So what're you trying to do there?\Showing you that I completely surrender.\I-I'll at least hear you out.\Thank you so much! response:	You see, I'm actually a great tree within this forest.
context: I'll do anything!\Peek...\Hi-yah!\S-So what're you trying to do there?\Showing you that I completely surrender.\I-I'll at least hear you out.\Thank you so much!\You see, I'm actually a great tree within this forest. response:	A great tree?
context: Peek...\Hi-yah!\S-So what're you trying to do there?\Showing you that I completely surrender.\I-I'll at least hear you out.\Thank you so much!\You see, I'm actually a great tree within this forest.\A great tree? response:	Oh, right. A dryade is the spirit of a tree or forest.
context: Hi-yah!\S-So what're you trying to do there?\Showing you that I completely surrender.\I-I'll at least hear you out.\Thank you so much!\You see, I'm actually a great tree within this forest.\A great tree?\Oh, right. A dryade is the spirit of a tree or forest. response:	My Forest Sensitivity skill allows me to spread my roots throughout the forest,
context: S-So what're you trying to do there?\Showing you that I completely surrender.\I-I'll at least hear you out.\Thank you so much!\You see, I'm actually a great tree within this forest.\A great tree?\Oh, right. A dryade is the spirit of a tree or forest.\My Forest Sensitivity skill allows me to spread my roots throughout the forest, response:	telling me everything that goes on in it.
context: Showing you that I completely surrender.\I-I'll at least hear you out.\Thank you so much!\You see, I'm actually a great tree within this forest.\A great tree?\Oh, right. A dryade is the spirit of a tree or forest.\My Forest Sensitivity skill allows me to spread my roots throughout the forest,\telling me everything that goes on in it. response:	I observed your powers, as well.
context: I-I'll at least hear you out.\Thank you so much!\You see, I'm actually a great tree within this forest.\A great tree?\Oh, right. A dryade is the spirit of a tree or forest.\My Forest Sensitivity skill allows me to spread my roots throughout the forest,\telling me everything that goes on in it.\I observed your powers, as well. response:	Can you read my memories, too?
context: Thank you so much!\You see, I'm actually a great tree within this forest.\A great tree?\Oh, right. A dryade is the spirit of a tree or forest.\My Forest Sensitivity skill allows me to spread my roots throughout the forest,\telling me everything that goes on in it.\I observed your powers, as well.\Can you read my memories, too? response:	No.
context: You see, I'm actually a great tree within this forest.\A great tree?\Oh, right. A dryade is the spirit of a tree or forest.\My Forest Sensitivity skill allows me to spread my roots throughout the forest,\telling me everything that goes on in it.\I observed your powers, as well.\Can you read my memories, too?\No. response:	Then why do you look like a child?
context: A great tree?\Oh, right. A dryade is the spirit of a tree or forest.\My Forest Sensitivity skill allows me to spread my roots throughout the forest,\telling me everything that goes on in it.\I observed your powers, as well.\Can you read my memories, too?\No.\Then why do you look like a child? response:	Just because.
context: Oh, right. A dryade is the spirit of a tree or forest.\My Forest Sensitivity skill allows me to spread my roots throughout the forest,\telling me everything that goes on in it.\I observed your powers, as well.\Can you read my memories, too?\No.\Then why do you look like a child?\Just because. response:	It just seemed like something you would like.
