context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Previously on Fairy Tail!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail! response:	The Phantom Lord guild came to attack!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\The Phantom Lord guild came to attack! response:	Erza defended against the Magic Focusing Cannon, Jupiter, and she was knocked out of commission.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\The Phantom Lord guild came to attack!\Erza defended against the Magic Focusing Cannon, Jupiter, and she was knocked out of commission. response:	Now we're infiltrating Phantom's guild in order to destroy the cannon!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\The Phantom Lord guild came to attack!\Erza defended against the Magic Focusing Cannon, Jupiter, and she was knocked out of commission.\Now we're infiltrating Phantom's guild in order to destroy the cannon! response:	That's right, we can do it!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\The Phantom Lord guild came to attack!\Erza defended against the Magic Focusing Cannon, Jupiter, and she was knocked out of commission.\Now we're infiltrating Phantom's guild in order to destroy the cannon!\That's right, we can do it! response:	Let's go for even more who-knows-what!!
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\The Phantom Lord guild came to attack!\Erza defended against the Magic Focusing Cannon, Jupiter, and she was knocked out of commission.\Now we're infiltrating Phantom's guild in order to destroy the cannon!\That's right, we can do it!\Let's go for even more who-knows-what!! response:	The door to mystery is right in front of us
context: and sit back from the screen,'kay?\Previously on Fairy Tail!\The Phantom Lord guild came to attack!\Erza defended against the Magic Focusing Cannon, Jupiter, and she was knocked out of commission.\Now we're infiltrating Phantom's guild in order to destroy the cannon!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us response:	The whole world's a wonderland
context: Previously on Fairy Tail!\The Phantom Lord guild came to attack!\Erza defended against the Magic Focusing Cannon, Jupiter, and she was knocked out of commission.\Now we're infiltrating Phantom's guild in order to destroy the cannon!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland response:	which we're already wondering!!!
