context: Something seems off. response:	It just somehow felt that way.
context: Something seems off.\It just somehow felt that way. response:	What an incredible spirit,
context: Something seems off.\It just somehow felt that way.\What an incredible spirit, response:	What an incredible spirit, I had absolutely no interest in the prefectural game playing on the TV,
context: Something seems off.\It just somehow felt that way.\What an incredible spirit,\What an incredible spirit, I had absolutely no interest in the prefectural game playing on the TV, response:	he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural game playing on the TV,
context: Something seems off.\It just somehow felt that way.\What an incredible spirit,\What an incredible spirit, I had absolutely no interest in the prefectural game playing on the TV,\he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural game playing on the TV, response:	The second pitch is... I had absolutely no interest in the prefectural game playing on the TV,
context: Something seems off.\It just somehow felt that way.\What an incredible spirit,\What an incredible spirit, I had absolutely no interest in the prefectural game playing on the TV,\he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural game playing on the TV,\The second pitch is... I had absolutely no interest in the prefectural game playing on the TV, response:	but I kind of ended up rooting for the losing side.
context: Something seems off.\It just somehow felt that way.\What an incredible spirit,\What an incredible spirit, I had absolutely no interest in the prefectural game playing on the TV,\he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural game playing on the TV,\The second pitch is... I had absolutely no interest in the prefectural game playing on the TV,\but I kind of ended up rooting for the losing side. response:	And it's up... it's a left fly ball. One out. But I kind of ended up rooting for the losing side.
context: Something seems off.\It just somehow felt that way.\What an incredible spirit,\What an incredible spirit, I had absolutely no interest in the prefectural game playing on the TV,\he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural game playing on the TV,\The second pitch is... I had absolutely no interest in the prefectural game playing on the TV,\but I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. But I kind of ended up rooting for the losing side. response:	And it's up... it's a left fly ball. One out. Once I did, I kind of got the feeling
context: It just somehow felt that way.\What an incredible spirit,\What an incredible spirit, I had absolutely no interest in the prefectural game playing on the TV,\he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural game playing on the TV,\The second pitch is... I had absolutely no interest in the prefectural game playing on the TV,\but I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. But I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. Once I did, I kind of got the feeling response:	Once I did, I kind of got the feeling
context: What an incredible spirit,\What an incredible spirit, I had absolutely no interest in the prefectural game playing on the TV,\he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural game playing on the TV,\The second pitch is... I had absolutely no interest in the prefectural game playing on the TV,\but I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. But I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. Once I did, I kind of got the feeling\Once I did, I kind of got the feeling response:	The gap between the scores is big, Once I did, I kind of got the feeling
context: What an incredible spirit, I had absolutely no interest in the prefectural game playing on the TV,\he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural game playing on the TV,\The second pitch is... I had absolutely no interest in the prefectural game playing on the TV,\but I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. But I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. Once I did, I kind of got the feeling\Once I did, I kind of got the feeling\The gap between the scores is big, Once I did, I kind of got the feeling response:	The gap between the scores is big, that Haruhi was going to start something.
context: he's able to keep going despite giving up seven runs. I had absolutely no interest in the prefectural game playing on the TV,\The second pitch is... I had absolutely no interest in the prefectural game playing on the TV,\but I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. But I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. Once I did, I kind of got the feeling\Once I did, I kind of got the feeling\The gap between the scores is big, Once I did, I kind of got the feeling\The gap between the scores is big, that Haruhi was going to start something. response:	But Kumamoto still has a chance if they can hold out here. That Haruhi was going to start something.
context: The second pitch is... I had absolutely no interest in the prefectural game playing on the TV,\but I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. But I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. Once I did, I kind of got the feeling\Once I did, I kind of got the feeling\The gap between the scores is big, Once I did, I kind of got the feeling\The gap between the scores is big, that Haruhi was going to start something.\But Kumamoto still has a chance if they can hold out here. That Haruhi was going to start something. response:	But Kumamoto still has a chance if they can hold out here. Incoming call: Haruhi Suzumiya
context: but I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. But I kind of ended up rooting for the losing side.\And it's up... it's a left fly ball. One out. Once I did, I kind of got the feeling\Once I did, I kind of got the feeling\The gap between the scores is big, Once I did, I kind of got the feeling\The gap between the scores is big, that Haruhi was going to start something.\But Kumamoto still has a chance if they can hold out here. That Haruhi was going to start something.\But Kumamoto still has a chance if they can hold out here. Incoming call: Haruhi Suzumiya response:	but Kumamoto still has a chance if they can hold out here.
