context: Kiss Him, Not Me response:	Back to My Original Self! What Should I Do?
context: Kiss Him, Not Me\Back to My Original Self! What Should I Do? response:	They put up the new Mirage Saga work.
context: Kiss Him, Not Me\Back to My Original Self! What Should I Do?\They put up the new Mirage Saga work. response:	Ooh, Terra x Shion.
context: Kiss Him, Not Me\Back to My Original Self! What Should I Do?\They put up the new Mirage Saga work.\Ooh, Terra x Shion. response:	I like it! I like it!
context: Kiss Him, Not Me\Back to My Original Self! What Should I Do?\They put up the new Mirage Saga work.\Ooh, Terra x Shion.\I like it! I like it! response:	There...
context: Kiss Him, Not Me\Back to My Original Self! What Should I Do?\They put up the new Mirage Saga work.\Ooh, Terra x Shion.\I like it! I like it!\There... response:	Why the hell are you so confident?!
context: Kiss Him, Not Me\Back to My Original Self! What Should I Do?\They put up the new Mirage Saga work.\Ooh, Terra x Shion.\I like it! I like it!\There...\Why the hell are you so confident?! response:	Don't think about it! Don't think about it!
context: Kiss Him, Not Me\Back to My Original Self! What Should I Do?\They put up the new Mirage Saga work.\Ooh, Terra x Shion.\I like it! I like it!\There...\Why the hell are you so confident?!\Don't think about it! Don't think about it! response:	Even if it gets to me, I can't do anything about it!
context: Back to My Original Self! What Should I Do?\They put up the new Mirage Saga work.\Ooh, Terra x Shion.\I like it! I like it!\There...\Why the hell are you so confident?!\Don't think about it! Don't think about it!\Even if it gets to me, I can't do anything about it! response:	We'll have a problem if you don't start taking me seriously.
context: They put up the new Mirage Saga work.\Ooh, Terra x Shion.\I like it! I like it!\There...\Why the hell are you so confident?!\Don't think about it! Don't think about it!\Even if it gets to me, I can't do anything about it!\We'll have a problem if you don't start taking me seriously. response:	Just kidding!
context: Ooh, Terra x Shion.\I like it! I like it!\There...\Why the hell are you so confident?!\Don't think about it! Don't think about it!\Even if it gets to me, I can't do anything about it!\We'll have a problem if you don't start taking me seriously.\Just kidding! response:	Sorry!
context: I like it! I like it!\There...\Why the hell are you so confident?!\Don't think about it! Don't think about it!\Even if it gets to me, I can't do anything about it!\We'll have a problem if you don't start taking me seriously.\Just kidding!\Sorry! response:	You were just so cute, I couldn't help teasing you.
context: There...\Why the hell are you so confident?!\Don't think about it! Don't think about it!\Even if it gets to me, I can't do anything about it!\We'll have a problem if you don't start taking me seriously.\Just kidding!\Sorry!\You were just so cute, I couldn't help teasing you. response:	Goodness! You sure got me!
context: Why the hell are you so confident?!\Don't think about it! Don't think about it!\Even if it gets to me, I can't do anything about it!\We'll have a problem if you don't start taking me seriously.\Just kidding!\Sorry!\You were just so cute, I couldn't help teasing you.\Goodness! You sure got me! response:	Shima-chan, you're such a troublemaker!
context: Don't think about it! Don't think about it!\Even if it gets to me, I can't do anything about it!\We'll have a problem if you don't start taking me seriously.\Just kidding!\Sorry!\You were just so cute, I couldn't help teasing you.\Goodness! You sure got me!\Shima-chan, you're such a troublemaker! response:	Sorry!
context: Even if it gets to me, I can't do anything about it!\We'll have a problem if you don't start taking me seriously.\Just kidding!\Sorry!\You were just so cute, I couldn't help teasing you.\Goodness! You sure got me!\Shima-chan, you're such a troublemaker!\Sorry! response:	It doesn't count! Doesn't count!
context: We'll have a problem if you don't start taking me seriously.\Just kidding!\Sorry!\You were just so cute, I couldn't help teasing you.\Goodness! You sure got me!\Shima-chan, you're such a troublemaker!\Sorry!\It doesn't count! Doesn't count! response:	Just some normal physical contact.
