context: The raid boss is in there, isn't it? response:	So it seems.
context: The raid boss is in there, isn't it?\So it seems. response:	Calling Fortress Safe Zone B Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None
context: The raid boss is in there, isn't it?\So it seems.\Calling Fortress Safe Zone B Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None response:	You stay here, old man.
context: The raid boss is in there, isn't it?\So it seems.\Calling Fortress Safe Zone B Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\You stay here, old man. response:	We'll have plenty of work for you later.
context: The raid boss is in there, isn't it?\So it seems.\Calling Fortress Safe Zone B Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\You stay here, old man.\We'll have plenty of work for you later. response:	Sure.
context: The raid boss is in there, isn't it?\So it seems.\Calling Fortress Safe Zone B Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\You stay here, old man.\We'll have plenty of work for you later.\Sure. response:	I'll be waiting.
context: The raid boss is in there, isn't it?\So it seems.\Calling Fortress Safe Zone B Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\You stay here, old man.\We'll have plenty of work for you later.\Sure.\I'll be waiting. response:	Only fifteen minutes and thirty seconds until moonrise!
context: The raid boss is in there, isn't it?\So it seems.\Calling Fortress Safe Zone B Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\You stay here, old man.\We'll have plenty of work for you later.\Sure.\I'll be waiting.\Only fifteen minutes and thirty seconds until moonrise! response:	Begin the operation.
context: So it seems.\Calling Fortress Safe Zone B Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\You stay here, old man.\We'll have plenty of work for you later.\Sure.\I'll be waiting.\Only fifteen minutes and thirty seconds until moonrise!\Begin the operation. response:	So you're here, adventurers?
context: Calling Fortress Safe Zone B Japan Server Shibuya Dungeon/ No Monsters No PvP Skill Use Restricted Entry Restrictions/ None Exit Restrictions/ None\You stay here, old man.\We'll have plenty of work for you later.\Sure.\I'll be waiting.\Only fifteen minutes and thirty seconds until moonrise!\Begin the operation.\So you're here, adventurers? response:	Engage!
context: You stay here, old man.\We'll have plenty of work for you later.\Sure.\I'll be waiting.\Only fifteen minutes and thirty seconds until moonrise!\Begin the operation.\So you're here, adventurers?\Engage! response:	All groups, formation B!
context: We'll have plenty of work for you later.\Sure.\I'll be waiting.\Only fifteen minutes and thirty seconds until moonrise!\Begin the operation.\So you're here, adventurers?\Engage!\All groups, formation B! response:	Take these, Shiro!
context: Sure.\I'll be waiting.\Only fifteen minutes and thirty seconds until moonrise!\Begin the operation.\So you're here, adventurers?\Engage!\All groups, formation B!\Take these, Shiro! response:	Shield Other Stance!
context: I'll be waiting.\Only fifteen minutes and thirty seconds until moonrise!\Begin the operation.\So you're here, adventurers?\Engage!\All groups, formation B!\Take these, Shiro!\Shield Other Stance! response:	Reactive Heal!
context: Only fifteen minutes and thirty seconds until moonrise!\Begin the operation.\So you're here, adventurers?\Engage!\All groups, formation B!\Take these, Shiro!\Shield Other Stance!\Reactive Heal! response:	Purification Barrier!
context: Begin the operation.\So you're here, adventurers?\Engage!\All groups, formation B!\Take these, Shiro!\Shield Other Stance!\Reactive Heal!\Purification Barrier! response:	Shiro!
context: So you're here, adventurers?\Engage!\All groups, formation B!\Take these, Shiro!\Shield Other Stance!\Reactive Heal!\Purification Barrier!\Shiro! response:	My lord!
context: Engage!\All groups, formation B!\Take these, Shiro!\Shield Other Stance!\Reactive Heal!\Purification Barrier!\Shiro!\My lord! response:	Mana Channeling!
context: All groups, formation B!\Take these, Shiro!\Shield Other Stance!\Reactive Heal!\Purification Barrier!\Shiro!\My lord!\Mana Channeling! response:	These empathions...
context: Take these, Shiro!\Shield Other Stance!\Reactive Heal!\Purification Barrier!\Shiro!\My lord!\Mana Channeling!\These empathions... response:	The Pioneers
context: Shield Other Stance!\Reactive Heal!\Purification Barrier!\Shiro!\My lord!\Mana Channeling!\These empathions...\The Pioneers response:	The Pioneers.
context: Reactive Heal!\Purification Barrier!\Shiro!\My lord!\Mana Channeling!\These empathions...\The Pioneers\The Pioneers. response:	The eternal moths steal MP.
context: Purification Barrier!\Shiro!\My lord!\Mana Channeling!\These empathions...\The Pioneers\The Pioneers.\The eternal moths steal MP. response:	Tetra Naotsugu Marielle Kushiyatama
context: Shiro!\My lord!\Mana Channeling!\These empathions...\The Pioneers\The Pioneers.\The eternal moths steal MP.\Tetra Naotsugu Marielle Kushiyatama response:	So we'll use Mana Channeling
context: My lord!\Mana Channeling!\These empathions...\The Pioneers\The Pioneers.\The eternal moths steal MP.\Tetra Naotsugu Marielle Kushiyatama\So we'll use Mana Channeling response:	to absorb all MP from party 1 and redistribute it evenly.
context: Mana Channeling!\These empathions...\The Pioneers\The Pioneers.\The eternal moths steal MP.\Tetra Naotsugu Marielle Kushiyatama\So we'll use Mana Channeling\to absorb all MP from party 1 and redistribute it evenly. response:	Shiroe Akatsuki Tetra Naotsugu Marielle
context: These empathions...\The Pioneers\The Pioneers.\The eternal moths steal MP.\Tetra Naotsugu Marielle Kushiyatama\So we'll use Mana Channeling\to absorb all MP from party 1 and redistribute it evenly.\Shiroe Akatsuki Tetra Naotsugu Marielle response:	The extra MP that our bodies emit during the process
context: The Pioneers\The Pioneers.\The eternal moths steal MP.\Tetra Naotsugu Marielle Kushiyatama\So we'll use Mana Channeling\to absorb all MP from party 1 and redistribute it evenly.\Shiroe Akatsuki Tetra Naotsugu Marielle\The extra MP that our bodies emit during the process response:	will draw them out.
context: The Pioneers.\The eternal moths steal MP.\Tetra Naotsugu Marielle Kushiyatama\So we'll use Mana Channeling\to absorb all MP from party 1 and redistribute it evenly.\Shiroe Akatsuki Tetra Naotsugu Marielle\The extra MP that our bodies emit during the process\will draw them out. response:	There they go.
context: The eternal moths steal MP.\Tetra Naotsugu Marielle Kushiyatama\So we'll use Mana Channeling\to absorb all MP from party 1 and redistribute it evenly.\Shiroe Akatsuki Tetra Naotsugu Marielle\The extra MP that our bodies emit during the process\will draw them out.\There they go. response:	Look at all of them!
context: Tetra Naotsugu Marielle Kushiyatama\So we'll use Mana Channeling\to absorb all MP from party 1 and redistribute it evenly.\Shiroe Akatsuki Tetra Naotsugu Marielle\The extra MP that our bodies emit during the process\will draw them out.\There they go.\Look at all of them! response:	Their individual levels aren't an issue, but...
context: So we'll use Mana Channeling\to absorb all MP from party 1 and redistribute it evenly.\Shiroe Akatsuki Tetra Naotsugu Marielle\The extra MP that our bodies emit during the process\will draw them out.\There they go.\Look at all of them!\Their individual levels aren't an issue, but... response:	Their numbers and locations are the problems.
context: to absorb all MP from party 1 and redistribute it evenly.\Shiroe Akatsuki Tetra Naotsugu Marielle\The extra MP that our bodies emit during the process\will draw them out.\There they go.\Look at all of them!\Their individual levels aren't an issue, but...\Their numbers and locations are the problems. response:	Shiroe's group will draw all of the enemies from around the area.
context: Shiroe Akatsuki Tetra Naotsugu Marielle\The extra MP that our bodies emit during the process\will draw them out.\There they go.\Look at all of them!\Their individual levels aren't an issue, but...\Their numbers and locations are the problems.\Shiroe's group will draw all of the enemies from around the area. response:	Using an enchanter as a tank?
context: The extra MP that our bodies emit during the process\will draw them out.\There they go.\Look at all of them!\Their individual levels aren't an issue, but...\Their numbers and locations are the problems.\Shiroe's group will draw all of the enemies from around the area.\Using an enchanter as a tank? response:	That's crazy!
context: will draw them out.\There they go.\Look at all of them!\Their individual levels aren't an issue, but...\Their numbers and locations are the problems.\Shiroe's group will draw all of the enemies from around the area.\Using an enchanter as a tank?\That's crazy! response:	The enemies are all lined up.
context: There they go.\Look at all of them!\Their individual levels aren't an issue, but...\Their numbers and locations are the problems.\Shiroe's group will draw all of the enemies from around the area.\Using an enchanter as a tank?\That's crazy!\The enemies are all lined up. response:	Let's tear them apart!
context: Look at all of them!\Their individual levels aren't an issue, but...\Their numbers and locations are the problems.\Shiroe's group will draw all of the enemies from around the area.\Using an enchanter as a tank?\That's crazy!\The enemies are all lined up.\Let's tear them apart! response:	Round Windmill!
context: Their individual levels aren't an issue, but...\Their numbers and locations are the problems.\Shiroe's group will draw all of the enemies from around the area.\Using an enchanter as a tank?\That's crazy!\The enemies are all lined up.\Let's tear them apart!\Round Windmill! response:	You're getting into this, Shouryuu.
context: Their numbers and locations are the problems.\Shiroe's group will draw all of the enemies from around the area.\Using an enchanter as a tank?\That's crazy!\The enemies are all lined up.\Let's tear them apart!\Round Windmill!\You're getting into this, Shouryuu. response:	It's the only way I can keep up
context: Shiroe's group will draw all of the enemies from around the area.\Using an enchanter as a tank?\That's crazy!\The enemies are all lined up.\Let's tear them apart!\Round Windmill!\You're getting into this, Shouryuu.\It's the only way I can keep up response:	with Naotsugu!
context: Using an enchanter as a tank?\That's crazy!\The enemies are all lined up.\Let's tear them apart!\Round Windmill!\You're getting into this, Shouryuu.\It's the only way I can keep up\with Naotsugu! response:	Maestro Echo!
context: That's crazy!\The enemies are all lined up.\Let's tear them apart!\Round Windmill!\You're getting into this, Shouryuu.\It's the only way I can keep up\with Naotsugu!\Maestro Echo! response:	Lightning Nebula!
context: The enemies are all lined up.\Let's tear them apart!\Round Windmill!\You're getting into this, Shouryuu.\It's the only way I can keep up\with Naotsugu!\Maestro Echo!\Lightning Nebula! response:	Freezing Liner!
context: Let's tear them apart!\Round Windmill!\You're getting into this, Shouryuu.\It's the only way I can keep up\with Naotsugu!\Maestro Echo!\Lightning Nebula!\Freezing Liner! response:	Summon Servant: Phoenix!
context: Round Windmill!\You're getting into this, Shouryuu.\It's the only way I can keep up\with Naotsugu!\Maestro Echo!\Lightning Nebula!\Freezing Liner!\Summon Servant: Phoenix! response:	All right!
context: You're getting into this, Shouryuu.\It's the only way I can keep up\with Naotsugu!\Maestro Echo!\Lightning Nebula!\Freezing Liner!\Summon Servant: Phoenix!\All right! response:	That's most of the ones in front, Shiro!
context: It's the only way I can keep up\with Naotsugu!\Maestro Echo!\Lightning Nebula!\Freezing Liner!\Summon Servant: Phoenix!\All right!\That's most of the ones in front, Shiro! response:	You have paper-thin armor, Shiro.
context: with Naotsugu!\Maestro Echo!\Lightning Nebula!\Freezing Liner!\Summon Servant: Phoenix!\All right!\That's most of the ones in front, Shiro!\You have paper-thin armor, Shiro. response:	You shouldn't be doing this.
context: Maestro Echo!\Lightning Nebula!\Freezing Liner!\Summon Servant: Phoenix!\All right!\That's most of the ones in front, Shiro!\You have paper-thin armor, Shiro.\You shouldn't be doing this. response:	I've done kiting before.
context: Lightning Nebula!\Freezing Liner!\Summon Servant: Phoenix!\All right!\That's most of the ones in front, Shiro!\You have paper-thin armor, Shiro.\You shouldn't be doing this.\I've done kiting before. response:	I'll manage.
context: Freezing Liner!\Summon Servant: Phoenix!\All right!\That's most of the ones in front, Shiro!\You have paper-thin armor, Shiro.\You shouldn't be doing this.\I've done kiting before.\I'll manage. response:	We can't do it like Demikas, but let's finish this!
context: Summon Servant: Phoenix!\All right!\That's most of the ones in front, Shiro!\You have paper-thin armor, Shiro.\You shouldn't be doing this.\I've done kiting before.\I'll manage.\We can't do it like Demikas, but let's finish this! response:	More enemies from 4 o'clock!
context: All right!\That's most of the ones in front, Shiro!\You have paper-thin armor, Shiro.\You shouldn't be doing this.\I've done kiting before.\I'll manage.\We can't do it like Demikas, but let's finish this!\More enemies from 4 o'clock! response:	Six moon rabbits!
context: That's most of the ones in front, Shiro!\You have paper-thin armor, Shiro.\You shouldn't be doing this.\I've done kiting before.\I'll manage.\We can't do it like Demikas, but let's finish this!\More enemies from 4 o'clock!\Six moon rabbits! response:	Can you do it, shrimp?
context: You have paper-thin armor, Shiro.\You shouldn't be doing this.\I've done kiting before.\I'll manage.\We can't do it like Demikas, but let's finish this!\More enemies from 4 o'clock!\Six moon rabbits!\Can you do it, shrimp? response:	Don't call me shrimp, Stupid-tsugu!
context: You shouldn't be doing this.\I've done kiting before.\I'll manage.\We can't do it like Demikas, but let's finish this!\More enemies from 4 o'clock!\Six moon rabbits!\Can you do it, shrimp?\Don't call me shrimp, Stupid-tsugu! response:	Shield Swing!
context: I've done kiting before.\I'll manage.\We can't do it like Demikas, but let's finish this!\More enemies from 4 o'clock!\Six moon rabbits!\Can you do it, shrimp?\Don't call me shrimp, Stupid-tsugu!\Shield Swing! response:	Axel Fang!
context: I'll manage.\We can't do it like Demikas, but let's finish this!\More enemies from 4 o'clock!\Six moon rabbits!\Can you do it, shrimp?\Don't call me shrimp, Stupid-tsugu!\Shield Swing!\Axel Fang! response:	A combination technique?
context: We can't do it like Demikas, but let's finish this!\More enemies from 4 o'clock!\Six moon rabbits!\Can you do it, shrimp?\Don't call me shrimp, Stupid-tsugu!\Shield Swing!\Axel Fang!\A combination technique? response:	W-Wow.
context: More enemies from 4 o'clock!\Six moon rabbits!\Can you do it, shrimp?\Don't call me shrimp, Stupid-tsugu!\Shield Swing!\Axel Fang!\A combination technique?\W-Wow. response:	We will protect my lord.
context: Six moon rabbits!\Can you do it, shrimp?\Don't call me shrimp, Stupid-tsugu!\Shield Swing!\Axel Fang!\A combination technique?\W-Wow.\We will protect my lord. response:	Stop it!
context: Can you do it, shrimp?\Don't call me shrimp, Stupid-tsugu!\Shield Swing!\Axel Fang!\A combination technique?\W-Wow.\We will protect my lord.\Stop it! response:	I wanna do that, too!
context: Don't call me shrimp, Stupid-tsugu!\Shield Swing!\Axel Fang!\A combination technique?\W-Wow.\We will protect my lord.\Stop it!\I wanna do that, too! response:	Akatsuki's gotten even better, hasn't she?
context: Shield Swing!\Axel Fang!\A combination technique?\W-Wow.\We will protect my lord.\Stop it!\I wanna do that, too!\Akatsuki's gotten even better, hasn't she? response:	Yeah!
context: Axel Fang!\A combination technique?\W-Wow.\We will protect my lord.\Stop it!\I wanna do that, too!\Akatsuki's gotten even better, hasn't she?\Yeah! response:	Shiro's serious about this now.
context: A combination technique?\W-Wow.\We will protect my lord.\Stop it!\I wanna do that, too!\Akatsuki's gotten even better, hasn't she?\Yeah!\Shiro's serious about this now. response:	Then I have only one job!
context: W-Wow.\We will protect my lord.\Stop it!\I wanna do that, too!\Akatsuki's gotten even better, hasn't she?\Yeah!\Shiro's serious about this now.\Then I have only one job! response:	Ikkigake!
context: We will protect my lord.\Stop it!\I wanna do that, too!\Akatsuki's gotten even better, hasn't she?\Yeah!\Shiro's serious about this now.\Then I have only one job!\Ikkigake! response:	This is the big show.
context: Stop it!\I wanna do that, too!\Akatsuki's gotten even better, hasn't she?\Yeah!\Shiro's serious about this now.\Then I have only one job!\Ikkigake!\This is the big show. response:	Go, Souji!
context: I wanna do that, too!\Akatsuki's gotten even better, hasn't she?\Yeah!\Shiro's serious about this now.\Then I have only one job!\Ikkigake!\This is the big show.\Go, Souji! response:	The raid boss has started moving.
context: Akatsuki's gotten even better, hasn't she?\Yeah!\Shiro's serious about this now.\Then I have only one job!\Ikkigake!\This is the big show.\Go, Souji!\The raid boss has started moving. response:	Shiroe,
context: Yeah!\Shiro's serious about this now.\Then I have only one job!\Ikkigake!\This is the big show.\Go, Souji!\The raid boss has started moving.\Shiroe, response:	party 2's assault team has engaged the enemy leader!
context: Shiro's serious about this now.\Then I have only one job!\Ikkigake!\This is the big show.\Go, Souji!\The raid boss has started moving.\Shiroe,\party 2's assault team has engaged the enemy leader! response:	Finally time for the boss, huh?
context: Then I have only one job!\Ikkigake!\This is the big show.\Go, Souji!\The raid boss has started moving.\Shiroe,\party 2's assault team has engaged the enemy leader!\Finally time for the boss, huh? response:	Head straight to the roof!
context: Ikkigake!\This is the big show.\Go, Souji!\The raid boss has started moving.\Shiroe,\party 2's assault team has engaged the enemy leader!\Finally time for the boss, huh?\Head straight to the roof! response:	Soujirou!
context: This is the big show.\Go, Souji!\The raid boss has started moving.\Shiroe,\party 2's assault team has engaged the enemy leader!\Finally time for the boss, huh?\Head straight to the roof!\Soujirou! response:	Shiro, good work back there.
context: Go, Souji!\The raid boss has started moving.\Shiroe,\party 2's assault team has engaged the enemy leader!\Finally time for the boss, huh?\Head straight to the roof!\Soujirou!\Shiro, good work back there. response:	We warmed him up for you, Shiroe.
context: The raid boss has started moving.\Shiroe,\party 2's assault team has engaged the enemy leader!\Finally time for the boss, huh?\Head straight to the roof!\Soujirou!\Shiro, good work back there.\We warmed him up for you, Shiroe. response:	Whoa, is that him?
context: Shiroe,\party 2's assault team has engaged the enemy leader!\Finally time for the boss, huh?\Head straight to the roof!\Soujirou!\Shiro, good work back there.\We warmed him up for you, Shiroe.\Whoa, is that him? response:	That's...
context: party 2's assault team has engaged the enemy leader!\Finally time for the boss, huh?\Head straight to the roof!\Soujirou!\Shiro, good work back there.\We warmed him up for you, Shiroe.\Whoa, is that him?\That's... response:	His name is Taliktan,
context: Finally time for the boss, huh?\Head straight to the roof!\Soujirou!\Shiro, good work back there.\We warmed him up for you, Shiroe.\Whoa, is that him?\That's...\His name is Taliktan, response:	Genius of Summoning Taliktan/Genius, Lv. 86 Rank/Raid
context: Head straight to the roof!\Soujirou!\Shiro, good work back there.\We warmed him up for you, Shiroe.\Whoa, is that him?\That's...\His name is Taliktan,\Genius of Summoning Taliktan/Genius, Lv. 86 Rank/Raid response:	the genius of summoning.
context: Soujirou!\Shiro, good work back there.\We warmed him up for you, Shiroe.\Whoa, is that him?\That's...\His name is Taliktan,\Genius of Summoning Taliktan/Genius, Lv. 86 Rank/Raid\the genius of summoning. response:	His level is 86.
context: Shiro, good work back there.\We warmed him up for you, Shiroe.\Whoa, is that him?\That's...\His name is Taliktan,\Genius of Summoning Taliktan/Genius, Lv. 86 Rank/Raid\the genius of summoning.\His level is 86. response:	He's raid rank.
context: We warmed him up for you, Shiroe.\Whoa, is that him?\That's...\His name is Taliktan,\Genius of Summoning Taliktan/Genius, Lv. 86 Rank/Raid\the genius of summoning.\His level is 86.\He's raid rank. response:	His level isn't that high...
context: Whoa, is that him?\That's...\His name is Taliktan,\Genius of Summoning Taliktan/Genius, Lv. 86 Rank/Raid\the genius of summoning.\His level is 86.\He's raid rank.\His level isn't that high... response:	But our levels are all over the place, and we've never worked together before.
context: That's...\His name is Taliktan,\Genius of Summoning Taliktan/Genius, Lv. 86 Rank/Raid\the genius of summoning.\His level is 86.\He's raid rank.\His level isn't that high...\But our levels are all over the place, and we've never worked together before. response:	Soujirou Henrietta Korou
